# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              1472150
# River:                 VICTORIA NILE
# Station:               PAARA
# Country:               UG
# Latitude (DD):       2.28
# Longitude (DD):      31.57
# Catchment area (km²):      340000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1468800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948 - 1970
# No. of years:          23
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 276
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1948-01-01;--:--;    718.000;   -999.000;   0
1948-02-01;--:--;    682.000;   -999.000;   0
1948-03-01;--:--;    667.000;   -999.000;   0
1948-04-01;--:--;    655.000;   -999.000;   0
1948-05-01;--:--;    671.000;   -999.000;   0
1948-06-01;--:--;    687.000;   -999.000;   0
1948-07-01;--:--;    708.000;   -999.000;   0
1948-08-01;--:--;    635.000;   -999.000;   0
1948-09-01;--:--;    737.000;   -999.000;   0
1948-10-01;--:--;    725.000;   -999.000;   0
1948-11-01;--:--;    714.000;   -999.000;   0
1948-12-01;--:--;    685.000;   -999.000;   0
1949-01-01;--:--;    656.000;   -999.000;   0
1949-02-01;--:--;    615.000;   -999.000;   0
1949-03-01;--:--;    572.000;   -999.000;   0
1949-04-01;--:--;    539.000;   -999.000;   0
1949-05-01;--:--;    549.000;   -999.000;   0
1949-06-01;--:--;    552.000;   -999.000;   0
1949-07-01;--:--;    545.000;   -999.000;   0
1949-08-01;--:--;    549.000;   -999.000;   0
1949-09-01;--:--;    569.000;   -999.000;   0
1949-10-01;--:--;    571.000;   -999.000;   0
1949-11-01;--:--;    524.000;   -999.000;   0
1949-12-01;--:--;    475.000;   -999.000;   0
1950-01-01;--:--;    450.000;   -999.000;   0
1950-02-01;--:--;    420.000;   -999.000;   0
1950-03-01;--:--;    404.000;   -999.000;   0
1950-04-01;--:--;    417.000;   -999.000;   0
1950-05-01;--:--;    429.000;   -999.000;   0
1950-06-01;--:--;    450.000;   -999.000;   0
1950-07-01;--:--;    465.000;   -999.000;   0
1950-08-01;--:--;    484.000;   -999.000;   0
1950-09-01;--:--;    525.000;   -999.000;   0
1950-10-01;--:--;    532.000;   -999.000;   0
1950-11-01;--:--;    505.000;   -999.000;   0
1950-12-01;--:--;    456.000;   -999.000;   0
1951-01-01;--:--;    417.000;   -999.000;   0
1951-02-01;--:--;    398.000;   -999.000;   0
1951-03-01;--:--;    390.000;   -999.000;   0
1951-04-01;--:--;    417.000;   -999.000;   0
1951-05-01;--:--;    465.000;   -999.000;   0
1951-06-01;--:--;    515.000;   -999.000;   0
1951-07-01;--:--;    544.000;   -999.000;   0
1951-08-01;--:--;    571.000;   -999.000;   0
1951-09-01;--:--;    575.000;   -999.000;   0
1951-10-01;--:--;    581.000;   -999.000;   0
1951-11-01;--:--;    590.000;   -999.000;   0
1951-12-01;--:--;    642.000;   -999.000;   0
1952-01-01;--:--;    719.000;   -999.000;   0
1952-02-01;--:--;    705.000;   -999.000;   0
1952-03-01;--:--;    715.000;   -999.000;   0
1952-04-01;--:--;    671.000;   -999.000;   0
1952-05-01;--:--;    674.000;   -999.000;   0
1952-06-01;--:--;    693.000;   -999.000;   0
1952-07-01;--:--;    718.000;   -999.000;   0
1952-08-01;--:--;    667.000;   -999.000;   0
1952-09-01;--:--;    718.000;   -999.000;   0
1952-10-01;--:--;    720.000;   -999.000;   0
1952-11-01;--:--;    671.000;   -999.000;   0
1952-12-01;--:--;    627.000;   -999.000;   0
1953-01-01;--:--;    581.000;   -999.000;   0
1953-02-01;--:--;    538.000;   -999.000;   0
1953-03-01;--:--;    503.000;   -999.000;   0
1953-04-01;--:--;    522.000;   -999.000;   0
1953-05-01;--:--;    551.000;   -999.000;   0
1953-06-01;--:--;    551.000;   -999.000;   0
1953-07-01;--:--;    545.000;   -999.000;   0
1953-08-01;--:--;    537.000;   -999.000;   0
1953-09-01;--:--;    534.000;   -999.000;   0
1953-10-01;--:--;    516.000;   -999.000;   0
1953-11-01;--:--;    498.000;   -999.000;   0
1953-12-01;--:--;    458.000;   -999.000;   0
1954-01-01;--:--;    428.000;   -999.000;   0
1954-02-01;--:--;    437.000;   -999.000;   0
1954-03-01;--:--;    448.000;   -999.000;   0
1954-04-01;--:--;    434.000;   -999.000;   0
1954-05-01;--:--;    435.000;   -999.000;   0
1954-06-01;--:--;    584.000;   -999.000;   0
1954-07-01;--:--;    624.000;   -999.000;   0
1954-08-01;--:--;    660.000;   -999.000;   0
1954-09-01;--:--;    676.000;   -999.000;   0
1954-10-01;--:--;    708.000;   -999.000;   0
1954-11-01;--:--;    669.000;   -999.000;   0
1954-12-01;--:--;    627.000;   -999.000;   0
1955-01-01;--:--;    579.000;   -999.000;   0
1955-02-01;--:--;    558.000;   -999.000;   0
1955-03-01;--:--;    543.000;   -999.000;   0
1955-04-01;--:--;    540.000;   -999.000;   0
1955-05-01;--:--;    523.000;   -999.000;   0
1955-06-01;--:--;    530.000;   -999.000;   0
1955-07-01;--:--;    534.000;   -999.000;   0
1955-08-01;--:--;    601.000;   -999.000;   0
1955-09-01;--:--;    720.000;   -999.000;   0
1955-10-01;--:--;    650.000;   -999.000;   0
1955-11-01;--:--;    595.000;   -999.000;   0
1955-12-01;--:--;    556.000;   -999.000;   0
1956-01-01;--:--;    524.000;   -999.000;   0
1956-02-01;--:--;    492.000;   -999.000;   0
1956-03-01;--:--;    471.000;   -999.000;   0
1956-04-01;--:--;    464.000;   -999.000;   0
1956-05-01;--:--;    483.000;   -999.000;   0
1956-06-01;--:--;    541.000;   -999.000;   0
1956-07-01;--:--;    569.000;   -999.000;   0
1956-08-01;--:--;    595.000;   -999.000;   0
1956-09-01;--:--;    664.000;   -999.000;   0
1956-10-01;--:--;    692.000;   -999.000;   0
1956-11-01;--:--;    698.000;   -999.000;   0
1956-12-01;--:--;    657.000;   -999.000;   0
1957-01-01;--:--;    613.000;   -999.000;   0
1957-02-01;--:--;    588.000;   -999.000;   0
1957-03-01;--:--;    573.000;   -999.000;   0
1957-04-01;--:--;    569.000;   -999.000;   0
1957-05-01;--:--;    622.000;   -999.000;   0
1957-06-01;--:--;    694.000;   -999.000;   0
1957-07-01;--:--;    768.000;   -999.000;   0
1957-08-01;--:--;    788.000;   -999.000;   0
1957-09-01;--:--;    706.000;   -999.000;   0
1957-10-01;--:--;    666.000;   -999.000;   0
1957-11-01;--:--;    643.000;   -999.000;   0
1957-12-01;--:--;    608.000;   -999.000;   0
1958-01-01;--:--;    550.000;   -999.000;   0
1958-02-01;--:--;    524.000;   -999.000;   0
1958-03-01;--:--;    506.000;   -999.000;   0
1958-04-01;--:--;    496.000;   -999.000;   0
1958-05-01;--:--;    528.000;   -999.000;   0
1958-06-01;--:--;    541.000;   -999.000;   0
1958-07-01;--:--;    581.000;   -999.000;   0
1958-08-01;--:--;    620.000;   -999.000;   0
1958-09-01;--:--;    640.000;   -999.000;   0
1958-10-01;--:--;    626.000;   -999.000;   0
1958-11-01;--:--;    555.000;   -999.000;   0
1958-12-01;--:--;    508.000;   -999.000;   0
1959-01-01;--:--;    528.000;   -999.000;   0
1959-02-01;--:--;    508.000;   -999.000;   0
1959-03-01;--:--;    498.000;   -999.000;   0
1959-04-01;--:--;    492.000;   -999.000;   0
1959-05-01;--:--;    520.000;   -999.000;   0
1959-06-01;--:--;    536.000;   -999.000;   0
1959-07-01;--:--;    546.000;   -999.000;   0
1959-08-01;--:--;    560.000;   -999.000;   0
1959-09-01;--:--;    604.000;   -999.000;   0
1959-10-01;--:--;    640.000;   -999.000;   0
1959-11-01;--:--;    636.000;   -999.000;   0
1959-12-01;--:--;    630.000;   -999.000;   0
1960-01-01;--:--;    640.000;   -999.000;   0
1960-02-01;--:--;    631.000;   -999.000;   0
1960-03-01;--:--;    631.000;   -999.000;   0
1960-04-01;--:--;    644.000;   -999.000;   0
1960-05-01;--:--;    695.000;   -999.000;   0
1960-06-01;--:--;    820.000;   -999.000;   0
1960-07-01;--:--;    870.000;   -999.000;   0
1960-08-01;--:--;    820.000;   -999.000;   0
1960-09-01;--:--;    890.000;   -999.000;   0
1960-10-01;--:--;    772.000;   -999.000;   0
1960-11-01;--:--;    756.000;   -999.000;   0
1960-12-01;--:--;    604.000;   -999.000;   0
1961-01-01;--:--;    700.000;   -999.000;   0
1961-02-01;--:--;    620.000;   -999.000;   0
1961-03-01;--:--;    574.000;   -999.000;   0
