# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              1472300
# River:                 VICTORIA NILE
# Station:               OWEN RESERVOIR
# Country:               UG
# Latitude (DD):       0.47
# Longitude (DD):      33.12
# Catchment area (km²):      269000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1472200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973 - 1982
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 120
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1973-01-01;--:--;   1269.000;   -999.000;   0
1973-02-01;--:--;   1231.000;   -999.000;   0
1973-03-01;--:--;   1329.000;   -999.000;   0
1973-04-01;--:--;   1257.000;   -999.000;   0
1973-05-01;--:--;   1321.000;   -999.000;   0
1973-06-01;--:--;   1311.000;   -999.000;   0
1973-07-01;--:--;   1224.000;   -999.000;   0
1973-08-01;--:--;   1161.000;   -999.000;   0
1973-09-01;--:--;   1130.000;   -999.000;   0
1973-10-01;--:--;   1123.000;   -999.000;   0
1973-11-01;--:--;   1130.000;   -999.000;   0
1973-12-01;--:--;   1135.000;   -999.000;   0
1974-01-01;--:--;   1108.000;   -999.000;   0
1974-02-01;--:--;   1062.000;   -999.000;   0
1974-03-01;--:--;   1052.000;   -999.000;   0
1974-04-01;--:--;   1103.000;   -999.000;   0
1974-05-01;--:--;   1161.000;   -999.000;   0
1974-06-01;--:--;   1172.000;   -999.000;   0
1974-07-01;--:--;   1123.000;   -999.000;   0
1974-08-01;--:--;   1273.000;   -999.000;   0
1974-09-01;--:--;   1250.000;   -999.000;   0
1974-10-01;--:--;   1008.000;   -999.000;   0
1974-11-01;--:--;    995.000;   -999.000;   0
1974-12-01;--:--;   1004.000;   -999.000;   0
1975-01-01;--:--;   1135.000;   -999.000;   0
1975-02-01;--:--;    954.000;   -999.000;   0
1975-03-01;--:--;    925.000;   -999.000;   0
1975-04-01;--:--;    929.000;   -999.000;   0
1975-05-01;--:--;    813.000;   -999.000;   0
1975-06-01;--:--;    972.000;   -999.000;   0
1975-07-01;--:--;   1060.000;   -999.000;   0
1975-08-01;--:--;    765.000;   -999.000;   0
1975-09-01;--:--;   1342.000;   -999.000;   0
1975-10-01;--:--;   1291.000;   -999.000;   0
1975-11-01;--:--;   1087.000;   -999.000;   0
1975-12-01;--:--;   1026.000;   -999.000;   0
1976-01-01;--:--;   1149.000;   -999.000;   0
1976-02-01;--:--;   1117.000;   -999.000;   0
1976-03-01;--:--;   1093.000;   -999.000;   0
1976-04-01;--:--;   1157.000;   -999.000;   0
1976-05-01;--:--;   1123.000;   -999.000;   0
1976-06-01;--:--;   1149.000;   -999.000;   0
1976-07-01;--:--;   1112.000;   -999.000;   0
1976-08-01;--:--;   1146.000;   -999.000;   0
1976-09-01;--:--;   1107.000;   -999.000;   0
1976-10-01;--:--;   1030.000;   -999.000;   0
1976-11-01;--:--;   1014.000;   -999.000;   0
1976-12-01;--:--;   1015.000;   -999.000;   0
1977-01-01;--:--;   1026.000;   -999.000;   0
1977-02-01;--:--;   1029.000;   -999.000;   0
1977-03-01;--:--;   1011.000;   -999.000;   0
1977-04-01;--:--;   1111.000;   -999.000;   0
1977-05-01;--:--;   1179.000;   -999.000;   0
1977-06-01;--:--;   1180.000;   -999.000;   0
1977-07-01;--:--;   1250.000;   -999.000;   0
1977-08-01;--:--;   1153.000;   -999.000;   0
1977-09-01;--:--;   1219.000;   -999.000;   0
1977-10-01;--:--;   1142.000;   -999.000;   0
1977-11-01;--:--;   1103.000;   -999.000;   0
1977-12-01;--:--;   1276.000;   -999.000;   0
1978-01-01;--:--;   1306.000;   -999.000;   0
1978-02-01;--:--;   1182.000;   -999.000;   0
1978-03-01;--:--;    966.000;   -999.000;   0
1978-04-01;--:--;   1242.000;   -999.000;   0
1978-05-01;--:--;   1329.000;   -999.000;   0
1978-06-01;--:--;   1315.000;   -999.000;   0
1978-07-01;--:--;   1280.000;   -999.000;   0
1978-08-01;--:--;   1198.000;   -999.000;   0
1978-09-01;--:--;   1292.000;   -999.000;   0
1978-10-01;--:--;   1258.000;   -999.000;   0
1978-11-01;--:--;   1242.000;   -999.000;   0
1978-12-01;--:--;   1232.000;   -999.000;   0
1979-01-01;--:--;   1261.000;   -999.000;   0
1979-02-01;--:--;   1380.000;   -999.000;   0
1979-03-01;--:--;   1426.000;   -999.000;   0
1979-04-01;--:--;   1365.000;   -999.000;   0
1979-05-01;--:--;   1504.000;   -999.000;   0
1979-06-01;--:--;   1462.000;   -999.000;   0
1979-07-01;--:--;   1400.000;   -999.000;   0
1979-08-01;--:--;   1403.000;   -999.000;   0
1979-09-01;--:--;   1423.000;   -999.000;   0
1979-10-01;--:--;   1347.000;   -999.000;   0
1979-11-01;--:--;   1458.000;   -999.000;   0
1979-12-01;--:--;   1433.000;   -999.000;   0
1980-01-01;--:--;   1500.000;   -999.000;   0
1980-02-01;--:--;   1528.000;   -999.000;   0
1980-03-01;--:--;   1579.000;   -999.000;   0
1980-04-01;--:--;   1562.000;   -999.000;   0
1980-05-01;--:--;   1433.000;   -999.000;   0
1980-06-01;--:--;   1435.000;   -999.000;   0
1980-07-01;--:--;   1523.000;   -999.000;   0
1980-08-01;--:--;   1575.000;   -999.000;   0
1980-09-01;--:--;   1408.000;   -999.000;   0
1980-10-01;--:--;   1340.000;   -999.000;   0
1980-11-01;--:--;   1315.000;   -999.000;   0
1980-12-01;--:--;   1347.000;   -999.000;   0
1981-01-01;--:--;   1026.000;   -999.000;   0
1981-02-01;--:--;    925.000;   -999.000;   0
