# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              1472305
# River:                 VICTORIA NILE
# Station:               JINJA
# Country:               UG
# Latitude (DD):       0.43
# Longitude (DD):      33.2
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1472300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1946 - 1970
# No. of years:          25
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 300
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1946-01-01;--:--;    485.000;   -999.000;   0
1946-02-01;--:--;    446.000;   -999.000;   0
1946-03-01;--:--;    433.000;   -999.000;   0
1946-04-01;--:--;    432.000;   -999.000;   0
1946-05-01;--:--;    493.000;   -999.000;   0
1946-06-01;--:--;    525.000;   -999.000;   0
1946-07-01;--:--;    497.000;   -999.000;   0
1946-08-01;--:--;    497.000;   -999.000;   0
1946-09-01;--:--;    502.000;   -999.000;   0
1946-10-01;--:--;    485.000;   -999.000;   0
1946-11-01;--:--;    486.000;   -999.000;   0
1946-12-01;--:--;    530.000;   -999.000;   0
1947-01-01;--:--;    541.000;   -999.000;   0
1947-02-01;--:--;    558.000;   -999.000;   0
1947-03-01;--:--;    586.000;   -999.000;   0
1947-04-01;--:--;    671.000;   -999.000;   0
1947-05-01;--:--;    833.000;   -999.000;   0
1947-06-01;--:--;    868.000;   -999.000;   0
1947-07-01;--:--;    825.000;   -999.000;   0
1947-08-01;--:--;    814.000;   -999.000;   0
1947-09-01;--:--;    791.000;   -999.000;   0
1947-10-01;--:--;    784.000;   -999.000;   0
1947-11-01;--:--;   1130.000;   -999.000;   0
1947-12-01;--:--;    743.000;   -999.000;   0
1948-01-01;--:--;    717.000;   -999.000;   0
1948-02-01;--:--;    710.000;   -999.000;   0
1948-03-01;--:--;    717.000;   -999.000;   0
1948-04-01;--:--;    718.000;   -999.000;   0
1948-05-01;--:--;    777.000;   -999.000;   0
1948-06-01;--:--;    779.000;   -999.000;   0
1948-07-01;--:--;    750.000;   -999.000;   0
1948-08-01;--:--;    743.000;   -999.000;   0
1948-09-01;--:--;    725.000;   -999.000;   0
1948-10-01;--:--;    694.000;   -999.000;   0
1948-11-01;--:--;    698.000;   -999.000;   0
1948-12-01;--:--;    680.000;   -999.000;   0
1949-01-01;--:--;    657.000;   -999.000;   0
1949-02-01;--:--;    641.000;   -999.000;   0
1949-03-01;--:--;    601.000;   -999.000;   0
1949-04-01;--:--;    602.000;   -999.000;   0
1949-05-01;--:--;    627.000;   -999.000;   0
1949-06-01;--:--;    621.000;   -999.000;   0
1949-07-01;--:--;    586.000;   -999.000;   0
1949-08-01;--:--;    571.000;   -999.000;   0
1949-09-01;--:--;    552.000;   -999.000;   0
1949-10-01;--:--;    526.000;   -999.000;   0
1949-11-01;--:--;    502.000;   -999.000;   0
1949-12-01;--:--;    493.000;   -999.000;   0
1950-01-01;--:--;    508.000;   -999.000;   0
1950-02-01;--:--;    496.000;   -999.000;   0
1950-03-01;--:--;    497.000;   -999.000;   0
1950-04-01;--:--;    548.000;   -999.000;   0
1950-05-01;--:--;    590.000;   -999.000;   0
