# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2151100
# River:                 BRAHMAPUTRA RIVER
# Station:               YANGCUN
# Country:               CN
# Latitude (DD):       29.28
# Longitude (DD):      91.88
# Catchment area (km²):      153191.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2851300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956-05 - 1982-12
# No. of years:          27
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9741
# DATA
YYYY-MM-DD;hh:mm; Value
1956-05-01;--:--;    278.000
1956-05-02;--:--;    281.000
1956-05-03;--:--;    287.000
1956-05-04;--:--;    293.000
1956-05-05;--:--;    293.000
1956-05-06;--:--;    299.000
1956-05-07;--:--;    305.000
1956-05-08;--:--;    311.000
1956-05-09;--:--;    317.000
1956-05-10;--:--;    317.000
1956-05-11;--:--;    314.000
1956-05-12;--:--;    311.000
1956-05-13;--:--;    317.000
1956-05-14;--:--;    320.000
1956-05-15;--:--;    329.000
1956-05-16;--:--;    339.000
1956-05-17;--:--;    349.000
1956-05-18;--:--;    355.000
1956-05-19;--:--;    362.000
1956-05-20;--:--;    375.000
1956-05-21;--:--;    375.000
1956-05-22;--:--;    388.000
1956-05-23;--:--;    391.000
1956-05-24;--:--;    388.000
1956-05-25;--:--;    381.000
1956-05-26;--:--;    375.000
1956-05-27;--:--;    375.000
1956-05-28;--:--;    375.000
1956-05-29;--:--;    368.000
1956-05-30;--:--;    362.000
1956-05-31;--:--;    349.000
1956-06-01;--:--;    342.000
1956-06-02;--:--;    336.000
1956-06-03;--:--;    336.000
1956-06-04;--:--;    342.000
1956-06-05;--:--;    342.000
1956-06-06;--:--;    355.000
1956-06-07;--:--;    368.000
1956-06-08;--:--;    375.000
1956-06-09;--:--;    388.000
1956-06-10;--:--;    429.000
1956-06-11;--:--;    502.000
1956-06-12;--:--;    536.000
1956-06-13;--:--;    548.000
1956-06-14;--:--;    556.000
1956-06-15;--:--;    540.000
1956-06-16;--:--;    572.000
1956-06-17;--:--;    592.000
1956-06-18;--:--;    588.000
1956-06-19;--:--;    580.000
1956-06-20;--:--;    556.000
1956-06-21;--:--;    548.000
1956-06-22;--:--;    548.000
1956-06-23;--:--;    552.000
1956-06-24;--:--;    560.000
1956-06-25;--:--;    572.000
1956-06-26;--:--;    588.000
1956-06-27;--:--;    638.000
1956-06-28;--:--;    683.000
1956-06-29;--:--;    765.000
1956-06-30;--:--;    866.000
1956-07-01;--:--;    943.000
1956-07-02;--:--;   1020.000
1956-07-03;--:--;   1160.000
1956-07-04;--:--;   1260.000
1956-07-05;--:--;   1280.000
1956-07-06;--:--;   1260.000
1956-07-07;--:--;   1220.000
1956-07-08;--:--;   1280.000
1956-07-09;--:--;   1310.000
1956-07-10;--:--;   1350.000
1956-07-11;--:--;   1340.000
1956-07-12;--:--;   1250.000
1956-07-13;--:--;   1120.000
1956-07-14;--:--;   1000.000
1956-07-15;--:--;    910.000
1956-07-16;--:--;    828.000
1956-07-17;--:--;    752.000
1956-07-18;--:--;    705.000
1956-07-19;--:--;    667.000
1956-07-20;--:--;    646.000
1956-07-21;--:--;    634.000
1956-07-22;--:--;    634.000
1956-07-23;--:--;    646.000
1956-07-24;--:--;    726.000
1956-07-25;--:--;    814.000
1956-07-26;--:--;    792.000
1956-07-27;--:--;    735.000
1956-07-28;--:--;    692.000
1956-07-29;--:--;    658.000
1956-07-30;--:--;    638.000
1956-07-31;--:--;    617.000
1956-08-01;--:--;    609.000
1956-08-02;--:--;    597.000
1956-08-03;--:--;    597.000
1956-08-04;--:--;    580.000
1956-08-05;--:--;    576.000
1956-08-06;--:--;    572.000
1956-08-07;--:--;    576.000
1956-08-08;--:--;    580.000
1956-08-09;--:--;    588.000
1956-08-10;--:--;    605.000
1956-08-11;--:--;    629.000
1956-08-12;--:--;    654.000
1956-08-13;--:--;    713.000
1956-08-14;--:--;    852.000
1956-08-15;--:--;   1030.000
1956-08-16;--:--;   1120.000
1956-08-17;--:--;   1140.000
1956-08-18;--:--;   1080.000
1956-08-19;--:--;   1020.000
1956-08-20;--:--;    958.000
1956-08-21;--:--;    962.000
1956-08-22;--:--;   1040.000
1956-08-23;--:--;   1200.000
1956-08-24;--:--;   1500.000
1956-08-25;--:--;   1910.000
1956-08-26;--:--;   2210.000
1956-08-27;--:--;   2400.000
1956-08-28;--:--;   2770.000
1956-08-29;--:--;   3100.000
1956-08-30;--:--;   3140.000
1956-08-31;--:--;   2990.000
1956-09-01;--:--;   2740.000
1956-09-02;--:--;   2550.000
1956-09-03;--:--;   2370.000
1956-09-04;--:--;   2200.000
1956-09-05;--:--;   2080.000
1956-09-06;--:--;   1940.000
1956-09-07;--:--;   1870.000
1956-09-08;--:--;   1880.000
1956-09-09;--:--;   1880.000
1956-09-10;--:--;   1850.000
1956-09-11;--:--;   1890.000
1956-09-12;--:--;   1910.000
1956-09-13;--:--;   2000.000
1956-09-14;--:--;   2080.000
1956-09-15;--:--;   2100.000
1956-09-16;--:--;   2000.000
1956-09-17;--:--;   1900.000
1956-09-18;--:--;   1810.000
1956-09-19;--:--;   1770.000
1956-09-20;--:--;   1740.000
1956-09-21;--:--;   1650.000
1956-09-22;--:--;   1530.000
1956-09-23;--:--;   1450.000
1956-09-24;--:--;   1370.000
1956-09-25;--:--;   1290.000
1956-09-26;--:--;   1220.000
1956-09-27;--:--;   1160.000
1956-09-28;--:--;   1120.000
1956-09-29;--:--;   1080.000
1956-09-30;--:--;   1040.000
1956-10-01;--:--;   1010.000
1956-10-02;--:--;    982.000
1956-10-03;--:--;    948.000
1956-10-04;--:--;    929.000
1956-10-05;--:--;    900.000
1956-10-06;--:--;    881.000
1956-10-07;--:--;    862.000
1956-10-08;--:--;    838.000
1956-10-09;--:--;    819.000
