# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2151100
# River:                 BRAHMAPUTRA RIVER
# Station:               YANGCUN
# Country:               CN
# Latitude (DD):       29.28
# Longitude (DD):      91.88
# Catchment area (km²):      153191.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2851300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956 - 1982
# No. of years:          27
# Last update:           2018-05-30
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 320
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1956-05-01;--:--;   -999.000;    338.032; 100
1956-06-01;--:--;   -999.000;    516.767; 100
1956-07-01;--:--;   -999.000;    931.839; 100
1956-08-01;--:--;   -999.000;   1235.419; 100
1956-09-01;--:--;   -999.000;   1782.333; 100
1956-10-01;--:--;   -999.000;    729.129; 100
1956-11-01;--:--;   -999.000;    448.500; 100
1956-12-01;--:--;   -999.000;    313.129; 100
1957-01-01;--:--;   -999.000;    255.710; 100
1957-02-01;--:--;   -999.000;    228.179; 100
1957-03-01;--:--;   -999.000;    222.903; 100
1957-04-01;--:--;   -999.000;    242.167; 100
1957-05-01;--:--;   -999.000;    272.323; 100
1957-06-01;--:--;   -999.000;    415.900; 100
1957-07-01;--:--;   -999.000;   1662.548; 100
1957-08-01;--:--;   -999.000;   2441.613; 100
1957-09-01;--:--;   -999.000;   1464.800; 100
1957-10-01;--:--;   -999.000;    621.161; 100
1957-11-01;--:--;   -999.000;    392.667; 100
1957-12-01;--:--;   -999.000;    286.194; 100
1958-01-01;--:--;   -999.000;    233.355; 100
1958-02-01;--:--;   -999.000;    206.321; 100
1958-03-01;--:--;   -999.000;    201.032; 100
1958-04-01;--:--;   -999.000;    211.600; 100
1958-05-01;--:--;   -999.000;    311.581; 100
1958-06-01;--:--;   -999.000;    415.300; 100
1958-07-01;--:--;   -999.000;   1174.065; 100
1958-08-01;--:--;   -999.000;   3056.774; 100
1958-09-01;--:--;   -999.000;   1661.379;  97
1958-10-01;--:--;   -999.000;   -999.000;   0
1958-11-01;--:--;   -999.000;   -999.000;   0
1958-12-01;--:--;   -999.000;   -999.000;   0
1959-01-01;--:--;   -999.000;   -999.000;   0
1959-02-01;--:--;   -999.000;   -999.000;   0
1959-03-01;--:--;   -999.000;   -999.000;   0
1959-04-01;--:--;   -999.000;   -999.000;   0
1959-05-01;--:--;   -999.000;   -999.000;   0
1959-06-01;--:--;   -999.000;   -999.000;  17
1959-07-01;--:--;   -999.000;   1234.484; 100
1959-08-01;--:--;   -999.000;   3113.226; 100
1959-09-01;--:--;   -999.000;   1855.333; 100
1959-10-01;--:--;   -999.000;    835.419; 100
1959-11-01;--:--;   -999.000;    494.333; 100
1959-12-01;--:--;   -999.000;    334.032; 100
1960-01-01;--:--;   -999.000;    260.258; 100
1960-02-01;--:--;   -999.000;    247.862; 100
1960-03-01;--:--;   -999.000;    245.097; 100
1960-04-01;--:--;   -999.000;    241.867; 100
1960-05-01;--:--;   -999.000;    236.032; 100
1960-06-01;--:--;   -999.000;    448.733; 100
1960-07-01;--:--;   -999.000;   1465.968; 100
1960-08-01;--:--;   -999.000;   3643.548; 100
1960-09-01;--:--;   -999.000;   2930.000; 100
1960-10-01;--:--;   -999.000;    981.645; 100
1960-11-01;--:--;   -999.000;    534.200; 100
1960-12-01;--:--;   -999.000;    361.097; 100
1961-01-01;--:--;   -999.000;    292.484; 100
1961-02-01;--:--;   -999.000;    263.036; 100
