# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2260100
# River:                 CHINDWIN RIVER
# Station:               HKAMTI
# Country:               MM
# Latitude (DD):       26.0
# Longitude (DD):      95.7
# Catchment area (km²):      27420.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2260110
# Remarks:               
# Owner of original data: Myanmar - Department of Meteorology and Hydrology
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 2023-12
# No. of years:          47
# Last update:           2024-02-15
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16801
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    334.000
1978-01-02;--:--;    324.000
1978-01-03;--:--;    320.000
1978-01-04;--:--;    305.000
1978-01-05;--:--;    296.000
1978-01-06;--:--;    292.000
1978-01-07;--:--;    288.000
1978-01-08;--:--;    276.000
1978-01-09;--:--;    268.000
1978-01-10;--:--;    264.000
1978-01-11;--:--;    264.000
1978-01-12;--:--;    256.000
1978-01-13;--:--;    252.000
1978-01-14;--:--;    248.000
1978-01-15;--:--;    248.000
1978-01-16;--:--;    244.000
1978-01-17;--:--;    244.000
1978-01-18;--:--;    240.000
1978-01-19;--:--;    236.000
1978-01-20;--:--;    236.000
1978-01-21;--:--;    240.000
1978-01-22;--:--;    240.000
1978-01-23;--:--;    240.000
1978-01-24;--:--;    232.000
1978-01-25;--:--;    224.000
1978-01-26;--:--;    216.000
1978-01-27;--:--;    212.000
1978-01-28;--:--;    208.000
1978-01-29;--:--;    204.000
1978-01-30;--:--;    200.000
1978-01-31;--:--;    196.000
1978-02-01;--:--;    196.000
1978-02-02;--:--;    196.000
1978-02-03;--:--;    192.000
1978-02-04;--:--;    192.000
1978-02-05;--:--;    192.000
1978-02-06;--:--;    188.000
1978-02-07;--:--;    184.000
1978-02-08;--:--;    184.000
1978-02-09;--:--;    184.000
1978-02-10;--:--;    184.000
1978-02-11;--:--;    180.000
1978-02-12;--:--;    180.000
1978-02-13;--:--;    176.000
1978-02-14;--:--;    176.000
1978-02-15;--:--;    168.000
1978-02-16;--:--;    168.000
1978-02-17;--:--;    164.000
1978-02-18;--:--;    164.000
1978-02-19;--:--;    160.000
1978-02-20;--:--;    164.000
1978-02-21;--:--;    168.000
1978-02-22;--:--;    172.000
1978-02-23;--:--;    168.000
1978-02-24;--:--;    164.000
1978-02-25;--:--;    164.000
1978-02-26;--:--;    164.000
1978-02-27;--:--;    160.000
1978-02-28;--:--;    160.000
1978-03-01;--:--;    152.000
1978-03-02;--:--;    148.000
1978-03-03;--:--;    144.000
1978-03-04;--:--;    140.000
1978-03-05;--:--;    136.000
1978-03-06;--:--;    140.000
