# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2260500
# River:                 IRRAWADDY RIVER
# Station:               SAGAING
# Country:               MM
# Latitude (DD):       21.98
# Longitude (DD):      96.1
# Catchment area (km²):      120193.0
# Altitude (m ASL):        74.0
# Next downstream station:      2260600
# Remarks:               
# Owner of original data: Myanmar - Department of Meteorology and Hydrology
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 2023-12
# No. of years:          47
# Last update:           2024-02-15
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16801
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;   2590.000
1978-01-02;--:--;   2576.000
1978-01-03;--:--;   2520.000
1978-01-04;--:--;   2604.000
1978-01-05;--:--;   2699.000
1978-01-06;--:--;   2834.000
1978-01-07;--:--;   2751.000
1978-01-08;--:--;   2632.000
1978-01-09;--:--;   2604.000
1978-01-10;--:--;   2576.000
1978-01-11;--:--;   2508.000
1978-01-12;--:--;   2390.000
1978-01-13;--:--;   2286.000
1978-01-14;--:--;   2216.000
1978-01-15;--:--;   2151.000
1978-01-16;--:--;   2115.000
1978-01-17;--:--;   2097.000
1978-01-18;--:--;   2088.000
1978-01-19;--:--;   2088.000
1978-01-20;--:--;   2079.000
1978-01-21;--:--;   2070.000
1978-01-22;--:--;   2057.000
1978-01-23;--:--;   2031.000
1978-01-24;--:--;   2005.000
1978-01-25;--:--;   1992.000
1978-01-26;--:--;   1930.000
1978-01-27;--:--;   2115.000
1978-01-28;--:--;   2079.000
1978-01-29;--:--;   1992.000
1978-01-30;--:--;   1930.000
1978-01-31;--:--;   1920.000
1978-02-01;--:--;   1920.000
1978-02-02;--:--;   1890.000
1978-02-03;--:--;   1850.000
1978-02-04;--:--;   1810.000
1978-02-05;--:--;   1770.000
1978-02-06;--:--;   1734.000
1978-02-07;--:--;   1716.000
1978-02-08;--:--;   1704.000
1978-02-09;--:--;   1692.000
1978-02-10;--:--;   1686.000
1978-02-11;--:--;   1680.000
1978-02-12;--:--;   1668.000
1978-02-13;--:--;   1656.000
1978-02-14;--:--;   1632.000
1978-02-15;--:--;   1632.000
1978-02-16;--:--;   1656.000
1978-02-17;--:--;   1680.000
1978-02-18;--:--;   1632.000
1978-02-19;--:--;   1596.000
1978-02-20;--:--;   1644.000
1978-02-21;--:--;   1560.000
1978-02-22;--:--;   1596.000
1978-02-23;--:--;   1620.000
1978-02-24;--:--;   1632.000
1978-02-25;--:--;   1810.000
1978-02-26;--:--;   2031.000
1978-02-27;--:--;   2044.000
1978-02-28;--:--;   1940.000
1978-03-01;--:--;   1860.000
1978-03-02;--:--;   1770.000
1978-03-03;--:--;   1704.000
1978-03-04;--:--;   1656.000
1978-03-05;--:--;   1632.000
1978-03-06;--:--;   1620.000
1978-03-07;--:--;   1608.000
1978-03-08;--:--;   1608.000
1978-03-09;--:--;   1584.000
1978-03-10;--:--;   1572.000
1978-03-11;--:--;   1656.000
1978-03-12;--:--;   1692.000
1978-03-13;--:--;   1710.000
1978-03-14;--:--;   1820.000
1978-03-15;--:--;   1870.000
1978-03-16;--:--;   1770.000
1978-03-17;--:--;   1698.000
1978-03-18;--:--;   1656.000
1978-03-19;--:--;   1644.000
1978-03-20;--:--;   1632.000
1978-03-21;--:--;   1572.000
1978-03-22;--:--;   1520.000
1978-03-23;--:--;   1468.000
1978-03-24;--:--;   1444.000
1978-03-25;--:--;   1444.000
1978-03-26;--:--;   1432.000
1978-03-27;--:--;   1432.000
1978-03-28;--:--;   1456.000
1978-03-29;--:--;   1444.000
1978-03-30;--:--;   1408.000
1978-03-31;--:--;   1408.000
1978-04-01;--:--;   1360.000
1978-04-02;--:--;   1332.000
1978-04-03;--:--;   1339.000
1978-04-04;--:--;   1339.000
1978-04-05;--:--;   1339.000
1978-04-06;--:--;   1632.000
1978-04-07;--:--;   2106.000
1978-04-08;--:--;   2230.000
1978-04-09;--:--;   2070.000
1978-04-10;--:--;   1930.000
1978-04-11;--:--;   2151.000
1978-04-12;--:--;   2534.000
1978-04-13;--:--;   2508.000
1978-04-14;--:--;   2300.000
1978-04-15;--:--;   2106.000
1978-04-16;--:--;   1900.000
1978-04-17;--:--;   1820.000
1978-04-18;--:--;   1810.000
1978-04-19;--:--;   1790.000
