# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2261500
# River:                 SITTANG RIVER
# Station:               TOUNGOO
# Country:               MM
# Latitude (DD):       18.92
# Longitude (DD):      96.47
# Catchment area (km²):      14660.0
# Altitude (m ASL):        50.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Myanmar - Department of Meteorology and Hydrology
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 2023-12
# No. of years:          47
# Last update:           2024-02-15
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16801
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    467.000
1978-01-02;--:--;    467.000
1978-01-03;--:--;    462.000
1978-01-04;--:--;    462.000
1978-01-05;--:--;    462.000
1978-01-06;--:--;    452.000
1978-01-07;--:--;    452.000
1978-01-08;--:--;    452.000
1978-01-09;--:--;    448.000
1978-01-10;--:--;    448.000
1978-01-11;--:--;    448.000
1978-01-12;--:--;    438.000
1978-01-13;--:--;    438.000
1978-01-14;--:--;    438.000
1978-01-15;--:--;    427.000
1978-01-16;--:--;    427.000
1978-01-17;--:--;    415.000
1978-01-18;--:--;    415.000
1978-01-19;--:--;    405.000
1978-01-20;--:--;    405.000
1978-01-21;--:--;    401.000
1978-01-22;--:--;    397.000
1978-01-23;--:--;    397.000
1978-01-24;--:--;    405.000
1978-01-25;--:--;    388.000
1978-01-26;--:--;    388.000
1978-01-27;--:--;    382.000
1978-01-28;--:--;    382.000
1978-01-29;--:--;    373.000
1978-01-30;--:--;    373.000
1978-01-31;--:--;    373.000
1978-02-01;--:--;    369.000
1978-02-02;--:--;    369.000
1978-02-03;--:--;    369.000
1978-02-04;--:--;    358.000
1978-02-05;--:--;    358.000
1978-02-06;--:--;    350.000
1978-02-07;--:--;    350.000
1978-02-08;--:--;    344.000
1978-02-09;--:--;    344.000
1978-02-10;--:--;    336.000
1978-02-11;--:--;    336.000
1978-02-12;--:--;    336.000
1978-02-13;--:--;    336.000
1978-02-14;--:--;    328.000
1978-02-15;--:--;    328.000
1978-02-16;--:--;    328.000
1978-02-17;--:--;    318.000
1978-02-18;--:--;    318.000
1978-02-19;--:--;    304.000
1978-02-20;--:--;    298.000
1978-02-21;--:--;    294.000
1978-02-22;--:--;    294.000
1978-02-23;--:--;    294.000
1978-02-24;--:--;    289.000
1978-02-25;--:--;    289.000
1978-02-26;--:--;    282.000
1978-02-27;--:--;    282.000
1978-02-28;--:--;    274.000
1978-03-01;--:--;    260.000
1978-03-02;--:--;    250.000
1978-03-03;--:--;    231.000
1978-03-04;--:--;    214.000
1978-03-05;--:--;    192.000
1978-03-06;--:--;    172.000
1978-03-07;--:--;    149.000
1978-03-08;--:--;    132.000
1978-03-09;--:--;    118.000
1978-03-10;--:--;    118.000
1978-03-11;--:--;    102.000
1978-03-12;--:--;     86.000
1978-03-13;--:--;     78.000
1978-03-14;--:--;     73.000
1978-03-15;--:--;     73.000
1978-03-16;--:--;     71.000
1978-03-17;--:--;     71.000
1978-03-18;--:--;     70.000
1978-03-19;--:--;     70.000
1978-03-20;--:--;     69.000
1978-03-21;--:--;     68.000
1978-03-22;--:--;     66.000
1978-03-23;--:--;     66.000
1978-03-24;--:--;     66.000
1978-03-25;--:--;     62.000
1978-03-26;--:--;     62.000
1978-03-27;--:--;     62.000
1978-03-28;--:--;     58.000
1978-03-29;--:--;     58.000
1978-03-30;--:--;     58.000
1978-03-31;--:--;     58.000
1978-04-01;--:--;     58.000
1978-04-02;--:--;     57.000
1978-04-03;--:--;     54.000
1978-04-04;--:--;     54.000
1978-04-05;--:--;     52.000
1978-04-06;--:--;     51.000
1978-04-07;--:--;     51.000
1978-04-08;--:--;     46.000
1978-04-09;--:--;     46.000
1978-04-10;--:--;     46.000
1978-04-11;--:--;     46.000
1978-04-12;--:--;     46.000
1978-04-13;--:--;     46.000
1978-04-14;--:--;     46.000
1978-04-15;--:--;     45.000
1978-04-16;--:--;     42.000
1978-04-17;--:--;     42.000
1978-04-18;--:--;     42.000
1978-04-19;--:--;     39.000
1978-04-20;--:--;     39.000
1978-04-21;--:--;     39.000
1978-04-22;--:--;     36.000
1978-04-23;--:--;     36.000
1978-04-24;--:--;     36.000
1978-04-25;--:--;     36.000
1978-04-26;--:--;     34.000
1978-04-27;--:--;     34.000
1978-04-28;--:--;     34.000
1978-04-29;--:--;     34.000
1978-04-30;--:--;     34.000
1978-05-01;--:--;     34.000
1978-05-02;--:--;     34.000
1978-05-03;--:--;     29.000
1978-05-04;--:--;     29.000
1978-05-05;--:--;     29.000
1978-05-06;--:--;     29.000
1978-05-07;--:--;     29.000
1978-05-08;--:--;     29.000
