# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2548320
# River:                 SETI NADI
# Station:               BANGA NEAR BELGAON
# Country:               NP
# Latitude (DD):       28.98
# Longitude (DD):      81.14
# Catchment area (km²):      7460.0
# Altitude (m ASL):        328.0
# Next downstream station:      2548450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1987-12
# No. of years:          11
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3652
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     79.000
1978-01-02;--:--;     77.000
1978-01-03;--:--;     76.000
1978-01-04;--:--;     73.000
1978-01-05;--:--;     73.000
1978-01-06;--:--;     71.000
1978-01-07;--:--;     70.000
1978-01-08;--:--;     68.000
1978-01-09;--:--;     67.000
1978-01-10;--:--;     66.000
1978-01-11;--:--;     65.000
1978-01-12;--:--;     65.000
1978-01-13;--:--;     64.000
1978-01-14;--:--;     67.000
1978-01-15;--:--;     66.000
1978-01-16;--:--;     67.000
1978-01-17;--:--;     66.000
1978-01-18;--:--;     65.000
1978-01-19;--:--;     64.000
1978-01-20;--:--;     62.000
1978-01-21;--:--;     62.000
1978-01-22;--:--;     67.000
1978-01-23;--:--;     66.000
1978-01-24;--:--;     65.000
1978-01-25;--:--;     62.000
1978-01-26;--:--;     61.000
1978-01-27;--:--;     60.000
1978-01-28;--:--;     60.000
1978-01-29;--:--;     60.000
1978-01-30;--:--;     60.000
1978-01-31;--:--;     59.000
1978-02-01;--:--;     58.000
1978-02-02;--:--;     56.000
1978-02-03;--:--;     55.000
1978-02-04;--:--;     54.000
1978-02-05;--:--;     53.000
1978-02-06;--:--;     53.000
1978-02-07;--:--;     60.000
1978-02-08;--:--;     76.000
1978-02-09;--:--;     61.000
1978-02-10;--:--;     60.000
1978-02-11;--:--;     58.000
1978-02-12;--:--;     56.000
1978-02-13;--:--;     64.000
1978-02-14;--:--;     60.000
1978-02-15;--:--;     58.000
1978-02-16;--:--;     56.000
1978-02-17;--:--;     79.000
1978-02-18;--:--;    166.000
1978-02-19;--:--;     97.000
1978-02-20;--:--;     76.000
1978-02-21;--:--;     67.000
1978-02-22;--:--;     64.000
1978-02-23;--:--;     65.000
1978-02-24;--:--;     65.000
1978-02-25;--:--;     65.000
1978-02-26;--:--;     66.000
1978-02-27;--:--;     66.000
1978-02-28;--:--;     67.000
1978-03-01;--:--;     68.000
1978-03-02;--:--;    102.000
1978-03-03;--:--;    103.000
1978-03-04;--:--;     83.000
1978-03-05;--:--;     85.000
1978-03-06;--:--;     79.000
1978-03-07;--:--;     71.000
1978-03-08;--:--;     67.000
1978-03-09;--:--;     66.000
1978-03-10;--:--;     64.000
1978-03-11;--:--;     89.000
1978-03-12;--:--;    185.000
1978-03-13;--:--;    134.000
1978-03-14;--:--;    112.000
1978-03-15;--:--;    105.000
1978-03-16;--:--;    105.000
1978-03-17;--:--;    106.000
1978-03-18;--:--;    228.000
1978-03-19;--:--;    221.000
1978-03-20;--:--;    168.000
1978-03-21;--:--;    145.000
1978-03-22;--:--;    132.000
1978-03-23;--:--;    122.000
1978-03-24;--:--;    114.000
1978-03-25;--:--;    112.000
1978-03-26;--:--;    108.000
1978-03-27;--:--;    105.000
1978-03-28;--:--;    106.000
1978-03-29;--:--;    108.000
1978-03-30;--:--;    103.000
1978-03-31;--:--;    100.000
1978-04-01;--:--;     95.000
1978-04-02;--:--;     88.000
1978-04-03;--:--;     89.000
1978-04-04;--:--;     91.000
1978-04-05;--:--;     94.000
1978-04-06;--:--;     95.000
1978-04-07;--:--;     97.000
1978-04-08;--:--;     98.000
1978-04-09;--:--;    103.000
1978-04-10;--:--;    109.000
1978-04-11;--:--;    111.000
1978-04-12;--:--;    114.000
1978-04-13;--:--;    129.000
1978-04-14;--:--;    129.000
1978-04-15;--:--;    143.000
1978-04-16;--:--;    168.000
1978-04-17;--:--;    145.000
1978-04-18;--:--;    179.000
1978-04-19;--:--;    162.000
1978-04-20;--:--;    130.000
1978-04-21;--:--;    125.000
1978-04-22;--:--;    117.000
1978-04-23;--:--;    115.000
1978-04-24;--:--;    120.000
1978-04-25;--:--;    141.000
1978-04-26;--:--;    146.000
1978-04-27;--:--;    130.000
1978-04-28;--:--;    130.000
1978-04-29;--:--;    143.000
1978-04-30;--:--;    137.000
1978-05-01;--:--;    150.000
1978-05-02;--:--;    148.000
1978-05-03;--:--;    158.000
1978-05-04;--:--;    166.000
1978-05-05;--:--;    174.000
1978-05-06;--:--;    194.000
1978-05-07;--:--;    211.000
1978-05-08;--:--;    197.000
1978-05-09;--:--;    181.000
1978-05-10;--:--;    206.000
1978-05-11;--:--;    197.000
1978-05-12;--:--;    197.000
1978-05-13;--:--;    190.000
1978-05-14;--:--;    197.000
1978-05-15;--:--;    223.000
1978-05-16;--:--;    204.000
1978-05-17;--:--;    214.000
1978-05-18;--:--;    211.000
1978-05-19;--:--;    216.000
1978-05-20;--:--;    204.000
1978-05-21;--:--;    190.000
1978-05-22;--:--;    179.000
1978-05-23;--:--;    170.000
1978-05-24;--:--;    192.000
1978-05-25;--:--;    206.000
1978-05-26;--:--;    221.000
1978-05-27;--:--;    226.000
1978-05-28;--:--;    192.000
1978-05-29;--:--;    183.000
1978-05-30;--:--;    185.000
1978-05-31;--:--;    197.000
1978-06-01;--:--;    183.000
1978-06-02;--:--;    216.000
1978-06-03;--:--;    181.000
1978-06-04;--:--;    192.000
1978-06-05;--:--;    226.000
1978-06-06;--:--;    282.000
1978-06-07;--:--;    240.000
1978-06-08;--:--;    357.000
1978-06-09;--:--;    438.000
1978-06-10;--:--;    438.000
1978-06-11;--:--;    315.000
1978-06-12;--:--;    257.000
1978-06-13;--:--;    245.000
1978-06-14;--:--;    305.000
1978-06-15;--:--;    267.000
1978-06-16;--:--;    245.000
1978-06-17;--:--;    245.000
1978-06-18;--:--;    289.000
1978-06-19;--:--;    346.000
1978-06-20;--:--;    621.000
1978-06-21;--:--;    530.000
1978-06-22;--:--;    448.000
1978-06-23;--:--;    464.000
1978-06-24;--:--;    502.000
1978-06-25;--:--;    633.000
1978-06-26;--:--;    684.000
1978-06-27;--:--;    533.000
1978-06-28;--:--;    530.000
1978-06-29;--:--;    625.000
1978-06-30;--:--;    565.000
1978-07-01;--:--;    595.000
1978-07-02;--:--;    942.000
1978-07-03;--:--;    724.000
1978-07-04;--:--;    629.000
1978-07-05;--:--;    680.000
1978-07-06;--:--;    784.000
1978-07-07;--:--;    728.000
1978-07-08;--:--;    775.000
1978-07-09;--:--;    966.000
1978-07-10;--:--;    749.000
1978-07-11;--:--;    933.000
1978-07-12;--:--;    882.000
1978-07-13;--:--;    801.000
1978-07-14;--:--;    656.000
1978-07-15;--:--;    591.000
1978-07-16;--:--;    606.000
1978-07-17;--:--;    732.000
1978-07-18;--:--;    732.000
1978-07-19;--:--;    680.000
1978-07-20;--:--;    724.000
1978-07-21;--:--;    672.000
1978-07-22;--:--;    636.000
1978-07-23;--:--;    741.000
1978-07-24;--:--;   1000.000
1978-07-25;--:--;   1190.000
1978-07-26;--:--;   1230.000
1978-07-27;--:--;    990.000
1978-07-28;--:--;    952.000
1978-07-29;--:--;   1520.000
1978-07-30;--:--;   1100.000
1978-07-31;--:--;   1050.000
1978-08-01;--:--;   1610.000
1978-08-02;--:--;   2090.000
1978-08-03;--:--;   1680.000
1978-08-04;--:--;   1400.000
1978-08-05;--:--;   1420.000
1978-08-06;--:--;   1280.000
1978-08-07;--:--;   1240.000
1978-08-08;--:--;   1270.000
1978-08-09;--:--;   1390.000
1978-08-10;--:--;   1590.000
1978-08-11;--:--;   1600.000
1978-08-12;--:--;   1850.000
1978-08-13;--:--;   1650.000
1978-08-14;--:--;   1320.000
1978-08-15;--:--;   1060.000
1978-08-16;--:--;    940.000
1978-08-17;--:--;    845.000
1978-08-18;--:--;    854.000
1978-08-19;--:--;    792.000
1978-08-20;--:--;    767.000
1978-08-21;--:--;    716.000
1978-08-22;--:--;    867.000
1978-08-23;--:--;    917.000
1978-08-24;--:--;   1340.000
1978-08-25;--:--;   1270.000
1978-08-26;--:--;   1190.000
1978-08-27;--:--;   1060.000
1978-08-28;--:--;   1070.000
1978-08-29;--:--;    858.000
1978-08-30;--:--;    758.000
1978-08-31;--:--;    733.000
1978-09-01;--:--;    746.000
1978-09-02;--:--;    836.000
1978-09-03;--:--;   1150.000
1978-09-04;--:--;    908.000
1978-09-05;--:--;    832.000
1978-09-06;--:--;    784.000
1978-09-07;--:--;    792.000
1978-09-08;--:--;    733.000
1978-09-09;--:--;    684.000
1978-09-10;--:--;    805.000
1978-09-11;--:--;    836.000
1978-09-12;--:--;    814.000
1978-09-13;--:--;    810.000
1978-09-14;--:--;    880.000
1978-09-15;--:--;   1080.000
1978-09-16;--:--;    792.000
1978-09-17;--:--;    684.000
1978-09-18;--:--;    629.000
1978-09-19;--:--;    652.000
1978-09-20;--:--;    649.000
1978-09-21;--:--;    606.000
1978-09-22;--:--;    583.000
1978-09-23;--:--;    606.000
1978-09-24;--:--;    576.000
1978-09-25;--:--;    532.000
1978-09-26;--:--;    501.000
1978-09-27;--:--;    469.000
1978-09-28;--:--;    476.000
1978-09-29;--:--;    449.000
1978-09-30;--:--;    433.000
1978-10-01;--:--;    426.000
1978-10-02;--:--;    394.000
1978-10-03;--:--;    370.000
1978-10-04;--:--;    354.000
1978-10-05;--:--;    340.000
1978-10-06;--:--;    331.000
1978-10-07;--:--;    319.000
1978-10-08;--:--;    311.000
1978-10-09;--:--;    300.000
1978-10-10;--:--;    292.000
1978-10-11;--:--;    284.000
1978-10-12;--:--;    273.000
1978-10-13;--:--;    265.000
1978-10-14;--:--;    258.000
1978-10-15;--:--;    250.000
1978-10-16;--:--;    243.000
1978-10-17;--:--;    235.000
1978-10-18;--:--;    228.000
1978-10-19;--:--;    223.000
1978-10-20;--:--;    211.000
1978-10-21;--:--;    206.000
1978-10-22;--:--;    206.000
1978-10-23;--:--;    204.000
1978-10-24;--:--;    197.000
1978-10-25;--:--;    192.000
1978-10-26;--:--;    186.000
1978-10-27;--:--;    179.000
1978-10-28;--:--;    170.000
1978-10-29;--:--;    166.000
1978-10-30;--:--;    162.000
1978-10-31;--:--;    158.000
1978-11-01;--:--;    150.000
1978-11-02;--:--;    148.000
1978-11-03;--:--;    146.000
1978-11-04;--:--;    146.000
1978-11-05;--:--;    144.000
1978-11-06;--:--;    142.000
1978-11-07;--:--;    140.000
1978-11-08;--:--;    136.000
1978-11-09;--:--;    134.000
1978-11-10;--:--;    132.000
1978-11-11;--:--;    128.000
1978-11-12;--:--;    128.000
1978-11-13;--:--;    138.000
1978-11-14;--:--;    138.000
1978-11-15;--:--;    126.000
1978-11-16;--:--;    123.000
1978-11-17;--:--;    119.000
1978-11-18;--:--;    119.000
1978-11-19;--:--;    117.000
1978-11-20;--:--;    113.000
1978-11-21;--:--;    110.000
1978-11-22;--:--;    110.000
1978-11-23;--:--;    146.000
1978-11-24;--:--;    154.000
1978-11-25;--:--;    132.000
1978-11-26;--:--;    121.000
1978-11-27;--:--;    117.000
1978-11-28;--:--;    115.000
1978-11-29;--:--;    113.000
1978-11-30;--:--;    112.000
1978-12-01;--:--;    110.000
1978-12-02;--:--;    128.000
1978-12-03;--:--;    134.000
1978-12-04;--:--;    119.000
1978-12-05;--:--;    110.000
1978-12-06;--:--;    107.000
1978-12-07;--:--;    104.000
1978-12-08;--:--;    102.000
1978-12-09;--:--;    100.000
1978-12-10;--:--;     98.000
1978-12-11;--:--;     98.000
1978-12-12;--:--;     95.000
1978-12-13;--:--;     93.000
1978-12-14;--:--;     92.000
1978-12-15;--:--;     90.000
1978-12-16;--:--;     89.000
1978-12-17;--:--;     87.000
1978-12-18;--:--;     85.000
1978-12-19;--:--;     84.000
1978-12-20;--:--;     84.000
1978-12-21;--:--;     81.000
1978-12-22;--:--;     78.000
1978-12-23;--:--;     76.000
1978-12-24;--:--;     75.000
1978-12-25;--:--;     75.000
1978-12-26;--:--;     73.000
1978-12-27;--:--;     72.000
1978-12-28;--:--;     70.000
1978-12-29;--:--;     70.000
1978-12-30;--:--;     69.000
1978-12-31;--:--;     68.000
1979-01-01;--:--;     66.000
1979-01-02;--:--;     65.000
1979-01-03;--:--;     64.000
1979-01-04;--:--;     64.000
1979-01-05;--:--;     62.000
1979-01-06;--:--;     61.000
1979-01-07;--:--;     60.000
1979-01-08;--:--;     61.000
1979-01-09;--:--;     60.000
1979-01-10;--:--;     58.000
1979-01-11;--:--;     58.000
1979-01-12;--:--;     57.000
1979-01-13;--:--;     58.000
1979-01-14;--:--;     58.000
1979-01-15;--:--;     58.000
1979-01-16;--:--;     60.000
1979-01-17;--:--;     78.000
1979-01-18;--:--;     79.000
1979-01-19;--:--;     70.000
1979-01-20;--:--;     62.000
1979-01-21;--:--;     61.000
1979-01-22;--:--;     60.000
1979-01-23;--:--;     60.000
1979-01-24;--:--;     58.000
1979-01-25;--:--;     57.000
1979-01-26;--:--;     57.000
1979-01-27;--:--;     55.000
1979-01-28;--:--;     54.000
1979-01-29;--:--;     62.000
1979-01-30;--:--;     66.000
1979-01-31;--:--;     61.000
1979-02-01;--:--;     60.000
1979-02-02;--:--;     57.000
1979-02-03;--:--;     54.000
1979-02-04;--:--;     54.000
1979-02-05;--:--;     53.000
1979-02-06;--:--;     52.000
1979-02-07;--:--;     65.000
1979-02-08;--:--;     90.000
1979-02-09;--:--;     75.000
1979-02-10;--:--;     62.000
1979-02-11;--:--;     61.000
1979-02-12;--:--;     60.000
1979-02-13;--:--;     60.000
1979-02-14;--:--;     58.000
1979-02-15;--:--;     55.000
1979-02-16;--:--;     60.000
1979-02-17;--:--;     61.000
1979-02-18;--:--;     58.000
1979-02-19;--:--;     79.000
1979-02-20;--:--;    130.000
1979-02-21;--:--;     97.000
1979-02-22;--:--;     78.000
1979-02-23;--:--;     75.000
1979-02-24;--:--;     65.000
1979-02-25;--:--;     58.000
1979-02-26;--:--;     60.000
1979-02-27;--:--;     60.000
1979-02-28;--:--;     58.000
1979-03-01;--:--;     55.000
1979-03-02;--:--;     54.000
1979-03-03;--:--;     55.000
1979-03-04;--:--;     69.000
1979-03-05;--:--;     60.000
1979-03-06;--:--;     62.000
1979-03-07;--:--;     72.000
1979-03-08;--:--;     78.000
1979-03-09;--:--;     68.000
1979-03-10;--:--;     64.000
1979-03-11;--:--;     58.000
1979-03-12;--:--;     61.000
1979-03-13;--:--;     65.000
1979-03-14;--:--;     62.000
1979-03-15;--:--;     64.000
1979-03-16;--:--;     64.000
1979-03-17;--:--;     61.000
1979-03-18;--:--;     72.000
1979-03-19;--:--;     68.000
1979-03-20;--:--;     64.000
1979-03-21;--:--;     62.000
1979-03-22;--:--;     64.000
1979-03-23;--:--;     65.000
1979-03-24;--:--;     65.000
1979-03-25;--:--;     65.000
1979-03-26;--:--;     64.000
1979-03-27;--:--;     58.000
1979-03-28;--:--;     61.000
1979-03-29;--:--;     61.000
1979-03-30;--:--;     68.000
1979-03-31;--:--;     72.000
1979-04-01;--:--;     75.000
1979-04-02;--:--;     72.000
1979-04-03;--:--;     75.000
1979-04-04;--:--;     73.000
1979-04-05;--:--;     72.000
1979-04-06;--:--;     93.000
1979-04-07;--:--;     75.000
1979-04-08;--:--;     81.000
1979-04-09;--:--;     87.000
1979-04-10;--:--;     92.000
1979-04-11;--:--;    112.000
1979-04-12;--:--;     95.000
1979-04-13;--:--;     90.000
1979-04-14;--:--;    117.000
1979-04-15;--:--;    104.000
1979-04-16;--:--;    112.000
1979-04-17;--:--;    107.000
1979-04-18;--:--;     90.000
1979-04-19;--:--;     90.000
1979-04-20;--:--;     98.000
1979-04-21;--:--;     98.000
1979-04-22;--:--;     95.000
1979-04-23;--:--;     87.000
1979-04-24;--:--;     85.000
1979-04-25;--:--;     97.000
1979-04-26;--:--;    107.000
1979-04-27;--:--;    108.000
1979-04-28;--:--;    123.000
1979-04-29;--:--;    134.000
1979-04-30;--:--;    144.000
1979-05-01;--:--;    126.000
1979-05-02;--:--;    148.000
1979-05-03;--:--;    156.000
1979-05-04;--:--;    144.000
1979-05-05;--:--;    125.000
1979-05-06;--:--;    110.000
1979-05-07;--:--;    102.000
1979-05-08;--:--;     95.000
1979-05-09;--:--;    115.000
1979-05-10;--:--;    113.000
1979-05-11;--:--;    107.000
1979-05-12;--:--;    121.000
1979-05-13;--:--;    123.000
1979-05-14;--:--;    128.000
1979-05-15;--:--;    452.000
1979-05-16;--:--;   1060.000
1979-05-17;--:--;    363.000
1979-05-18;--:--;    245.000
1979-05-19;--:--;    202.000
1979-05-20;--:--;    186.000
1979-05-21;--:--;    170.000
1979-05-22;--:--;    152.000
1979-05-23;--:--;    152.000
1979-05-24;--:--;    142.000
1979-05-25;--:--;    126.000
1979-05-26;--:--;    121.000
1979-05-27;--:--;    144.000
1979-05-28;--:--;    128.000
1979-05-29;--:--;    113.000
1979-05-30;--:--;    107.000
1979-05-31;--:--;    102.000
1979-06-01;--:--;     98.000
1979-06-02;--:--;     98.000
1979-06-03;--:--;    100.000
1979-06-04;--:--;    105.000
1979-06-05;--:--;    104.000
1979-06-06;--:--;    126.000
1979-06-07;--:--;    130.000
1979-06-08;--:--;    125.000
1979-06-09;--:--;    160.000
1979-06-10;--:--;    170.000
1979-06-11;--:--;    199.000
1979-06-12;--:--;    215.000
1979-06-13;--:--;    197.000
1979-06-14;--:--;    197.000
1979-06-15;--:--;    170.000
1979-06-16;--:--;    164.000
1979-06-17;--:--;    162.000
1979-06-18;--:--;    168.000
1979-06-19;--:--;    213.000
1979-06-20;--:--;    245.000
1979-06-21;--:--;    281.000
1979-06-22;--:--;    250.000
1979-06-23;--:--;    286.000
1979-06-24;--:--;    319.000
1979-06-25;--:--;    423.000
1979-06-26;--:--;    416.000
1979-06-27;--:--;    580.000
1979-06-28;--:--;    473.000
1979-06-29;--:--;    595.000
1979-06-30;--:--;   1010.000
1979-07-01;--:--;    949.000
1979-07-02;--:--;    832.000
1979-07-03;--:--;    908.000
1979-07-04;--:--;    404.000
1979-07-05;--:--;    348.000
1979-07-06;--:--;    317.000
1979-07-07;--:--;    331.000
1979-07-08;--:--;    388.000
1979-07-09;--:--;    401.000
