# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2548400
# River:                 KARNALI RIVER
# Station:               CHISAPANI
# Country:               NP
# Latitude (DD):       28.64
# Longitude (DD):      81.29
# Catchment area (km²):      42890.0
# Altitude (m ASL):        191.0
# Next downstream station:      2846800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1987-01 - 1990-12
# No. of years:          5
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1450
# DATA
YYYY-MM-DD;hh:mm; Value
1987-01-01;--:--;    365.000
1987-01-02;--:--;    365.000
1987-01-03;--:--;    365.000
1987-01-04;--:--;    365.000
1987-01-05;--:--;    361.000
1987-01-06;--:--;    354.000
1987-01-07;--:--;    354.000
1987-01-08;--:--;    393.000
1987-01-09;--:--;    375.000
1987-01-10;--:--;    365.000
1987-01-11;--:--;    354.000
1987-01-12;--:--;    354.000
1987-01-13;--:--;    347.000
1987-01-14;--:--;    344.000
1987-01-15;--:--;    340.000
1987-01-16;--:--;    337.000
1987-01-17;--:--;    337.000
1987-01-18;--:--;    333.000
1987-01-19;--:--;    333.000
1987-01-20;--:--;    333.000
1987-01-21;--:--;    326.000
1987-01-22;--:--;    312.000
1987-01-23;--:--;    312.000
1987-01-24;--:--;    305.000
1987-01-25;--:--;    305.000
1987-01-26;--:--;    302.000
1987-01-27;--:--;    297.000
1987-01-28;--:--;    297.000
1987-01-29;--:--;    297.000
1987-01-30;--:--;    300.000
1987-01-31;--:--;   -999.000
1987-02-01;--:--;    300.000
1987-02-02;--:--;    302.000
1987-02-03;--:--;    305.000
1987-02-04;--:--;    312.000
1987-02-05;--:--;    319.000
1987-02-06;--:--;    323.000
1987-02-07;--:--;    386.000
1987-02-08;--:--;    389.000
1987-02-09;--:--;    365.000
1987-02-10;--:--;    347.000
1987-02-11;--:--;    340.000
1987-02-12;--:--;    337.000
1987-02-13;--:--;    333.000
1987-02-14;--:--;    326.000
1987-02-15;--:--;    326.000
1987-02-16;--:--;    330.000
1987-02-17;--:--;    323.000
1987-02-18;--:--;    316.000
1987-02-19;--:--;   -999.000
1987-02-20;--:--;   -999.000
1987-02-21;--:--;    305.000
1987-02-22;--:--;    305.000
1987-02-23;--:--;    305.000
1987-02-24;--:--;    305.000
1987-02-25;--:--;    309.000
1987-02-26;--:--;    305.000
1987-02-27;--:--;    309.000
1987-02-28;--:--;    316.000
1987-03-01;--:--;    297.000
1987-03-02;--:--;    294.000
1987-03-03;--:--;    292.000
1987-03-04;--:--;    292.000
1987-03-05;--:--;    292.000
1987-03-06;--:--;    289.000
