# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549210
# River:                 RAPTI RIVER
# Station:               RAJAIYA
# Country:               NP
# Latitude (DD):       27.44
# Longitude (DD):      84.97
# Catchment area (km²):      579.0
# Altitude (m ASL):        332.0
# Next downstream station:      2846800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1990-12
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4737
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     11.000
1978-01-02;--:--;     11.000
1978-01-03;--:--;     11.000
1978-01-04;--:--;     11.000
1978-01-05;--:--;     11.000
1978-01-06;--:--;     11.000
1978-01-07;--:--;     11.000
1978-01-08;--:--;     11.000
1978-01-09;--:--;     10.000
1978-01-10;--:--;     10.000
1978-01-11;--:--;     10.000
1978-01-12;--:--;     10.000
1978-01-13;--:--;     10.000
1978-01-14;--:--;     10.000
1978-01-15;--:--;     10.000
1978-01-16;--:--;      9.000
1978-01-17;--:--;      9.000
1978-01-18;--:--;      8.000
1978-01-19;--:--;      8.000
1978-01-20;--:--;      8.000
1978-01-21;--:--;      8.000
1978-01-22;--:--;      9.000
1978-01-23;--:--;      9.000
1978-01-24;--:--;      8.000
1978-01-25;--:--;      8.000
1978-01-26;--:--;      8.000
1978-01-27;--:--;      8.000
1978-01-28;--:--;      8.000
1978-01-29;--:--;      8.000
1978-01-30;--:--;      8.000
1978-01-31;--:--;      8.000
1978-02-01;--:--;      8.000
1978-02-02;--:--;      8.000
1978-02-03;--:--;      8.000
1978-02-04;--:--;      8.000
1978-02-05;--:--;      8.000
1978-02-06;--:--;      8.000
1978-02-07;--:--;      8.000
1978-02-08;--:--;      8.000
1978-02-09;--:--;      8.000
1978-02-10;--:--;      8.000
1978-02-11;--:--;      8.000
1978-02-12;--:--;      8.000
1978-02-13;--:--;      8.000
