# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549220
# River:                 TADI KHOLA
# Station:               TADIPUL BELKOT
# Country:               NP
# Latitude (DD):       27.86
# Longitude (DD):      85.14
# Catchment area (km²):      653.0
# Altitude (m ASL):        475.0
# Next downstream station:      2846800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1986-12
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3287
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      8.000
1978-01-02;--:--;      8.000
1978-01-03;--:--;      8.000
1978-01-04;--:--;      8.000
1978-01-05;--:--;      8.000
1978-01-06;--:--;      8.000
1978-01-07;--:--;      8.000
1978-01-08;--:--;      8.000
1978-01-09;--:--;      8.000
1978-01-10;--:--;      8.000
1978-01-11;--:--;      7.000
1978-01-12;--:--;      7.000
1978-01-13;--:--;      7.000
1978-01-14;--:--;      7.000
1978-01-15;--:--;      7.000
1978-01-16;--:--;      7.000
1978-01-17;--:--;      7.000
1978-01-18;--:--;      7.000
1978-01-19;--:--;      7.000
1978-01-20;--:--;      7.000
1978-01-21;--:--;      7.000
1978-01-22;--:--;      7.000
1978-01-23;--:--;      7.000
1978-01-24;--:--;      6.000
1978-01-25;--:--;      6.000
1978-01-26;--:--;      6.000
1978-01-27;--:--;      6.000
1978-01-28;--:--;      6.000
1978-01-29;--:--;      5.000
1978-01-30;--:--;      5.000
1978-01-31;--:--;      5.000
1978-02-01;--:--;      5.000
1978-02-02;--:--;      5.000
1978-02-03;--:--;      5.000
1978-02-04;--:--;      5.000
1978-02-05;--:--;      5.000
1978-02-06;--:--;      5.000
1978-02-07;--:--;      5.000
1978-02-08;--:--;      8.000
1978-02-09;--:--;      5.000
1978-02-10;--:--;      5.000
1978-02-11;--:--;      5.000
1978-02-12;--:--;      5.000
1978-02-13;--:--;      5.000
1978-02-14;--:--;      5.000
1978-02-15;--:--;      5.000
1978-02-16;--:--;      5.000
1978-02-17;--:--;      5.000
1978-02-18;--:--;      7.000
1978-02-19;--:--;      6.000
1978-02-20;--:--;      5.000
1978-02-21;--:--;      6.000
1978-02-22;--:--;      5.000
1978-02-23;--:--;      5.000
1978-02-24;--:--;      5.000
1978-02-25;--:--;      5.000
1978-02-26;--:--;      5.000
1978-02-27;--:--;      5.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      4.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      4.000
1978-03-04;--:--;      4.000
1978-03-05;--:--;      4.000
1978-03-06;--:--;      4.000
1978-03-07;--:--;      3.000
1978-03-08;--:--;      3.000
1978-03-09;--:--;      3.000
1978-03-10;--:--;      3.000
1978-03-11;--:--;      3.000
1978-03-12;--:--;     18.000
1978-03-13;--:--;      8.000
1978-03-14;--:--;      5.000
1978-03-15;--:--;      4.000
1978-03-16;--:--;      4.000
1978-03-17;--:--;      4.000
1978-03-18;--:--;      7.000
1978-03-19;--:--;      7.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      5.000
1978-03-22;--:--;      5.000
1978-03-23;--:--;      4.000
1978-03-24;--:--;      4.000
1978-03-25;--:--;      4.000
1978-03-26;--:--;      4.000
1978-03-27;--:--;      4.000
1978-03-28;--:--;      4.000
1978-03-29;--:--;      4.000
1978-03-30;--:--;      4.000
1978-03-31;--:--;      7.000
1978-04-01;--:--;      5.000
1978-04-02;--:--;      4.000
1978-04-03;--:--;      4.000
1978-04-04;--:--;      4.000
1978-04-05;--:--;      4.000
1978-04-06;--:--;      4.000
1978-04-07;--:--;      4.000
1978-04-08;--:--;      4.000
1978-04-09;--:--;      4.000
1978-04-10;--:--;      4.000
1978-04-11;--:--;      4.000
1978-04-12;--:--;      5.000
1978-04-13;--:--;     10.000
1978-04-14;--:--;      6.000
1978-04-15;--:--;      6.000
1978-04-16;--:--;      5.000
1978-04-17;--:--;      5.000
1978-04-18;--:--;      8.000
1978-04-19;--:--;      6.000
1978-04-20;--:--;      5.000
1978-04-21;--:--;      5.000
1978-04-22;--:--;      4.000
1978-04-23;--:--;      4.000
1978-04-24;--:--;      4.000
1978-04-25;--:--;      7.000
1978-04-26;--:--;      6.000
1978-04-27;--:--;      5.000
1978-04-28;--:--;      5.000
1978-04-29;--:--;      7.000
1978-04-30;--:--;     10.000
1978-05-01;--:--;     12.000
1978-05-02;--:--;      7.000
1978-05-03;--:--;      6.000
1978-05-04;--:--;      9.000
1978-05-05;--:--;      7.000
1978-05-06;--:--;      9.000
1978-05-07;--:--;      7.000
1978-05-08;--:--;     12.000
1978-05-09;--:--;      7.000
1978-05-10;--:--;     10.000
1978-05-11;--:--;      7.000
1978-05-12;--:--;      7.000
1978-05-13;--:--;     22.000
1978-05-14;--:--;     10.000
1978-05-15;--:--;     11.000
1978-05-16;--:--;     15.000
1978-05-17;--:--;     18.000
1978-05-18;--:--;     15.000
1978-05-19;--:--;     10.000
1978-05-20;--:--;      9.000
1978-05-21;--:--;      8.000
1978-05-22;--:--;      8.000
1978-05-23;--:--;      7.000
1978-05-24;--:--;      8.000
1978-05-25;--:--;     13.000
1978-05-26;--:--;     12.000
1978-05-27;--:--;     15.000
1978-05-28;--:--;     16.000
1978-05-29;--:--;     11.000
1978-05-30;--:--;     10.000
1978-05-31;--:--;     20.000
1978-06-01;--:--;     18.000
1978-06-02;--:--;     14.000
1978-06-03;--:--;     12.000
1978-06-04;--:--;     12.000
1978-06-05;--:--;     10.000
1978-06-06;--:--;     68.000
1978-06-07;--:--;     49.000
1978-06-08;--:--;     17.000
1978-06-09;--:--;     47.000
1978-06-10;--:--;     52.000
1978-06-11;--:--;     22.000
1978-06-12;--:--;     19.000
1978-06-13;--:--;     17.000
1978-06-14;--:--;    105.000
1978-06-15;--:--;     24.000
1978-06-16;--:--;     31.000
1978-06-17;--:--;     38.000
1978-06-18;--:--;    215.000
1978-06-19;--:--;    101.000
1978-06-20;--:--;     52.000
1978-06-21;--:--;     65.000
1978-06-22;--:--;     50.000
1978-06-23;--:--;     64.000
1978-06-24;--:--;     49.000
1978-06-25;--:--;     74.000
1978-06-26;--:--;     61.000
1978-06-27;--:--;     80.000
1978-06-28;--:--;     71.000
1978-06-29;--:--;    177.000
1978-06-30;--:--;    156.000
1978-07-01;--:--;    146.000
1978-07-02;--:--;    131.000
1978-07-03;--:--;    206.000
1978-07-04;--:--;    151.000
1978-07-05;--:--;    141.000
1978-07-06;--:--;    133.000
1978-07-07;--:--;    131.000
1978-07-08;--:--;    129.000
1978-07-09;--:--;     95.000
1978-07-10;--:--;     73.000
1978-07-11;--:--;     85.000
1978-07-12;--:--;     95.000
1978-07-13;--:--;     74.000
1978-07-14;--:--;     73.000
1978-07-15;--:--;     74.000
1978-07-16;--:--;    510.000
1978-07-17;--:--;    209.000
1978-07-18;--:--;    172.000
1978-07-19;--:--;    122.000
1978-07-20;--:--;    138.000
1978-07-21;--:--;    120.000
1978-07-22;--:--;    212.000
1978-07-23;--:--;    212.000
1978-07-24;--:--;    314.000
1978-07-25;--:--;    339.000
1978-07-26;--:--;    226.000
1978-07-27;--:--;    286.000
1978-07-28;--:--;    209.000
1978-07-29;--:--;    166.000
1978-07-30;--:--;    146.000
1978-07-31;--:--;    174.000
1978-08-01;--:--;    415.000
1978-08-02;--:--;    353.000
1978-08-03;--:--;    206.000
1978-08-04;--:--;    262.000
1978-08-05;--:--;    229.000
1978-08-06;--:--;    188.000
1978-08-07;--:--;    215.000
1978-08-08;--:--;    215.000
1978-08-09;--:--;    306.000
1978-08-10;--:--;    254.000
1978-08-11;--:--;    322.000
1978-08-12;--:--;    318.000
1978-08-13;--:--;    258.000
1978-08-14;--:--;    212.000
1978-08-15;--:--;    161.000
1978-08-16;--:--;    138.000
1978-08-17;--:--;    161.000
1978-08-18;--:--;    302.000
1978-08-19;--:--;    163.000
1978-08-20;--:--;    163.000
1978-08-21;--:--;    126.000
1978-08-22;--:--;    219.000
1978-08-23;--:--;    174.000
1978-08-24;--:--;    182.000
1978-08-25;--:--;    126.000
1978-08-26;--:--;    111.000
1978-08-27;--:--;     99.000
1978-08-28;--:--;     87.000
1978-08-29;--:--;     85.000
1978-08-30;--:--;     80.000
1978-08-31;--:--;     82.000
1978-09-01;--:--;     73.000
1978-09-02;--:--;    115.000
1978-09-03;--:--;     71.000
1978-09-04;--:--;     65.000
1978-09-05;--:--;     61.000
1978-09-06;--:--;     62.000
1978-09-07;--:--;     89.000
1978-09-08;--:--;     64.000
1978-09-09;--:--;     85.000
1978-09-10;--:--;     91.000
1978-09-11;--:--;    122.000
1978-09-12;--:--;     95.000
1978-09-13;--:--;     91.000
1978-09-14;--:--;    254.000
1978-09-15;--:--;    120.000
1978-09-16;--:--;    107.000
1978-09-17;--:--;     95.000
1978-09-18;--:--;     93.000
1978-09-19;--:--;    115.000
1978-09-20;--:--;     82.000
1978-09-21;--:--;     71.000
1978-09-22;--:--;     80.000
1978-09-23;--:--;     68.000
1978-09-24;--:--;     64.000
1978-09-25;--:--;     68.000
1978-09-26;--:--;     74.000
1978-09-27;--:--;    105.000
1978-09-28;--:--;     87.000
1978-09-29;--:--;     76.000
1978-09-30;--:--;     73.000
1978-10-01;--:--;     71.000
1978-10-02;--:--;     64.000
1978-10-03;--:--;     58.000
1978-10-04;--:--;     55.000
1978-10-05;--:--;     83.000
1978-10-06;--:--;    222.000
1978-10-07;--:--;    105.000
1978-10-08;--:--;     78.000
1978-10-09;--:--;     68.000
1978-10-10;--:--;     62.000
1978-10-11;--:--;     58.000
1978-10-12;--:--;     54.000
1978-10-13;--:--;     48.000
1978-10-14;--:--;     46.000
1978-10-15;--:--;     43.000
1978-10-16;--:--;     40.000
1978-10-17;--:--;     39.000
1978-10-18;--:--;     38.000
1978-10-19;--:--;     38.000
1978-10-20;--:--;     37.000
1978-10-21;--:--;     35.000
1978-10-22;--:--;     34.000
1978-10-23;--:--;     33.000
1978-10-24;--:--;     32.000
1978-10-25;--:--;     32.000
1978-10-26;--:--;     31.000
1978-10-27;--:--;     31.000
1978-10-28;--:--;     30.000
1978-10-29;--:--;     35.000
1978-10-30;--:--;     31.000
1978-10-31;--:--;     30.000
1978-11-01;--:--;     28.000
1978-11-02;--:--;     27.000
1978-11-03;--:--;     28.000
1978-11-04;--:--;     26.000
1978-11-05;--:--;     26.000
1978-11-06;--:--;     26.000
1978-11-07;--:--;     25.000
1978-11-08;--:--;     25.000
1978-11-09;--:--;     24.000
1978-11-10;--:--;     25.000
1978-11-11;--:--;     26.000
1978-11-12;--:--;     24.000
1978-11-13;--:--;     23.000
1978-11-14;--:--;     22.000
1978-11-15;--:--;     22.000
1978-11-16;--:--;     21.000
1978-11-17;--:--;     20.000
1978-11-18;--:--;     20.000
1978-11-19;--:--;     19.000
1978-11-20;--:--;     19.000
1978-11-21;--:--;     19.000
1978-11-22;--:--;     18.000
1978-11-23;--:--;     18.000
1978-11-24;--:--;     18.000
1978-11-25;--:--;     17.000
1978-11-26;--:--;     17.000
1978-11-27;--:--;     16.000
1978-11-28;--:--;     16.000
1978-11-29;--:--;     15.000
1978-11-30;--:--;     15.000
1978-12-01;--:--;     15.000
1978-12-02;--:--;     15.000
1978-12-03;--:--;     16.000
1978-12-04;--:--;     15.000
1978-12-05;--:--;     15.000
1978-12-06;--:--;     14.000
1978-12-07;--:--;     14.000
1978-12-08;--:--;     14.000
1978-12-09;--:--;     13.000
1978-12-10;--:--;     13.000
1978-12-11;--:--;     13.000
1978-12-12;--:--;     13.000
1978-12-13;--:--;     12.000
1978-12-14;--:--;     12.000
1978-12-15;--:--;     12.000
1978-12-16;--:--;     12.000
1978-12-17;--:--;     11.000
1978-12-18;--:--;     11.000
1978-12-19;--:--;     11.000
1978-12-20;--:--;     11.000
1978-12-21;--:--;     11.000
1978-12-22;--:--;     11.000
1978-12-23;--:--;     11.000
1978-12-24;--:--;     10.000
1978-12-25;--:--;     10.000
1978-12-26;--:--;     10.000
