# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549230
# River:                 CHEPE KHOLA
# Station:               GARAM BESI
# Country:               NP
# Latitude (DD):       28.06
# Longitude (DD):      84.49
# Catchment area (km²):      308.0
# Altitude (m ASL):        442.0
# Next downstream station:      2549250
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1992-12
# No. of years:          16
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5468
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      6.000
1978-01-02;--:--;      6.000
1978-01-03;--:--;      6.000
1978-01-04;--:--;      6.000
1978-01-05;--:--;      6.000
1978-01-06;--:--;      6.000
1978-01-07;--:--;      6.000
1978-01-08;--:--;      5.000
1978-01-09;--:--;      5.000
1978-01-10;--:--;      5.000
1978-01-11;--:--;      5.000
1978-01-12;--:--;      5.000
1978-01-13;--:--;      5.000
1978-01-14;--:--;      5.000
1978-01-15;--:--;      5.000
1978-01-16;--:--;      5.000
1978-01-17;--:--;      5.000
1978-01-18;--:--;      5.000
1978-01-19;--:--;      5.000
1978-01-20;--:--;      5.000
1978-01-21;--:--;      5.000
1978-01-22;--:--;      5.000
1978-01-23;--:--;      5.000
1978-01-24;--:--;      5.000
1978-01-25;--:--;      5.000
1978-01-26;--:--;      5.000
1978-01-27;--:--;      5.000
1978-01-28;--:--;      4.000
1978-01-29;--:--;      4.000
1978-01-30;--:--;      4.000
1978-01-31;--:--;      4.000
1978-02-01;--:--;      4.000
1978-02-02;--:--;      4.000
1978-02-03;--:--;      4.000
1978-02-04;--:--;      4.000
1978-02-05;--:--;      4.000
1978-02-06;--:--;      4.000
1978-02-07;--:--;      4.000
1978-02-08;--:--;      5.000
1978-02-09;--:--;      4.000
1978-02-10;--:--;      4.000
1978-02-11;--:--;      4.000
1978-02-12;--:--;      4.000
1978-02-13;--:--;      4.000
1978-02-14;--:--;      4.000
1978-02-15;--:--;      4.000
1978-02-16;--:--;      4.000
1978-02-17;--:--;      4.000
1978-02-18;--:--;      5.000
1978-02-19;--:--;      4.000
1978-02-20;--:--;      4.000
1978-02-21;--:--;      4.000
1978-02-22;--:--;      4.000
1978-02-23;--:--;      4.000
1978-02-24;--:--;      4.000
1978-02-25;--:--;      4.000
1978-02-26;--:--;      4.000
1978-02-27;--:--;      4.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      4.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      4.000
1978-03-04;--:--;      4.000
1978-03-05;--:--;      3.000
1978-03-06;--:--;      3.000
1978-03-07;--:--;      3.000
1978-03-08;--:--;      3.000
1978-03-09;--:--;      3.000
1978-03-10;--:--;      3.000
1978-03-11;--:--;      3.000
1978-03-12;--:--;     12.000
1978-03-13;--:--;      5.000
1978-03-14;--:--;      5.000
1978-03-15;--:--;      5.000
1978-03-16;--:--;      4.000
1978-03-17;--:--;      4.000
1978-03-18;--:--;      7.000
1978-03-19;--:--;      5.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      5.000
1978-03-22;--:--;      4.000
1978-03-23;--:--;      4.000
1978-03-24;--:--;      4.000
1978-03-25;--:--;      4.000
1978-03-26;--:--;      4.000
1978-03-27;--:--;      4.000
1978-03-28;--:--;      4.000
1978-03-29;--:--;      4.000
1978-03-30;--:--;      5.000
1978-03-31;--:--;      4.000
1978-04-01;--:--;      4.000
1978-04-02;--:--;      4.000
1978-04-03;--:--;      4.000
1978-04-04;--:--;      4.000
1978-04-05;--:--;      4.000
1978-04-06;--:--;      4.000
1978-04-07;--:--;      4.000
1978-04-08;--:--;      4.000
1978-04-09;--:--;      4.000
1978-04-10;--:--;      4.000
1978-04-11;--:--;      4.000
1978-04-12;--:--;      4.000
1978-04-13;--:--;      5.000
1978-04-14;--:--;      5.000
1978-04-15;--:--;      4.000
1978-04-16;--:--;      5.000
1978-04-17;--:--;      5.000
1978-04-18;--:--;      6.000
1978-04-19;--:--;      5.000
1978-04-20;--:--;      6.000
1978-04-21;--:--;      5.000
1978-04-22;--:--;      4.000
1978-04-23;--:--;      4.000
1978-04-24;--:--;      5.000
1978-04-25;--:--;      4.000
1978-04-26;--:--;      4.000
1978-04-27;--:--;      4.000
1978-04-28;--:--;      5.000
1978-04-29;--:--;      5.000
1978-04-30;--:--;      5.000
1978-05-01;--:--;      7.000
1978-05-02;--:--;      5.000
1978-05-03;--:--;      5.000
1978-05-04;--:--;      6.000
1978-05-05;--:--;      5.000
1978-05-06;--:--;      9.000
1978-05-07;--:--;      6.000
1978-05-08;--:--;     11.000
1978-05-09;--:--;      8.000
1978-05-10;--:--;      6.000
1978-05-11;--:--;      5.000
1978-05-12;--:--;      6.000
1978-05-13;--:--;     12.000
1978-05-14;--:--;      6.000
1978-05-15;--:--;      8.000
1978-05-16;--:--;      9.000
1978-05-17;--:--;     15.000
1978-05-18;--:--;      8.000
1978-05-19;--:--;      6.000
1978-05-20;--:--;      7.000
1978-05-21;--:--;      6.000
1978-05-22;--:--;      7.000
1978-05-23;--:--;      6.000
1978-05-24;--:--;      6.000
1978-05-25;--:--;      6.000
1978-05-26;--:--;      7.000
1978-05-27;--:--;     13.000
1978-05-28;--:--;      8.000
1978-05-29;--:--;      9.000
1978-05-30;--:--;      7.000
1978-05-31;--:--;      8.000
1978-06-01;--:--;      9.000
1978-06-02;--:--;      7.000
1978-06-03;--:--;      8.000
1978-06-04;--:--;      7.000
1978-06-05;--:--;      7.000
1978-06-06;--:--;     14.000
1978-06-07;--:--;     10.000
1978-06-08;--:--;      9.000
1978-06-09;--:--;     18.000
1978-06-10;--:--;     16.000
1978-06-11;--:--;     11.000
1978-06-12;--:--;     15.000
1978-06-13;--:--;     14.000
1978-06-14;--:--;     28.000
1978-06-15;--:--;     14.000
1978-06-16;--:--;     18.000
1978-06-17;--:--;     15.000
1978-06-18;--:--;     18.000
1978-06-19;--:--;     31.000
1978-06-20;--:--;     18.000
1978-06-21;--:--;     27.000
1978-06-22;--:--;     18.000
1978-06-23;--:--;     22.000
1978-06-24;--:--;     19.000
1978-06-25;--:--;     23.000
1978-06-26;--:--;     28.000
1978-06-27;--:--;     29.000
1978-06-28;--:--;     33.000
1978-06-29;--:--;     67.000
1978-06-30;--:--;     51.000
1978-07-01;--:--;     44.000
1978-07-02;--:--;     43.000
1978-07-03;--:--;     43.000
1978-07-04;--:--;     35.000
1978-07-05;--:--;     39.000
1978-07-06;--:--;     61.000
1978-07-07;--:--;     48.000
1978-07-08;--:--;    107.000
1978-07-09;--:--;     78.000
1978-07-10;--:--;     48.000
1978-07-11;--:--;     54.000
1978-07-12;--:--;     48.000
1978-07-13;--:--;     42.000
1978-07-14;--:--;     45.000
1978-07-15;--:--;     46.000
1978-07-16;--:--;    157.000
1978-07-17;--:--;     65.000
1978-07-18;--:--;     61.000
1978-07-19;--:--;     53.000
1978-07-20;--:--;     81.000
1978-07-21;--:--;     58.000
1978-07-22;--:--;    107.000
1978-07-23;--:--;     68.000
1978-07-24;--:--;     71.000
1978-07-25;--:--;     74.000
1978-07-26;--:--;     62.000
1978-07-27;--:--;     59.000
1978-07-28;--:--;     61.000
1978-07-29;--:--;     77.000
1978-07-30;--:--;     64.000
1978-07-31;--:--;     66.000
1978-08-01;--:--;    114.000
1978-08-02;--:--;     86.000
1978-08-03;--:--;     82.000
1978-08-04;--:--;     98.000
1978-08-05;--:--;     77.000
1978-08-06;--:--;     70.000
1978-08-07;--:--;     70.000
1978-08-08;--:--;     67.000
1978-08-09;--:--;     91.000
1978-08-10;--:--;     73.000
1978-08-11;--:--;     96.000
1978-08-12;--:--;     98.000
1978-08-13;--:--;     87.000
1978-08-14;--:--;     79.000
1978-08-15;--:--;     83.000
1978-08-16;--:--;     62.000
1978-08-17;--:--;     68.000
1978-08-18;--:--;    129.000
1978-08-19;--:--;     77.000
1978-08-20;--:--;     82.000
1978-08-21;--:--;     68.000
1978-08-22;--:--;     61.000
1978-08-23;--:--;     70.000
1978-08-24;--:--;     54.000
1978-08-25;--:--;     52.000
1978-08-26;--:--;     52.000
