# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549235
# River:                 BUDHI GANDAKI NADI
# Station:               ARUGHAT
# Country:               NP
# Latitude (DD):       28.04
# Longitude (DD):      84.82
# Catchment area (km²):      4270.0
# Altitude (m ASL):        485.0
# Next downstream station:      2549500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1985
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 264
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-01-01;--:--;     35.500;   -999.000;   0
1964-02-01;--:--;     27.900;   -999.000;   0
1964-03-01;--:--;     28.500;   -999.000;   0
1964-04-01;--:--;     49.900;   -999.000;   0
1964-05-01;--:--;     52.500;   -999.000;   0
1964-06-01;--:--;    188.000;   -999.000;   0
1964-07-01;--:--;    426.000;   -999.000;   0
1964-08-01;--:--;    446.000;   -999.000;   0
1964-09-01;--:--;    344.000;   -999.000;   0
1964-10-01;--:--;    173.000;   -999.000;   0
1964-11-01;--:--;     84.800;   -999.000;   0
1964-12-01;--:--;     49.700;   -999.000;   0
1965-01-01;--:--;     34.000;   -999.000;   0
1965-02-01;--:--;     26.300;   -999.000;   0
1965-03-01;--:--;     26.400;   -999.000;   0
1965-04-01;--:--;     71.800;   -999.000;   0
1965-05-01;--:--;    139.000;   -999.000;   0
1965-06-01;--:--;    247.000;   -999.000;   0
1965-07-01;--:--;    390.000;   -999.000;   0
1965-08-01;--:--;    454.000;   -999.000;   0
1965-09-01;--:--;    282.000;   -999.000;   0
1965-10-01;--:--;    124.000;   -999.000;   0
1965-11-01;--:--;     84.700;   -999.000;   0
1965-12-01;--:--;     52.700;   -999.000;   0
1966-01-01;--:--;     39.000;   -999.000;   0
1966-02-01;--:--;     35.500;   -999.000;   0
1966-03-01;--:--;     35.200;   -999.000;   0
