# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549240
# River:                 ADHI KHOLA
# Station:               DUMRICHAUR ANDHIMUHAN
# Country:               NP
# Latitude (DD):       27.97
# Longitude (DD):      83.59
# Catchment area (km²):      476.0
# Altitude (m ASL):        543.0
# Next downstream station:      2549300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1989
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 144
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      5.000;      5.258; 100
1978-02-01;--:--;      4.000;      4.429; 100
1978-03-01;--:--;      4.000;      4.097; 100
1978-04-01;--:--;      3.000;      4.033; 100
1978-05-01;--:--;     15.000;     15.032; 100
1978-06-01;--:--;     63.000;     65.767; 100
1978-07-01;--:--;     93.000;     93.226; 100
1978-08-01;--:--;     90.000;     90.000; 100
1978-09-01;--:--;     52.000;     54.267; 100
1978-10-01;--:--;     21.000;     21.871; 100
1978-11-01;--:--;     10.000;     11.233; 100
1978-12-01;--:--;     10.000;     10.387; 100
1979-01-01;--:--;      5.000;      5.161; 100
1979-02-01;--:--;      4.000;      5.321; 100
1979-03-01;--:--;      4.000;      4.419; 100
1979-04-01;--:--;      3.000;      3.833; 100
1979-05-01;--:--;      2.000;      2.774; 100
1979-06-01;--:--;     18.000;     19.500; 100
1979-07-01;--:--;     70.000;     70.613; 100
1979-08-01;--:--;    100.000;    100.323; 100
1979-09-01;--:--;     47.000;     48.633; 100
1979-10-01;--:--;     21.000;     21.194; 100
1979-11-01;--:--;      9.000;   -999.000;  53
1979-12-01;--:--;      5.000;   -999.000;  52
1980-01-01;--:--;      4.000;      4.129; 100
1980-02-01;--:--;      3.000;      3.241; 100
1980-03-01;--:--;      2.000;      2.633;  97
1980-04-01;--:--;      1.000;      1.100; 100
1980-05-01;--:--;      8.000;      8.548; 100
1980-06-01;--:--;     37.000;     38.500; 100
1980-07-01;--:--;     77.000;     77.355; 100
1980-08-01;--:--;     64.000;     64.484; 100
1980-09-01;--:--;     68.000;     70.933; 100
1980-10-01;--:--;     19.000;     19.194; 100
1980-11-01;--:--;      8.000;      8.333; 100
1980-12-01;--:--;      4.000;      4.871; 100
1981-01-01;--:--;      3.000;      3.806; 100
1981-02-01;--:--;      2.000;      2.714; 100
1981-03-01;--:--;      2.000;      2.000; 100
1981-04-01;--:--;      3.000;      3.967; 100
1981-05-01;--:--;     12.000;     12.065; 100
1981-06-01;--:--;     15.000;     15.800; 100
1981-07-01;--:--;     97.000;     97.903; 100
1981-08-01;--:--;    113.000;    113.452; 100
1981-09-01;--:--;     71.000;     74.133; 100
1981-10-01;--:--;     18.000;     18.387; 100
1981-11-01;--:--;      8.000;      8.700; 100
1981-12-01;--:--;      5.000;      5.871; 100
1982-01-01;--:--;      4.000;      4.806; 100
1982-02-01;--:--;      3.000;      4.321; 100
1982-03-01;--:--;      3.000;      3.710; 100
1982-04-01;--:--;      3.000;      3.933; 100
1982-05-01;--:--;      2.000;      2.516; 100
1982-06-01;--:--;     28.000;     28.967; 100
1982-07-01;--:--;    114.000;    114.067;  97
1982-08-01;--:--;    115.000;    115.645; 100
1982-09-01;--:--;     67.000;     70.200; 100
1982-10-01;--:--;     14.000;     14.355; 100
1982-11-01;--:--;      8.000;      9.133; 100
