# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549350
# River:                 KALIGANDAKI NADI
# Station:               KOTAGAON SHRINGE
# Country:               NP
# Latitude (DD):       27.75
# Longitude (DD):      84.35
# Catchment area (km²):      11400.0
# Altitude (m ASL):        198.0
# Next downstream station:      2846800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1985
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 264
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-01-01;--:--;    144.000;   -999.000;   0
1964-02-01;--:--;    122.000;   -999.000;   0
1964-03-01;--:--;     89.200;   -999.000;   0
1964-04-01;--:--;     98.200;   -999.000;   0
1964-05-01;--:--;    116.000;   -999.000;   0
1964-06-01;--:--;    281.000;   -999.000;   0
1964-07-01;--:--;   1360.000;   -999.000;   0
1964-08-01;--:--;   1830.000;   -999.000;   0
1964-09-01;--:--;   1630.000;   -999.000;   0
1964-10-01;--:--;    771.000;   -999.000;   0
1964-11-01;--:--;    379.000;   -999.000;   0
1964-12-01;--:--;    219.000;   -999.000;   0
1965-01-01;--:--;    146.000;   -999.000;   0
1965-02-01;--:--;    115.000;   -999.000;   0
1965-03-01;--:--;     86.100;   -999.000;   0
1965-04-01;--:--;    118.000;   -999.000;   0
1965-05-01;--:--;    129.000;   -999.000;   0
1965-06-01;--:--;    481.000;   -999.000;   0
1965-07-01;--:--;   1110.000;   -999.000;   0
1965-08-01;--:--;   1740.000;   -999.000;   0
1965-09-01;--:--;   1090.000;   -999.000;   0
1965-10-01;--:--;    525.000;   -999.000;   0
1965-11-01;--:--;    356.000;   -999.000;   0
1965-12-01;--:--;    225.000;   -999.000;   0
1966-01-01;--:--;    170.000;   -999.000;   0
1966-02-01;--:--;    142.000;   -999.000;   0
1966-03-01;--:--;    116.000;   -999.000;   0
1966-04-01;--:--;    103.000;   -999.000;   0
1966-05-01;--:--;    175.000;   -999.000;   0
1966-06-01;--:--;    484.000;   -999.000;   0
1966-07-01;--:--;   1260.000;   -999.000;   0
1966-08-01;--:--;   1940.000;   -999.000;   0
1966-09-01;--:--;   1260.000;   -999.000;   0
1966-10-01;--:--;    503.000;   -999.000;   0
1966-11-01;--:--;    311.000;   -999.000;   0
1966-12-01;--:--;    201.000;   -999.000;   0
1967-01-01;--:--;    131.000;   -999.000;   0
1967-02-01;--:--;     94.300;   -999.000;   0
1967-03-01;--:--;     76.900;   -999.000;   0
1967-04-01;--:--;    101.000;   -999.000;   0
1967-05-01;--:--;    138.000;   -999.000;   0
1967-06-01;--:--;    459.000;   -999.000;   0
1967-07-01;--:--;   1210.000;   -999.000;   0
1967-08-01;--:--;   1430.000;   -999.000;   0
1967-09-01;--:--;   1120.000;   -999.000;   0
1967-10-01;--:--;    489.000;   -999.000;   0
1967-11-01;--:--;    236.000;   -999.000;   0
1967-12-01;--:--;    137.000;   -999.000;   0
1968-01-01;--:--;     94.300;   -999.000;   0
1968-02-01;--:--;     66.700;   -999.000;   0
1968-03-01;--:--;     64.000;   -999.000;   0
1968-04-01;--:--;     70.500;   -999.000;   0
1968-05-01;--:--;    128.000;   -999.000;   0
1968-06-01;--:--;    590.000;   -999.000;   0
1968-07-01;--:--;   1670.000;   -999.000;   0
1968-08-01;--:--;   1760.000;   -999.000;   0
