# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549400
# River:                 SETI NADI
# Station:               PHOOLBARI
# Country:               NP
# Latitude (DD):       28.23
# Longitude (DD):      84.0
# Catchment area (km²):      582.0
# Altitude (m ASL):        830.0
# Next downstream station:      2549500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1984
# No. of years:          21
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 252
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-01-01;--:--;     14.700;   -999.000;   0
1964-02-01;--:--;     14.000;   -999.000;   0
1964-03-01;--:--;     13.900;   -999.000;   0
1964-04-01;--:--;     14.700;   -999.000;   0
1964-05-01;--:--;     31.800;   -999.000;   0
1964-06-01;--:--;     36.000;   -999.000;   0
1964-07-01;--:--;     62.000;   -999.000;   0
1964-08-01;--:--;    213.000;   -999.000;   0
1964-09-01;--:--;    145.000;   -999.000;   0
1964-10-01;--:--;     51.800;   -999.000;   0
1964-11-01;--:--;     37.900;   -999.000;   0
1964-12-01;--:--;     24.900;   -999.000;   0
1965-01-01;--:--;     15.700;   -999.000;   0
1965-02-01;--:--;     13.600;   -999.000;   0
1965-03-01;--:--;     13.700;   -999.000;   0
1965-04-01;--:--;     15.100;   -999.000;   0
1965-05-01;--:--;     16.800;   -999.000;   0
1965-06-01;--:--;     69.700;   -999.000;   0
1965-07-01;--:--;    136.000;   -999.000;   0
1965-08-01;--:--;    170.000;   -999.000;   0
1965-09-01;--:--;     89.500;   -999.000;   0
1965-10-01;--:--;     28.900;   -999.000;   0
1965-11-01;--:--;     21.700;   -999.000;   0
1965-12-01;--:--;     14.400;   -999.000;   0
1966-01-01;--:--;     11.400;   -999.000;   0
1966-02-01;--:--;     10.200;   -999.000;   0
1966-03-01;--:--;      9.690;   -999.000;   0
1966-04-01;--:--;      8.950;   -999.000;   0
1966-05-01;--:--;     10.300;   -999.000;   0
1966-06-01;--:--;     29.300;   -999.000;   0
1966-07-01;--:--;    106.000;   -999.000;   0
1966-08-01;--:--;    120.000;   -999.000;   0
1966-09-01;--:--;     73.800;   -999.000;   0
1966-10-01;--:--;     30.500;   -999.000;   0
1966-11-01;--:--;     17.800;   -999.000;   0
1966-12-01;--:--;     11.800;   -999.000;   0
1967-01-01;--:--;      9.520;   -999.000;   0
1967-02-01;--:--;      9.580;   -999.000;   0
1967-03-01;--:--;      9.270;   -999.000;   0
1967-04-01;--:--;     10.500;   -999.000;   0
1967-05-01;--:--;     11.300;   -999.000;   0
1967-06-01;--:--;     26.700;   -999.000;   0
1967-07-01;--:--;    107.000;   -999.000;   0
1967-08-01;--:--;     98.500;   -999.000;   0
1967-09-01;--:--;     85.800;   -999.000;   0
1967-10-01;--:--;     35.600;   -999.000;   0
1967-11-01;--:--;     20.100;   -999.000;   0
1967-12-01;--:--;     15.600;   -999.000;   0
1968-01-01;--:--;     11.500;   -999.000;   0
1968-02-01;--:--;      9.480;   -999.000;   0
1968-03-01;--:--;     11.400;   -999.000;   0
1968-04-01;--:--;     11.700;   -999.000;   0
1968-05-01;--:--;     16.200;   -999.000;   0
1968-06-01;--:--;     65.500;   -999.000;   0
1968-07-01;--:--;    155.000;   -999.000;   0
1968-08-01;--:--;    133.000;   -999.000;   0
1968-09-01;--:--;    103.000;   -999.000;   0
1968-10-01;--:--;    151.000;   -999.000;   0
1968-11-01;--:--;     19.400;   -999.000;   0
1968-12-01;--:--;     11.000;   -999.000;   0
1969-01-01;--:--;      8.470;   -999.000;   0
1969-02-01;--:--;      6.740;   -999.000;   0
1969-03-01;--:--;      7.030;   -999.000;   0
1969-04-01;--:--;      6.910;   -999.000;   0
1969-05-01;--:--;      7.680;   -999.000;   0
1969-06-01;--:--;     15.900;   -999.000;   0
1969-07-01;--:--;     59.100;   -999.000;   0
