# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2549500
# River:                 GANDAK RIVER
# Station:               DEVGHAT
# Country:               NP
# Latitude (DD):       27.71
# Longitude (DD):      84.43
# Catchment area (km²):      31100.0
# Altitude (m ASL):        180.0
# Next downstream station:      2846800
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963 - 1993
# No. of years:          31
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 372
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1963-01-01;--:--;    462.000;   -999.000;   0
1963-02-01;--:--;    351.000;   -999.000;   0
1963-03-01;--:--;    290.000;   -999.000;   0
1963-04-01;--:--;    408.000;   -999.000;   0
1963-05-01;--:--;    699.000;   -999.000;   0
1963-06-01;--:--;   1690.000;   -999.000;   0
1963-07-01;--:--;   3760.000;   -999.000;   0
1963-08-01;--:--;   5160.000;   -999.000;   0
1963-09-01;--:--;   3720.000;   -999.000;   0
1963-10-01;--:--;   1700.000;   -999.000;   0
1963-11-01;--:--;   1070.000;   -999.000;   0
1963-12-01;--:--;    820.000;   -999.000;   0
1964-01-01;--:--;    453.000;   -999.000;   0
1964-02-01;--:--;    377.000;   -999.000;   0
1964-03-01;--:--;    310.000;   -999.000;   0
1964-04-01;--:--;    413.000;   -999.000;   0
1964-05-01;--:--;    444.000;   -999.000;   0
1964-06-01;--:--;   1180.000;   -999.000;   0
1964-07-01;--:--;   4060.000;   -999.000;   0
1964-08-01;--:--;   4610.000;   -999.000;   0
1964-09-01;--:--;   3570.000;   -999.000;   0
1964-10-01;--:--;   1760.000;   -999.000;   0
1964-11-01;--:--;    987.000;   -999.000;   0
1964-12-01;--:--;    638.000;   -999.000;   0
1965-01-01;--:--;    472.000;   -999.000;   0
1965-02-01;--:--;    323.000;   -999.000;   0
1965-03-01;--:--;    268.000;   -999.000;   0
1965-04-01;--:--;    470.000;   -999.000;   0
1965-05-01;--:--;    642.000;   -999.000;   0
1965-06-01;--:--;   1520.000;   -999.000;   0
1965-07-01;--:--;   3130.000;   -999.000;   0
1965-08-01;--:--;   4610.000;   -999.000;   0
