# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2646200
# River:                 GANGES RIVER
# Station:               HARDINGE BRIDGE
# Country:               BD
# Latitude (DD):       24.08
# Longitude (DD):      89.03
# Catchment area (km²):      846300.0
# Altitude (m ASL):        14.0
# Next downstream station:      2646100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1985-04 - 1992-03
# No. of years:          8
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2555
# DATA
YYYY-MM-DD;hh:mm; Value
1985-04-03;--:--;    738.000
1985-04-04;--:--;    701.000
1985-04-05;--:--;    689.000
1985-04-06;--:--;    687.000
1985-04-07;--:--;    729.000
1985-04-08;--:--;    732.000
1985-04-09;--:--;    720.000
1985-04-10;--:--;    740.000
1985-04-11;--:--;    739.000
1985-04-12;--:--;    728.000
1985-04-13;--:--;    717.000
1985-04-14;--:--;    754.000
1985-04-15;--:--;    821.000
1985-04-16;--:--;    819.000
1985-04-17;--:--;    824.000
1985-04-18;--:--;    814.000
1985-04-19;--:--;    815.000
1985-04-20;--:--;    803.000
1985-04-21;--:--;    793.000
1985-04-22;--:--;    800.000
1985-04-23;--:--;    800.000
1985-04-24;--:--;    813.000
1985-04-25;--:--;    824.000
1985-04-26;--:--;    829.000
1985-04-27;--:--;    829.000
1985-04-28;--:--;    852.000
1985-04-29;--:--;    810.000
1985-04-30;--:--;    756.000
1985-05-01;--:--;    751.000
1985-05-02;--:--;    830.000
1985-05-03;--:--;    903.000
1985-05-04;--:--;    934.000
1985-05-05;--:--;    952.000
1985-05-06;--:--;    958.000
1985-05-07;--:--;    968.000
1985-05-08;--:--;    918.000
1985-05-09;--:--;    783.000
1985-05-10;--:--;    838.000
1985-05-11;--:--;    922.000
1985-05-12;--:--;    893.000
1985-05-13;--:--;    874.000
1985-05-14;--:--;    879.000
1985-05-15;--:--;    861.000
1985-05-16;--:--;    832.000
1985-05-17;--:--;    810.000
1985-05-18;--:--;    787.000
1985-05-19;--:--;    804.000
1985-05-20;--:--;    792.000
1985-05-21;--:--;    765.000
1985-05-22;--:--;    784.000
1985-05-23;--:--;    784.000
1985-05-24;--:--;    823.000
1985-05-25;--:--;    852.000
1985-05-26;--:--;    901.000
1985-05-27;--:--;    935.000
1985-05-28;--:--;    977.000
1985-05-29;--:--;   1030.000
1985-05-30;--:--;   1030.000
1985-05-31;--:--;    995.000
1985-06-01;--:--;    979.000
1985-06-02;--:--;   1000.000
1985-06-03;--:--;   1110.000
1985-06-04;--:--;   1260.000
1985-06-05;--:--;   1530.000
1985-06-06;--:--;   1670.000
1985-06-07;--:--;   1640.000
1985-06-08;--:--;   1620.000
1985-06-09;--:--;   1540.000
1985-06-10;--:--;   1420.000
1985-06-11;--:--;   1320.000
1985-06-12;--:--;   1250.000
1985-06-13;--:--;   1230.000
1985-06-14;--:--;   1280.000
1985-06-15;--:--;   1310.000
1985-06-16;--:--;   1330.000
1985-06-17;--:--;   1390.000
1985-06-18;--:--;   1430.000
1985-06-19;--:--;   1480.000
1985-06-20;--:--;   1520.000
1985-06-21;--:--;   1650.000
1985-06-22;--:--;   1870.000
1985-06-23;--:--;   1870.000
1985-06-24;--:--;   2210.000
1985-06-25;--:--;   2350.000
1985-06-26;--:--;   2390.000
1985-06-27;--:--;   2430.000
1985-06-28;--:--;   2480.000
1985-06-29;--:--;   2650.000
1985-06-30;--:--;   2840.000
1985-07-01;--:--;   3130.000
1985-07-02;--:--;   3600.000
1985-07-03;--:--;   4360.000
1985-07-04;--:--;   5670.000
1985-07-05;--:--;   6390.000
1985-07-06;--:--;   6600.000
1985-07-07;--:--;   6640.000
1985-07-08;--:--;   7050.000
1985-07-09;--:--;   7660.000
1985-07-10;--:--;   8530.000
1985-07-11;--:--;   9890.000
1985-07-12;--:--;  12000.000
1985-07-13;--:--;  13800.000
1985-07-14;--:--;  15000.000
1985-07-15;--:--;  15900.000
1985-07-16;--:--;  16900.000
1985-07-17;--:--;  17800.000
1985-07-18;--:--;  18700.000
1985-07-19;--:--;  19500.000
1985-07-20;--:--;  20500.000
1985-07-21;--:--;  21600.000
1985-07-22;--:--;  22900.000
1985-07-23;--:--;  22900.000
1985-07-24;--:--;  23500.000
1985-07-25;--:--;  24200.000
1985-07-26;--:--;  25800.000
1985-07-27;--:--;  27500.000
1985-07-28;--:--;  28400.000
1985-07-29;--:--;  29000.000
1985-07-30;--:--;  31600.000
1985-07-31;--:--;  34700.000
1985-08-01;--:--;  37600.000
1985-08-02;--:--;  41100.000
1985-08-03;--:--;  43400.000
1985-08-04;--:--;  45600.000
1985-08-05;--:--;  46800.000
1985-08-06;--:--;  45400.000
1985-08-07;--:--;  41800.000
1985-08-08;--:--;  37600.000
1985-08-09;--:--;  35000.000
1985-08-10;--:--;  33300.000
1985-08-11;--:--;  32000.000
1985-08-12;--:--;  31000.000
1985-08-13;--:--;  31200.000
1985-08-14;--:--;  32800.000
1985-08-15;--:--;  35200.000
1985-08-16;--:--;  36800.000
1985-08-17;--:--;  38500.000
1985-08-18;--:--;  38900.000
1985-08-19;--:--;  37800.000
1985-08-20;--:--;  33700.000
1985-08-21;--:--;  30800.000
1985-08-22;--:--;  30500.000
1985-08-23;--:--;  30500.000
1985-08-24;--:--;  36200.000
1985-08-25;--:--;  39900.000
1985-08-26;--:--;  43000.000
1985-08-27;--:--;  45100.000
1985-08-28;--:--;  47200.000
1985-08-29;--:--;  48000.000
1985-08-30;--:--;  47900.000
1985-08-31;--:--;  46000.000
1985-09-01;--:--;  44200.000
1985-09-02;--:--;  42800.000
1985-09-03;--:--;  41000.000
1985-09-04;--:--;  39200.000
