# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2651080
# River:                 TISTA RIVER
# Station:               KAUNIA
# Country:               BD
# Latitude (DD):       25.75
# Longitude (DD):      89.5
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2651100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1985-04 - 1992-03
# No. of years:          8
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2555
# DATA
YYYY-MM-DD;hh:mm; Value
1985-04-03;--:--;    280.000
1985-04-04;--:--;    220.000
1985-04-05;--:--;    193.000
1985-04-06;--:--;    187.000
1985-04-07;--:--;    199.000
1985-04-08;--:--;    197.000
1985-04-09;--:--;    179.000
1985-04-10;--:--;    175.000
1985-04-11;--:--;    191.000
1985-04-12;--:--;    218.000
1985-04-13;--:--;    379.000
1985-04-14;--:--;    315.000
1985-04-15;--:--;    249.000
1985-04-16;--:--;    229.000
1985-04-17;--:--;    249.000
1985-04-18;--:--;    251.000
1985-04-19;--:--;    242.000
1985-04-20;--:--;    239.000
1985-04-21;--:--;    269.000
1985-04-22;--:--;    366.000
1985-04-23;--:--;    366.000
1985-04-24;--:--;    437.000
1985-04-25;--:--;    513.000
1985-04-26;--:--;    470.000
1985-04-27;--:--;    456.000
1985-04-28;--:--;    394.000
1985-04-29;--:--;    381.000
1985-04-30;--:--;    337.000
1985-05-01;--:--;    292.000
1985-05-02;--:--;    276.000
1985-05-03;--:--;    278.000
1985-05-04;--:--;    358.000
1985-05-05;--:--;    394.000
1985-05-06;--:--;    427.000
1985-05-07;--:--;    390.000
1985-05-08;--:--;    357.000
1985-05-09;--:--;    362.000
1985-05-10;--:--;    307.000
1985-05-11;--:--;    255.000
1985-05-12;--:--;    283.000
1985-05-13;--:--;    318.000
1985-05-14;--:--;    350.000
1985-05-15;--:--;    384.000
1985-05-16;--:--;    464.000
1985-05-17;--:--;    635.000
1985-05-18;--:--;    522.000
1985-05-19;--:--;    450.000
1985-05-20;--:--;    499.000
1985-05-21;--:--;    526.000
1985-05-22;--:--;    517.000
1985-05-23;--:--;    517.000
1985-05-24;--:--;    602.000
1985-05-25;--:--;    472.000
1985-05-26;--:--;    414.000
1985-05-27;--:--;    393.000
1985-05-28;--:--;    522.000
1985-05-29;--:--;    807.000
1985-05-30;--:--;   1290.000
1985-05-31;--:--;   1530.000
1985-06-01;--:--;   1420.000
1985-06-02;--:--;   2220.000
1985-06-03;--:--;   2580.000
1985-06-04;--:--;   2090.000
1985-06-05;--:--;   2420.000
1985-06-06;--:--;   1410.000
1985-06-07;--:--;   1100.000
1985-06-08;--:--;   1110.000
1985-06-09;--:--;   1150.000
1985-06-10;--:--;   1750.000
1985-06-11;--:--;   1670.000
1985-06-12;--:--;   1040.000
1985-06-13;--:--;    932.000
1985-06-14;--:--;    885.000
1985-06-15;--:--;   1040.000
1985-06-16;--:--;   1440.000
1985-06-17;--:--;   1280.000
1985-06-18;--:--;   1920.000
1985-06-19;--:--;   2220.000
1985-06-20;--:--;   1800.000
1985-06-21;--:--;   1270.000
1985-06-22;--:--;   1190.000
1985-06-23;--:--;   1190.000
1985-06-24;--:--;   1320.000
1985-06-25;--:--;   1380.000
1985-06-26;--:--;   1440.000
1985-06-27;--:--;   1480.000
1985-06-28;--:--;   1920.000
1985-06-29;--:--;   2610.000
1985-06-30;--:--;   1880.000
1985-07-01;--:--;   1690.000
1985-07-02;--:--;   2170.000
1985-07-03;--:--;   2110.000
1985-07-04;--:--;   1730.000
1985-07-05;--:--;   2230.000
1985-07-06;--:--;   2310.000
1985-07-07;--:--;   3570.000
1985-07-08;--:--;   2540.000
1985-07-09;--:--;   2780.000
1985-07-10;--:--;   4010.000
1985-07-11;--:--;   3460.000
1985-07-12;--:--;   4380.000
1985-07-13;--:--;   4000.000
1985-07-14;--:--;   3990.000
1985-07-15;--:--;   4350.000
1985-07-16;--:--;   4400.000
1985-07-17;--:--;   3520.000
1985-07-18;--:--;   3820.000
1985-07-19;--:--;   2920.000
1985-07-20;--:--;   2680.000
1985-07-21;--:--;   3550.000
1985-07-22;--:--;   3570.000
1985-07-23;--:--;   3570.000
1985-07-24;--:--;   4400.000
1985-07-25;--:--;   4410.000
1985-07-26;--:--;   3930.000
1985-07-27;--:--;   3490.000
1985-07-28;--:--;   4860.000
1985-07-29;--:--;   4410.000
1985-07-30;--:--;   3270.000
1985-07-31;--:--;   2070.000
1985-08-01;--:--;   1850.000
1985-08-02;--:--;   1680.000
1985-08-03;--:--;   1860.000
1985-08-04;--:--;   1510.000
1985-08-05;--:--;   1540.000
1985-08-06;--:--;   1270.000
1985-08-07;--:--;   1180.000
1985-08-08;--:--;   1320.000
1985-08-09;--:--;   1270.000
1985-08-10;--:--;   1540.000
1985-08-11;--:--;   1350.000
1985-08-12;--:--;   1320.000
1985-08-13;--:--;   1540.000
1985-08-14;--:--;   1780.000
1985-08-15;--:--;   1410.000
1985-08-16;--:--;   1450.000
1985-08-17;--:--;   1490.000
1985-08-18;--:--;   1450.000
1985-08-19;--:--;   1760.000
1985-08-20;--:--;   2430.000
1985-08-21;--:--;   2210.000
1985-08-22;--:--;   2390.000
1985-08-23;--:--;   2390.000
1985-08-24;--:--;   2350.000
1985-08-25;--:--;   2870.000
1985-08-26;--:--;   3050.000
1985-08-27;--:--;   2140.000
1985-08-28;--:--;   1930.000
1985-08-29;--:--;   1630.000
1985-08-30;--:--;   1610.000
1985-08-31;--:--;   2100.000
1985-09-01;--:--;   1990.000
1985-09-02;--:--;   2470.000
1985-09-03;--:--;   2660.000
1985-09-04;--:--;   3480.000
1985-09-05;--:--;   4330.000
1985-09-06;--:--;   4030.000
1985-09-07;--:--;   2970.000
1985-09-08;--:--;   2690.000
1985-09-09;--:--;   2510.000
1985-09-10;--:--;   2190.000
1985-09-11;--:--;   2090.000
1985-09-12;--:--;   2370.000
1985-09-13;--:--;   2030.000
1985-09-14;--:--;   1800.000
1985-09-15;--:--;   1920.000
1985-09-16;--:--;   2160.000
1985-09-17;--:--;   3080.000
1985-09-18;--:--;   1940.000
1985-09-19;--:--;   1530.000
1985-09-20;--:--;   1520.000
1985-09-21;--:--;   2100.000
1985-09-22;--:--;   1480.000
1985-09-23;--:--;   1480.000
1985-09-24;--:--;   1720.000
1985-09-25;--:--;   1590.000
1985-09-26;--:--;   1740.000
1985-09-27;--:--;   1560.000
1985-09-28;--:--;   1850.000
1985-09-29;--:--;   1610.000
1985-09-30;--:--;   1670.000
1985-10-01;--:--;   1560.000
1985-10-02;--:--;   1430.000
1985-10-03;--:--;   1340.000
1985-10-04;--:--;   1210.000
1985-10-05;--:--;   1190.000
1985-10-06;--:--;   1110.000
1985-10-07;--:--;    998.000
1985-10-08;--:--;    945.000
1985-10-09;--:--;    895.000
1985-10-10;--:--;    870.000
1985-10-11;--:--;    859.000
1985-10-12;--:--;    986.000
1985-10-13;--:--;    889.000
1985-10-14;--:--;    803.000
1985-10-15;--:--;    744.000
1985-10-16;--:--;    705.000
1985-10-17;--:--;    893.000
1985-10-18;--:--;   3440.000
1985-10-19;--:--;   3770.000
1985-10-20;--:--;   2910.000
1985-10-21;--:--;   1940.000
1985-10-22;--:--;   1500.000
1985-10-23;--:--;   1500.000
1985-10-24;--:--;   1110.000
1985-10-25;--:--;   1010.000
1985-10-26;--:--;   1030.000
1985-10-27;--:--;   1070.000
1985-10-28;--:--;   1040.000
1985-10-29;--:--;    985.000
1985-10-30;--:--;    951.000
1985-10-31;--:--;    867.000
1985-11-01;--:--;    802.000
1985-11-02;--:--;    753.000
1985-11-03;--:--;    744.000
1985-11-04;--:--;    734.000
1985-11-05;--:--;    732.000
1985-11-06;--:--;    743.000
1985-11-07;--:--;    716.000
1985-11-08;--:--;    734.000
1985-11-09;--:--;    695.000
1985-11-10;--:--;    730.000
1985-11-11;--:--;    768.000
1985-11-12;--:--;    738.000
1985-11-13;--:--;    716.000
1985-11-14;--:--;    721.000
1985-11-15;--:--;    686.000
1985-11-16;--:--;    672.000
1985-11-17;--:--;    656.000
1985-11-18;--:--;    640.000
1985-11-19;--:--;    609.000
1985-11-20;--:--;    598.000
1985-11-21;--:--;    581.000
1985-11-22;--:--;    566.000
1985-11-23;--:--;    566.000
1985-11-24;--:--;    546.000
1985-11-25;--:--;    526.000
1985-11-26;--:--;    513.000
1985-11-27;--:--;    486.000
1985-11-28;--:--;    463.000
1985-11-29;--:--;    448.000
1985-11-30;--:--;    444.000
1985-12-01;--:--;    423.000
1985-12-02;--:--;    410.000
1985-12-03;--:--;    401.000
1985-12-04;--:--;    393.000
1985-12-05;--:--;    385.000
1985-12-06;--:--;    384.000
1985-12-07;--:--;    383.000
1985-12-08;--:--;    383.000
1985-12-09;--:--;    382.000
1985-12-10;--:--;    389.000
1985-12-11;--:--;    389.000
1985-12-12;--:--;    385.000
1985-12-13;--:--;    372.000
1985-12-14;--:--;    367.000
1985-12-15;--:--;    357.000
1985-12-16;--:--;    349.000
1985-12-17;--:--;    351.000
1985-12-18;--:--;    354.000
1985-12-19;--:--;    354.000
1985-12-20;--:--;    360.000
1985-12-21;--:--;    359.000
1985-12-22;--:--;    373.000
1985-12-23;--:--;    373.000
1985-12-24;--:--;    361.000
1985-12-25;--:--;    357.000
1985-12-26;--:--;    356.000
1985-12-27;--:--;    359.000
1985-12-28;--:--;    402.000
