# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2651100
# River:                 BRAHMAPUTRA RIVER
# Station:               BAHADURABAD
# Country:               BD
# Latitude (DD):       25.18
# Longitude (DD):      89.67
# Catchment area (km²):      636130.0
# Altitude (m ASL):        19.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1985-04 - 1992-03
# No. of years:          8
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2555
# DATA
YYYY-MM-DD;hh:mm; Value
1985-04-03;--:--;   6370.000
1985-04-04;--:--;   6320.000
1985-04-05;--:--;   6290.000
1985-04-06;--:--;   6350.000
1985-04-07;--:--;   6920.000
1985-04-08;--:--;   7780.000
1985-04-09;--:--;   8070.000
1985-04-10;--:--;   8070.000
1985-04-11;--:--;   8270.000
1985-04-12;--:--;   8800.000
1985-04-13;--:--;   9160.000
1985-04-14;--:--;   9220.000
1985-04-15;--:--;   9060.000
1985-04-16;--:--;   8960.000
1985-04-17;--:--;   9220.000
1985-04-18;--:--;   9840.000
1985-04-19;--:--;  10300.000
1985-04-20;--:--;  10300.000
1985-04-21;--:--;  10400.000
1985-04-22;--:--;  10600.000
1985-04-23;--:--;  10600.000
1985-04-24;--:--;  11500.000
1985-04-25;--:--;  11200.000
1985-04-26;--:--;  11000.000
1985-04-27;--:--;  10900.000
1985-04-28;--:--;  10900.000
1985-04-29;--:--;  11000.000
1985-04-30;--:--;  11200.000
1985-05-01;--:--;  12300.000
1985-05-02;--:--;  13600.000
1985-05-03;--:--;  13700.000
1985-05-04;--:--;  13200.000
1985-05-05;--:--;  12500.000
1985-05-06;--:--;  12000.000
1985-05-07;--:--;  11800.000
1985-05-08;--:--;  11600.000
1985-05-09;--:--;  11600.000
1985-05-10;--:--;  11600.000
1985-05-11;--:--;  12000.000
1985-05-12;--:--;  12400.000
1985-05-13;--:--;  12500.000
1985-05-14;--:--;  11800.000
1985-05-15;--:--;  10800.000
1985-05-16;--:--;  10200.000
1985-05-17;--:--;   9790.000
1985-05-18;--:--;   9720.000
1985-05-19;--:--;   9630.000
1985-05-20;--:--;   9570.000
1985-05-21;--:--;   9570.000
1985-05-22;--:--;   9480.000
1985-05-23;--:--;   9480.000
1985-05-24;--:--;   9430.000
1985-05-25;--:--;   9510.000
1985-05-26;--:--;   8890.000
1985-05-27;--:--;   8470.000
1985-05-28;--:--;   8200.000
1985-05-29;--:--;   8160.000
1985-05-30;--:--;   9240.000
