# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2851300
# River:                 BRAHMAPUTRA RIVER
# Station:               PANDU
# Country:               IN
# Latitude (DD):       26.18125
# Longitude (DD):      91.69792
# Catchment area (km²):      405000.0
# Altitude (m ASL):        49.0
# Next downstream station:      2651100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956 - 1979
# No. of years:          24
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 287
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1956-01-01;--:--;   3970.000;   -999.000;   0
1956-02-01;--:--;   -999.000;   -999.000;   0
1956-03-01;--:--;   5670.000;   -999.000;   0
1956-04-01;--:--;   7650.000;   -999.000;   0
1956-05-01;--:--;  25400.000;   -999.000;   0
1956-06-01;--:--;  23180.000;   -999.000;   0
1956-07-01;--:--;  27400.000;   -999.000;   0
1956-08-01;--:--;  22700.000;   -999.000;   0
1956-09-01;--:--;  33200.000;   -999.000;   0
1956-10-01;--:--;  15500.000;   -999.000;   0
1956-11-01;--:--;   7950.000;   -999.000;   0
1956-12-01;--:--;   4400.000;   -999.000;   0
1957-01-01;--:--;   3800.000;   -999.000;   0
1957-02-01;--:--;   3638.000;   -999.000;   0
1957-03-01;--:--;   4030.000;   -999.000;   0
1957-04-01;--:--;   7250.000;   -999.000;   0
1957-05-01;--:--;  21000.000;   -999.000;   0
1957-06-01;--:--;  25360.000;   -999.000;   0
1957-07-01;--:--;  40000.000;   -999.000;   0
1957-08-01;--:--;  35400.000;   -999.000;   0
1957-09-01;--:--;  18600.000;   -999.000;   0
1957-10-01;--:--;  16800.000;   -999.000;   0
1957-11-01;--:--;   7120.000;   -999.000;   0
1957-12-01;--:--;   5100.000;   -999.000;   0
1958-01-01;--:--;   3950.000;   -999.000;   0
1958-02-01;--:--;   3780.000;   -999.000;   0
1958-03-01;--:--;   3860.000;   -999.000;   0
1958-04-01;--:--;   6260.000;   -999.000;   0
1958-05-01;--:--;  19900.000;   -999.000;   0
