# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2851500
# River:                 BHARELI RIVER
# Station:               N.T. ROAD CROSSING
# Country:               IN
# Latitude (DD):       26.83
# Longitude (DD):      92.92
# Catchment area (km²):      10820.0
# Altitude (m ASL):        74.0
# Next downstream station:      2851300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 1979
# No. of years:          22
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 264
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-01-01;--:--;    193.000;   -999.000;   0
1958-02-01;--:--;    204.000;   -999.000;   0
1958-03-01;--:--;    236.000;   -999.000;   0
1958-04-01;--:--;    298.000;   -999.000;   0
1958-05-01;--:--;    774.000;   -999.000;   0
1958-06-01;--:--;   1035.000;   -999.000;   0
1958-07-01;--:--;   1560.000;   -999.000;   0
1958-08-01;--:--;   2440.000;   -999.000;   0
1958-09-01;--:--;   1380.000;   -999.000;   0
1958-10-01;--:--;   1070.000;   -999.000;   0
1958-11-01;--:--;    452.000;   -999.000;   0
1958-12-01;--:--;    232.000;   -999.000;   0
1959-01-01;--:--;    187.000;   -999.000;   0
1959-02-01;--:--;    181.000;   -999.000;   0
1959-03-01;--:--;    196.000;   -999.000;   0
1959-04-01;--:--;    332.000;   -999.000;   0
1959-05-01;--:--;    828.000;   -999.000;   0
1959-06-01;--:--;    716.000;   -999.000;   0
1959-07-01;--:--;   1730.000;   -999.000;   0
1959-08-01;--:--;   1420.000;   -999.000;   0
1959-09-01;--:--;   1306.000;   -999.000;   0
1959-10-01;--:--;    946.000;   -999.000;   0
1959-11-01;--:--;    522.000;   -999.000;   0
1959-12-01;--:--;    314.000;   -999.000;   0
1960-01-01;--:--;   -999.000;   -999.000;   0
1960-02-01;--:--;   -999.000;   -999.000;   0
1960-03-01;--:--;   -999.000;   -999.000;   0
1960-04-01;--:--;   -999.000;   -999.000;   0
1960-05-01;--:--;   -999.000;   -999.000;   0
1960-06-01;--:--;   -999.000;   -999.000;   0
1960-07-01;--:--;   -999.000;   -999.000;   0
1960-08-01;--:--;   -999.000;   -999.000;   0
1960-09-01;--:--;   -999.000;   -999.000;   0
1960-10-01;--:--;   -999.000;   -999.000;   0
1960-11-01;--:--;   -999.000;   -999.000;   0
1960-12-01;--:--;   -999.000;   -999.000;   0
1961-01-01;--:--;    160.000;   -999.000;   0
1961-02-01;--:--;    173.000;   -999.000;   0
1961-03-01;--:--;    194.000;   -999.000;   0
1961-04-01;--:--;    208.000;   -999.000;   0
1961-05-01;--:--;    668.000;   -999.000;   0
1961-06-01;--:--;   1550.000;   -999.000;   0
1961-07-01;--:--;   1380.000;   -999.000;   0
1961-08-01;--:--;   1785.000;   -999.000;   0
1961-09-01;--:--;    924.000;   -999.000;   0
1961-10-01;--:--;    912.000;   -999.000;   0
1961-11-01;--:--;    315.000;   -999.000;   0
1961-12-01;--:--;    234.000;   -999.000;   0
1962-01-01;--:--;    126.000;   -999.000;   0
1962-02-01;--:--;    143.000;   -999.000;   0
1962-03-01;--:--;    174.000;   -999.000;   0
1962-04-01;--:--;    221.000;   -999.000;   0
1962-05-01;--:--;    566.000;   -999.000;   0
