# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2854020
# River:                 SUBARNAREKHA RIVER
# Station:               KOKPARA
# Country:               IN
# Latitude (DD):       22.42292
# Longitude (DD):      86.59375
# Catchment area (km²):      15152.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1974
# No. of years:          11
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-01-01;--:--;     26.000;   -999.000;   0
1964-02-01;--:--;     24.000;   -999.000;   0
1964-03-01;--:--;     27.000;   -999.000;   0
1964-04-01;--:--;     24.000;   -999.000;   0
1964-05-01;--:--;     23.000;   -999.000;   0
1964-06-01;--:--;    144.000;   -999.000;   0
1964-07-01;--:--;    918.000;   -999.000;   0
1964-08-01;--:--;    928.000;   -999.000;   0
1964-09-01;--:--;    795.000;   -999.000;   0
1964-10-01;--:--;    166.000;   -999.000;   0
1964-11-01;--:--;     50.000;   -999.000;   0
1964-12-01;--:--;     13.000;   -999.000;   0
1965-01-01;--:--;      9.000;   -999.000;   0
1965-02-01;--:--;      7.000;   -999.000;   0
1965-03-01;--:--;      3.000;   -999.000;   0
1965-04-01;--:--;     28.000;   -999.000;   0
1965-05-01;--:--;      3.000;   -999.000;   0
1965-06-01;--:--;     81.000;   -999.000;   0
1965-07-01;--:--;    793.000;   -999.000;   0
1965-08-01;--:--;    767.000;   -999.000;   0
1965-09-01;--:--;    682.000;   -999.000;   0
1965-10-01;--:--;    305.000;   -999.000;   0
1965-11-01;--:--;     77.000;   -999.000;   0
1965-12-01;--:--;     22.000;   -999.000;   0
1966-01-01;--:--;      1.000;   -999.000;   0
1966-02-01;--:--;      1.000;   -999.000;   0
1966-03-01;--:--;      1.000;   -999.000;   0
1966-04-01;--:--;      1.000;   -999.000;   0
1966-05-01;--:--;      1.000;   -999.000;   0
1966-06-01;--:--;    918.000;   -999.000;   0
1966-07-01;--:--;    478.000;   -999.000;   0
1966-08-01;--:--;    947.000;   -999.000;   0
1966-09-01;--:--;    246.000;   -999.000;   0
1966-10-01;--:--;    157.000;   -999.000;   0
1966-11-01;--:--;     31.000;   -999.000;   0
1966-12-01;--:--;     14.000;   -999.000;   0
1967-01-01;--:--;      6.000;   -999.000;   0
1967-02-01;--:--;      1.000;   -999.000;   0
