# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2854900
# River:                 VAIGAI RIVER
# Station:               PERANAI
# Country:               IN
# Latitude (DD):       10.1
# Longitude (DD):      77.8
# Catchment area (km²):      2253.0
# Altitude (m ASL):        279.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972 - 1979
# No. of years:          8
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 96
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1972-01-01;--:--;     32.000;   -999.000;   0
1972-02-01;--:--;     26.000;   -999.000;   0
1972-03-01;--:--;     12.000;   -999.000;   0
1972-04-01;--:--;      9.000;   -999.000;   0
1972-05-01;--:--;      1.000;   -999.000;   0
1972-06-01;--:--;     17.000;   -999.000;   0
1972-07-01;--:--;     21.000;   -999.000;   0
1972-08-01;--:--;     31.000;   -999.000;   0
1972-09-01;--:--;     33.000;   -999.000;   0
1972-10-01;--:--;     26.000;   -999.000;   0
1972-11-01;--:--;     64.000;   -999.000;   0
1972-12-01;--:--;     34.000;   -999.000;   0
1973-01-01;--:--;     35.000;   -999.000;   0
1973-02-01;--:--;     29.000;   -999.000;   0
1973-03-01;--:--;      2.000;   -999.000;   0
1973-04-01;--:--;      5.000;   -999.000;   0
1973-05-01;--:--;      3.000;   -999.000;   0
1973-06-01;--:--;     11.000;   -999.000;   0
1973-07-01;--:--;     21.000;   -999.000;   0
1973-08-01;--:--;     29.000;   -999.000;   0
1973-09-01;--:--;     39.000;   -999.000;   0
1973-10-01;--:--;     30.000;   -999.000;   0
1973-11-01;--:--;     33.000;   -999.000;   0
1973-12-01;--:--;     39.000;   -999.000;   0
1974-01-01;--:--;     37.000;   -999.000;   0
1974-02-01;--:--;     18.000;   -999.000;   0
1974-03-01;--:--;     17.000;   -999.000;   0
1974-04-01;--:--;     15.000;   -999.000;   0
1974-05-01;--:--;     13.000;   -999.000;   0
1974-06-01;--:--;     10.000;   -999.000;   0
1974-07-01;--:--;     11.000;   -999.000;   0
1974-08-01;--:--;     12.000;   -999.000;   0
1974-09-01;--:--;      9.000;   -999.000;   0
1974-10-01;--:--;     11.000;   -999.000;   0
1974-11-01;--:--;     17.000;   -999.000;   0
1974-12-01;--:--;      9.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
1975-02-01;--:--;   -999.000;   -999.000;   0
1975-03-01;--:--;   -999.000;   -999.000;   0
1975-04-01;--:--;   -999.000;   -999.000;   0
1975-05-01;--:--;   -999.000;   -999.000;   0
1975-06-01;--:--;   -999.000;   -999.000;   0
1975-07-01;--:--;   -999.000;   -999.000;   0
1975-08-01;--:--;   -999.000;   -999.000;   0
1975-09-01;--:--;   -999.000;   -999.000;   0
1975-10-01;--:--;   -999.000;   -999.000;   0
