# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-02-29
#
# GRDC-No.:              2854980
# River:                 TAMBRAPARNI RIVER
# Station:               SRI VAIKUNTAM
# Country:               IN
# Latitude (DD):       8.63
# Longitude (DD):      77.93
# Catchment area (km²):      4505.0
# Altitude (m ASL):        13.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971 - 1979
# No. of years:          9
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 108
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1971-01-01;--:--;      9.000;   -999.000;   0
1971-02-01;--:--;     11.000;   -999.000;   0
1971-03-01;--:--;      6.000;   -999.000;   0
1971-04-01;--:--;      4.000;   -999.000;   0
1971-05-01;--:--;      4.000;   -999.000;   0
1971-06-01;--:--;      9.000;   -999.000;   0
1971-07-01;--:--;     11.000;   -999.000;   0
1971-08-01;--:--;     13.000;   -999.000;   0
1971-09-01;--:--;     17.000;   -999.000;   0
1971-10-01;--:--;     31.000;   -999.000;   0
1971-11-01;--:--;     14.000;   -999.000;   0
1971-12-01;--:--;    243.000;   -999.000;   0
1972-01-01;--:--;     17.000;   -999.000;   0
1972-02-01;--:--;     13.000;   -999.000;   0
1972-03-01;--:--;     10.000;   -999.000;   0
1972-04-01;--:--;      9.000;   -999.000;   0
1972-05-01;--:--;     23.000;   -999.000;   0
1972-06-01;--:--;      9.000;   -999.000;   0
1972-07-01;--:--;     11.000;   -999.000;   0
1972-08-01;--:--;      5.000;   -999.000;   0
1972-09-01;--:--;      2.000;   -999.000;   0
1972-10-01;--:--;     63.000;   -999.000;   0
1972-11-01;--:--;    110.000;   -999.000;   0
1972-12-01;--:--;     16.000;   -999.000;   0
1973-01-01;--:--;     12.000;   -999.000;   0
1973-02-01;--:--;     14.000;   -999.000;   0
1973-03-01;--:--;      6.000;   -999.000;   0
1973-04-01;--:--;      7.000;   -999.000;   0
1973-05-01;--:--;      3.000;   -999.000;   0
1973-06-01;--:--;     11.000;   -999.000;   0
1973-07-01;--:--;     13.000;   -999.000;   0
1973-08-01;--:--;      5.000;   -999.000;   0
1973-09-01;--:--;      3.000;   -999.000;   0
1973-10-01;--:--;      9.000;   -999.000;   0
1973-11-01;--:--;     37.000;   -999.000;   0
1973-12-01;--:--;    144.000;   -999.000;   0
1974-01-01;--:--;   -999.000;   -999.000;   0
1974-02-01;--:--;   -999.000;   -999.000;   0
1974-03-01;--:--;   -999.000;   -999.000;   0
1974-04-01;--:--;   -999.000;   -999.000;   0
1974-05-01;--:--;   -999.000;   -999.000;   0
1974-06-01;--:--;   -999.000;   -999.000;   0
1974-07-01;--:--;   -999.000;   -999.000;   0
1974-08-01;--:--;   -999.000;   -999.000;   0
1974-09-01;--:--;   -999.000;   -999.000;   0
1974-10-01;--:--;   -999.000;   -999.000;   0
1974-11-01;--:--;   -999.000;   -999.000;   0
1974-12-01;--:--;   -999.000;   -999.000;   0
1975-01-01;--:--;   -999.000;   -999.000;   0
