# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-01
#
# GRDC-No.:              2962017
# River:                 NAM MAE PAI
# Station:               BAN PAENG (DAM SITE)
# Country:               TH
# Latitude (DD):       19.23
# Longitude (DD):      98.34
# Catchment area (km²):      1750.0
# Altitude (m ASL):        424.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1987-12
# No. of years:          11
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3652
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     13.000
1978-01-02;--:--;     12.000
1978-01-03;--:--;     12.000
1978-01-04;--:--;     11.000
1978-01-05;--:--;     10.000
1978-01-06;--:--;     12.000
1978-01-07;--:--;     14.000
1978-01-08;--:--;     12.000
1978-01-09;--:--;     11.000
1978-01-10;--:--;     53.000
1978-01-11;--:--;     94.000
1978-01-12;--:--;     89.000
1978-01-13;--:--;     32.000
1978-01-14;--:--;     19.000
1978-01-15;--:--;     15.000
1978-01-16;--:--;     14.000
1978-01-17;--:--;     13.000
1978-01-18;--:--;     13.000
1978-01-19;--:--;     12.000
1978-01-20;--:--;     11.000
1978-01-21;--:--;     11.000
1978-01-22;--:--;     11.000
1978-01-23;--:--;     11.000
1978-01-24;--:--;     11.000
1978-01-25;--:--;     11.000
1978-01-26;--:--;     10.000
1978-01-27;--:--;     11.000
1978-01-28;--:--;     10.000
1978-01-29;--:--;     10.000
1978-01-30;--:--;      9.000
1978-01-31;--:--;      9.000
1978-02-01;--:--;      9.000
1978-02-02;--:--;      9.000
1978-02-03;--:--;      9.000
1978-02-04;--:--;      9.000
1978-02-05;--:--;      9.000
1978-02-06;--:--;      8.000
1978-02-07;--:--;      7.000
1978-02-08;--:--;      7.000
1978-02-09;--:--;      8.000
1978-02-10;--:--;      7.000
1978-02-11;--:--;      7.000
1978-02-12;--:--;      7.000
1978-02-13;--:--;      7.000
1978-02-14;--:--;      7.000
1978-02-15;--:--;      7.000
1978-02-16;--:--;      7.000
1978-02-17;--:--;      6.000
1978-02-18;--:--;      6.000
1978-02-19;--:--;      6.000
1978-02-20;--:--;      6.000
1978-02-21;--:--;      6.000
1978-02-22;--:--;      6.000
1978-02-23;--:--;      6.000
1978-02-24;--:--;      6.000
1978-02-25;--:--;      6.000
1978-02-26;--:--;      5.000
1978-02-27;--:--;     10.000
1978-02-28;--:--;     11.000
1978-03-01;--:--;      9.000
1978-03-02;--:--;      8.000
1978-03-03;--:--;      7.000
1978-03-04;--:--;      7.000
1978-03-05;--:--;      7.000
1978-03-06;--:--;      6.000
1978-03-07;--:--;      6.000
1978-03-08;--:--;      6.000
1978-03-09;--:--;      5.000
1978-03-10;--:--;      5.000
1978-03-11;--:--;      5.000
1978-03-12;--:--;      5.000
1978-03-13;--:--;      5.000
1978-03-14;--:--;      5.000
1978-03-15;--:--;      5.000
1978-03-16;--:--;      5.000
1978-03-17;--:--;      6.000
1978-03-18;--:--;      6.000
1978-03-19;--:--;      6.000
1978-03-20;--:--;      6.000
1978-03-21;--:--;      6.000
1978-03-22;--:--;      5.000
1978-03-23;--:--;      5.000
1978-03-24;--:--;      5.000
1978-03-25;--:--;      5.000
1978-03-26;--:--;      5.000
1978-03-27;--:--;      5.000
1978-03-28;--:--;      5.000
1978-03-29;--:--;      5.000
1978-03-30;--:--;      4.000
1978-03-31;--:--;      4.000
1978-04-01;--:--;      4.000
1978-04-02;--:--;      4.000
1978-04-03;--:--;      4.000
1978-04-04;--:--;      4.000
1978-04-05;--:--;      3.000
1978-04-06;--:--;      3.000
1978-04-07;--:--;      3.000
1978-04-08;--:--;      3.000
1978-04-09;--:--;      3.000
1978-04-10;--:--;      4.000
1978-04-11;--:--;      4.000
1978-04-12;--:--;      4.000
1978-04-13;--:--;      4.000
1978-04-14;--:--;      6.000
1978-04-15;--:--;      6.000
1978-04-16;--:--;      6.000
1978-04-17;--:--;      6.000
1978-04-18;--:--;      6.000
1978-04-19;--:--;      6.000
1978-04-20;--:--;      6.000
1978-04-21;--:--;      6.000
1978-04-22;--:--;      5.000
1978-04-23;--:--;      5.000
1978-04-24;--:--;      4.000
1978-04-25;--:--;      4.000
1978-04-26;--:--;      4.000
1978-04-27;--:--;      4.000
1978-04-28;--:--;      4.000
1978-04-29;--:--;      4.000
1978-04-30;--:--;      3.000
1978-05-01;--:--;      3.000
1978-05-02;--:--;      3.000
1978-05-03;--:--;      3.000
1978-05-04;--:--;      3.000
1978-05-05;--:--;      3.000
1978-05-06;--:--;      0.000
1978-05-07;--:--;      3.000
1978-05-08;--:--;      5.000
1978-05-09;--:--;      5.000
1978-05-10;--:--;      4.000
1978-05-11;--:--;      4.000
1978-05-12;--:--;      5.000
1978-05-13;--:--;      8.000
1978-05-14;--:--;      6.000
1978-05-15;--:--;      5.000
1978-05-16;--:--;      7.000
1978-05-17;--:--;     14.000
1978-05-18;--:--;     12.000
1978-05-19;--:--;      9.000
1978-05-20;--:--;      6.000
1978-05-21;--:--;      5.000
1978-05-22;--:--;      4.000
1978-05-23;--:--;      4.000
1978-05-24;--:--;      4.000
1978-05-25;--:--;      4.000
1978-05-26;--:--;      5.000
1978-05-27;--:--;      8.000
1978-05-28;--:--;     10.000
1978-05-29;--:--;      8.000
1978-05-30;--:--;      6.000
1978-05-31;--:--;      5.000
1978-06-01;--:--;      4.000
1978-06-02;--:--;      4.000
