# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3106500
# River:                 RIO CHITAGA
# Station:               PTE.LOPEZ
# Country:               CO
# Latitude (DD):       7.2
# Longitude (DD):      -72.63
# Catchment area (km²):      872.0
# Altitude (m ASL):        1860.0
# Next downstream station:      3206050
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      6.000
1978-01-02;--:--;      6.000
1978-01-03;--:--;      5.000
1978-01-04;--:--;      5.000
1978-01-05;--:--;      5.000
1978-01-06;--:--;      5.000
1978-01-07;--:--;      5.000
1978-01-08;--:--;      6.000
1978-01-09;--:--;      5.000
1978-01-10;--:--;      5.000
1978-01-11;--:--;      5.000
1978-01-12;--:--;      5.000
1978-01-13;--:--;      5.000
1978-01-14;--:--;      5.000
1978-01-15;--:--;      5.000
1978-01-16;--:--;      5.000
1978-01-17;--:--;      5.000
1978-01-18;--:--;      5.000
1978-01-19;--:--;      5.000
1978-01-20;--:--;      5.000
1978-01-21;--:--;      5.000
1978-01-22;--:--;      5.000
1978-01-23;--:--;      5.000
1978-01-24;--:--;      5.000
1978-01-25;--:--;      5.000
1978-01-26;--:--;      5.000
1978-01-27;--:--;      5.000
1978-01-28;--:--;      5.000
1978-01-29;--:--;      5.000
1978-01-30;--:--;      5.000
1978-01-31;--:--;      5.000
1978-02-01;--:--;      5.000
1978-02-02;--:--;      5.000
1978-02-03;--:--;      5.000
1978-02-04;--:--;      6.000
1978-02-05;--:--;     19.000
1978-02-06;--:--;     14.000
1978-02-07;--:--;      5.000
1978-02-08;--:--;      5.000
1978-02-09;--:--;      5.000
1978-02-10;--:--;      5.000
1978-02-11;--:--;      5.000
1978-02-12;--:--;      4.000
1978-02-13;--:--;      4.000
1978-02-14;--:--;      4.000
1978-02-15;--:--;      4.000
1978-02-16;--:--;      4.000
1978-02-17;--:--;      4.000
1978-02-18;--:--;      4.000
1978-02-19;--:--;      4.000
1978-02-20;--:--;      4.000
1978-02-21;--:--;      4.000
1978-02-22;--:--;      3.000
1978-02-23;--:--;      3.000
1978-02-24;--:--;      3.000
1978-02-25;--:--;      3.000
1978-02-26;--:--;      3.000
1978-02-27;--:--;      3.000
1978-02-28;--:--;      3.000
1978-03-01;--:--;      3.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      4.000
1978-03-04;--:--;      5.000
1978-03-05;--:--;      5.000
1978-03-06;--:--;      7.000
1978-03-07;--:--;      5.000
1978-03-08;--:--;      4.000
1978-03-09;--:--;      4.000
1978-03-10;--:--;      4.000
1978-03-11;--:--;      3.000
1978-03-12;--:--;      3.000
1978-03-13;--:--;      3.000
1978-03-14;--:--;      3.000
1978-03-15;--:--;      3.000
1978-03-16;--:--;      3.000
1978-03-17;--:--;      3.000
1978-03-18;--:--;      3.000
1978-03-19;--:--;      4.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      4.000
1978-03-22;--:--;      4.000
1978-03-23;--:--;      5.000
1978-03-24;--:--;      4.000
1978-03-25;--:--;      4.000
1978-03-26;--:--;      4.000
1978-03-27;--:--;      5.000
1978-03-28;--:--;      5.000
1978-03-29;--:--;     14.000
1978-03-30;--:--;      9.000
1978-03-31;--:--;     13.000
1978-04-01;--:--;     10.000
1978-04-02;--:--;     15.000
1978-04-03;--:--;      9.000
1978-04-04;--:--;     10.000
1978-04-05;--:--;     12.000
1978-04-06;--:--;     15.000
1978-04-07;--:--;     19.000
1978-04-08;--:--;     57.000
1978-04-09;--:--;     31.000
1978-04-10;--:--;     20.000
1978-04-11;--:--;     15.000
1978-04-12;--:--;     13.000
1978-04-13;--:--;     18.000
1978-04-14;--:--;     15.000
1978-04-15;--:--;     11.000
1978-04-16;--:--;     12.000
1978-04-17;--:--;     20.000
1978-04-18;--:--;     30.000
1978-04-19;--:--;     34.000
1978-04-20;--:--;     42.000
1978-04-21;--:--;     25.000
1978-04-22;--:--;     26.000
1978-04-23;--:--;     17.000
1978-04-24;--:--;     14.000
1978-04-25;--:--;     11.000
1978-04-26;--:--;     10.000
1978-04-27;--:--;      9.000
1978-04-28;--:--;      9.000
1978-04-29;--:--;      9.000
1978-04-30;--:--;      9.000
1978-05-01;--:--;      8.000
1978-05-02;--:--;      8.000
1978-05-03;--:--;      8.000
1978-05-04;--:--;      8.000
1978-05-05;--:--;      8.000
1978-05-06;--:--;      9.000
1978-05-07;--:--;      8.000
1978-05-08;--:--;      7.000
1978-05-09;--:--;      8.000
1978-05-10;--:--;      8.000
1978-05-11;--:--;     11.000
1978-05-12;--:--;      9.000
1978-05-13;--:--;     11.000
1978-05-14;--:--;     14.000
1978-05-15;--:--;     11.000
1978-05-16;--:--;     24.000
1978-05-17;--:--;     14.000
1978-05-18;--:--;     12.000
1978-05-19;--:--;     10.000
1978-05-20;--:--;     11.000
1978-05-21;--:--;      9.000
1978-05-22;--:--;      8.000
1978-05-23;--:--;      8.000
1978-05-24;--:--;      9.000
1978-05-25;--:--;     10.000
1978-05-26;--:--;     27.000
1978-05-27;--:--;     19.000
1978-05-28;--:--;     15.000
1978-05-29;--:--;     13.000
1978-05-30;--:--;     16.000
1978-05-31;--:--;     16.000
1978-06-01;--:--;     19.000
1978-06-02;--:--;     17.000
1978-06-03;--:--;     15.000
1978-06-04;--:--;     18.000
1978-06-05;--:--;     16.000
1978-06-06;--:--;     14.000
1978-06-07;--:--;     12.000
1978-06-08;--:--;     14.000
1978-06-09;--:--;     21.000
1978-06-10;--:--;     14.000
1978-06-11;--:--;     12.000
1978-06-12;--:--;     17.000
1978-06-13;--:--;     16.000
1978-06-14;--:--;     22.000
1978-06-15;--:--;     29.000
1978-06-16;--:--;     20.000
1978-06-17;--:--;     16.000
1978-06-18;--:--;     19.000
1978-06-19;--:--;     30.000
1978-06-20;--:--;     25.000
1978-06-21;--:--;     25.000
1978-06-22;--:--;     33.000
1978-06-23;--:--;     26.000
1978-06-24;--:--;     20.000
1978-06-25;--:--;     17.000
1978-06-26;--:--;     16.000
1978-06-27;--:--;     17.000
1978-06-28;--:--;     23.000
1978-06-29;--:--;     27.000
1978-06-30;--:--;     31.000
1978-07-01;--:--;     23.000
1978-07-02;--:--;     33.000
1978-07-03;--:--;     28.000
1978-07-04;--:--;     24.000
1978-07-05;--:--;     22.000
1978-07-06;--:--;     25.000
1978-07-07;--:--;     40.000
1978-07-08;--:--;     29.000
1978-07-09;--:--;     27.000
1978-07-10;--:--;     30.000
1978-07-11;--:--;     23.000
1978-07-12;--:--;     19.000
1978-07-13;--:--;     17.000
1978-07-14;--:--;     18.000
1978-07-15;--:--;     18.000
1978-07-16;--:--;     15.000
1978-07-17;--:--;     14.000
1978-07-18;--:--;     18.000
1978-07-19;--:--;     16.000
1978-07-20;--:--;     22.000
1978-07-21;--:--;     20.000
1978-07-22;--:--;     18.000
1978-07-23;--:--;     18.000
1978-07-24;--:--;     25.000
1978-07-25;--:--;     11.000
1978-07-26;--:--;     13.000
1978-07-27;--:--;     16.000
1978-07-28;--:--;     17.000
1978-07-29;--:--;     13.000
1978-07-30;--:--;     13.000
1978-07-31;--:--;     12.000
1978-08-01;--:--;     12.000
1978-08-02;--:--;     25.000
1978-08-03;--:--;     17.000
1978-08-04;--:--;     16.000
1978-08-05;--:--;     15.000
1978-08-06;--:--;     15.000
1978-08-07;--:--;     18.000
1978-08-08;--:--;     23.000
1978-08-09;--:--;     28.000
1978-08-10;--:--;     44.000
1978-08-11;--:--;     26.000
1978-08-12;--:--;     21.000
1978-08-13;--:--;     18.000
1978-08-14;--:--;     18.000
1978-08-15;--:--;     28.000
1978-08-16;--:--;     25.000
1978-08-17;--:--;     18.000
1978-08-18;--:--;     16.000
1978-08-19;--:--;     15.000
1978-08-20;--:--;     15.000
1978-08-21;--:--;     17.000
1978-08-22;--:--;     15.000
1978-08-23;--:--;     36.000
1978-08-24;--:--;     27.000
1978-08-25;--:--;     58.000
1978-08-26;--:--;     29.000
