# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206100
# River:                 RIO ACEQUIA
# Station:               PUENTE LA ACEQUIA
# Country:               VE
# Latitude (DD):       8.39
# Longitude (DD):      -70.68
# Catchment area (km²):      478.0
# Altitude (m ASL):        180.0
# Next downstream station:      3206500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      7.000
1978-01-02;--:--;      7.000
1978-01-03;--:--;      7.000
1978-01-04;--:--;      7.000
1978-01-05;--:--;      7.000
1978-01-06;--:--;      7.000
1978-01-07;--:--;      7.000
1978-01-08;--:--;      6.000
1978-01-09;--:--;      6.000
1978-01-10;--:--;      6.000
1978-01-11;--:--;      6.000
1978-01-12;--:--;      6.000
1978-01-13;--:--;      6.000
1978-01-14;--:--;      6.000
1978-01-15;--:--;      6.000
1978-01-16;--:--;      6.000
1978-01-17;--:--;      5.000
1978-01-18;--:--;      5.000
1978-01-19;--:--;      5.000
1978-01-20;--:--;      5.000
1978-01-21;--:--;      5.000
1978-01-22;--:--;      5.000
1978-01-23;--:--;      5.000
1978-01-24;--:--;     10.000
1978-01-25;--:--;      5.000
1978-01-26;--:--;      5.000
1978-01-27;--:--;      5.000
1978-01-28;--:--;      9.000
1978-01-29;--:--;      7.000
1978-01-30;--:--;      7.000
1978-01-31;--:--;      6.000
1978-02-01;--:--;      6.000
1978-02-02;--:--;      5.000
1978-02-03;--:--;      5.000
1978-02-04;--:--;      5.000
1978-02-05;--:--;      5.000
1978-02-06;--:--;      5.000
1978-02-07;--:--;      5.000
1978-02-08;--:--;      5.000
1978-02-09;--:--;      4.000
1978-02-10;--:--;      4.000
1978-02-11;--:--;      4.000
1978-02-12;--:--;      4.000
1978-02-13;--:--;      4.000
1978-02-14;--:--;      4.000
1978-02-15;--:--;      4.000
1978-02-16;--:--;      4.000
1978-02-17;--:--;      4.000
1978-02-18;--:--;      4.000
1978-02-19;--:--;      4.000
1978-02-20;--:--;      4.000
1978-02-21;--:--;      4.000
1978-02-22;--:--;      4.000
1978-02-23;--:--;      4.000
1978-02-24;--:--;      4.000
1978-02-25;--:--;      4.000
1978-02-26;--:--;      4.000
1978-02-27;--:--;      4.000
1978-02-28;--:--;      4.000
1978-03-01;--:--;      4.000
1978-03-02;--:--;      4.000
1978-03-03;--:--;      8.000
1978-03-04;--:--;      4.000
1978-03-05;--:--;     29.000
1978-03-06;--:--;     10.000
1978-03-07;--:--;      5.000
1978-03-08;--:--;      4.000
1978-03-09;--:--;      4.000
1978-03-10;--:--;      4.000
1978-03-11;--:--;      4.000
1978-03-12;--:--;      4.000
1978-03-13;--:--;      4.000
1978-03-14;--:--;      4.000
1978-03-15;--:--;      4.000
1978-03-16;--:--;      4.000
1978-03-17;--:--;      4.000
1978-03-18;--:--;      4.000
1978-03-19;--:--;      4.000
1978-03-20;--:--;      4.000
1978-03-21;--:--;      4.000
1978-03-22;--:--;      5.000
1978-03-23;--:--;      9.000
1978-03-24;--:--;      6.000
1978-03-25;--:--;      7.000
1978-03-26;--:--;     12.000
1978-03-27;--:--;     18.000
1978-03-28;--:--;     10.000
1978-03-29;--:--;      7.000
1978-03-30;--:--;      7.000
1978-03-31;--:--;      8.000
1978-04-01;--:--;     18.000
1978-04-02;--:--;     12.000
1978-04-03;--:--;     37.000
1978-04-04;--:--;     35.000
1978-04-05;--:--;     21.000
1978-04-06;--:--;     33.000
1978-04-07;--:--;     64.000
1978-04-08;--:--;     34.000
1978-04-09;--:--;     27.000
1978-04-10;--:--;     28.000
1978-04-11;--:--;    100.000
1978-04-12;--:--;     49.000
1978-04-13;--:--;     36.000
1978-04-14;--:--;     27.000
1978-04-15;--:--;     22.000
1978-04-16;--:--;     26.000
1978-04-17;--:--;     39.000
1978-04-18;--:--;     92.000
1978-04-19;--:--;     65.000
1978-04-20;--:--;     75.000
1978-04-21;--:--;     63.000
1978-04-22;--:--;     36.000
1978-04-23;--:--;     47.000
1978-04-24;--:--;     35.000
1978-04-25;--:--;     34.000
1978-04-26;--:--;     29.000
1978-04-27;--:--;     28.000
1978-04-28;--:--;     23.000
1978-04-29;--:--;     23.000
1978-04-30;--:--;     23.000
1978-05-01;--:--;     44.000
1978-05-02;--:--;     29.000
1978-05-03;--:--;     35.000
1978-05-04;--:--;     42.000
1978-05-05;--:--;     39.000
1978-05-06;--:--;     32.000
1978-05-07;--:--;     28.000
1978-05-08;--:--;     29.000
1978-05-09;--:--;     27.000
1978-05-10;--:--;     42.000
1978-05-11;--:--;     37.000
1978-05-12;--:--;     39.000
1978-05-13;--:--;     66.000
1978-05-14;--:--;     67.000
1978-05-15;--:--;     70.000
1978-05-16;--:--;     60.000
1978-05-17;--:--;     48.000
1978-05-18;--:--;     41.000
1978-05-19;--:--;    111.000
1978-05-20;--:--;     51.000
1978-05-21;--:--;     43.000
1978-05-22;--:--;     37.000
1978-05-23;--:--;    140.000
1978-05-24;--:--;     60.000
1978-05-25;--:--;     67.000
1978-05-26;--:--;    149.000
1978-05-27;--:--;     61.000
1978-05-28;--:--;     48.000
1978-05-29;--:--;     58.000
1978-05-30;--:--;     81.000
1978-05-31;--:--;     61.000
1978-06-01;--:--;     81.000
1978-06-02;--:--;     87.000
1978-06-03;--:--;     92.000
1978-06-04;--:--;    137.000
1978-06-05;--:--;    144.000
1978-06-06;--:--;     99.000
1978-06-07;--:--;     93.000
1978-06-08;--:--;    107.000
1978-06-09;--:--;     86.000
1978-06-10;--:--;    116.000
1978-06-11;--:--;    127.000
