# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206610
# River:                 RIO EREBATO
# Station:               EL PERRO
# Country:               VE
# Latitude (DD):       5.9
# Longitude (DD):      -64.49
# Catchment area (km²):      11610.0
# Altitude (m ASL):        180.0
# Next downstream station:      3206640
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    234.000
1978-01-02;--:--;    230.000
1978-01-03;--:--;    224.000
1978-01-04;--:--;    222.000
1978-01-05;--:--;    216.000
1978-01-06;--:--;    212.000
1978-01-07;--:--;    208.000
1978-01-08;--:--;    206.000
1978-01-09;--:--;    210.000
1978-01-10;--:--;    216.000
1978-01-11;--:--;    208.000
1978-01-12;--:--;    201.000
1978-01-13;--:--;    197.000
1978-01-14;--:--;    190.000
1978-01-15;--:--;    186.000
1978-01-16;--:--;    186.000
1978-01-17;--:--;    184.000
1978-01-18;--:--;    184.000
1978-01-19;--:--;    181.000
1978-01-20;--:--;    175.000
1978-01-21;--:--;    170.000
1978-01-22;--:--;    168.000
1978-01-23;--:--;    167.000
1978-01-24;--:--;    163.000
1978-01-25;--:--;    165.000
1978-01-26;--:--;    174.000
1978-01-27;--:--;    182.000
1978-01-28;--:--;    174.000
1978-01-29;--:--;    168.000
1978-01-30;--:--;    167.000
1978-01-31;--:--;    163.000
1978-02-01;--:--;    158.000
1978-02-02;--:--;    157.000
1978-02-03;--:--;    163.000
1978-02-04;--:--;    168.000
1978-02-05;--:--;    172.000
1978-02-06;--:--;    168.000
1978-02-07;--:--;    157.000
1978-02-08;--:--;    155.000
1978-02-09;--:--;    163.000
1978-02-10;--:--;    160.000
1978-02-11;--:--;    150.000
1978-02-12;--:--;    139.000
1978-02-13;--:--;    133.000
1978-02-14;--:--;    128.000
1978-02-15;--:--;    122.000
1978-02-16;--:--;    118.000
1978-02-17;--:--;    117.000
1978-02-18;--:--;    115.000
1978-02-19;--:--;    112.000
1978-02-20;--:--;    111.000
1978-02-21;--:--;    110.000
1978-02-22;--:--;    108.000
1978-02-23;--:--;    106.000
1978-02-24;--:--;    103.000
1978-02-25;--:--;    102.000
1978-02-26;--:--;     99.000
1978-02-27;--:--;     97.000
1978-02-28;--:--;     95.000
1978-03-01;--:--;     93.000
1978-03-02;--:--;     92.000
1978-03-03;--:--;     92.000
1978-03-04;--:--;     92.000
1978-03-05;--:--;    100.000
1978-03-06;--:--;    111.000
1978-03-07;--:--;    112.000
1978-03-08;--:--;    104.000
1978-03-09;--:--;     97.000
1978-03-10;--:--;     92.000
1978-03-11;--:--;     91.000
1978-03-12;--:--;     93.000
1978-03-13;--:--;     91.000
1978-03-14;--:--;     87.000
1978-03-15;--:--;     82.000
1978-03-16;--:--;     79.000
1978-03-17;--:--;     77.000
1978-03-18;--:--;     76.000
1978-03-19;--:--;     74.000
1978-03-20;--:--;     74.000
1978-03-21;--:--;     73.000
1978-03-22;--:--;     76.000
1978-03-23;--:--;     77.000
1978-03-24;--:--;     76.000
1978-03-25;--:--;     80.000
1978-03-26;--:--;     84.000
1978-03-27;--:--;     87.000
1978-03-28;--:--;     92.000
1978-03-29;--:--;    100.000
1978-03-30;--:--;    117.000
1978-03-31;--:--;    122.000
1978-04-01;--:--;    111.000
1978-04-02;--:--;    103.000
1978-04-03;--:--;     91.000
1978-04-04;--:--;    152.000
1978-04-05;--:--;    206.000
1978-04-06;--:--;    208.000
1978-04-07;--:--;    186.000
1978-04-08;--:--;    150.000
1978-04-09;--:--;    121.000
1978-04-10;--:--;    214.000
1978-04-11;--:--;    295.000
1978-04-12;--:--;    236.000
1978-04-13;--:--;    273.000
1978-04-14;--:--;    240.000
1978-04-15;--:--;    226.000
1978-04-16;--:--;    195.000
1978-04-17;--:--;    175.000
1978-04-18;--:--;    208.000
1978-04-19;--:--;    282.000
1978-04-20;--:--;    452.000
1978-04-21;--:--;    669.000
1978-04-22;--:--;    534.000
1978-04-23;--:--;    338.000
1978-04-24;--:--;    234.000
1978-04-25;--:--;    190.000
1978-04-26;--:--;    172.000
1978-04-27;--:--;    157.000
1978-04-28;--:--;    144.000
1978-04-29;--:--;    145.000
1978-04-30;--:--;    155.000
1978-05-01;--:--;    206.000
1978-05-02;--:--;    255.000
1978-05-03;--:--;    377.000
1978-05-04;--:--;    499.000
1978-05-05;--:--;    502.000
1978-05-06;--:--;    449.000
1978-05-07;--:--;    534.000
1978-05-08;--:--;    426.000
1978-05-09;--:--;    288.000
1978-05-10;--:--;    326.000
1978-05-11;--:--;    415.000
1978-05-12;--:--;    324.000
1978-05-13;--:--;    401.000
1978-05-14;--:--;    493.000
1978-05-15;--:--;    553.000
1978-05-16;--:--;    463.000
1978-05-17;--:--;    398.000
1978-05-18;--:--;    356.000
1978-05-19;--:--;    388.000
1978-05-20;--:--;   1259.000
1978-05-21;--:--;    996.000
1978-05-22;--:--;    735.000
1978-05-23;--:--;    566.000
1978-05-24;--:--;    512.000
1978-05-25;--:--;    683.000
1978-05-26;--:--;    889.000
1978-05-27;--:--;   1330.000
1978-05-28;--:--;    978.000
1978-05-29;--:--;    735.000
1978-05-30;--:--;   1091.000
1978-05-31;--:--;   1388.000
1978-06-01;--:--;   1393.000
1978-06-02;--:--;   1573.000
1978-06-03;--:--;   1899.000
1978-06-04;--:--;   1479.000
1978-06-05;--:--;    922.000
1978-06-06;--:--;    708.000
1978-06-07;--:--;    701.000
1978-06-08;--:--;    735.000
1978-06-09;--:--;   1225.000
1978-06-10;--:--;   1336.000
1978-06-11;--:--;   1795.000
1978-06-12;--:--;   1962.000
1978-06-13;--:--;   1943.000
1978-06-14;--:--;   1981.000
1978-06-15;--:--;   1747.000
1978-06-16;--:--;   1414.000
1978-06-17;--:--;   1259.000
1978-06-18;--:--;   1388.000
1978-06-19;--:--;   1517.000
1978-06-20;--:--;   1556.000
1978-06-21;--:--;   1457.000
1978-06-22;--:--;   1924.000
1978-06-23;--:--;   2125.000
1978-06-24;--:--;   1819.000
1978-06-25;--:--;   1409.000
1978-06-26;--:--;   1987.000
1978-06-27;--:--;   2671.000
1978-06-28;--:--;   2987.000
1978-06-29;--:--;   3176.000
1978-06-30;--:--;   3008.000
1978-07-01;--:--;   2468.000
1978-07-02;--:--;   2384.000
1978-07-03;--:--;   2265.000
1978-07-04;--:--;   2052.000
1978-07-05;--:--;   1682.000
1978-07-06;--:--;   1215.000
1978-07-07;--:--;    957.000
1978-07-08;--:--;   1000.000
1978-07-09;--:--;   1142.000
1978-07-10;--:--;   1171.000
1978-07-11;--:--;   1086.000
1978-07-12;--:--;   1058.000
1978-07-13;--:--;   1290.000
1978-07-14;--:--;   1659.000
1978-07-15;--:--;   1723.000
1978-07-16;--:--;   1325.000
1978-07-17;--:--;   1137.000
1978-07-18;--:--;   1152.000
1978-07-19;--:--;    965.000
1978-07-20;--:--;    864.000
1978-07-21;--:--;    931.000
1978-07-22;--:--;   1077.000
1978-07-23;--:--;    931.000
1978-07-24;--:--;    824.000
1978-07-25;--:--;    753.000
1978-07-26;--:--;    832.000
