# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206620
# River:                 RIO CAURA
# Station:               ENTRE RIOS
# Country:               VE
# Latitude (DD):       5.93
# Longitude (DD):      -64.42
# Catchment area (km²):      -999.0
# Altitude (m ASL):        175.0
# Next downstream station:      3206630
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    225.000
1978-01-02;--:--;    211.000
1978-01-03;--:--;    203.000
1978-01-04;--:--;    190.000
1978-01-05;--:--;    179.000
1978-01-06;--:--;    172.000
1978-01-07;--:--;    169.000
1978-01-08;--:--;    164.000
1978-01-09;--:--;    167.000
1978-01-10;--:--;    169.000
1978-01-11;--:--;    162.000
1978-01-12;--:--;    154.000
1978-01-13;--:--;    147.000
1978-01-14;--:--;    135.000
1978-01-15;--:--;    130.000
1978-01-16;--:--;    125.000
1978-01-17;--:--;    121.000
1978-01-18;--:--;    118.000
1978-01-19;--:--;    114.000
1978-01-20;--:--;    109.000
1978-01-21;--:--;    107.000
1978-01-22;--:--;    103.000
1978-01-23;--:--;     98.000
1978-01-24;--:--;     98.000
1978-01-25;--:--;    107.000
1978-01-26;--:--;    114.000
1978-01-27;--:--;    132.000
1978-01-28;--:--;    128.000
1978-01-29;--:--;    123.000
1978-01-30;--:--;    121.000
1978-01-31;--:--;    128.000
1978-02-01;--:--;   -999.000
1978-02-02;--:--;   -999.000
1978-02-03;--:--;   -999.000
1978-02-04;--:--;   -999.000
1978-02-05;--:--;   -999.000
1978-02-06;--:--;   -999.000
1978-02-07;--:--;    169.000
1978-02-08;--:--;    167.000
1978-02-09;--:--;    167.000
1978-02-10;--:--;    147.000
1978-02-11;--:--;    135.000
1978-02-12;--:--;    135.000
1978-02-13;--:--;    114.000
1978-02-14;--:--;     96.000
1978-02-15;--:--;     83.000
1978-02-16;--:--;     73.000
1978-02-17;--:--;     65.000
1978-02-18;--:--;     61.000
1978-02-19;--:--;     57.000
1978-02-20;--:--;     55.000
1978-02-21;--:--;     53.000
1978-02-22;--:--;     50.000
1978-02-23;--:--;     46.000
1978-02-24;--:--;     44.000
1978-02-25;--:--;     37.000
1978-02-26;--:--;     37.000
1978-02-27;--:--;     37.000
1978-02-28;--:--;     36.000
1978-03-01;--:--;     33.000
1978-03-02;--:--;     31.000
1978-03-03;--:--;     28.000
1978-03-04;--:--;     36.000
1978-03-05;--:--;     41.000
