# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206630
# River:                 RIO CAURA
# Station:               DOS AGUAS
# Country:               VE
# Latitude (DD):       5.97
# Longitude (DD):      -64.43
# Catchment area (km²):      25000.0
# Altitude (m ASL):        173.0
# Next downstream station:      3206640
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    482.000
1978-01-02;--:--;    469.000
1978-01-03;--:--;    457.000
1978-01-04;--:--;    445.000
1978-01-05;--:--;    433.000
1978-01-06;--:--;    425.000
1978-01-07;--:--;    417.000
1978-01-08;--:--;    414.000
1978-01-09;--:--;    417.000
1978-01-10;--:--;    417.000
1978-01-11;--:--;    411.000
1978-01-12;--:--;    406.000
1978-01-13;--:--;    396.000
1978-01-14;--:--;    389.000
1978-01-15;--:--;    382.000
1978-01-16;--:--;    380.000
1978-01-17;--:--;    373.000
1978-01-18;--:--;    371.000
1978-01-19;--:--;    367.000
1978-01-20;--:--;    362.000
1978-01-21;--:--;    357.000
1978-01-22;--:--;    353.000
1978-01-23;--:--;    351.000
1978-01-24;--:--;    349.000
1978-01-25;--:--;    353.000
1978-01-26;--:--;    362.000
1978-01-27;--:--;    377.000
1978-01-28;--:--;    373.000
1978-01-29;--:--;    367.000
1978-01-30;--:--;    365.000
1978-01-31;--:--;    367.000
1978-02-01;--:--;   -999.000
1978-02-02;--:--;   -999.000
1978-02-03;--:--;   -999.000
1978-02-04;--:--;   -999.000
1978-02-05;--:--;   -999.000
1978-02-06;--:--;   -999.000
1978-02-07;--:--;   -999.000
1978-02-08;--:--;   -999.000
1978-02-09;--:--;   -999.000
1978-02-10;--:--;   -999.000
1978-02-11;--:--;   -999.000
1978-02-12;--:--;   -999.000
1978-02-13;--:--;   -999.000
1978-02-14;--:--;   -999.000
1978-02-15;--:--;   -999.000
1978-02-16;--:--;   -999.000
1978-02-17;--:--;   -999.000
1978-02-18;--:--;   -999.000
1978-02-19;--:--;   -999.000
1978-02-20;--:--;   -999.000
1978-02-21;--:--;   -999.000
1978-02-22;--:--;   -999.000
1978-02-23;--:--;   -999.000
1978-02-24;--:--;   -999.000
1978-02-25;--:--;   -999.000
1978-02-26;--:--;   -999.000
1978-02-27;--:--;   -999.000
1978-02-28;--:--;   -999.000
1978-03-01;--:--;   -999.000
1978-03-02;--:--;   -999.000
1978-03-03;--:--;   -999.000
1978-03-04;--:--;   -999.000
1978-03-05;--:--;   -999.000
1978-03-06;--:--;   -999.000
1978-03-07;--:--;   -999.000
1978-03-08;--:--;   -999.000
1978-03-09;--:--;   -999.000
1978-03-10;--:--;   -999.000
1978-03-11;--:--;   -999.000
1978-03-12;--:--;   -999.000
1978-03-13;--:--;   -999.000
1978-03-14;--:--;   -999.000
1978-03-15;--:--;   -999.000
1978-03-16;--:--;   -999.000
1978-03-17;--:--;   -999.000
1978-03-18;--:--;   -999.000
1978-03-19;--:--;   -999.000
1978-03-20;--:--;   -999.000
1978-03-21;--:--;   -999.000
1978-03-22;--:--;   -999.000
1978-03-23;--:--;   -999.000
1978-03-24;--:--;   -999.000
1978-03-25;--:--;   -999.000
1978-03-26;--:--;   -999.000
1978-03-27;--:--;   -999.000
1978-03-28;--:--;   -999.000
1978-03-29;--:--;    417.000
1978-03-30;--:--;    425.000
1978-03-31;--:--;    403.000
1978-04-01;--:--;    394.000
1978-04-02;--:--;    406.000
1978-04-03;--:--;    377.000
1978-04-04;--:--;    391.000
1978-04-05;--:--;    611.000
