# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206640
# River:                 RIO CAURA
# Station:               PIE DE SALTO
# Country:               VE
# Latitude (DD):       6.31
# Longitude (DD):      -64.48
# Catchment area (km²):      -999.0
# Altitude (m ASL):        240.0
# Next downstream station:      3206720
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    419.000
1978-01-02;--:--;    402.000
1978-01-03;--:--;    393.000
1978-01-04;--:--;    377.000
1978-01-05;--:--;    365.000
1978-01-06;--:--;    362.000
1978-01-07;--:--;    353.000
1978-01-08;--:--;    347.000
1978-01-09;--:--;    338.000
1978-01-10;--:--;    341.000
1978-01-11;--:--;    347.000
1978-01-12;--:--;    335.000
1978-01-13;--:--;    324.000
1978-01-14;--:--;    315.000
1978-01-15;--:--;    307.000
1978-01-16;--:--;    299.000
1978-01-17;--:--;    293.000
1978-01-18;--:--;    291.000
1978-01-19;--:--;    286.000
1978-01-20;--:--;    278.000
1978-01-21;--:--;    275.000
1978-01-22;--:--;    270.000
1978-01-23;--:--;    263.000
1978-01-24;--:--;    263.000
1978-01-25;--:--;    263.000
1978-01-26;--:--;    265.000
1978-01-27;--:--;    278.000
1978-01-28;--:--;    293.000
1978-01-29;--:--;    288.000
1978-01-30;--:--;    280.000
1978-01-31;--:--;    275.000
1978-02-01;--:--;    275.000
1978-02-02;--:--;    273.000
1978-02-03;--:--;    265.000
1978-02-04;--:--;    280.000
1978-02-05;--:--;    429.000
1978-02-06;--:--;    669.000
1978-02-07;--:--;    456.000
1978-02-08;--:--;    304.000
1978-02-09;--:--;    293.000
1978-02-10;--:--;    296.000
1978-02-11;--:--;    275.000
1978-02-12;--:--;    270.000
1978-02-13;--:--;    265.000
1978-02-14;--:--;    248.000
1978-02-15;--:--;    235.000
1978-02-16;--:--;    221.000
1978-02-17;--:--;    217.000
1978-02-18;--:--;    208.000
1978-02-19;--:--;    204.000
1978-02-20;--:--;    200.000
1978-02-21;--:--;    192.000
1978-02-22;--:--;    190.000
1978-02-23;--:--;    185.000
1978-02-24;--:--;    181.000
1978-02-25;--:--;    179.000
1978-02-26;--:--;    176.000
1978-02-27;--:--;    174.000
1978-02-28;--:--;    174.000
1978-03-01;--:--;    169.000
1978-03-02;--:--;    169.000
1978-03-03;--:--;    165.000
1978-03-04;--:--;    163.000
1978-03-05;--:--;    165.000
1978-03-06;--:--;    170.000
1978-03-07;--:--;    181.000
1978-03-08;--:--;    190.000
1978-03-09;--:--;    189.000
1978-03-10;--:--;    181.000
1978-03-11;--:--;    179.000
1978-03-12;--:--;    174.000
1978-03-13;--:--;    176.000
1978-03-14;--:--;    200.000
1978-03-15;--:--;    208.000
1978-03-16;--:--;    192.000
1978-03-17;--:--;    174.000
1978-03-18;--:--;    163.000
1978-03-19;--:--;    158.000
1978-03-20;--:--;    154.000
1978-03-21;--:--;    149.000
1978-03-22;--:--;    158.000
1978-03-23;--:--;    202.000
1978-03-24;--:--;    206.000
1978-03-25;--:--;    192.000
1978-03-26;--:--;    181.000
1978-03-27;--:--;    181.000
1978-03-28;--:--;    215.000
1978-03-29;--:--;    273.000
1978-03-30;--:--;    301.000
1978-03-31;--:--;    307.000
1978-04-01;--:--;    278.000
1978-04-02;--:--;    275.000
1978-04-03;--:--;    288.000
1978-04-04;--:--;    263.000
1978-04-05;--:--;    291.000
1978-04-06;--:--;    533.000
1978-04-07;--:--;    593.000
1978-04-08;--:--;    507.000
1978-04-09;--:--;    402.000
1978-04-10;--:--;    356.000
1978-04-11;--:--;    664.000
1978-04-12;--:--;    704.000
1978-04-13;--:--;    622.000
1978-04-14;--:--;    626.000
1978-04-15;--:--;    605.000
1978-04-16;--:--;    585.000
1978-04-17;--:--;    503.000
1978-04-18;--:--;    399.000
1978-04-19;--:--;    572.000
1978-04-20;--:--;    750.000
1978-04-21;--:--;   1184.000
1978-04-22;--:--;   1351.000
