# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206720
# River:                 RIO ORINOCO
# Station:               PUENTE ANGOSTURA
# Country:               VE
# Latitude (DD):       8.15
# Longitude (DD):      -63.6
# Catchment area (km²):      836000.0
# Altitude (m ASL):        20.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1923-05 - 1989-12
# No. of years:          67
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 24352
# DATA
YYYY-MM-DD;hh:mm; Value
1923-05-01;--:--;  13880.000
1923-05-02;--:--;  14270.000
1923-05-03;--:--;  14530.000
1923-05-04;--:--;  14920.000
1923-05-05;--:--;  15313.000
1923-05-06;--:--;  15706.000
1923-05-07;--:--;  15968.000
1923-05-08;--:--;  16230.000
1923-05-09;--:--;  16653.000
1923-05-10;--:--;  16935.000
1923-05-11;--:--;  17217.000
1923-05-12;--:--;  17640.000
1923-05-13;--:--;  17940.000
1923-05-14;--:--;  18240.000
1923-05-15;--:--;  18540.000
1923-05-16;--:--;  18840.000
1923-05-17;--:--;  19140.000
1923-05-18;--:--;  19626.000
1923-05-19;--:--;  19950.000
1923-05-20;--:--;  20436.000
1923-05-21;--:--;  20760.000
1923-05-22;--:--;  21106.000
1923-05-23;--:--;  21452.000
1923-05-24;--:--;  21798.000
1923-05-25;--:--;  22317.000
1923-05-26;--:--;  22860.000
1923-05-27;--:--;  23415.000
1923-05-28;--:--;  23970.000
1923-05-29;--:--;  24538.000
1923-05-30;--:--;  25132.000
1923-05-31;--:--;  25924.000
1923-06-01;--:--;  26531.000
1923-06-02;--:--;  27375.000
1923-06-03;--:--;  27797.000
1923-06-04;--:--;  28430.000
1923-06-05;--:--;  28664.000
1923-06-06;--:--;  29131.000
1923-06-07;--:--;  29364.000
1923-06-08;--:--;  29831.000
1923-06-09;--:--;  30065.000
1923-06-10;--:--;  30532.000
1923-06-11;--:--;  30999.000
1923-06-12;--:--;  31232.000
1923-06-13;--:--;  31466.000
1923-06-14;--:--;  31933.000
1923-06-15;--:--;  32400.000
1923-06-16;--:--;  32633.000
1923-06-17;--:--;  33100.000
1923-06-18;--:--;  33365.000
1923-06-19;--:--;  33895.000
1923-06-20;--:--;  34425.000
1923-06-21;--:--;  34955.000
1923-06-22;--:--;  35485.000
1923-06-23;--:--;  36015.000
1923-06-24;--:--;  36545.000
1923-06-25;--:--;  37075.000
1923-06-26;--:--;  37605.000
1923-06-27;--:--;  38400.000
1923-06-28;--:--;  39302.000
1923-06-29;--:--;  39903.000
1923-06-30;--:--;  40804.000
1923-07-01;--:--;  41405.000
1923-07-02;--:--;  41706.000
1923-07-03;--:--;  42006.000
1923-07-04;--:--;  42307.000
1923-07-05;--:--;  42607.000
1923-07-06;--:--;  42908.000
1923-07-07;--:--;  43208.000
1923-07-08;--:--;  43509.000
1923-07-09;--:--;  43809.000
1923-07-10;--:--;  44110.000
1923-07-11;--:--;  44410.000
1923-07-12;--:--;  44750.000
1923-07-13;--:--;  45089.000
1923-07-14;--:--;  45429.000
1923-07-15;--:--;  45768.000
1923-07-16;--:--;  46108.000
1923-07-17;--:--;  46447.000
1923-07-18;--:--;  46787.000
1923-07-19;--:--;  47126.000
1923-07-20;--:--;  47466.000
1923-07-21;--:--;  47805.000
1923-07-22;--:--;  48145.000
1923-07-23;--:--;  48484.000
1923-07-24;--:--;  48824.000
1923-07-25;--:--;  49503.000
1923-07-26;--:--;  50182.000
1923-07-27;--:--;  50861.000
1923-07-28;--:--;  51200.000
1923-07-29;--:--;  51966.000
1923-07-30;--:--;  53115.000
1923-07-31;--:--;  53881.000
1923-08-01;--:--;  54647.000
1923-08-02;--:--;  55413.000
1923-08-03;--:--;  56179.000
1923-08-04;--:--;  56562.000
1923-08-05;--:--;  56945.000
1923-08-06;--:--;  57711.000
1923-08-07;--:--;  58094.000
1923-08-08;--:--;  58860.000
1923-08-09;--:--;  59291.000
1923-08-10;--:--;  59722.000
1923-08-11;--:--;  60153.000
1923-08-12;--:--;  60584.000
1923-08-13;--:--;  61015.000
1923-08-14;--:--;  61877.000
1923-08-15;--:--;  62308.000
1923-08-16;--:--;  62739.000
1923-08-17;--:--;  64032.000
1923-08-18;--:--;  63601.000
1923-08-19;--:--;  64032.000
1923-08-20;--:--;  64463.000
1923-08-21;--:--;  64894.000
1923-08-22;--:--;  65325.000
1923-08-23;--:--;  65756.000
1923-08-24;--:--;  66187.000
1923-08-25;--:--;  66618.000
1923-08-26;--:--;  67049.000
1923-08-27;--:--;  67480.000
1923-08-28;--:--;  67964.000
1923-08-29;--:--;  67964.000
1923-08-30;--:--;  67964.000
1923-08-31;--:--;  67964.000
1923-09-01;--:--;  67964.000
1923-09-02;--:--;  67480.000
1923-09-03;--:--;  67480.000
1923-09-04;--:--;  67049.000
1923-09-05;--:--;  67049.000
1923-09-06;--:--;  66618.000
1923-09-07;--:--;  66618.000
1923-09-08;--:--;  66618.000
1923-09-09;--:--;  66187.000
1923-09-10;--:--;  66187.000
1923-09-11;--:--;  66618.000
1923-09-12;--:--;  66618.000
1923-09-13;--:--;  67049.000
1923-09-14;--:--;  67049.000
1923-09-15;--:--;  67480.000
1923-09-16;--:--;  67964.000
1923-09-17;--:--;  67964.000
1923-09-18;--:--;  67480.000
1923-09-19;--:--;   -999.000
1923-09-20;--:--;   -999.000
1923-09-21;--:--;   -999.000
1923-09-22;--:--;   -999.000
1923-09-23;--:--;   -999.000
1923-09-24;--:--;   -999.000
1923-09-25;--:--;   -999.000
1923-09-26;--:--;   -999.000
1923-09-27;--:--;   -999.000
1923-09-28;--:--;   -999.000
1923-09-29;--:--;   -999.000
1923-09-30;--:--;   -999.000
1923-10-01;--:--;   -999.000
1923-10-02;--:--;   -999.000
1923-10-03;--:--;   -999.000
1923-10-04;--:--;   -999.000
1923-10-05;--:--;   -999.000
1923-10-06;--:--;   -999.000
1923-10-07;--:--;   -999.000
1923-10-08;--:--;   -999.000
1923-10-09;--:--;   -999.000
1923-10-10;--:--;   -999.000
1923-10-11;--:--;   -999.000
1923-10-12;--:--;   -999.000
1923-10-13;--:--;   -999.000
1923-10-14;--:--;   -999.000
1923-10-15;--:--;   -999.000
1923-10-16;--:--;   -999.000
1923-10-17;--:--;   -999.000
1923-10-18;--:--;   -999.000
1923-10-19;--:--;   -999.000
1923-10-20;--:--;   -999.000
1923-10-21;--:--;   -999.000
1923-10-22;--:--;   -999.000
1923-10-23;--:--;   -999.000
1923-10-24;--:--;   -999.000
1923-10-25;--:--;   -999.000
1923-10-26;--:--;   -999.000
1923-10-27;--:--;   -999.000
1923-10-28;--:--;   -999.000
1923-10-29;--:--;   -999.000
1923-10-30;--:--;   -999.000
1923-10-31;--:--;   -999.000
1923-11-01;--:--;   -999.000
1923-11-02;--:--;   -999.000
1923-11-03;--:--;   -999.000
1923-11-04;--:--;   -999.000
1923-11-05;--:--;   -999.000
1923-11-06;--:--;   -999.000
1923-11-07;--:--;   -999.000
1923-11-08;--:--;   -999.000
1923-11-09;--:--;   -999.000
1923-11-10;--:--;   -999.000
1923-11-11;--:--;   -999.000
1923-11-12;--:--;   -999.000
1923-11-13;--:--;   -999.000
1923-11-14;--:--;   -999.000
1923-11-15;--:--;   -999.000
1923-11-16;--:--;   -999.000
1923-11-17;--:--;   -999.000
1923-11-18;--:--;   -999.000
1923-11-19;--:--;   -999.000
1923-11-20;--:--;   -999.000
1923-11-21;--:--;   -999.000
1923-11-22;--:--;   -999.000
1923-11-23;--:--;   -999.000
1923-11-24;--:--;   -999.000
1923-11-25;--:--;   -999.000
1923-11-26;--:--;   -999.000
1923-11-27;--:--;   -999.000
1923-11-28;--:--;   -999.000
1923-11-29;--:--;   -999.000
1923-11-30;--:--;   -999.000
1923-12-01;--:--;   -999.000
