# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3206800
# River:                 RIO ORINOCO
# Station:               TAMA-TAMA
# Country:               VE
# Latitude (DD):       3.12
# Longitude (DD):      -65.87
# Catchment area (km²):      37870.0
# Altitude (m ASL):        -999.00
# Next downstream station:      3206700
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1988-12
# No. of years:          11
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;    441.000
1978-01-02;--:--;    418.000
1978-01-03;--:--;    404.000
1978-01-04;--:--;    400.000
1978-01-05;--:--;    411.000
1978-01-06;--:--;    430.000
1978-01-07;--:--;    441.000
1978-01-08;--:--;    441.000
1978-01-09;--:--;    422.000
1978-01-10;--:--;    400.000
1978-01-11;--:--;    375.000
1978-01-12;--:--;    364.000
1978-01-13;--:--;    350.000
1978-01-14;--:--;    325.000
1978-01-15;--:--;    315.000
1978-01-16;--:--;    311.000
1978-01-17;--:--;    301.000
1978-01-18;--:--;    291.000
1978-01-19;--:--;    287.000
1978-01-20;--:--;    284.000
1978-01-21;--:--;    280.000
1978-01-22;--:--;    287.000
1978-01-23;--:--;    284.000
1978-01-24;--:--;    280.000
1978-01-25;--:--;    284.000
1978-01-26;--:--;    294.000
1978-01-27;--:--;    322.000
1978-01-28;--:--;    318.000
1978-01-29;--:--;    304.000
1978-01-30;--:--;    294.000
1978-01-31;--:--;    284.000
1978-02-01;--:--;    297.000
1978-02-02;--:--;    294.000
1978-02-03;--:--;    332.000
1978-02-04;--:--;    339.000
1978-02-05;--:--;    339.000
1978-02-06;--:--;    336.000
1978-02-07;--:--;    339.000
1978-02-08;--:--;    339.000
1978-02-09;--:--;    353.000
1978-02-10;--:--;    393.000
1978-02-11;--:--;    426.000
1978-02-12;--:--;    444.000
1978-02-13;--:--;    452.000
1978-02-14;--:--;    430.000
1978-02-15;--:--;    400.000
1978-02-16;--:--;    389.000
1978-02-17;--:--;    382.000
1978-02-18;--:--;    357.000
1978-02-19;--:--;    336.000
1978-02-20;--:--;    315.000
1978-02-21;--:--;    287.000
1978-02-22;--:--;    270.000
1978-02-23;--:--;    264.000
1978-02-24;--:--;    254.000
1978-02-25;--:--;    244.000
1978-02-26;--:--;    244.000
1978-02-27;--:--;    244.000
1978-02-28;--:--;    244.000
1978-03-01;--:--;    234.000
1978-03-02;--:--;    224.000
1978-03-03;--:--;    231.000
1978-03-04;--:--;    247.000
1978-03-05;--:--;    274.000
1978-03-06;--:--;    304.000
1978-03-07;--:--;    343.000
1978-03-08;--:--;    343.000
1978-03-09;--:--;    332.000
1978-03-10;--:--;    336.000
1978-03-11;--:--;    343.000
1978-03-12;--:--;    353.000
1978-03-13;--:--;    346.000
1978-03-14;--:--;    332.000
1978-03-15;--:--;    304.000
1978-03-16;--:--;    270.000
1978-03-17;--:--;    237.000
1978-03-18;--:--;    231.000
1978-03-19;--:--;    224.000
1978-03-20;--:--;    218.000
1978-03-21;--:--;    215.000
1978-03-22;--:--;    237.000
1978-03-23;--:--;    254.000
1978-03-24;--:--;    260.000
1978-03-25;--:--;    294.000
1978-03-26;--:--;    291.000
1978-03-27;--:--;    297.000
1978-03-28;--:--;    332.000
1978-03-29;--:--;    360.000
1978-03-30;--:--;    411.000
1978-03-31;--:--;    422.000
1978-04-01;--:--;    441.000
1978-04-02;--:--;    418.000
1978-04-03;--:--;    444.000
1978-04-04;--:--;    579.000
1978-04-05;--:--;    684.000
1978-04-06;--:--;    776.000
1978-04-07;--:--;    853.000
1978-04-08;--:--;    927.000
1978-04-09;--:--;   1016.000
1978-04-10;--:--;   1139.000
1978-04-11;--:--;   1302.000
1978-04-12;--:--;   1529.000
1978-04-13;--:--;   1549.000
1978-04-14;--:--;   1297.000
1978-04-15;--:--;   1236.000
1978-04-16;--:--;   1166.000
1978-04-17;--:--;   1166.000
1978-04-18;--:--;   1213.000
1978-04-19;--:--;   1321.000
1978-04-20;--:--;   1359.000
1978-04-21;--:--;   1316.000
1978-04-22;--:--;   1180.000
1978-04-23;--:--;   1084.000
1978-04-24;--:--;    945.000
1978-04-25;--:--;    819.000
1978-04-26;--:--;    789.000
1978-04-27;--:--;    759.000
1978-04-28;--:--;    802.000
1978-04-29;--:--;    875.000
1978-04-30;--:--;    905.000
1978-05-01;--:--;    985.000
1978-05-02;--:--;   1093.000
1978-05-03;--:--;   1111.000
1978-05-04;--:--;   1029.000
1978-05-05;--:--;    967.000
1978-05-06;--:--;    963.000
1978-05-07;--:--;    985.000
1978-05-08;--:--;   1084.000
1978-05-09;--:--;   1583.000
1978-05-10;--:--;   1799.000
1978-05-11;--:--;   1835.000
1978-05-12;--:--;   1866.000
1978-05-13;--:--;   1825.000
1978-05-14;--:--;   1713.000
1978-05-15;--:--;   1574.000
1978-05-16;--:--;   1407.000
1978-05-17;--:--;   1307.000
1978-05-18;--:--;   1255.000
1978-05-19;--:--;   1316.000
1978-05-20;--:--;   1378.000
1978-05-21;--:--;   1461.000
1978-05-22;--:--;   1495.000
1978-05-23;--:--;   1417.000
1978-05-24;--:--;   1321.000
1978-05-25;--:--;   1255.000
1978-05-26;--:--;   1312.000
1978-05-27;--:--;   1412.000
1978-05-28;--:--;   1461.000
1978-05-29;--:--;   1529.000
1978-05-30;--:--;   1871.000
1978-05-31;--:--;   1964.000
1978-06-01;--:--;   1876.000
1978-06-02;--:--;   1728.000
1978-06-03;--:--;   1643.000
1978-06-04;--:--;   1593.000
1978-06-05;--:--;   1559.000
1978-06-06;--:--;   1505.000
1978-06-07;--:--;   1422.000
1978-06-08;--:--;   1378.000
1978-06-09;--:--;   1393.000
1978-06-10;--:--;   1470.000
1978-06-11;--:--;   1608.000
1978-06-12;--:--;   1810.000
1978-06-13;--:--;   1902.000
1978-06-14;--:--;   1912.000
1978-06-15;--:--;   1912.000
1978-06-16;--:--;   1907.000
1978-06-17;--:--;   1861.000
