# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3617100
# River:                 RIO PACAAS NOVOS
# Station:               SERINGAL SAO LUIZ
# Country:               BR
# Latitude (DD):       -11.06
# Longitude (DD):      -64.08
# Catchment area (km²):      1141.0
# Altitude (m ASL):        -999.00
# Next downstream station:      3627050
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973-04 - 1988-04
# No. of years:          16
# Last update:           2018-05-18
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5485
# DATA
YYYY-MM-DD;hh:mm; Value
1973-04-25;--:--;     47.200
1973-04-26;--:--;     44.800
1973-04-27;--:--;     43.100
1973-04-28;--:--;     40.300
1973-04-29;--:--;     36.700
1973-04-30;--:--;     34.500
1973-05-01;--:--;     33.800
1973-05-02;--:--;     32.800
1973-05-03;--:--;     39.400
1973-05-04;--:--;     43.500
1973-05-05;--:--;     46.300
1973-05-06;--:--;     40.300
1973-05-07;--:--;     41.400
1973-05-08;--:--;     40.000
1973-05-09;--:--;     37.300
1973-05-10;--:--;     36.200
1973-05-11;--:--;     38.800
1973-05-12;--:--;     45.300
1973-05-13;--:--;     46.700
1973-05-14;--:--;     41.000
1973-05-15;--:--;     35.300
1973-05-16;--:--;     30.700
1973-05-17;--:--;     27.600
1973-05-18;--:--;     25.200
1973-05-19;--:--;     23.600
1973-05-20;--:--;     22.300
1973-05-21;--:--;     20.900
1973-05-22;--:--;     21.400
1973-05-23;--:--;     21.100
1973-05-24;--:--;     24.800
1973-05-25;--:--;     24.100
1973-05-26;--:--;     21.000
1973-05-27;--:--;     19.000
1973-05-28;--:--;     17.500
1973-05-29;--:--;     16.300
1973-05-30;--:--;     15.600
1973-05-31;--:--;     16.800
1973-06-01;--:--;     15.600
1973-06-02;--:--;     15.600
1973-06-03;--:--;     15.400
1973-06-04;--:--;     16.200
1973-06-05;--:--;     17.600
1973-06-06;--:--;     20.600
1973-06-07;--:--;     17.700
