# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              3617120
# River:                 RIO OURO PRETO
# Station:               BOCA DO POMPEU-JUSANTE
# Country:               BR
# Latitude (DD):       -10.9175
# Longitude (DD):      -65.0433
# Catchment area (km²):      4410.0
# Altitude (m ASL):        -999.00
# Next downstream station:      3627110
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1982-07 - 2019-10
# No. of years:          38
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 13623
# DATA
YYYY-MM-DD;hh:mm; Value
1982-07-15;--:--;     20.281
1982-07-16;--:--;     20.678
1982-07-17;--:--;     20.084
1982-07-18;--:--;     19.500
1982-07-19;--:--;     19.116
1982-07-20;--:--;     18.737
1982-07-21;--:--;     18.362
1982-07-22;--:--;     17.991
1982-07-23;--:--;     17.624
1982-07-24;--:--;     17.262
1982-07-25;--:--;     16.904
1982-07-26;--:--;     16.904
1982-07-27;--:--;     16.904
1982-07-28;--:--;     16.726
1982-07-29;--:--;     16.550
1982-07-30;--:--;     16.027
1982-07-31;--:--;     15.345
1982-08-01;--:--;     13.244
1982-08-02;--:--;     13.244
1982-08-03;--:--;     12.632
1982-08-04;--:--;     12.333
1982-08-05;--:--;     12.037
1982-08-06;--:--;     11.458
1982-08-07;--:--;     11.175
1982-08-08;--:--;     10.896
1982-08-09;--:--;     10.896
1982-08-10;--:--;     11.035
1982-08-11;--:--;     11.175
1982-08-12;--:--;     11.175
1982-08-13;--:--;     11.175
1982-08-14;--:--;     11.035
1982-08-15;--:--;     11.175
1982-08-16;--:--;     11.175
1982-08-17;--:--;     11.035
1982-08-18;--:--;     10.484
1982-08-19;--:--;     10.215
1982-08-20;--:--;      9.950
1982-08-21;--:--;      9.559
1982-08-22;--:--;      9.304
1982-08-23;--:--;      9.304
1982-08-24;--:--;      9.304
1982-08-25;--:--;      9.177
1982-08-26;--:--;      9.177
1982-08-27;--:--;      9.177
1982-08-28;--:--;      9.052
1982-08-29;--:--;      8.928
1982-08-30;--:--;      8.804
1982-08-31;--:--;      8.682
1982-09-01;--:--;      8.321
1982-09-02;--:--;      8.321
1982-09-03;--:--;      8.085
1982-09-04;--:--;      7.738
1982-09-05;--:--;      7.512
1982-09-06;--:--;      7.400
1982-09-07;--:--;      7.179
1982-09-08;--:--;      7.179
1982-09-09;--:--;      7.400
1982-09-10;--:--;      7.512
1982-09-11;--:--;      7.624
1982-09-12;--:--;      7.738
1982-09-13;--:--;      7.738
1982-09-14;--:--;      7.624
1982-09-15;--:--;      7.624
1982-09-16;--:--;      7.738
1982-09-17;--:--;      7.738
1982-09-18;--:--;      7.738
1982-09-19;--:--;      7.738
1982-09-20;--:--;      7.738
1982-09-21;--:--;      7.853
1982-09-22;--:--;      7.853
1982-09-23;--:--;      7.624
1982-09-24;--:--;      7.624
1982-09-25;--:--;      7.624
1982-09-26;--:--;      7.624
1982-09-27;--:--;      7.512
1982-09-28;--:--;      7.400
1982-09-29;--:--;      7.179
1982-09-30;--:--;      7.179
1982-10-01;--:--;      7.512
1982-10-02;--:--;      7.179
1982-10-03;--:--;      7.179
1982-10-04;--:--;      7.512
1982-10-05;--:--;      7.624
1982-10-06;--:--;      7.624
1982-10-07;--:--;      7.512
1982-10-08;--:--;      7.289
1982-10-09;--:--;      8.085
1982-10-10;--:--;      8.561
1982-10-11;--:--;      8.804
1982-10-12;--:--;      8.804
1982-10-13;--:--;      8.804
1982-10-14;--:--;      9.559
1982-10-15;--:--;      9.688
1982-10-16;--:--;      9.688
1982-10-17;--:--;      9.819
1982-10-18;--:--;      9.688
1982-10-19;--:--;      9.559
1982-10-20;--:--;      9.431
1982-10-21;--:--;      9.431
1982-10-22;--:--;      9.431
1982-10-23;--:--;      9.431
1982-10-24;--:--;      9.559
1982-10-25;--:--;      9.431
1982-10-26;--:--;      9.431
1982-10-27;--:--;      9.559
1982-10-28;--:--;      9.304
1982-10-29;--:--;      9.177
1982-10-30;--:--;      9.052
1982-10-31;--:--;      9.177
1982-11-01;--:--;      9.559
1982-11-02;--:--;      9.559
1982-11-03;--:--;      9.819
1982-11-04;--:--;     10.082
1982-11-05;--:--;      9.688
1982-11-06;--:--;      9.431
1982-11-07;--:--;      9.431
1982-11-08;--:--;      9.177
1982-11-09;--:--;      9.431
1982-11-10;--:--;      9.950
1982-11-11;--:--;     10.349
1982-11-12;--:--;     10.484
1982-11-13;--:--;     10.621
1982-11-14;--:--;     10.896
1982-11-15;--:--;     11.458
1982-11-16;--:--;     11.891
1982-11-17;--:--;     12.632
1982-11-18;--:--;     14.354
1982-11-19;--:--;     14.680
1982-11-20;--:--;     14.192
1982-11-21;--:--;     14.031
1982-11-22;--:--;     14.192
1982-11-23;--:--;     14.516
1982-11-24;--:--;     14.845
1982-11-25;--:--;     15.010
1982-11-26;--:--;     15.010
1982-11-27;--:--;     14.516
1982-11-28;--:--;     13.713
1982-11-29;--:--;     13.089
1982-11-30;--:--;     12.632
1982-12-01;--:--;     12.037
1982-12-02;--:--;     12.037
1982-12-03;--:--;     11.602
1982-12-04;--:--;     11.746
1982-12-05;--:--;     12.482
1982-12-06;--:--;     12.784
1982-12-07;--:--;     13.089
1982-12-08;--:--;     13.556
1982-12-09;--:--;     17.624
1982-12-10;--:--;     21.689
1982-12-11;--:--;     23.152
1982-12-12;--:--;     27.396
1982-12-13;--:--;     27.867
1982-12-14;--:--;     27.631
1982-12-15;--:--;     27.631
1982-12-16;--:--;     27.163
1982-12-17;--:--;     26.699
1982-12-18;--:--;     26.240
1982-12-19;--:--;     26.699
1982-12-20;--:--;     27.163
1982-12-21;--:--;     27.867
1982-12-22;--:--;     28.822
1982-12-23;--:--;     30.041
1982-12-24;--:--;     31.796
1982-12-25;--:--;     33.608
1982-12-26;--:--;     35.207
1982-12-27;--:--;     37.126
1982-12-28;--:--;     39.390
1982-12-29;--:--;     41.434
1982-12-30;--:--;     42.930
1982-12-31;--:--;     44.765
1983-01-01;--:--;     46.644
1983-01-02;--:--;     46.644
1983-01-03;--:--;     50.866
1983-01-04;--:--;     54.602
1983-01-05;--:--;     66.721
1983-01-06;--:--;     83.730
1983-01-07;--:--;     97.583
1983-01-08;--:--;    116.515
1983-01-09;--:--;    153.539
1983-01-10;--:--;    164.886
1983-01-11;--:--;    182.533
1983-01-12;--:--;    192.656
1983-01-13;--:--;    192.656
1983-01-14;--:--;    188.580
1983-01-15;--:--;    180.535
1983-01-16;--:--;    170.685
1983-01-17;--:--;    161.066
1983-01-18;--:--;    153.539
1983-01-19;--:--;    147.992
1983-01-20;--:--;    146.161
1983-01-21;--:--;    146.161
1983-01-22;--:--;    146.161
1983-01-23;--:--;    153.539
1983-01-24;--:--;    155.407
1983-01-25;--:--;    161.066
1983-01-26;--:--;    153.539
1983-01-27;--:--;    144.341
1983-01-28;--:--;    130.119
1983-01-29;--:--;    118.182
1983-01-30;--:--;    105.466
1983-01-31;--:--;    100.989
1983-02-01;--:--;     95.666
1983-02-02;--:--;     95.666
1983-02-03;--:--;     91.432
1983-02-04;--:--;     94.243
1983-02-05;--:--;     99.521
1983-02-06;--:--;    106.476
1983-02-07;--:--;    128.384
1983-02-08;--:--;    144.341
1983-02-09;--:--;    164.886
1983-02-10;--:--;    190.613
1983-02-11;--:--;    198.839
1983-02-12;--:--;    220.031
1983-02-13;--:--;    226.562
1983-02-14;--:--;    235.392
1983-02-15;--:--;    233.171
1983-02-16;--:--;    228.756
