# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-05
#
# GRDC-No.:              6607150
# River:                 RIVER TAW
# Station:               UMBERLEIGH
# Country:               GB
# Latitude (DD):       50.99546875
# Longitude (DD):      -3.985041306
# Catchment area (km²):      826.2
# Altitude (m ASL):        14.1
# Next downstream station:      -
# Remarks:               
# Owner of original data: United Kingdom - National River Flow Archive (NRFA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958-09 - 2022-09
# No. of years:          65
# Last update:           2023-08-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23377
# DATA
YYYY-MM-DD;hh:mm; Value
1958-09-30;--:--;     40.600
1958-10-01;--:--;     31.600
1958-10-02;--:--;     44.800
1958-10-03;--:--;     99.400
1958-10-04;--:--;    118.000
1958-10-05;--:--;     65.500
1958-10-06;--:--;     51.600
1958-10-07;--:--;     62.300
1958-10-08;--:--;     43.000
1958-10-09;--:--;     30.200
1958-10-10;--:--;     23.400
1958-10-11;--:--;     17.600
1958-10-12;--:--;     16.900
1958-10-13;--:--;     41.900
1958-10-14;--:--;     40.600
1958-10-15;--:--;     27.000
1958-10-16;--:--;     19.300
1958-10-17;--:--;     14.700
1958-10-18;--:--;     11.100
1958-10-19;--:--;      9.890
1958-10-20;--:--;      7.880
1958-10-21;--:--;      6.590
1958-10-22;--:--;      5.590
1958-10-23;--:--;      4.800
1958-10-24;--:--;      4.130
1958-10-25;--:--;      3.610
1958-10-26;--:--;      3.240
1958-10-27;--:--;      2.930
1958-10-28;--:--;      2.570
1958-10-29;--:--;      2.250
1958-10-30;--:--;      2.120
1958-10-31;--:--;      2.150
1958-11-01;--:--;      5.470
1958-11-02;--:--;     66.300
1958-11-03;--:--;     28.500
1958-11-04;--:--;     24.600
1958-11-05;--:--;     46.500
1958-11-06;--:--;     59.700
1958-11-07;--:--;     39.500
1958-11-08;--:--;     26.600
1958-11-09;--:--;     20.400
1958-11-10;--:--;     16.800
1958-11-11;--:--;     17.700
1958-11-12;--:--;     38.100
1958-11-13;--:--;     26.600
1958-11-14;--:--;     19.300
1958-11-15;--:--;     15.600
1958-11-16;--:--;     12.600
1958-11-17;--:--;      9.800
1958-11-18;--:--;      8.590
1958-11-19;--:--;     13.500
1958-11-20;--:--;      8.130
