# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-05
#
# GRDC-No.:              6607550
# River:                 RIVER ITCHEN
# Station:               HIGHBRIDGE & ALLBROOK TOTAL
# Country:               GB
# Latitude (DD):       50.98765881
# Longitude (DD):      -1.344171397
# Catchment area (km²):      360.0
# Altitude (m ASL):        16.8
# Next downstream station:      -
# Remarks:               
# Owner of original data: United Kingdom - National River Flow Archive (NRFA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958-10 - 2022-09
# No. of years:          65
# Last update:           2023-08-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23376
# DATA
YYYY-MM-DD;hh:mm; Value
1958-10-01;--:--;      5.663
1958-10-02;--:--;      5.465
1958-10-03;--:--;      5.239
1958-10-04;--:--;      5.720
1958-10-05;--:--;      6.400
1958-10-06;--:--;      6.173
1958-10-07;--:--;      5.748
1958-10-08;--:--;      5.748
1958-10-09;--:--;      5.635
1958-10-10;--:--;      5.663
1958-10-11;--:--;      5.692
1958-10-12;--:--;      5.833
1958-10-13;--:--;      5.805
1958-10-14;--:--;      5.777
1958-10-15;--:--;      5.607
1958-10-16;--:--;      5.493
1958-10-17;--:--;      5.352
1958-10-18;--:--;      5.352
1958-10-19;--:--;      5.437
1958-10-20;--:--;      5.550
1958-10-21;--:--;      5.522
1958-10-22;--:--;      5.380
1958-10-23;--:--;      5.493
1958-10-24;--:--;      5.437
1958-10-25;--:--;      5.465
1958-10-26;--:--;      5.437
1958-10-27;--:--;      5.295
1958-10-28;--:--;      5.408
1958-10-29;--:--;      5.408
1958-10-30;--:--;      5.493
1958-10-31;--:--;      5.607
1958-11-01;--:--;      5.550
1958-11-02;--:--;      6.853
1958-11-03;--:--;      6.909
1958-11-04;--:--;      6.428
1958-11-05;--:--;      6.371
1958-11-06;--:--;      6.626
1958-11-07;--:--;      6.286
1958-11-08;--:--;      6.230
1958-11-09;--:--;      6.003
1958-11-10;--:--;      6.116
1958-11-11;--:--;      6.003
1958-11-12;--:--;      6.116
