# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-05
#
# GRDC-No.:              6607711
# River:                 EAST AVON, RIVER
# Station:               UPAVON EAST
# Country:               GB
# Latitude (DD):       51.30249997
# Longitude (DD):      -1.809874883
# Catchment area (km²):      85.7
# Altitude (m ASL):        92.1
# Next downstream station:      6607710
# Remarks:               
# Owner of original data: United Kingdom - National River Flow Archive (NRFA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-10 - 2022-09
# No. of years:          52
# Last update:           2023-08-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 18628
# DATA
YYYY-MM-DD;hh:mm; Value
1971-10-01;--:--;      0.585
1971-10-02;--:--;      0.579
1971-10-03;--:--;      0.583
1971-10-04;--:--;      0.581
1971-10-05;--:--;      0.570
1971-10-06;--:--;      0.571
1971-10-07;--:--;      0.575
1971-10-08;--:--;      0.582
1971-10-09;--:--;      0.587
1971-10-10;--:--;      0.577
1971-10-11;--:--;      0.579
1971-10-12;--:--;      0.641
1971-10-13;--:--;      0.831
1971-10-14;--:--;      0.755
1971-10-15;--:--;      0.618
1971-10-16;--:--;      1.240
1971-10-17;--:--;      0.853
1971-10-18;--:--;      0.681
1971-10-19;--:--;      0.748
1971-10-20;--:--;      0.708
1971-10-21;--:--;      0.660
1971-10-22;--:--;      0.637
1971-10-23;--:--;      0.623
1971-10-24;--:--;      0.615
1971-10-25;--:--;      0.608
1971-10-26;--:--;      0.594
1971-10-27;--:--;      0.580
1971-10-28;--:--;      0.585
1971-10-29;--:--;      0.599
1971-10-30;--:--;      0.603
1971-10-31;--:--;      0.599
1971-11-01;--:--;      0.585
1971-11-02;--:--;      0.585
1971-11-03;--:--;      0.577
1971-11-04;--:--;      0.567
1971-11-05;--:--;      0.609
1971-11-06;--:--;      0.622
1971-11-07;--:--;      0.586
1971-11-08;--:--;      0.587
1971-11-09;--:--;      0.587
1971-11-10;--:--;      0.652
1971-11-11;--:--;      0.634
1971-11-12;--:--;      0.619
1971-11-13;--:--;      0.638
1971-11-14;--:--;      0.603
1971-11-15;--:--;      0.592
1971-11-16;--:--;      0.588
1971-11-17;--:--;      0.592
1971-11-18;--:--;      0.595
1971-11-19;--:--;      0.585
1971-11-20;--:--;      0.586
1971-11-21;--:--;      0.581
1971-11-22;--:--;      0.590
1971-11-23;--:--;      0.750
