# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-07
#
# GRDC-No.:              6854111
# River:                 KOKEMAENJOKI
# Station:               KOIRANOJA
# Country:               FI
# Latitude (DD):       61.049899
# Longitude (DD):      25.031983
# Catchment area (km²):      6.21
# Altitude (m ASL):        105.0
# Next downstream station:      6854110
# Remarks:               
# Owner of original data: Finland - Finish Environment Institute (SYKE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-09 - 1986-12
# No. of years:          20
# Last update:           2018-05-22
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 7035
# DATA
YYYY-MM-DD;hh:mm; Value
1967-09-28;--:--;      0.016
1967-09-29;--:--;      0.014
1967-09-30;--:--;      0.014
1967-10-01;--:--;      0.015
1967-10-02;--:--;      0.016
1967-10-03;--:--;      0.017
1967-10-04;--:--;      0.016
1967-10-05;--:--;      0.018
1967-10-06;--:--;      0.032
1967-10-07;--:--;      0.025
1967-10-08;--:--;      0.058
1967-10-09;--:--;      0.052
1967-10-10;--:--;      0.047
1967-10-11;--:--;      0.045
1967-10-12;--:--;      0.056
1967-10-13;--:--;      0.074
1967-10-14;--:--;      0.074
1967-10-15;--:--;      0.047
1967-10-16;--:--;      0.084
1967-10-17;--:--;      0.088
1967-10-18;--:--;      0.271
1967-10-19;--:--;      0.138
1967-10-20;--:--;      0.108
1967-10-21;--:--;      0.150
1967-10-22;--:--;      0.282
1967-10-23;--:--;      0.137
1967-10-24;--:--;      0.100
1967-10-25;--:--;      0.311
1967-10-26;--:--;      0.214
1967-10-27;--:--;      0.173
1967-10-28;--:--;      0.116
1967-10-29;--:--;      0.107
1967-10-30;--:--;      0.102
1967-10-31;--:--;      0.104
1967-11-01;--:--;      0.093
1967-11-02;--:--;      0.078
1967-11-03;--:--;      0.074
1967-11-04;--:--;      0.070
1967-11-05;--:--;      0.061
1967-11-06;--:--;      0.059
1967-11-07;--:--;      0.071
1967-11-08;--:--;      0.067
1967-11-09;--:--;      0.057
1967-11-10;--:--;      0.059
1967-11-11;--:--;      0.057
1967-11-12;--:--;      0.068
1967-11-13;--:--;      0.120
1967-11-14;--:--;      0.107
1967-11-15;--:--;      0.216
1967-11-16;--:--;      0.158
1967-11-17;--:--;      0.102
1967-11-18;--:--;      0.093
1967-11-19;--:--;      0.081
1967-11-20;--:--;      0.068
1967-11-21;--:--;      0.091
1967-11-22;--:--;      0.082
1967-11-23;--:--;      0.065
1967-11-24;--:--;      0.053
1967-11-25;--:--;      0.069
1967-11-26;--:--;      0.082
1967-11-27;--:--;      0.068
1967-11-28;--:--;      0.058
1967-11-29;--:--;      0.048
1967-11-30;--:--;      0.043
1967-12-01;--:--;      0.055
1967-12-02;--:--;      0.059
1967-12-03;--:--;      0.045
1967-12-04;--:--;      0.035
1967-12-05;--:--;      0.034
1967-12-06;--:--;      0.034
1967-12-07;--:--;      0.036
1967-12-08;--:--;      0.036
1967-12-09;--:--;      0.036
1967-12-10;--:--;      0.036
1967-12-11;--:--;      0.036
1967-12-12;--:--;      0.035
1967-12-13;--:--;      0.034
1967-12-14;--:--;      0.032
1967-12-15;--:--;      0.038
1967-12-16;--:--;      0.073
1967-12-17;--:--;      0.055
1967-12-18;--:--;      0.043
1967-12-19;--:--;      0.039
1967-12-20;--:--;      0.033
1967-12-21;--:--;      0.030
1967-12-22;--:--;      0.027
1967-12-23;--:--;      0.026
1967-12-24;--:--;      0.023
1967-12-25;--:--;      0.021
1967-12-26;--:--;      0.021
1967-12-27;--:--;      0.021
1967-12-28;--:--;      0.021
1967-12-29;--:--;      0.019
1967-12-30;--:--;      0.019
1967-12-31;--:--;      0.019
1968-01-01;--:--;      0.019
1968-01-02;--:--;      0.019
1968-01-03;--:--;      0.018
1968-01-04;--:--;      0.017
1968-01-05;--:--;      0.016
1968-01-06;--:--;      0.016
1968-01-07;--:--;      0.015
1968-01-08;--:--;      0.014
1968-01-09;--:--;      0.014
1968-01-10;--:--;      0.014
1968-01-11;--:--;      0.014
1968-01-12;--:--;      0.012
1968-01-13;--:--;      0.012
1968-01-14;--:--;      0.012
1968-01-15;--:--;      0.012
1968-01-16;--:--;      0.012
1968-01-17;--:--;      0.012
1968-01-18;--:--;      0.011
1968-01-19;--:--;      0.011
1968-01-20;--:--;      0.011
1968-01-21;--:--;      0.011
1968-01-22;--:--;      0.011
1968-01-23;--:--;      0.011
1968-01-24;--:--;      0.011
1968-01-25;--:--;      0.011
1968-01-26;--:--;      0.011
1968-01-27;--:--;      0.011
1968-01-28;--:--;      0.011
1968-01-29;--:--;      0.011
1968-01-30;--:--;      0.011
1968-01-31;--:--;      0.011
1968-02-01;--:--;      0.011
1968-02-02;--:--;      0.011
1968-02-03;--:--;      0.011
1968-02-04;--:--;      0.011
1968-02-05;--:--;      0.011
1968-02-06;--:--;      0.011
1968-02-07;--:--;      0.011
1968-02-08;--:--;      0.011
1968-02-09;--:--;      0.012
1968-02-10;--:--;      0.012
1968-02-11;--:--;      0.012
1968-02-12;--:--;      0.014
1968-02-13;--:--;      0.014
1968-02-14;--:--;      0.014
1968-02-15;--:--;      0.014
1968-02-16;--:--;      0.014
1968-02-17;--:--;      0.014
1968-02-18;--:--;      0.014
1968-02-19;--:--;      0.014
1968-02-20;--:--;      0.014
1968-02-21;--:--;      0.014
1968-02-22;--:--;      0.014
1968-02-23;--:--;      0.014
1968-02-24;--:--;      0.014
1968-02-25;--:--;      0.014
1968-02-26;--:--;      0.014
1968-02-27;--:--;      0.014
1968-02-28;--:--;      0.014
1968-02-29;--:--;      0.014
1968-03-01;--:--;      0.014
1968-03-02;--:--;      0.014
1968-03-03;--:--;      0.014
1968-03-04;--:--;      0.014
1968-03-05;--:--;      0.014
1968-03-06;--:--;      0.014
1968-03-07;--:--;      0.014
1968-03-08;--:--;      0.014
1968-03-09;--:--;      0.016
1968-03-10;--:--;      0.016
1968-03-11;--:--;      0.016
1968-03-12;--:--;      0.016
1968-03-13;--:--;      0.016
1968-03-14;--:--;      0.016
1968-03-15;--:--;      0.016
1968-03-16;--:--;      0.014
1968-03-17;--:--;      0.014
1968-03-18;--:--;      0.014
1968-03-19;--:--;      0.014
1968-03-20;--:--;      0.014
1968-03-21;--:--;      0.022
1968-03-22;--:--;      0.026
1968-03-23;--:--;      0.036
1968-03-24;--:--;      0.036
1968-03-25;--:--;      0.174
1968-03-26;--:--;      0.417
1968-03-27;--:--;      0.309
1968-03-28;--:--;      0.555
1968-03-29;--:--;      0.551
1968-03-30;--:--;      0.523
1968-03-31;--:--;      0.437
1968-04-01;--:--;      0.260
1968-04-02;--:--;      0.171
1968-04-03;--:--;      0.196
1968-04-04;--:--;      0.349
1968-04-05;--:--;      0.265
1968-04-06;--:--;      0.216
1968-04-07;--:--;      0.162
1968-04-08;--:--;      0.097
1968-04-09;--:--;      0.109
1968-04-10;--:--;      0.087
1968-04-11;--:--;      0.084
1968-04-12;--:--;      0.078
1968-04-13;--:--;      0.137
1968-04-14;--:--;      0.230
1968-04-15;--:--;      0.257
1968-04-16;--:--;      0.267
1968-04-17;--:--;      0.202
1968-04-18;--:--;      0.196
1968-04-19;--:--;      0.213
1968-04-20;--:--;      0.190
1968-04-21;--:--;      0.272
1968-04-22;--:--;      0.262
1968-04-23;--:--;      0.205
1968-04-24;--:--;      0.377
1968-04-25;--:--;      0.280
1968-04-26;--:--;      0.194
1968-04-27;--:--;      0.155
1968-04-28;--:--;      0.121
1968-04-29;--:--;      0.110
1968-04-30;--:--;      0.101
1968-05-01;--:--;      0.096
1968-05-02;--:--;      0.111
1968-05-03;--:--;      0.114
1968-05-04;--:--;      0.106
1968-05-05;--:--;      0.151
1968-05-06;--:--;      0.226
1968-05-07;--:--;      0.175
1968-05-08;--:--;      0.152
1968-05-09;--:--;      0.109
1968-05-10;--:--;      0.092
1968-05-11;--:--;      0.096
1968-05-12;--:--;      0.112
1968-05-13;--:--;      0.182
1968-05-14;--:--;      0.137
1968-05-15;--:--;      0.464
1968-05-16;--:--;      0.273
1968-05-17;--:--;      0.205
1968-05-18;--:--;      0.136
1968-05-19;--:--;      0.153
1968-05-20;--:--;      0.145
1968-05-21;--:--;      0.130
1968-05-22;--:--;      0.125
1968-05-23;--:--;      0.103
1968-05-24;--:--;      0.134
1968-05-25;--:--;      0.116
1968-05-26;--:--;      0.094
1968-05-27;--:--;      0.081
1968-05-28;--:--;      0.072
1968-05-29;--:--;      0.065
1968-05-30;--:--;      0.060
1968-05-31;--:--;      0.056
1968-06-01;--:--;      0.051
1968-06-02;--:--;      0.048
1968-06-03;--:--;      0.043
1968-06-04;--:--;      0.038
1968-06-05;--:--;      0.035
1968-06-06;--:--;      0.033
1968-06-07;--:--;      0.033
1968-06-08;--:--;      0.031
1968-06-09;--:--;      0.037
1968-06-10;--:--;      0.039
1968-06-11;--:--;      0.029
1968-06-12;--:--;      0.025
1968-06-13;--:--;      0.023
1968-06-14;--:--;      0.023
1968-06-15;--:--;      0.020
1968-06-16;--:--;      0.018
1968-06-17;--:--;      0.018
1968-06-18;--:--;      0.017
1968-06-19;--:--;      0.017
1968-06-20;--:--;      0.016
1968-06-21;--:--;      0.016
1968-06-22;--:--;      0.016
1968-06-23;--:--;      0.015
1968-06-24;--:--;      0.013
1968-06-25;--:--;      0.013
1968-06-26;--:--;      0.015
1968-06-27;--:--;      0.013
1968-06-28;--:--;      0.026
1968-06-29;--:--;      0.037
1968-06-30;--:--;      0.034
1968-07-01;--:--;      0.025
1968-07-02;--:--;      0.019
1968-07-03;--:--;      0.016
1968-07-04;--:--;      0.013
1968-07-05;--:--;      0.012
1968-07-06;--:--;      0.011
1968-07-07;--:--;      0.015
1968-07-08;--:--;      0.032
1968-07-09;--:--;      0.029
1968-07-10;--:--;      0.023
1968-07-11;--:--;      0.022
1968-07-12;--:--;      0.019
1968-07-13;--:--;      0.018
1968-07-14;--:--;      0.016
1968-07-15;--:--;      0.015
1968-07-16;--:--;      0.014
1968-07-17;--:--;      0.014
1968-07-18;--:--;      0.014
1968-07-19;--:--;      0.012
1968-07-20;--:--;      0.012
1968-07-21;--:--;      0.011
1968-07-22;--:--;      0.011
1968-07-23;--:--;      0.011
1968-07-24;--:--;      0.011
1968-07-25;--:--;      0.010
1968-07-26;--:--;      0.010
1968-07-27;--:--;      0.011
1968-07-28;--:--;      0.010
1968-07-29;--:--;      0.008
1968-07-30;--:--;      0.008
1968-07-31;--:--;      0.008
1968-08-01;--:--;      0.008
1968-08-02;--:--;      0.008
1968-08-03;--:--;      0.008
1968-08-04;--:--;      0.008
1968-08-05;--:--;      0.008
1968-08-06;--:--;      0.008
1968-08-07;--:--;      0.008
1968-08-08;--:--;      0.008
1968-08-09;--:--;      0.008
1968-08-10;--:--;      0.008
1968-08-11;--:--;      0.010
1968-08-12;--:--;      0.011
1968-08-13;--:--;      0.033
1968-08-14;--:--;      0.038
1968-08-15;--:--;      0.020
1968-08-16;--:--;      0.016
1968-08-17;--:--;      0.034
1968-08-18;--:--;      0.036
1968-08-19;--:--;      0.032
1968-08-20;--:--;      0.023
1968-08-21;--:--;      0.020
1968-08-22;--:--;      0.017
1968-08-23;--:--;      0.015
1968-08-24;--:--;      0.013
1968-08-25;--:--;      0.012
1968-08-26;--:--;      0.012
1968-08-27;--:--;      0.012
1968-08-28;--:--;      0.012
1968-08-29;--:--;      0.016
1968-08-30;--:--;      0.021
1968-08-31;--:--;      0.017
1968-09-01;--:--;      0.023
1968-09-02;--:--;      0.039
1968-09-03;--:--;      0.026
1968-09-04;--:--;      0.019
1968-09-05;--:--;      0.017
1968-09-06;--:--;      0.015
1968-09-07;--:--;      0.014
1968-09-08;--:--;      0.012
1968-09-09;--:--;      0.014
1968-09-10;--:--;      0.016
1968-09-11;--:--;      0.017
1968-09-12;--:--;      0.016
1968-09-13;--:--;      0.016
1968-09-14;--:--;      0.014
1968-09-15;--:--;      0.014
1968-09-16;--:--;      0.014
1968-09-17;--:--;      0.020
1968-09-18;--:--;      0.049
1968-09-19;--:--;      0.029
1968-09-20;--:--;      0.023
1968-09-21;--:--;      0.031
1968-09-22;--:--;      0.068
1968-09-23;--:--;      0.049
1968-09-24;--:--;      0.040
1968-09-25;--:--;      0.054
1968-09-26;--:--;      0.044
1968-09-27;--:--;      0.030
1968-09-28;--:--;      0.025
1968-09-29;--:--;      0.023
1968-09-30;--:--;      0.021
1968-10-01;--:--;      0.021
1968-10-02;--:--;      0.021
1968-10-03;--:--;      0.020
1968-10-04;--:--;      0.021
1968-10-05;--:--;      0.028
1968-10-06;--:--;      0.024
1968-10-07;--:--;      0.022
1968-10-08;--:--;      0.022
1968-10-09;--:--;      0.021
1968-10-10;--:--;      0.021
1968-10-11;--:--;      0.019
1968-10-12;--:--;      0.018
1968-10-13;--:--;      0.052
1968-10-14;--:--;      0.055
1968-10-15;--:--;      0.048
1968-10-16;--:--;      0.036
1968-10-17;--:--;      0.031
1968-10-18;--:--;      0.037
1968-10-19;--:--;      0.032
1968-10-20;--:--;      0.027
1968-10-21;--:--;      0.034
1968-10-22;--:--;      0.035
1968-10-23;--:--;      0.035
1968-10-24;--:--;      0.035
1968-10-25;--:--;      0.024
1968-10-26;--:--;      0.026
1968-10-27;--:--;      0.026
1968-10-28;--:--;      0.021
1968-10-29;--:--;      0.049
1968-10-30;--:--;      0.191
1968-10-31;--:--;      0.080
1968-11-01;--:--;      0.050
1968-11-02;--:--;      0.045
1968-11-03;--:--;      0.044
1968-11-04;--:--;      0.112
1968-11-05;--:--;      0.174
1968-11-06;--:--;      0.078
1968-11-07;--:--;      0.046
1968-11-08;--:--;      0.037
1968-11-09;--:--;      0.032
1968-11-10;--:--;      0.030
1968-11-11;--:--;      0.029
1968-11-12;--:--;      0.028
1968-11-13;--:--;      0.026
1968-11-14;--:--;      0.026
1968-11-15;--:--;      0.024
1968-11-16;--:--;      0.024
1968-11-17;--:--;      0.022
1968-11-18;--:--;      0.022
1968-11-19;--:--;      0.022
1968-11-20;--:--;      0.021
1968-11-21;--:--;      0.021
1968-11-22;--:--;      0.042
1968-11-23;--:--;      0.119
1968-11-24;--:--;      0.098
1968-11-25;--:--;      0.067
1968-11-26;--:--;      0.055
1968-11-27;--:--;      0.126
1968-11-28;--:--;      0.096
1968-11-29;--:--;      0.070
1968-11-30;--:--;      0.058
1968-12-01;--:--;      0.049
1968-12-02;--:--;      0.045
