# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216300
# River:                 PAMPANA
# Station:               MATOTOKA
# Country:               SL
# Latitude (DD):       8.6667
# Longitude (DD):      -11.8667
# Catchment area (km²):      2407.0
# Altitude (m ASL):        9.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-09 - 1976-03
# No. of years:          6
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1674
# DATA
YYYY-MM-DD;hh:mm; Value
1971-09-01;--:--;    370.000
1971-09-02;--:--;    360.000
1971-09-03;--:--;    330.000
1971-09-04;--:--;    335.000
1971-09-05;--:--;    310.000
1971-09-06;--:--;    289.000
1971-09-07;--:--;    273.000
1971-09-08;--:--;    279.000
1971-09-09;--:--;    279.000
1971-09-10;--:--;    255.000
1971-09-11;--:--;    269.000
1971-09-12;--:--;    255.000
1971-09-13;--:--;    324.000
1971-09-14;--:--;    322.000
1971-09-15;--:--;    308.000
1971-09-16;--:--;    265.000
1971-09-17;--:--;    254.000
1971-09-18;--:--;    247.000
1971-09-19;--:--;    222.000
1971-09-20;--:--;    220.000
1971-09-21;--:--;    243.000
1971-09-22;--:--;    250.000
1971-09-23;--:--;    256.000
1971-09-24;--:--;    235.000
1971-09-25;--:--;    229.000
1971-09-26;--:--;    341.000
1971-09-27;--:--;    283.000
1971-09-28;--:--;    255.000
1971-09-29;--:--;    238.000
1971-09-30;--:--;    219.000
1971-10-01;--:--;    234.000
1971-10-02;--:--;    245.000
1971-10-03;--:--;    224.000
1971-10-04;--:--;    279.000
1971-10-05;--:--;    277.000
1971-10-06;--:--;    246.000
1971-10-07;--:--;    247.000
1971-10-08;--:--;    283.000
1971-10-09;--:--;    257.000
1971-10-10;--:--;    222.000
1971-10-11;--:--;    202.000
1971-10-12;--:--;    195.000
1971-10-13;--:--;    251.000
1971-10-14;--:--;    227.000
1971-10-15;--:--;    218.000
1971-10-16;--:--;    232.000
1971-10-17;--:--;    246.000
1971-10-18;--:--;    220.000
1971-10-19;--:--;    198.000
1971-10-20;--:--;    237.000
1971-10-21;--:--;    259.000
1971-10-22;--:--;    253.000
1971-10-23;--:--;    231.000
1971-10-24;--:--;    235.000
1971-10-25;--:--;    210.000
1971-10-26;--:--;    212.000
1971-10-27;--:--;    201.000
1971-10-28;--:--;    181.000
1971-10-29;--:--;    175.000
1971-10-30;--:--;    173.000
1971-10-31;--:--;    156.000
1971-11-01;--:--;    148.000
1971-11-02;--:--;    153.000
1971-11-03;--:--;    149.000
1971-11-04;--:--;    155.000
1971-11-05;--:--;    158.000
1971-11-06;--:--;    144.000
1971-11-07;--:--;    130.000
1971-11-08;--:--;    141.000
1971-11-09;--:--;    138.000
1971-11-10;--:--;    152.000
1971-11-11;--:--;    155.000
1971-11-12;--:--;    136.000
1971-11-13;--:--;    124.000
1971-11-14;--:--;    116.000
1971-11-15;--:--;    113.000
1971-11-16;--:--;    127.000
1971-11-17;--:--;    130.000
1971-11-18;--:--;    118.000
1971-11-19;--:--;    111.000
1971-11-20;--:--;    113.000
1971-11-21;--:--;    120.000
1971-11-22;--:--;    130.000
