# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216350
# River:                 ROKEL CREEK
# Station:               BUMBUNA
# Country:               SL
# Latitude (DD):       9.033333
# Longitude (DD):      -11.75
# Catchment area (km²):      3990.0
# Altitude (m ASL):        12.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1970-05 - 1976-03
# No. of years:          7
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2141
# DATA
YYYY-MM-DD;hh:mm; Value
1970-05-22;--:--;     21.300
1970-05-23;--:--;     16.400
1970-05-24;--:--;     14.000
1970-05-25;--:--;     11.800
1970-05-26;--:--;     10.800
1970-05-27;--:--;     10.800
1970-05-28;--:--;      9.800
1970-05-29;--:--;     20.000
1970-05-30;--:--;     20.000
1970-05-31;--:--;     28.700
1970-06-01;--:--;     32.400
1970-06-02;--:--;     44.300
1970-06-03;--:--;     29.900
1970-06-04;--:--;     22.500
1970-06-05;--:--;     18.800
1970-06-06;--:--;     17.600
1970-06-07;--:--;     18.800
1970-06-08;--:--;     18.800
1970-06-09;--:--;     18.800
1970-06-10;--:--;     21.300
1970-06-11;--:--;     29.900
1970-06-12;--:--;     29.900
1970-06-13;--:--;     29.900
1970-06-14;--:--;     43.600
1970-06-15;--:--;     36.600
1970-06-16;--:--;     29.900
1970-06-17;--:--;     27.500
1970-06-18;--:--;     40.800
1970-06-19;--:--;     51.500
1970-06-20;--:--;     64.800
1970-06-21;--:--;     66.600
1970-06-22;--:--;     45.100
1970-06-23;--:--;     45.100
1970-06-24;--:--;     68.400
1970-06-25;--:--;     79.200
1970-06-26;--:--;     66.600
1970-06-27;--:--;     56.300
1970-06-28;--:--;     75.600
1970-06-29;--:--;     59.400
1970-06-30;--:--;     45.100
1970-07-01;--:--;     38.000
1970-07-02;--:--;     43.600
1970-07-03;--:--;     63.000
1970-07-04;--:--;     68.400
1970-07-05;--:--;     63.000
1970-07-06;--:--;     81.000
1970-07-07;--:--;    121.000
1970-07-08;--:--;    103.000
1970-07-09;--:--;    207.000
1970-07-10;--:--;    259.000
1970-07-11;--:--;    266.000
1970-07-12;--:--;    196.000
1970-07-13;--:--;    124.000
1970-07-14;--:--;     96.200
1970-07-15;--:--;    102.000
1970-07-16;--:--;    112.000
1970-07-17;--:--;    130.000
1970-07-18;--:--;    129.000
1970-07-19;--:--;    109.000
1970-07-20;--:--;     85.900
1970-07-21;--:--;     79.200
1970-07-22;--:--;     85.900
1970-07-23;--:--;    135.000
1970-07-24;--:--;    120.000
1970-07-25;--:--;    108.000
1970-07-26;--:--;    152.000
1970-07-27;--:--;    148.000
1970-07-28;--:--;    146.000
1970-07-29;--:--;    157.000
1970-07-30;--:--;    154.000
1970-07-31;--:--;    165.000
1970-08-01;--:--;    220.000
1970-08-02;--:--;    207.000
1970-08-03;--:--;    157.000
1970-08-04;--:--;    128.000
1970-08-05;--:--;    110.000
1970-08-06;--:--;     97.300
1970-08-07;--:--;     96.200
1970-08-08;--:--;     97.300
1970-08-09;--:--;     98.400
1970-08-10;--:--;     96.200
1970-08-11;--:--;    118.000
1970-08-12;--:--;    201.000
1970-08-13;--:--;    227.000
1970-08-14;--:--;    217.000
1970-08-15;--:--;    189.000
1970-08-16;--:--;    162.000
1970-08-17;--:--;    154.000
1970-08-18;--:--;    134.000
1970-08-19;--:--;    133.000
1970-08-20;--:--;    153.000
1970-08-21;--:--;    318.000
1970-08-22;--:--;    415.000
1970-08-23;--:--;    347.000
1970-08-24;--:--;    293.000
1970-08-25;--:--;    234.000
1970-08-26;--:--;    193.000
1970-08-27;--:--;    195.000
1970-08-28;--:--;    187.000
1970-08-29;--:--;    383.000
1970-08-30;--:--;    502.000
1970-08-31;--:--;    491.000
1970-09-01;--:--;    723.000
1970-09-02;--:--;    699.000
1970-09-03;--:--;   1052.000
1970-09-04;--:--;    997.000
1970-09-05;--:--;    761.000
1970-09-06;--:--;    633.000
1970-09-07;--:--;    522.000
1970-09-08;--:--;    582.000
1970-09-09;--:--;    506.000
1970-09-10;--:--;    514.000
1970-09-11;--:--;    550.000
1970-09-12;--:--;    475.000
1970-09-13;--:--;    365.000
1970-09-14;--:--;    299.000
1970-09-15;--:--;    341.000
1970-09-16;--:--;    324.000
1970-09-17;--:--;    303.000
1970-09-18;--:--;    298.000
1970-09-19;--:--;    330.000
1970-09-20;--:--;    447.000
1970-09-21;--:--;    391.000
1970-09-22;--:--;    393.000
1970-09-23;--:--;    259.000
1970-09-24;--:--;    242.000
1970-09-25;--:--;    221.000
1970-09-26;--:--;    233.000
1970-09-27;--:--;    222.000
1970-09-28;--:--;    326.000
1970-09-29;--:--;    318.000
1970-09-30;--:--;    337.000
1970-10-01;--:--;    324.000
1970-10-02;--:--;    273.000
1970-10-03;--:--;    233.000
1970-10-04;--:--;    227.000
1970-10-05;--:--;    249.000
1970-10-06;--:--;    301.000
1970-10-07;--:--;    282.000
1970-10-08;--:--;    251.000
1970-10-09;--:--;    314.000
1970-10-10;--:--;    371.000
1970-10-11;--:--;    322.000
1970-10-12;--:--;    275.000
1970-10-13;--:--;    242.000
1970-10-14;--:--;    227.000
1970-10-15;--:--;    236.000
1970-10-16;--:--;    299.000
1970-10-17;--:--;    297.000
1970-10-18;--:--;    279.000
