# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216400
# River:                 ROKEL CREEK
# Station:               BADALA
# Country:               SL
# Latitude (DD):       9.316667
# Longitude (DD):      -11.533333
# Catchment area (km²):      2525.0
# Altitude (m ASL):        19.0
# Next downstream station:      1216350
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1970-06 - 1976-03
# No. of years:          7
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2122
# DATA
YYYY-MM-DD;hh:mm; Value
1970-06-10;--:--;     19.400
1970-06-11;--:--;     15.000
1970-06-12;--:--;     13.000
1970-06-13;--:--;     25.400
1970-06-14;--:--;     27.400
1970-06-15;--:--;     14.700
1970-06-16;--:--;     13.500
1970-06-17;--:--;     15.000
1970-06-18;--:--;     25.000
1970-06-19;--:--;     36.000
1970-06-20;--:--;     35.200
1970-06-21;--:--;     26.400
1970-06-22;--:--;     20.800
1970-06-23;--:--;     25.700
1970-06-24;--:--;     46.300
1970-06-25;--:--;     43.600
1970-06-26;--:--;     27.800
1970-06-27;--:--;     22.200
1970-06-28;--:--;     19.400
1970-06-29;--:--;     17.000
1970-06-30;--:--;     15.000
1970-07-01;--:--;     12.300
1970-07-02;--:--;     19.400
1970-07-03;--:--;     32.000
1970-07-04;--:--;     34.400
1970-07-05;--:--;     30.600
1970-07-06;--:--;     46.300
1970-07-07;--:--;     49.800
1970-07-08;--:--;     94.700
1970-07-09;--:--;    188.000
1970-07-10;--:--;    216.000
1970-07-11;--:--;    213.000
1970-07-12;--:--;    103.000
1970-07-13;--:--;     65.000
1970-07-14;--:--;     34.400
1970-07-15;--:--;     28.500
1970-07-16;--:--;     45.400
1970-07-17;--:--;     65.000
1970-07-18;--:--;     63.000
1970-07-19;--:--;     40.900
1970-07-20;--:--;     37.600
1970-07-21;--:--;     38.400
1970-07-22;--:--;     48.100
1970-07-23;--:--;     53.000
1970-07-24;--:--;     63.000
1970-07-25;--:--;     44.500
1970-07-26;--:--;     44.500
1970-07-27;--:--;     80.400
1970-07-28;--:--;     75.800
1970-07-29;--:--;     58.000
1970-07-30;--:--;     60.000
1970-07-31;--:--;     57.000
1970-08-01;--:--;     89.200
1970-08-02;--:--;     76.900
1970-08-03;--:--;     55.400
1970-08-04;--:--;     49.000
1970-08-05;--:--;     40.000
1970-08-06;--:--;     38.400
1970-08-07;--:--;     38.400
1970-08-08;--:--;     35.200
1970-08-09;--:--;     32.000
1970-08-10;--:--;     31.300
1970-08-11;--:--;     49.000
1970-08-12;--:--;     84.800
1970-08-13;--:--;     92.500
1970-08-14;--:--;     72.500
1970-08-15;--:--;     61.000
1970-08-16;--:--;     51.400
1970-08-17;--:--;     49.800
1970-08-18;--:--;     43.600
1970-08-19;--:--;     45.400
1970-08-20;--:--;    103.000
1970-08-21;--:--;    181.000
1970-08-22;--:--;    208.000
1970-08-23;--:--;    191.000
1970-08-24;--:--;    159.000
1970-08-25;--:--;     85.900
1970-08-26;--:--;     78.200
1970-08-27;--:--;     72.500
1970-08-28;--:--;    111.000
1970-08-29;--:--;    160.000
1970-08-30;--:--;    216.000
1970-08-31;--:--;    236.000
1970-09-01;--:--;    260.000
1970-09-02;--:--;    341.000
1970-09-03;--:--;    398.000
1970-09-04;--:--;    379.000
1970-09-05;--:--;    333.000
1970-09-06;--:--;    248.000
1970-09-07;--:--;    249.000
1970-09-08;--:--;    297.000
1970-09-09;--:--;    268.000
1970-09-10;--:--;    211.000
1970-09-11;--:--;    261.000
1970-09-12;--:--;    233.000
1970-09-13;--:--;    162.000
1970-09-14;--:--;    134.000
1970-09-15;--:--;    160.000
1970-09-16;--:--;    158.000
1970-09-17;--:--;    143.000
1970-09-18;--:--;    128.000
1970-09-19;--:--;    208.000
1970-09-20;--:--;    228.000
1970-09-21;--:--;    201.000
1970-09-22;--:--;    153.000
1970-09-23;--:--;    120.000
1970-09-24;--:--;    123.000
1970-09-25;--:--;    118.000
1970-09-26;--:--;    117.000
1970-09-27;--:--;    110.000
1970-09-28;--:--;    159.000
1970-09-29;--:--;    180.000
1970-09-30;--:--;    203.000
1970-10-01;--:--;    176.000
1970-10-02;--:--;    144.000
1970-10-03;--:--;    127.000
1970-10-04;--:--;    125.000
1970-10-05;--:--;    156.000
1970-10-06;--:--;    201.000
1970-10-07;--:--;    161.000
1970-10-08;--:--;    130.000
1970-10-09;--:--;    185.000
1970-10-10;--:--;    187.000
1970-10-11;--:--;    152.000
1970-10-12;--:--;    129.000
1970-10-13;--:--;    106.000
1970-10-14;--:--;    114.000
1970-10-15;--:--;    144.000
1970-10-16;--:--;    175.000
1970-10-17;--:--;    175.000
1970-10-18;--:--;    169.000
1970-10-19;--:--;    138.000
1970-10-20;--:--;    121.000
1970-10-21;--:--;     98.000
1970-10-22;--:--;    128.000
1970-10-23;--:--;    118.000
1970-10-24;--:--;    107.000
1970-10-25;--:--;    117.000
1970-10-26;--:--;    123.000
1970-10-27;--:--;    140.000
1970-10-28;--:--;    131.000
1970-10-29;--:--;     95.800
1970-10-30;--:--;     97.100
1970-10-31;--:--;     69.200
1970-11-01;--:--;     64.000
1970-11-02;--:--;     61.000
1970-11-03;--:--;     59.000
1970-11-04;--:--;     56.200
1970-11-05;--:--;     54.600
1970-11-06;--:--;     63.000
1970-11-07;--:--;     66.000
1970-11-08;--:--;     56.200
1970-11-09;--:--;     55.600
1970-11-10;--:--;     51.400
1970-11-11;--:--;     48.100
1970-11-12;--:--;     44.500
1970-11-13;--:--;     43.600
1970-11-14;--:--;     56.200
1970-11-15;--:--;     53.800
1970-11-16;--:--;     78.200
1970-11-17;--:--;     99.000
1970-11-18;--:--;     84.000
1970-11-19;--:--;     89.200
1970-11-20;--:--;    150.000
1970-11-21;--:--;    155.000
1970-11-22;--:--;    120.000
1970-11-23;--:--;     72.500
1970-11-24;--:--;     60.000
1970-11-25;--:--;     53.800
1970-11-26;--:--;     51.400
1970-11-27;--:--;     52.200
1970-11-28;--:--;     55.600
1970-11-29;--:--;     46.300
1970-11-30;--:--;     40.900
1970-12-01;--:--;     40.000
1970-12-02;--:--;     38.400
1970-12-03;--:--;     36.800
1970-12-04;--:--;     35.200
1970-12-05;--:--;     33.600
1970-12-06;--:--;     33.600
1970-12-07;--:--;     32.000
1970-12-08;--:--;     32.000
1970-12-09;--:--;     32.000
1970-12-10;--:--;     32.000
1970-12-11;--:--;     32.000
1970-12-12;--:--;     29.900
1970-12-13;--:--;     27.800
1970-12-14;--:--;     26.400
1970-12-15;--:--;     25.000
1970-12-16;--:--;     25.000
1970-12-17;--:--;     25.000
1970-12-18;--:--;     25.000
1970-12-19;--:--;     25.000
1970-12-20;--:--;     25.000
1970-12-21;--:--;     25.000
1970-12-22;--:--;     23.600
1970-12-23;--:--;     22.200
1970-12-24;--:--;     22.200
1970-12-25;--:--;     22.200
1970-12-26;--:--;     20.800
1970-12-27;--:--;     20.800
1970-12-28;--:--;     20.800
1970-12-29;--:--;     20.800
1970-12-30;--:--;     20.800
1970-12-31;--:--;     19.700
1971-01-01;--:--;     18.700
1971-01-02;--:--;     17.000
1971-01-03;--:--;     17.000
1971-01-04;--:--;     16.000
1971-01-05;--:--;     16.000
1971-01-06;--:--;     15.000
1971-01-07;--:--;     15.000
1971-01-08;--:--;     15.000
1971-01-09;--:--;     14.000
1971-01-10;--:--;     14.000
1971-01-11;--:--;     14.000
1971-01-12;--:--;     13.000
1971-01-13;--:--;     13.000
1971-01-14;--:--;     12.300
1971-01-15;--:--;     12.300
1971-01-16;--:--;     11.500
1971-01-17;--:--;     11.500
1971-01-18;--:--;     11.500
1971-01-19;--:--;     11.500
1971-01-20;--:--;     10.800
1971-01-21;--:--;     10.800
1971-01-22;--:--;     10.800
1971-01-23;--:--;     10.800
1971-01-24;--:--;     10.000
1971-01-25;--:--;     10.000
1971-01-26;--:--;     10.000
1971-01-27;--:--;     10.000
1971-01-28;--:--;      9.300
1971-01-29;--:--;      9.300
1971-01-30;--:--;      9.300
1971-01-31;--:--;      9.300
1971-02-01;--:--;      9.300
1971-02-02;--:--;      8.700
1971-02-03;--:--;      8.700
1971-02-04;--:--;      8.200
1971-02-05;--:--;      8.200
1971-02-06;--:--;      7.600
1971-02-07;--:--;      7.600
1971-02-08;--:--;      7.600
1971-02-09;--:--;      7.600
1971-02-10;--:--;      7.100
1971-02-11;--:--;      7.100
1971-02-12;--:--;      6.500
1971-02-13;--:--;      6.500
1971-02-14;--:--;      6.500
1971-02-15;--:--;      6.500
1971-02-16;--:--;      7.100
1971-02-17;--:--;      6.500
1971-02-18;--:--;      6.100
1971-02-19;--:--;      6.100
1971-02-20;--:--;      5.700
1971-02-21;--:--;      5.700
1971-02-22;--:--;      5.200
1971-02-23;--:--;      5.200
1971-02-24;--:--;      5.200
1971-02-25;--:--;      4.700
1971-02-26;--:--;      4.700
1971-02-27;--:--;      4.700
1971-02-28;--:--;      4.200
1971-03-01;--:--;      4.200
1971-03-02;--:--;      4.200
