# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216430
# River:                 BUNDOYE
# Station:               PALIMA
# Country:               SL
# Latitude (DD):       8.1
# Longitude (DD):      -11.316667
# Catchment area (km²):      361.0
# Altitude (m ASL):        14.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-01 - 1976-03
# No. of years:          5
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1552
# DATA
YYYY-MM-DD;hh:mm; Value
1972-01-01;--:--;     15.300
1972-01-02;--:--;     14.000
1972-01-03;--:--;     13.200
1972-01-04;--:--;     12.400
1972-01-05;--:--;     12.100
1972-01-06;--:--;     11.800
1972-01-07;--:--;     11.500
1972-01-08;--:--;     11.000
1972-01-09;--:--;     10.800
1972-01-10;--:--;     10.200
1972-01-11;--:--;      9.800
1972-01-12;--:--;      9.600
1972-01-13;--:--;      9.240
1972-01-14;--:--;      8.880
1972-01-15;--:--;      8.700
1972-01-16;--:--;      8.520
1972-01-17;--:--;      8.340
1972-01-18;--:--;      8.010
1972-01-19;--:--;      8.010
1972-01-20;--:--;      7.850
1972-01-21;--:--;      7.370
1972-01-22;--:--;      7.210
1972-01-23;--:--;      6.470
1972-01-24;--:--;      6.190
1972-01-25;--:--;      5.910
1972-01-26;--:--;      6.970
1972-01-27;--:--;     22.400
1972-01-28;--:--;     13.700
1972-01-29;--:--;      8.180
1972-01-30;--:--;      6.260
1972-01-31;--:--;      5.390
1972-02-01;--:--;     11.000
1972-02-02;--:--;      7.770
1972-02-03;--:--;      5.270
1972-02-04;--:--;      4.370
1972-02-05;--:--;      4.010
1972-02-06;--:--;      3.860
1972-02-07;--:--;      3.720
1972-02-08;--:--;      3.810
1972-02-09;--:--;      6.470
1972-02-10;--:--;      4.620
1972-02-11;--:--;      7.610
1972-02-12;--:--;      4.620
1972-02-13;--:--;      3.370
1972-02-14;--:--;      2.750
1972-02-15;--:--;      2.190
1972-02-16;--:--;      1.830
1972-02-17;--:--;      2.160
1972-02-18;--:--;      3.620
1972-02-19;--:--;      3.170
1972-02-20;--:--;      3.370
1972-02-21;--:--;      2.750
1972-02-22;--:--;      2.380
1972-02-23;--:--;      2.550
1972-02-24;--:--;      2.300
1972-02-25;--:--;      4.920
1972-02-26;--:--;      8.610
1972-02-27;--:--;      4.220
1972-02-28;--:--;      2.830
1972-02-29;--:--;      2.380
1972-03-01;--:--;      1.920
1972-03-02;--:--;      1.860
1972-03-03;--:--;      1.530
1972-03-04;--:--;      1.080
1972-03-05;--:--;      0.980
1972-03-06;--:--;      1.060
1972-03-07;--:--;      0.940
1972-03-08;--:--;      0.900
1972-03-09;--:--;      0.860
1972-03-10;--:--;      0.830
1972-03-11;--:--;      0.900
1972-03-12;--:--;      0.860
1972-03-13;--:--;      1.020
1972-03-14;--:--;      1.270
1972-03-15;--:--;      0.940
1972-03-16;--:--;      0.790
1972-03-17;--:--;      0.680
1972-03-18;--:--;      0.590
1972-03-19;--:--;      0.690
1972-03-20;--:--;      3.210
1972-03-21;--:--;      2.220
1972-03-22;--:--;      1.890
1972-03-23;--:--;      2.380
1972-03-24;--:--;      2.190
1972-03-25;--:--;      1.650
1972-03-26;--:--;      1.350
1972-03-27;--:--;      1.350
1972-03-28;--:--;      2.130
1972-03-29;--:--;      2.870
1972-03-30;--:--;      1.800
1972-03-31;--:--;      1.370
1972-04-01;--:--;      1.310
1972-04-02;--:--;      1.160
1972-04-03;--:--;      1.470
1972-04-04;--:--;      1.100
1972-04-05;--:--;      0.980
1972-04-06;--:--;      0.830
1972-04-07;--:--;      0.770
1972-04-08;--:--;      0.730
1972-04-09;--:--;      1.410
1972-04-10;--:--;     10.300
1972-04-11;--:--;      5.910
1972-04-12;--:--;     12.900
1972-04-13;--:--;      4.620
1972-04-14;--:--;      2.950
1972-04-15;--:--;      2.750
1972-04-16;--:--;      2.750
1972-04-17;--:--;      2.260
1972-04-18;--:--;      2.160
1972-04-19;--:--;      2.190
1972-04-20;--:--;      1.770
1972-04-21;--:--;      2.160
1972-04-22;--:--;      2.990
1972-04-23;--:--;      3.620
1972-04-24;--:--;      5.570
1972-04-25;--:--;      4.990
1972-04-26;--:--;      3.720
1972-04-27;--:--;      3.170
1972-04-28;--:--;      3.520
1972-04-29;--:--;      5.570
1972-04-30;--:--;      5.330
1972-05-01;--:--;      2.950
1972-05-02;--:--;      2.550
1972-05-03;--:--;      6.050
1972-05-04;--:--;      6.050
1972-05-05;--:--;      7.530
1972-05-06;--:--;      6.610
1972-05-07;--:--;      7.770
1972-05-08;--:--;      4.620
1972-05-09;--:--;      3.670
1972-05-10;--:--;      3.520
1972-05-11;--:--;      5.910
1972-05-12;--:--;     10.000
1972-05-13;--:--;      9.240
1972-05-14;--:--;      6.680
1972-05-15;--:--;      5.060
1972-05-16;--:--;      5.270
1972-05-17;--:--;      6.970
1972-05-18;--:--;     11.700
1972-05-19;--:--;      6.890
1972-05-20;--:--;      4.860
1972-05-21;--:--;      3.670
1972-05-22;--:--;      3.250
1972-05-23;--:--;      2.910
1972-05-24;--:--;      2.630
1972-05-25;--:--;      2.550
1972-05-26;--:--;      2.300
1972-05-27;--:--;      2.750
1972-05-28;--:--;      9.610
1972-05-29;--:--;      6.890
1972-05-30;--:--;      4.520
1972-05-31;--:--;      4.010
1972-06-01;--:--;      7.850
1972-06-02;--:--;      9.800
1972-06-03;--:--;      9.060
1972-06-04;--:--;      7.770
1972-06-05;--:--;     39.300
1972-06-06;--:--;     27.500
1972-06-07;--:--;     28.700
1972-06-08;--:--;     23.000
1972-06-09;--:--;     11.800
1972-06-10;--:--;      8.880
1972-06-11;--:--;      6.470
1972-06-12;--:--;      7.850
1972-06-13;--:--;     15.700
1972-06-14;--:--;      8.430
1972-06-15;--:--;     25.200
1972-06-16;--:--;     38.500
1972-06-17;--:--;     17.600
1972-06-18;--:--;     11.800
1972-06-19;--:--;     17.100
1972-06-20;--:--;     11.700
1972-06-21;--:--;      8.790
1972-06-22;--:--;      7.770
1972-06-23;--:--;      7.530
1972-06-24;--:--;     21.700
1972-06-25;--:--;     42.700
1972-06-26;--:--;     25.800
1972-06-27;--:--;     14.000
1972-06-28;--:--;     11.000
1972-06-29;--:--;      9.520
1972-06-30;--:--;     20.100
1972-07-01;--:--;     24.200
1972-07-02;--:--;     21.700
1972-07-03;--:--;     17.100
1972-07-04;--:--;     28.900
1972-07-05;--:--;     17.700
1972-07-06;--:--;     13.200
1972-07-07;--:--;     11.500
1972-07-08;--:--;     10.500
1972-07-09;--:--;     13.200
1972-07-10;--:--;     21.700
1972-07-11;--:--;     13.900
1972-07-12;--:--;     16.200
1972-07-13;--:--;     18.500
1972-07-14;--:--;     14.900
1972-07-15;--:--;     22.400
1972-07-16;--:--;     33.900
1972-07-17;--:--;     20.100
1972-07-18;--:--;     28.500
1972-07-19;--:--;     39.700
1972-07-20;--:--;     36.300
1972-07-21;--:--;     23.000
1972-07-22;--:--;     20.700
1972-07-23;--:--;     21.300
1972-07-24;--:--;     17.100
1972-07-25;--:--;     35.000
1972-07-26;--:--;     27.700
1972-07-27;--:--;     18.100
1972-07-28;--:--;     17.300
1972-07-29;--:--;     17.100
1972-07-30;--:--;     18.500
1972-07-31;--:--;     17.100
1972-08-01;--:--;     18.500
1972-08-02;--:--;     17.700
1972-08-03;--:--;     59.600
1972-08-04;--:--;     63.000
1972-08-05;--:--;    117.000
1972-08-06;--:--;     75.000
1972-08-07;--:--;     36.000
1972-08-08;--:--;     25.000
1972-08-09;--:--;     23.000
1972-08-10;--:--;     22.000
1972-08-11;--:--;     22.000
1972-08-12;--:--;     21.000
1972-08-13;--:--;     21.000
1972-08-14;--:--;     21.000
1972-08-15;--:--;     23.000
1972-08-16;--:--;     25.000
1972-08-17;--:--;     27.000
1972-08-18;--:--;     21.000
1972-08-19;--:--;     17.000
1972-08-20;--:--;     15.000
1972-08-21;--:--;     14.000
1972-08-22;--:--;     14.000
1972-08-23;--:--;     13.000
1972-08-24;--:--;     12.000
1972-08-25;--:--;     12.000
