# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216450
# River:                 SEWA
# Station:               JAIAMA SAWAFE
# Country:               SL
# Latitude (DD):       8.5667
# Longitude (DD):      -11.2667
# Catchment area (km²):      6870.0
# Altitude (m ASL):        25.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-08 - 1976-03
# No. of years:          6
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1705
# DATA
YYYY-MM-DD;hh:mm; Value
1971-08-01;--:--;    227.000
1971-08-02;--:--;    250.000
1971-08-03;--:--;    424.000
1971-08-04;--:--;    410.000
1971-08-05;--:--;    441.000
1971-08-06;--:--;    446.000
1971-08-07;--:--;    446.000
1971-08-08;--:--;    430.000
1971-08-09;--:--;    398.000
1971-08-10;--:--;    371.000
1971-08-11;--:--;    338.000
1971-08-12;--:--;    315.000
1971-08-13;--:--;    294.000
1971-08-14;--:--;    229.000
1971-08-15;--:--;    320.000
1971-08-16;--:--;    338.000
1971-08-17;--:--;    357.000
1971-08-18;--:--;    338.000
1971-08-19;--:--;    329.000
1971-08-20;--:--;    320.000
1971-08-21;--:--;    307.000
1971-08-22;--:--;    307.000
1971-08-23;--:--;    303.000
1971-08-24;--:--;    286.000
1971-08-25;--:--;    280.000
1971-08-26;--:--;    301.000
1971-08-27;--:--;    307.000
1971-08-28;--:--;    312.000
1971-08-29;--:--;    300.000
1971-08-30;--:--;    272.000
1971-08-31;--:--;    657.000
1971-09-01;--:--;    272.000
1971-09-02;--:--;    272.000
1971-09-03;--:--;    290.000
1971-09-04;--:--;    343.000
1971-09-05;--:--;    329.000
1971-09-06;--:--;    329.000
1971-09-07;--:--;    307.000
1971-09-08;--:--;    286.000
1971-09-09;--:--;    347.000
1971-09-10;--:--;    405.000
1971-09-11;--:--;    361.000
1971-09-12;--:--;    334.000
1971-09-13;--:--;    361.000
1971-09-14;--:--;    366.000
1971-09-15;--:--;    357.000
1971-09-16;--:--;    343.000
1971-09-17;--:--;    331.000
1971-09-18;--:--;    338.000
1971-09-19;--:--;    329.000
1971-09-20;--:--;    324.000
1971-09-21;--:--;    329.000
1971-09-22;--:--;    322.000
1971-09-23;--:--;    343.000
1971-09-24;--:--;    343.000
1971-09-25;--:--;    343.000
1971-09-26;--:--;    347.000
1971-09-27;--:--;    320.000
1971-09-28;--:--;    286.000
1971-09-29;--:--;    278.000
1971-09-30;--:--;    278.000
1971-10-01;--:--;    232.000
1971-10-02;--:--;    290.000
1971-10-03;--:--;    286.000
1971-10-04;--:--;    290.000
1971-10-05;--:--;    269.000
1971-10-06;--:--;    314.000
1971-10-07;--:--;    318.000
1971-10-08;--:--;    322.000
1971-10-09;--:--;    307.000
1971-10-10;--:--;    299.000
1971-10-11;--:--;    284.000
1971-10-12;--:--;    278.000
1971-10-13;--:--;    274.000
1971-10-14;--:--;    299.000
1971-10-15;--:--;    290.000
1971-10-16;--:--;    294.000
1971-10-17;--:--;    286.000
1971-10-18;--:--;    278.000
1971-10-19;--:--;    266.000
1971-10-20;--:--;    272.000
1971-10-21;--:--;    270.000
1971-10-22;--:--;    258.000
1971-10-23;--:--;    270.000
1971-10-24;--:--;    258.000
1971-10-25;--:--;    250.000
1971-10-26;--:--;    238.000
1971-10-27;--:--;    235.000
1971-10-28;--:--;    216.000
1971-10-29;--:--;    213.000
1971-10-30;--:--;    213.000
1971-10-31;--:--;    213.000
1971-11-01;--:--;    213.000
1971-11-02;--:--;    210.000
1971-11-03;--:--;    209.000
1971-11-04;--:--;    209.000
1971-11-05;--:--;    212.000
1971-11-06;--:--;    209.000
1971-11-07;--:--;    194.000
1971-11-08;--:--;    182.000
1971-11-09;--:--;    185.000
1971-11-10;--:--;    195.000
1971-11-11;--:--;    227.000
1971-11-12;--:--;    209.000
1971-11-13;--:--;    187.000
1971-11-14;--:--;    176.000
1971-11-15;--:--;    179.000
1971-11-16;--:--;    203.000
1971-11-17;--:--;    224.000
1971-11-18;--:--;    199.000
1971-11-19;--:--;    179.000
1971-11-20;--:--;    174.000
1971-11-21;--:--;    184.000
1971-11-22;--:--;    194.000
1971-11-23;--:--;    233.000
1971-11-24;--:--;    231.000
1971-11-25;--:--;    220.000
1971-11-26;--:--;    263.000
1971-11-27;--:--;    327.000
1971-11-28;--:--;    352.000
1971-11-29;--:--;    347.000
1971-11-30;--:--;    307.000
1971-12-01;--:--;    307.000
1971-12-02;--:--;    301.000
1971-12-03;--:--;    288.000
1971-12-04;--:--;    224.000
1971-12-05;--:--;    214.000
1971-12-06;--:--;    213.000
1971-12-07;--:--;    213.000
1971-12-08;--:--;    202.000
1971-12-09;--:--;    182.000
1971-12-10;--:--;    171.000
1971-12-11;--:--;    160.000
1971-12-12;--:--;    157.000
1971-12-13;--:--;    154.000
1971-12-14;--:--;    220.000
1971-12-15;--:--;    171.000
1971-12-16;--:--;    204.000
1971-12-17;--:--;    185.000
1971-12-18;--:--;    171.000
1971-12-19;--:--;    149.000
1971-12-20;--:--;    139.000
1971-12-21;--:--;    132.000
1971-12-22;--:--;    127.000
1971-12-23;--:--;    126.000
1971-12-24;--:--;    123.000
1971-12-25;--:--;    120.000
1971-12-26;--:--;    118.000
1971-12-27;--:--;    115.000
1971-12-28;--:--;    114.000
1971-12-29;--:--;    110.000
1971-12-30;--:--;    107.000
1971-12-31;--:--;    100.000
1972-01-01;--:--;     96.400
1972-01-02;--:--;     96.400
1972-01-03;--:--;     95.400
1972-01-04;--:--;     90.800
1972-01-05;--:--;     87.400
1972-01-06;--:--;     86.400
1972-01-07;--:--;     86.400
1972-01-08;--:--;     84.200
1972-01-09;--:--;     83.000
1972-01-10;--:--;     82.000
1972-01-11;--:--;     79.900
1972-01-12;--:--;     77.800
1972-01-13;--:--;     75.700
1972-01-14;--:--;     71.700
1972-01-15;--:--;     70.700
1972-01-16;--:--;     69.700
1972-01-17;--:--;     67.700
1972-01-18;--:--;     65.800
1972-01-19;--:--;     65.800
1972-01-20;--:--;     63.900
1972-01-21;--:--;     62.000
1972-01-22;--:--;     60.200
1972-01-23;--:--;     58.400
1972-01-24;--:--;     56.600
1972-01-25;--:--;     56.600
1972-01-26;--:--;     56.600
1972-01-27;--:--;     56.600
1972-01-28;--:--;     64.800
1972-01-29;--:--;     67.700
1972-01-30;--:--;     65.800
1972-01-31;--:--;     58.400
1972-02-01;--:--;     53.200
1972-02-02;--:--;     54.890
1972-02-03;--:--;     52.200
1972-02-04;--:--;     48.200
1972-02-05;--:--;     45.000
1972-02-06;--:--;     42.500
1972-02-07;--:--;     40.400
1972-02-08;--:--;     39.000
1972-02-09;--:--;     40.400
1972-02-10;--:--;     39.500
1972-02-11;--:--;     39.000
1972-02-12;--:--;     39.000
1972-02-13;--:--;     37.600
1972-02-14;--:--;     37.600
1972-02-15;--:--;     33.500
1972-02-16;--:--;     31.400
1972-02-17;--:--;     30.900
1972-02-18;--:--;     30.900
1972-02-19;--:--;     32.100
1972-02-20;--:--;     32.100
1972-02-21;--:--;     33.500
1972-02-22;--:--;     32.100
1972-02-23;--:--;     30.900
1972-02-24;--:--;     28.400
1972-02-25;--:--;     26.000
1972-02-26;--:--;     24.800
1972-02-27;--:--;     23.700
1972-02-28;--:--;     22.600
1972-02-29;--:--;     22.000
1972-03-01;--:--;     20.500
1972-03-02;--:--;     19.500
1972-03-03;--:--;     19.500
1972-03-04;--:--;     17.500
1972-03-05;--:--;     17.500
1972-03-06;--:--;     16.600
1972-03-07;--:--;     16.600
1972-03-08;--:--;     15.700
1972-03-09;--:--;     14.800
1972-03-10;--:--;     14.000
1972-03-11;--:--;     15.700
1972-03-12;--:--;     14.800
1972-03-13;--:--;     14.000
1972-03-14;--:--;     13.100
1972-03-15;--:--;     13.100
1972-03-16;--:--;     14.800
1972-03-17;--:--;     14.800
1972-03-18;--:--;     14.800
1972-03-19;--:--;     15.700
1972-03-20;--:--;     14.400
1972-03-21;--:--;     14.400
1972-03-22;--:--;     12.700
1972-03-23;--:--;     12.300
1972-03-24;--:--;     17.500
1972-03-25;--:--;     19.600
1972-03-26;--:--;     23.700
1972-03-27;--:--;     21.500
1972-03-28;--:--;     24.200
1972-03-29;--:--;     26.000
1972-03-30;--:--;     28.400
1972-03-31;--:--;     28.400
1972-04-01;--:--;     30.900
1972-04-02;--:--;     30.900
1972-04-03;--:--;     28.400
1972-04-04;--:--;     26.000
1972-04-05;--:--;     24.800
1972-04-06;--:--;     26.500
1972-04-07;--:--;     26.000
1972-04-08;--:--;     22.600
1972-04-09;--:--;     20.000
1972-04-10;--:--;     20.500
1972-04-11;--:--;     28.900
1972-04-12;--:--;     30.900
1972-04-13;--:--;     28.900
1972-04-14;--:--;     28.400
1972-04-15;--:--;     27.100
1972-04-16;--:--;     27.100
1972-04-17;--:--;     27.100
1972-04-18;--:--;     28.400
1972-04-19;--:--;     27.100
1972-04-20;--:--;     24.800
1972-04-21;--:--;     23.700
1972-04-22;--:--;     28.400
1972-04-23;--:--;     53.200
1972-04-24;--:--;     68.700
1972-04-25;--:--;     77.800
1972-04-26;--:--;    100.000
1972-04-27;--:--;    101.000
1972-04-28;--:--;     86.400
1972-04-29;--:--;     82.000
1972-04-30;--:--;     86.400
1972-05-01;--:--;     87.400
1972-05-02;--:--;     82.000
1972-05-03;--:--;     75.200
1972-05-04;--:--;     83.000
1972-05-05;--:--;     93.100
1972-05-06;--:--;     97.700
1972-05-07;--:--;     82.000
1972-05-08;--:--;     74.700
1972-05-09;--:--;     78.800
1972-05-10;--:--;     67.700
1972-05-11;--:--;     75.700
1972-05-12;--:--;     91.800
1972-05-13;--:--;    103.000
1972-05-14;--:--;    115.000
1972-05-15;--:--;    112.000
1972-05-16;--:--;    107.000
1972-05-17;--:--;    103.000
1972-05-18;--:--;     97.700
1972-05-19;--:--;    123.000
1972-05-20;--:--;     96.400
1972-05-21;--:--;     86.400
1972-05-22;--:--;     86.400
1972-05-23;--:--;     90.800
1972-05-24;--:--;     98.700
1972-05-25;--:--;    103.000
1972-05-26;--:--;    100.000
1972-05-27;--:--;    100.000
1972-05-28;--:--;    112.000
1972-05-29;--:--;    123.000
1972-05-30;--:--;    105.000
1972-05-31;--:--;    145.000
1972-06-01;--:--;    222.000
1972-06-02;--:--;    235.000
1972-06-03;--:--;    252.000
1972-06-04;--:--;    282.000
1972-06-05;--:--;    280.000
1972-06-06;--:--;    292.000
1972-06-07;--:--;    325.000
1972-06-08;--:--;    322.000
1972-06-09;--:--;    343.000
1972-06-10;--:--;    299.000
1972-06-11;--:--;    274.000
1972-06-12;--:--;    286.000
1972-06-13;--:--;    307.000
1972-06-14;--:--;    329.000
1972-06-15;--:--;    325.000
1972-06-16;--:--;    359.000
1972-06-17;--:--;    331.000
1972-06-18;--:--;    316.000
1972-06-19;--:--;    123.000
1972-06-20;--:--;    268.000
1972-06-21;--:--;    282.000
