# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1216500
# River:                 MABOA
# Station:               DODO
# Country:               SL
# Latitude (DD):       8.15
# Longitude (DD):      -11.15
# Catchment area (km²):      57.0
# Altitude (m ASL):        27.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-04 - 1976-03
# No. of years:          5
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1972-04-01;--:--;      0.280
1972-04-02;--:--;      0.170
1972-04-03;--:--;      0.170
1972-04-04;--:--;      0.070
1972-04-05;--:--;      0.070
1972-04-06;--:--;      0.070
1972-04-07;--:--;      0.070
1972-04-08;--:--;      0.070
1972-04-09;--:--;      0.070
1972-04-10;--:--;      0.070
1972-04-11;--:--;      0.280
1972-04-12;--:--;      0.390
1972-04-13;--:--;      0.890
1972-04-14;--:--;      0.630
1972-04-15;--:--;      0.510
1972-04-16;--:--;      0.390
1972-04-17;--:--;      0.510
1972-04-18;--:--;      0.280
1972-04-19;--:--;      0.280
1972-04-20;--:--;      0.280
1972-04-21;--:--;      0.280
1972-04-22;--:--;      0.170
1972-04-23;--:--;      0.510
1972-04-24;--:--;      0.630
1972-04-25;--:--;      0.890
1972-04-26;--:--;      1.160
1972-04-27;--:--;      0.890
1972-04-28;--:--;      0.890
1972-04-29;--:--;      1.160
1972-04-30;--:--;      0.630
1972-05-01;--:--;      0.510
1972-05-02;--:--;      1.440
1972-05-03;--:--;      1.300
1972-05-04;--:--;      3.450
1972-05-05;--:--;      1.590
1972-05-06;--:--;      1.730
1972-05-07;--:--;      1.160
1972-05-08;--:--;      0.890
1972-05-09;--:--;      0.890
1972-05-10;--:--;      0.760
1972-05-11;--:--;      2.330
1972-05-12;--:--;      1.440
1972-05-13;--:--;      1.440
1972-05-14;--:--;      1.020
1972-05-15;--:--;      1.440
1972-05-16;--:--;      1.160
1972-05-17;--:--;      2.800
1972-05-18;--:--;      1.590
1972-05-19;--:--;      1.160
1972-05-20;--:--;      0.890
1972-05-21;--:--;      0.890
