# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1219500
# River:                 MAKONA RIVER
# Station:               MOA BRIDGE
# Country:               SL
# Latitude (DD):       7.81667
# Longitude (DD):      -11.16667
# Catchment area (km²):      17150.0
# Altitude (m ASL):        50.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Sierra Leone - Salone Water Security, Sierra Leone Ministry of Water Resources
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1971-01 - 1975-08
# No. of years:          5
# Last update:           2018-08-13
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1692
# DATA
YYYY-MM-DD;hh:mm; Value
1971-01-13;--:--;     90.300
1971-01-14;--:--;     84.600
1971-01-15;--:--;     84.600
1971-01-16;--:--;     79.000
1971-01-17;--:--;     73.600
1971-01-18;--:--;     73.600
1971-01-19;--:--;     73.600
1971-01-20;--:--;     73.600
1971-01-21;--:--;     68.200
1971-01-22;--:--;     68.200
1971-01-23;--:--;     68.200
1971-01-24;--:--;     68.200
1971-01-25;--:--;     68.200
1971-01-26;--:--;     63.000
1971-01-27;--:--;     63.000
1971-01-28;--:--;     63.000
1971-01-29;--:--;     63.000
1971-01-30;--:--;     58.000
1971-01-31;--:--;     58.000
1971-02-01;--:--;     58.000
1971-02-02;--:--;     58.000
1971-02-03;--:--;     53.000
1971-02-04;--:--;     53.000
1971-02-05;--:--;     53.000
1971-02-06;--:--;     53.000
1971-02-07;--:--;     53.000
1971-02-08;--:--;     48.200
1971-02-09;--:--;     48.200
1971-02-10;--:--;     48.200
1971-02-11;--:--;     48.200
1971-02-12;--:--;     58.000
1971-02-13;--:--;     73.600
1971-02-14;--:--;     84.600
1971-02-15;--:--;     79.000
1971-02-16;--:--;     68.200
1971-02-17;--:--;     63.000
1971-02-18;--:--;     58.000
1971-02-19;--:--;     58.000
1971-02-20;--:--;     58.000
1971-02-21;--:--;     68.200
1971-02-22;--:--;     68.200
1971-02-23;--:--;     68.200
1971-02-24;--:--;     67.000
1971-02-25;--:--;     67.000
1971-02-26;--:--;     71.200
1971-02-27;--:--;     79.000
1971-02-28;--:--;     79.000
1971-03-01;--:--;     68.200
1971-03-02;--:--;     58.000
1971-03-03;--:--;     48.200
1971-03-04;--:--;     43.700
1971-03-05;--:--;     43.500
1971-03-06;--:--;     43.600
1971-03-07;--:--;     39.100
1971-03-08;--:--;     39.100
1971-03-09;--:--;     34.700
1971-03-10;--:--;     34.700
1971-03-11;--:--;     34.700
1971-03-12;--:--;     34.700
1971-03-13;--:--;     34.700
1971-03-14;--:--;     34.700
1971-03-15;--:--;     30.500
1971-03-16;--:--;     30.500
1971-03-17;--:--;     30.500
1971-03-18;--:--;     26.500
1971-03-19;--:--;     30.500
1971-03-20;--:--;     30.500
1971-03-21;--:--;     30.500
1971-03-22;--:--;     30.500
1971-03-23;--:--;     30.500
1971-03-24;--:--;     39.100
1971-03-25;--:--;     34.700
1971-03-26;--:--;     39.100
1971-03-27;--:--;     39.100
1971-03-28;--:--;     43.600
1971-03-29;--:--;     48.200
1971-03-30;--:--;     43.600
1971-03-31;--:--;     39.100
1971-04-01;--:--;     34.700
1971-04-02;--:--;     30.500
1971-04-03;--:--;     26.500
1971-04-04;--:--;     26.500
1971-04-05;--:--;     26.500
1971-04-06;--:--;     26.500
1971-04-07;--:--;     26.500
1971-04-08;--:--;     26.500
1971-04-09;--:--;     26.500
1971-04-10;--:--;     43.600
1971-04-11;--:--;     43.600
1971-04-12;--:--;     48.200
1971-04-13;--:--;     48.200
1971-04-14;--:--;     43.600
1971-04-15;--:--;     48.200
1971-04-16;--:--;     53.000
1971-04-17;--:--;     96.100
1971-04-18;--:--;     90.300
1971-04-19;--:--;     84.600
1971-04-20;--:--;     79.000
1971-04-21;--:--;     73.600
1971-04-22;--:--;     68.200
1971-04-23;--:--;     68.200
1971-04-24;--:--;     68.200
1971-04-25;--:--;     63.000
1971-04-26;--:--;     68.200
1971-04-27;--:--;    102.000
1971-04-28;--:--;    147.000
1971-04-29;--:--;    140.000
1971-04-30;--:--;    120.000
1971-05-01;--:--;    114.000
1971-05-02;--:--;    114.000
1971-05-03;--:--;    153.000
1971-05-04;--:--;    167.000
1971-05-05;--:--;    161.000
1971-05-06;--:--;    140.000
1971-05-07;--:--;    114.000
1971-05-08;--:--;    120.000
1971-05-09;--:--;    108.000
1971-05-10;--:--;    102.000
1971-05-11;--:--;     96.100
1971-05-12;--:--;     90.300
1971-05-13;--:--;     90.200
1971-05-14;--:--;     90.300
1971-05-15;--:--;    102.000
1971-05-16;--:--;    102.000
1971-05-17;--:--;     96.100
1971-05-18;--:--;     96.100
1971-05-19;--:--;     96.100
1971-05-20;--:--;     90.300
1971-05-21;--:--;     84.600
1971-05-22;--:--;     79.000
1971-05-23;--:--;     90.300
1971-05-24;--:--;    120.000
1971-05-25;--:--;    132.000
1971-05-26;--:--;    108.000
1971-05-27;--:--;     96.100
1971-05-28;--:--;     84.600
1971-05-29;--:--;     79.000
1971-05-30;--:--;    132.000
1971-05-31;--:--;    242.000
1971-06-01;--:--;    266.000
1971-06-02;--:--;    226.000
1971-06-03;--:--;    187.000
1971-06-04;--:--;    174.000
1971-06-05;--:--;    153.000
1971-06-06;--:--;    132.000
1971-06-07;--:--;    120.000
1971-06-08;--:--;    108.000
1971-06-09;--:--;     96.100
1971-06-10;--:--;     90.300
1971-06-11;--:--;     96.100
1971-06-12;--:--;     90.300
1971-06-13;--:--;    108.000
1971-06-14;--:--;    108.000
1971-06-15;--:--;    108.000
1971-06-16;--:--;     96.100
1971-06-17;--:--;    102.000
1971-06-18;--:--;    132.000
1971-06-19;--:--;    140.000
1971-06-20;--:--;    147.000
1971-06-21;--:--;    132.000
1971-06-22;--:--;    132.000
1971-06-23;--:--;    405.000
1971-06-24;--:--;    543.000
1971-06-25;--:--;    692.000
1971-06-26;--:--;    901.000
1971-06-27;--:--;    951.000
1971-06-28;--:--;    759.000
1971-06-29;--:--;    553.000
1971-06-30;--:--;    553.000
1971-07-01;--:--;    503.000
1971-07-02;--:--;    453.000
1971-07-03;--:--;    379.000
1971-07-04;--:--;    271.000
1971-07-05;--:--;    218.000
1971-07-06;--:--;    187.000
1971-07-07;--:--;    174.000
1971-07-08;--:--;    299.000
1971-07-09;--:--;    379.000
1971-07-10;--:--;    483.000
1971-07-11;--:--;    433.000
1971-07-12;--:--;    387.000
1971-07-13;--:--;    259.000
1971-07-14;--:--;    299.000
1971-07-15;--:--;    250.000
1971-07-16;--:--;    234.000
1971-07-17;--:--;    266.000
1971-07-18;--:--;    282.000
1971-07-19;--:--;    553.000
1971-07-20;--:--;    605.000
1971-07-21;--:--;    503.000
1971-07-22;--:--;    405.000
1971-07-23;--:--;    350.000
1971-07-24;--:--;    315.000
1971-07-25;--:--;    342.000
1971-07-26;--:--;    493.000
1971-07-27;--:--;    648.000
1971-07-28;--:--;    648.000
1971-07-29;--:--;    615.000
1971-07-30;--:--;    513.000
1971-07-31;--:--;    405.000
1971-08-01;--:--;    369.000
1971-08-02;--:--;    334.000
1971-08-03;--:--;    369.000
1971-08-04;--:--;    682.000
1971-08-05;--:--;    925.000
1971-08-06;--:--;   1100.000
1971-08-07;--:--;   1100.000
1971-08-08;--:--;   1112.000
1971-08-09;--:--;   1088.000
1971-08-10;--:--;   1037.000
1971-08-11;--:--;   1037.000
1971-08-12;--:--;    913.000
1971-08-13;--:--;    748.000
1971-08-14;--:--;    783.000
1971-08-15;--:--;    998.000
1971-08-16;--:--;   1203.000
1971-08-17;--:--;   1124.000
1971-08-18;--:--;   1023.000
1971-08-19;--:--;    925.000
1971-08-20;--:--;    877.000
1971-08-21;--:--;    806.000
1971-08-22;--:--;    925.000
1971-08-23;--:--;   1010.000
1971-08-24;--:--;    986.000
1971-08-25;--:--;    854.000
1971-08-26;--:--;    830.000
1971-08-27;--:--;    865.000
1971-08-28;--:--;    795.000
1971-08-29;--:--;    738.000
1971-08-30;--:--;    692.000
1971-08-31;--:--;    682.000
1971-09-01;--:--;    759.000
1971-09-02;--:--;    771.000
1971-09-03;--:--;    865.000
1971-09-04;--:--;   1037.000
1971-09-05;--:--;   1165.000
1971-09-06;--:--;   1270.000
1971-09-07;--:--;   1231.000
1971-09-08;--:--;   1189.000
1971-09-09;--:--;   1634.000
1971-09-10;--:--;   1664.000
1971-09-11;--:--;   1664.000
1971-09-12;--:--;   1650.000
1971-09-13;--:--;   1678.000
1971-09-14;--:--;   1620.000
1971-09-15;--:--;   1393.000
1971-09-16;--:--;   1171.000
1971-09-17;--:--;   1055.000
1971-09-18;--:--;   1004.000
1971-09-19;--:--;   1043.000
1971-09-20;--:--;   1106.000
1971-09-21;--:--;   1277.000
1971-09-22;--:--;   1331.000
1971-09-23;--:--;   1555.000
1971-09-24;--:--;   1555.000
1971-09-25;--:--;   1414.000
1971-09-26;--:--;   1291.000
1971-09-27;--:--;   1130.000
1971-09-28;--:--;   1030.000
1971-09-29;--:--;   1030.000
1971-09-30;--:--;   1144.000
1971-10-01;--:--;   1144.000
1971-10-02;--:--;   1137.000
1971-10-03;--:--;   1139.000
1971-10-04;--:--;   1130.000
1971-10-05;--:--;   1124.000
1971-10-06;--:--;   1124.000
1971-10-07;--:--;   1118.000
1971-10-08;--:--;   1112.000
1971-10-09;--:--;   1112.000
1971-10-10;--:--;   1106.000
1971-10-11;--:--;   1100.000
1971-10-12;--:--;   1100.000
1971-10-13;--:--;   1094.000
1971-10-14;--:--;   1094.000
1971-10-15;--:--;   1088.000
1971-10-16;--:--;   1088.000
1971-10-17;--:--;   1081.000
1971-10-18;--:--;   1074.000
1971-10-19;--:--;   1074.000
1971-10-20;--:--;   1067.000
1971-10-21;--:--;   1061.000
1971-10-22;--:--;   1043.000
1971-10-23;--:--;   1004.000
1971-10-24;--:--;    992.000
1971-10-25;--:--;    955.000
1971-10-26;--:--;    943.000
1971-10-27;--:--;    919.000
1971-10-28;--:--;    836.000
1971-10-29;--:--;    743.000
1971-10-30;--:--;    643.000
1971-10-31;--:--;    590.000
1971-11-01;--:--;    590.000
1971-11-02;--:--;    633.000
1971-11-03;--:--;    622.000
1971-11-04;--:--;    580.000
1971-11-05;--:--;    548.000
1971-11-06;--:--;    538.000
1971-11-07;--:--;    498.000
1971-11-08;--:--;    458.000
1971-11-09;--:--;    429.000
1971-11-10;--:--;    438.000
1971-11-11;--:--;    518.000
1971-11-12;--:--;    518.000
1971-11-13;--:--;    468.000
1971-11-14;--:--;    420.000
1971-11-15;--:--;    420.000
1971-11-16;--:--;    528.000
1971-11-17;--:--;    687.000
1971-11-18;--:--;    697.000
1971-11-19;--:--;    590.000
1971-11-20;--:--;    528.000
1971-11-21;--:--;    498.000
1971-11-22;--:--;    468.000
1971-11-23;--:--;    468.000
1971-11-24;--:--;    498.000
1971-11-25;--:--;    508.000
1971-11-26;--:--;    653.000
1971-11-27;--:--;   1118.000
1971-11-28;--:--;   1144.000
1971-11-29;--:--;   1043.000
1971-11-30;--:--;    891.000
1971-12-01;--:--;    697.000
1971-12-02;--:--;    590.000
1971-12-03;--:--;    508.000
1971-12-04;--:--;    448.000
1971-12-05;--:--;    448.000
1971-12-06;--:--;    518.000
1971-12-07;--:--;    610.000
1971-12-08;--:--;    580.000
1971-12-09;--:--;    508.000
1971-12-10;--:--;    410.000
1971-12-11;--:--;    374.000
1971-12-12;--:--;    346.000
1971-12-13;--:--;    338.000
1971-12-14;--:--;    364.000
1971-12-15;--:--;    391.000
1971-12-16;--:--;    508.000
1971-12-17;--:--;    590.000
1971-12-18;--:--;    528.000
1971-12-19;--:--;    410.000
1971-12-20;--:--;    338.000
1971-12-21;--:--;    295.000
1971-12-22;--:--;    270.000
1971-12-23;--:--;    254.000
1971-12-24;--:--;    246.000
1971-12-25;--:--;    238.000
1971-12-26;--:--;    230.000
1971-12-27;--:--;    214.000
1971-12-28;--:--;    207.000
1971-12-29;--:--;    199.000
1971-12-30;--:--;    191.000
1971-12-31;--:--;    183.000
1972-01-01;--:--;    183.000
1972-01-02;--:--;    183.000
1972-01-03;--:--;    177.000
1972-01-04;--:--;    170.000
1972-01-05;--:--;    164.000
1972-01-06;--:--;    164.000
1972-01-07;--:--;    157.000
1972-01-08;--:--;    157.000
1972-01-09;--:--;    150.000
1972-01-10;--:--;    150.000
1972-01-11;--:--;    150.000
1972-01-12;--:--;    143.000
1972-01-13;--:--;    143.000
1972-01-14;--:--;    136.000
1972-01-15;--:--;    129.000
1972-01-16;--:--;    129.000
1972-01-17;--:--;    123.000
1972-01-18;--:--;    123.000
1972-01-19;--:--;    123.000
1972-01-20;--:--;    123.000
1972-01-21;--:--;    117.000
1972-01-22;--:--;    111.000
1972-01-23;--:--;    105.000
1972-01-24;--:--;    105.000
1972-01-25;--:--;    105.000
1972-01-26;--:--;    105.000
1972-01-27;--:--;    105.000
1972-01-28;--:--;    117.000
1972-01-29;--:--;    123.000
1972-01-30;--:--;    117.000
1972-01-31;--:--;    111.000
1972-02-01;--:--;    105.000
1972-02-02;--:--;    105.000
1972-02-03;--:--;    105.000
1972-02-04;--:--;    105.000
1972-02-05;--:--;     99.000
1972-02-06;--:--;     93.200
1972-02-07;--:--;     87.400
1972-02-08;--:--;     81.800
1972-02-09;--:--;     81.800
1972-02-10;--:--;     81.800
1972-02-11;--:--;     87.400
1972-02-12;--:--;     99.000
1972-02-13;--:--;    111.000
1972-02-14;--:--;     93.200
1972-02-15;--:--;     87.400
1972-02-16;--:--;     76.300
1972-02-17;--:--;     70.900
1972-02-18;--:--;     70.900
1972-02-19;--:--;     68.200
1972-02-20;--:--;     65.600
1972-02-21;--:--;     65.600
1972-02-22;--:--;     63.000
