# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1321880
# River:                 LOFA RIVER
# Station:               LOFA BRIDGE
# Country:               LR
# Latitude (DD):       7.067
# Longitude (DD):      -10.88
# Catchment area (km²):      8194.0
# Altitude (m ASL):        85.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2012-06 - 2023-05
# No. of years:          12
# Last update:           2023-08-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4008
# DATA
YYYY-MM-DD;hh:mm; Value
2012-06-08;--:--;    132.000
2012-06-09;--:--;    133.000
2012-06-10;--:--;    124.000
2012-06-11;--:--;    112.000
2012-06-12;--:--;    107.000
2012-06-13;--:--;    112.000
2012-06-14;--:--;    166.000
2012-06-15;--:--;    188.000
2012-06-16;--:--;    175.000
2012-06-17;--:--;    276.000
2012-06-18;--:--;    411.000
2012-06-19;--:--;    432.000
2012-06-20;--:--;    289.000
2012-06-21;--:--;    172.000
2012-06-22;--:--;    147.000
2012-06-23;--:--;    139.000
2012-06-24;--:--;    154.000
2012-06-25;--:--;    179.000
2012-06-26;--:--;    207.000
2012-06-27;--:--;    186.000
2012-06-28;--:--;    183.000
2012-06-29;--:--;    222.000
2012-06-30;--:--;    257.000
2012-07-01;--:--;    334.000
2012-07-02;--:--;    448.000
2012-07-03;--:--;    481.000
2012-07-04;--:--;    458.000
2012-07-05;--:--;    435.000
2012-07-06;--:--;    549.000
2012-07-07;--:--;    766.000
2012-07-08;--:--;    683.000
2012-07-09;--:--;    622.000
2012-07-10;--:--;    544.000
2012-07-11;--:--;    610.000
2012-07-12;--:--;    522.000
2012-07-13;--:--;    457.000
2012-07-14;--:--;    403.000
2012-07-15;--:--;    347.000
2012-07-16;--:--;    312.000
2012-07-17;--:--;    375.000
2012-07-18;--:--;    593.000
2012-07-19;--:--;    485.000
2012-07-20;--:--;    383.000
2012-07-21;--:--;    358.000
2012-07-22;--:--;    365.000
2012-07-23;--:--;    356.000
2012-07-24;--:--;    399.000
2012-07-25;--:--;    460.000
2012-07-26;--:--;    486.000
2012-07-27;--:--;    434.000
2012-07-28;--:--;    379.000
2012-07-29;--:--;    377.000
2012-07-30;--:--;    416.000
2012-07-31;--:--;    586.000
2012-08-01;--:--;    725.000
2012-08-02;--:--;    755.000
2012-08-03;--:--;    819.000
2012-08-04;--:--;    842.000
2012-08-05;--:--;    819.000
2012-08-06;--:--;    801.000
2012-08-07;--:--;    862.000
2012-08-08;--:--;    770.000
2012-08-09;--:--;    743.000
2012-08-10;--:--;    736.000
2012-08-11;--:--;    665.000
2012-08-12;--:--;    727.000
2012-08-13;--:--;    814.000
2012-08-14;--:--;    592.000
2012-08-15;--:--;    600.000
2012-08-16;--:--;    597.000
2012-08-17;--:--;    589.000
2012-08-18;--:--;    578.000
2012-08-19;--:--;    525.000
2012-08-20;--:--;    531.000
2012-08-21;--:--;    694.000
2012-08-22;--:--;    581.000
2012-08-23;--:--;    598.000
2012-08-24;--:--;    614.000
2012-08-25;--:--;    677.000
2012-08-26;--:--;    645.000
2012-08-27;--:--;    870.000
2012-08-28;--:--;    951.000
2012-08-29;--:--;    830.000
2012-08-30;--:--;    814.000
2012-08-31;--:--;    822.000
