# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1322840
# River:                 SAINT PAUL RIVER
# Station:               PIATTA
# Country:               LR
# Latitude (DD):       7.202586
# Longitude (DD):      -9.818731
# Catchment area (km²):      13734.0
# Altitude (m ASL):        207.0
# Next downstream station:      1322880
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2013-03 - 2023-05
# No. of years:          11
# Last update:           2023-08-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3726
# DATA
YYYY-MM-DD;hh:mm; Value
2013-03-17;--:--;     76.000
2013-03-18;--:--;     75.000
2013-03-19;--:--;     72.000
2013-03-20;--:--;     69.000
2013-03-21;--:--;   -999.000
2013-03-22;--:--;   -999.000
2013-03-23;--:--;   -999.000
2013-03-24;--:--;   -999.000
2013-03-25;--:--;   -999.000
2013-03-26;--:--;   -999.000
2013-03-27;--:--;   -999.000
2013-03-28;--:--;   -999.000
2013-03-29;--:--;   -999.000
2013-03-30;--:--;     73.000
2013-03-31;--:--;   -999.000
2013-04-01;--:--;     92.000
2013-04-02;--:--;     75.000
2013-04-03;--:--;     74.000
2013-04-04;--:--;    101.000
2013-04-05;--:--;    136.000
2013-04-06;--:--;    134.000
2013-04-07;--:--;    112.000
2013-04-08;--:--;     88.000
2013-04-09;--:--;    102.000
2013-04-10;--:--;    111.000
2013-04-11;--:--;     99.000
2013-04-12;--:--;     84.000
2013-04-13;--:--;     72.000
2013-04-14;--:--;   -999.000
2013-04-15;--:--;   -999.000
2013-04-16;--:--;   -999.000
2013-04-17;--:--;   -999.000
2013-04-18;--:--;    112.000
2013-04-19;--:--;    113.000
2013-04-20;--:--;    103.000
2013-04-21;--:--;   -999.000
2013-04-22;--:--;   -999.000
2013-04-23;--:--;   -999.000
2013-04-24;--:--;   -999.000
2013-04-25;--:--;   -999.000
2013-04-26;--:--;   -999.000
2013-04-27;--:--;   -999.000
2013-04-28;--:--;   -999.000
2013-04-29;--:--;   -999.000
2013-04-30;--:--;   -999.000
2013-05-01;--:--;   -999.000
2013-05-02;--:--;     86.000
2013-05-03;--:--;     83.000
2013-05-04;--:--;     87.000
2013-05-05;--:--;     90.000
2013-05-06;--:--;     91.000
2013-05-07;--:--;     87.000
2013-05-08;--:--;     88.000
2013-05-09;--:--;     99.000
2013-05-10;--:--;    115.000
2013-05-11;--:--;    108.000
2013-05-12;--:--;     94.000
2013-05-13;--:--;     85.000
2013-05-14;--:--;     78.000
2013-05-15;--:--;     71.000
2013-05-16;--:--;     69.000
2013-05-17;--:--;   -999.000
2013-05-18;--:--;     75.000
2013-05-19;--:--;     76.000
2013-05-20;--:--;     77.000
2013-05-21;--:--;    107.000
2013-05-22;--:--;    130.000
2013-05-23;--:--;    127.000
2013-05-24;--:--;    130.000
2013-05-25;--:--;   -999.000
