# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1322880
# River:                 SAINT PAUL RIVER
# Station:               HAINDI
# Country:               LR
# Latitude (DD):       6.90211
# Longitude (DD):      -10.36175
# Catchment area (km²):      18276.0
# Altitude (m ASL):        130.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2012-04 - 2023-05
# No. of years:          12
# Last update:           2023-08-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4051
# DATA
YYYY-MM-DD;hh:mm; Value
2012-04-26;--:--;    100.000
2012-04-27;--:--;     87.000
2012-04-28;--:--;     75.000
2012-04-29;--:--;     61.000
2012-04-30;--:--;     33.000
2012-05-01;--:--;     25.000
2012-05-02;--:--;     30.000
2012-05-03;--:--;     92.000
2012-05-04;--:--;     88.000
2012-05-05;--:--;    103.000
2012-05-06;--:--;    102.000
2012-05-07;--:--;     93.000
2012-05-08;--:--;     91.000
2012-05-09;--:--;     99.000
2012-05-10;--:--;     95.000
2012-05-11;--:--;    111.000
2012-05-12;--:--;    158.000
2012-05-13;--:--;    166.000
2012-05-14;--:--;    163.000
2012-05-15;--:--;    193.000
2012-05-16;--:--;    203.000
2012-05-17;--:--;    224.000
2012-05-18;--:--;    234.000
2012-05-19;--:--;    216.000
2012-05-20;--:--;    210.000
2012-05-21;--:--;    206.000
2012-05-22;--:--;    203.000
2012-05-23;--:--;    208.000
2012-05-24;--:--;    218.000
2012-05-25;--:--;    232.000
2012-05-26;--:--;    219.000
2012-05-27;--:--;    201.000
2012-05-28;--:--;    218.000
2012-05-29;--:--;    244.000
2012-05-30;--:--;    235.000
2012-05-31;--:--;    220.000
2012-06-01;--:--;    272.000
2012-06-02;--:--;    408.000
2012-06-03;--:--;    419.000
2012-06-04;--:--;    408.000
2012-06-05;--:--;    428.000
2012-06-06;--:--;    418.000
2012-06-07;--:--;    393.000
2012-06-08;--:--;    393.000
2012-06-09;--:--;    353.000
2012-06-10;--:--;    317.000
2012-06-11;--:--;    288.000
2012-06-12;--:--;    296.000
2012-06-13;--:--;    512.000
2012-06-14;--:--;    473.000
2012-06-15;--:--;    389.000
2012-06-16;--:--;    346.000
2012-06-17;--:--;    519.000
2012-06-18;--:--;    538.000
2012-06-19;--:--;    436.000
2012-06-20;--:--;    367.000
2012-06-21;--:--;    311.000
2012-06-22;--:--;    316.000
2012-06-23;--:--;    354.000
2012-06-24;--:--;    379.000
2012-06-25;--:--;    390.000
2012-06-26;--:--;    399.000
2012-06-27;--:--;    389.000
2012-06-28;--:--;    366.000
2012-06-29;--:--;    440.000
2012-06-30;--:--;    425.000
2012-07-01;--:--;    617.000
2012-07-02;--:--;    710.000
2012-07-03;--:--;    857.000
2012-07-04;--:--;    776.000
2012-07-05;--:--;    755.000
2012-07-06;--:--;    832.000
2012-07-07;--:--;    813.000
2012-07-08;--:--;    724.000
2012-07-09;--:--;    614.000
2012-07-10;--:--;    647.000
2012-07-11;--:--;    675.000
2012-07-12;--:--;    684.000
2012-07-13;--:--;    596.000
2012-07-14;--:--;    504.000
2012-07-15;--:--;    428.000
2012-07-16;--:--;    430.000
2012-07-17;--:--;    915.000
2012-07-18;--:--;    926.000
2012-07-19;--:--;    740.000
2012-07-20;--:--;    539.000
2012-07-21;--:--;    463.000
2012-07-22;--:--;    456.000
2012-07-23;--:--;    571.000
2012-07-24;--:--;    844.000
2012-07-25;--:--;    829.000
2012-07-26;--:--;    684.000
2012-07-27;--:--;    592.000
2012-07-28;--:--;    529.000
2012-07-29;--:--;    590.000
2012-07-30;--:--;    973.000
2012-07-31;--:--;   1278.000
2012-08-01;--:--;   1410.000
2012-08-02;--:--;   1657.000
2012-08-03;--:--;   1522.000
2012-08-04;--:--;   1372.000
2012-08-05;--:--;   1246.000
2012-08-06;--:--;   1279.000
2012-08-07;--:--;   1363.000
2012-08-08;--:--;   1363.000
2012-08-09;--:--;   1356.000
2012-08-10;--:--;   1324.000
2012-08-11;--:--;   1216.000
2012-08-12;--:--;   1136.000
2012-08-13;--:--;   1087.000
2012-08-14;--:--;   1105.000
2012-08-15;--:--;   1046.000
2012-08-16;--:--;    976.000
2012-08-17;--:--;    929.000
2012-08-18;--:--;    901.000
2012-08-19;--:--;    866.000
2012-08-20;--:--;    835.000
2012-08-21;--:--;    819.000
2012-08-22;--:--;    855.000
2012-08-23;--:--;    936.000
2012-08-24;--:--;   1040.000
2012-08-25;--:--;   1109.000
2012-08-26;--:--;   1113.000
2012-08-27;--:--;   1432.000
2012-08-28;--:--;   1317.000
2012-08-29;--:--;   1215.000
2012-08-30;--:--;   1168.000
2012-08-31;--:--;   1307.000
2012-09-01;--:--;   1283.000
2012-09-02;--:--;   1133.000
2012-09-03;--:--;    996.000
2012-09-04;--:--;    842.000
2012-09-05;--:--;    741.000
2012-09-06;--:--;    699.000
2012-09-07;--:--;    683.000
2012-09-08;--:--;    813.000
2012-09-09;--:--;   1022.000
2012-09-10;--:--;   1182.000
2012-09-11;--:--;   1070.000
2012-09-12;--:--;   1017.000
2012-09-13;--:--;   1097.000
2012-09-14;--:--;   1322.000
2012-09-15;--:--;   1364.000
2012-09-16;--:--;   1437.000
2012-09-17;--:--;   1589.000
2012-09-18;--:--;   1684.000
2012-09-19;--:--;   1732.000
2012-09-20;--:--;   1614.000
2012-09-21;--:--;   1492.000
2012-09-22;--:--;   1438.000
2012-09-23;--:--;   1426.000
2012-09-24;--:--;   1444.000
2012-09-25;--:--;   1407.000
2012-09-26;--:--;   1345.000
2012-09-27;--:--;   1308.000
2012-09-28;--:--;   1373.000
2012-09-29;--:--;   1436.000
2012-09-30;--:--;   1457.000
2012-10-01;--:--;   1328.000
2012-10-02;--:--;   1144.000
2012-10-03;--:--;   1084.000
2012-10-04;--:--;   1028.000
2012-10-05;--:--;    998.000
2012-10-06;--:--;    977.000
2012-10-07;--:--;   1025.000
2012-10-08;--:--;   1031.000
2012-10-09;--:--;    998.000
2012-10-10;--:--;    981.000
2012-10-11;--:--;   1008.000
2012-10-12;--:--;    919.000
2012-10-13;--:--;    836.000
2012-10-14;--:--;    788.000
2012-10-15;--:--;    758.000
2012-10-16;--:--;    716.000
2012-10-17;--:--;    689.000
2012-10-18;--:--;    732.000
2012-10-19;--:--;    793.000
2012-10-20;--:--;    885.000
2012-10-21;--:--;    866.000
2012-10-22;--:--;    873.000
2012-10-23;--:--;    964.000
2012-10-24;--:--;   1010.000
2012-10-25;--:--;    967.000
2012-10-26;--:--;    919.000
2012-10-27;--:--;    951.000
2012-10-28;--:--;   1034.000
2012-10-29;--:--;   1170.000
2012-10-30;--:--;   1194.000
2012-10-31;--:--;   1067.000
2012-11-01;--:--;    910.000
2012-11-02;--:--;    784.000
2012-11-03;--:--;    712.000
2012-11-04;--:--;    650.000
2012-11-05;--:--;    596.000
2012-11-06;--:--;    566.000
2012-11-07;--:--;    536.000
2012-11-08;--:--;    500.000
2012-11-09;--:--;    458.000
2012-11-10;--:--;    480.000
2012-11-11;--:--;    505.000
2012-11-12;--:--;    470.000
2012-11-13;--:--;    436.000
2012-11-14;--:--;    425.000
2012-11-15;--:--;    405.000
2012-11-16;--:--;    387.000
2012-11-17;--:--;    413.000
2012-11-18;--:--;    451.000
2012-11-19;--:--;    499.000
2012-11-20;--:--;    614.000
2012-11-21;--:--;    624.000
2012-11-22;--:--;    592.000
2012-11-23;--:--;    589.000
2012-11-24;--:--;    625.000
2012-11-25;--:--;    581.000
2012-11-26;--:--;    516.000
2012-11-27;--:--;    427.000
2012-11-28;--:--;    404.000
2012-11-29;--:--;    430.000
2012-11-30;--:--;    419.000
2012-12-01;--:--;    393.000
2012-12-02;--:--;    376.000
2012-12-03;--:--;    402.000
2012-12-04;--:--;    396.000
2012-12-05;--:--;    383.000
2012-12-06;--:--;    359.000
2012-12-07;--:--;    331.000
2012-12-08;--:--;    307.000
2012-12-09;--:--;    275.000
2012-12-10;--:--;    262.000
2012-12-11;--:--;    244.000
2012-12-12;--:--;    235.000
2012-12-13;--:--;    228.000
2012-12-14;--:--;    224.000
2012-12-15;--:--;    231.000
2012-12-16;--:--;    222.000
2012-12-17;--:--;    223.000
2012-12-18;--:--;    212.000
2012-12-19;--:--;    204.000
2012-12-20;--:--;    196.000
2012-12-21;--:--;    199.000
2012-12-22;--:--;    197.000
2012-12-23;--:--;    188.000
2012-12-24;--:--;    182.000
2012-12-25;--:--;    179.000
2012-12-26;--:--;    178.000
2012-12-27;--:--;    175.000
2012-12-28;--:--;    165.000
2012-12-29;--:--;    182.000
2012-12-30;--:--;    161.000
2012-12-31;--:--;    145.000
2013-01-01;--:--;    144.000
2013-01-02;--:--;    143.000
2013-01-03;--:--;    139.000
2013-01-04;--:--;    130.000
2013-01-05;--:--;    126.000
2013-01-06;--:--;    121.000
2013-01-07;--:--;    117.000
2013-01-08;--:--;    113.000
2013-01-09;--:--;    110.000
2013-01-10;--:--;    110.000
2013-01-11;--:--;    106.000
2013-01-12;--:--;    104.000
2013-01-13;--:--;    100.000
2013-01-14;--:--;     97.000
2013-01-15;--:--;     96.000
2013-01-16;--:--;     95.000
2013-01-17;--:--;     94.000
2013-01-18;--:--;     92.000
2013-01-19;--:--;     90.000
2013-01-20;--:--;     88.000
2013-01-21;--:--;     88.000
2013-01-22;--:--;     86.000
2013-01-23;--:--;     83.000
2013-01-24;--:--;     81.000
2013-01-25;--:--;     84.000
2013-01-26;--:--;     83.000
2013-01-27;--:--;     82.000
2013-01-28;--:--;     79.000
2013-01-29;--:--;     78.000
2013-01-30;--:--;     76.000
2013-01-31;--:--;     75.000
2013-02-01;--:--;     74.000
2013-02-02;--:--;     72.000
2013-02-03;--:--;     70.000
2013-02-04;--:--;     66.000
2013-02-05;--:--;     63.000
2013-02-06;--:--;     61.000
2013-02-07;--:--;     59.000
2013-02-08;--:--;     57.000
2013-02-09;--:--;     55.000
2013-02-10;--:--;     53.000
2013-02-11;--:--;     51.000
2013-02-12;--:--;     49.000
2013-02-13;--:--;     47.000
2013-02-14;--:--;     45.000
2013-02-15;--:--;     43.000
2013-02-16;--:--;     39.000
2013-02-17;--:--;     37.000
2013-02-18;--:--;     37.000
2013-02-19;--:--;     36.000
2013-02-20;--:--;     36.000
2013-02-21;--:--;     37.000
2013-02-22;--:--;     42.000
2013-02-23;--:--;     49.000
2013-02-24;--:--;     58.000
2013-02-25;--:--;     57.000
2013-02-26;--:--;     54.000
2013-02-27;--:--;     48.000
2013-02-28;--:--;     50.000
2013-03-01;--:--;     51.000
2013-03-02;--:--;     53.000
2013-03-03;--:--;     54.000
2013-03-04;--:--;     53.000
2013-03-05;--:--;     56.000
2013-03-06;--:--;     67.000
2013-03-07;--:--;     85.000
2013-03-08;--:--;     96.000
2013-03-09;--:--;    109.000
2013-03-10;--:--;    114.000
2013-03-11;--:--;    102.000
2013-03-12;--:--;     89.000
2013-03-13;--:--;     83.000
2013-03-14;--:--;     76.000
2013-03-15;--:--;     88.000
2013-03-16;--:--;    103.000
2013-03-17;--:--;    101.000
2013-03-18;--:--;     96.000
2013-03-19;--:--;     91.000
2013-03-20;--:--;     82.000
2013-03-21;--:--;     73.000
2013-03-22;--:--;     69.000
2013-03-23;--:--;     61.000
2013-03-24;--:--;     55.000
2013-03-25;--:--;     53.000
2013-03-26;--:--;     52.000
2013-03-27;--:--;     57.000
2013-03-28;--:--;     64.000
2013-03-29;--:--;     78.000
2013-03-30;--:--;     86.000
2013-03-31;--:--;    100.000
2013-04-01;--:--;    103.000
2013-04-02;--:--;     96.000
2013-04-03;--:--;     92.000
2013-04-04;--:--;    115.000
2013-04-05;--:--;    177.000
2013-04-06;--:--;    214.000
2013-04-07;--:--;    189.000
2013-04-08;--:--;    150.000
2013-04-09;--:--;    146.000
2013-04-10;--:--;    136.000
2013-04-11;--:--;    115.000
2013-04-12;--:--;     99.000
2013-04-13;--:--;     87.000
2013-04-14;--:--;     77.000
2013-04-15;--:--;     91.000
2013-04-16;--:--;    121.000
2013-04-17;--:--;    146.000
2013-04-18;--:--;    154.000
2013-04-19;--:--;    131.000
2013-04-20;--:--;    122.000
2013-04-21;--:--;    124.000
2013-04-22;--:--;    139.000
2013-04-23;--:--;    167.000
2013-04-24;--:--;    156.000
2013-04-25;--:--;    140.000
2013-04-26;--:--;    110.000
