# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1323550
# River:                 SAINT JOHN RIVER
# Station:               FRANK DIGGS
# Country:               LR
# Latitude (DD):       6.466
# Longitude (DD):      -9.526
# Catchment area (km²):      10862.0
# Altitude (m ASL):        170.0
# Next downstream station:      1323580
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2013-03 - 2021-04
# No. of years:          9
# Last update:           2021-11-09
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2981
# DATA
YYYY-MM-DD;hh:mm; Value
2013-03-03;--:--;     39.000
2013-03-04;--:--;     37.000
2013-03-05;--:--;     35.000
2013-03-06;--:--;     35.000
2013-03-07;--:--;     38.000
2013-03-08;--:--;     43.000
2013-03-09;--:--;     41.000
2013-03-10;--:--;     46.000
2013-03-11;--:--;     85.000
2013-03-12;--:--;     89.000
2013-03-13;--:--;     72.000
2013-03-14;--:--;     59.000
2013-03-15;--:--;     50.000
2013-03-16;--:--;     46.000
2013-03-17;--:--;     59.000
2013-03-18;--:--;     97.000
2013-03-19;--:--;    109.000
2013-03-20;--:--;     98.000
2013-03-21;--:--;     90.000
2013-03-22;--:--;     80.000
2013-03-23;--:--;     71.000
2013-03-24;--:--;     63.000
2013-03-25;--:--;     56.000
2013-03-26;--:--;     49.000
2013-03-27;--:--;     44.000
2013-03-28;--:--;     43.000
2013-03-29;--:--;     41.000
2013-03-30;--:--;     40.000
2013-03-31;--:--;     39.000
2013-04-01;--:--;     40.000
2013-04-02;--:--;     58.000
2013-04-03;--:--;     63.000
2013-04-04;--:--;     61.000
2013-04-05;--:--;     57.000
2013-04-06;--:--;     64.000
2013-04-07;--:--;     99.000
2013-04-08;--:--;    121.000
2013-04-09;--:--;    128.000
2013-04-10;--:--;    112.000
2013-04-11;--:--;     85.000
2013-04-12;--:--;     69.000
2013-04-13;--:--;     60.000
2013-04-14;--:--;     59.000
2013-04-15;--:--;     53.000
2013-04-16;--:--;     65.000
2013-04-17;--:--;     66.000
2013-04-18;--:--;     64.000
2013-04-19;--:--;     60.000
2013-04-20;--:--;     59.000
