# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1323580
# River:                 SAINT JOHN RIVER
# Station:               MT. FINLAY
# Country:               LR
# Latitude (DD):       6.084
# Longitude (DD):      -9.87
# Catchment area (km²):      15723.0
# Altitude (m ASL):        65.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2013-04 - 2022-08
# No. of years:          10
# Last update:           2023-08-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3433
# DATA
YYYY-MM-DD;hh:mm; Value
2013-04-08;--:--;    153.000
2013-04-09;--:--;    149.000
2013-04-10;--:--;    150.000
2013-04-11;--:--;    136.000
2013-04-12;--:--;   -999.000
2013-04-13;--:--;   -999.000
2013-04-14;--:--;   -999.000
2013-04-15;--:--;   -999.000
2013-04-16;--:--;   -999.000
2013-04-17;--:--;   -999.000
2013-04-18;--:--;   -999.000
2013-04-19;--:--;   -999.000
2013-04-20;--:--;   -999.000
2013-04-21;--:--;   -999.000
2013-04-22;--:--;   -999.000
2013-04-23;--:--;   -999.000
2013-04-24;--:--;   -999.000
2013-04-25;--:--;   -999.000
2013-04-26;--:--;   -999.000
2013-04-27;--:--;   -999.000
2013-04-28;--:--;   -999.000
2013-04-29;--:--;   -999.000
2013-04-30;--:--;   -999.000
2013-05-01;--:--;   -999.000
2013-05-02;--:--;   -999.000
2013-05-03;--:--;   -999.000
2013-05-04;--:--;   -999.000
2013-05-05;--:--;   -999.000
2013-05-06;--:--;   -999.000
2013-05-07;--:--;   -999.000
2013-05-08;--:--;   -999.000
2013-05-09;--:--;   -999.000
2013-05-10;--:--;   -999.000
2013-05-11;--:--;   -999.000
2013-05-12;--:--;    140.000
2013-05-13;--:--;    181.000
2013-05-14;--:--;    177.000
2013-05-15;--:--;    155.000
2013-05-16;--:--;    139.000
2013-05-17;--:--;   -999.000
2013-05-18;--:--;    154.000
2013-05-19;--:--;    151.000
2013-05-20;--:--;   -999.000
2013-05-21;--:--;   -999.000
2013-05-22;--:--;    141.000
2013-05-23;--:--;    138.000
2013-05-24;--:--;   -999.000
2013-05-25;--:--;   -999.000
2013-05-26;--:--;   -999.000
2013-05-27;--:--;   -999.000
2013-05-28;--:--;   -999.000
2013-05-29;--:--;    231.000
2013-05-30;--:--;    273.000
2013-05-31;--:--;    273.000
2013-06-01;--:--;    252.000
2013-06-02;--:--;    254.000
2013-06-03;--:--;    282.000
2013-06-04;--:--;    337.000
2013-06-05;--:--;    364.000
2013-06-06;--:--;    360.000
2013-06-07;--:--;    351.000
2013-06-08;--:--;    450.000
2013-06-09;--:--;    463.000
2013-06-10;--:--;    399.000
2013-06-11;--:--;    327.000
2013-06-12;--:--;    266.000
2013-06-13;--:--;    231.000
2013-06-14;--:--;    223.000
2013-06-15;--:--;    230.000
2013-06-16;--:--;    223.000
2013-06-17;--:--;    197.000
2013-06-18;--:--;    167.000
2013-06-19;--:--;    142.000
2013-06-20;--:--;    132.000
2013-06-21;--:--;   -999.000
2013-06-22;--:--;   -999.000
2013-06-23;--:--;   -999.000
2013-06-24;--:--;   -999.000
2013-06-25;--:--;   -999.000
2013-06-26;--:--;   -999.000
2013-06-27;--:--;   -999.000
2013-06-28;--:--;   -999.000
2013-06-29;--:--;   -999.000
2013-06-30;--:--;   -999.000
2013-07-01;--:--;   -999.000
2013-07-02;--:--;    287.000
2013-07-03;--:--;    299.000
2013-07-04;--:--;    289.000
2013-07-05;--:--;    306.000
2013-07-06;--:--;    313.000
2013-07-07;--:--;    261.000
2013-07-08;--:--;    227.000
2013-07-09;--:--;    246.000
2013-07-10;--:--;    309.000
2013-07-11;--:--;    336.000
2013-07-12;--:--;    357.000
2013-07-13;--:--;    369.000
2013-07-14;--:--;    309.000
2013-07-15;--:--;    275.000
2013-07-16;--:--;    270.000
2013-07-17;--:--;    314.000
2013-07-18;--:--;    354.000
2013-07-19;--:--;    370.000
2013-07-20;--:--;    407.000
2013-07-21;--:--;    350.000
2013-07-22;--:--;    277.000
2013-07-23;--:--;    218.000
2013-07-24;--:--;    182.000
2013-07-25;--:--;    161.000
2013-07-26;--:--;    148.000
2013-07-27;--:--;    142.000
2013-07-28;--:--;    153.000
2013-07-29;--:--;    184.000
2013-07-30;--:--;    199.000
2013-07-31;--:--;    190.000
2013-08-01;--:--;    173.000
2013-08-02;--:--;    158.000
2013-08-03;--:--;    152.000
2013-08-04;--:--;    144.000
2013-08-05;--:--;    135.000
2013-08-06;--:--;    138.000
2013-08-07;--:--;    152.000
2013-08-08;--:--;    148.000
2013-08-09;--:--;    159.000
2013-08-10;--:--;    197.000
2013-08-11;--:--;    240.000
2013-08-12;--:--;    282.000
2013-08-13;--:--;    298.000
2013-08-14;--:--;    271.000
2013-08-15;--:--;    228.000
2013-08-16;--:--;    188.000
2013-08-17;--:--;    164.000
2013-08-18;--:--;    166.000
2013-08-19;--:--;    163.000
2013-08-20;--:--;    170.000
2013-08-21;--:--;    176.000
2013-08-22;--:--;    165.000
2013-08-23;--:--;    154.000
2013-08-24;--:--;    151.000
2013-08-25;--:--;    155.000
2013-08-26;--:--;    171.000
2013-08-27;--:--;    192.000
2013-08-28;--:--;    281.000
2013-08-29;--:--;    532.000
2013-08-30;--:--;   1058.000
2013-08-31;--:--;   1198.000
2013-09-01;--:--;   1097.000
2013-09-02;--:--;   1039.000
2013-09-03;--:--;   1097.000
2013-09-04;--:--;   1022.000
2013-09-05;--:--;    912.000
2013-09-06;--:--;    814.000
2013-09-07;--:--;    940.000
2013-09-08;--:--;   1103.000
2013-09-09;--:--;   1054.000
2013-09-10;--:--;   1045.000
2013-09-11;--:--;   1227.000
2013-09-12;--:--;   1091.000
2013-09-13;--:--;   1043.000
2013-09-14;--:--;   1020.000
2013-09-15;--:--;    975.000
2013-09-16;--:--;    993.000
2013-09-17;--:--;   1078.000
2013-09-18;--:--;   1089.000
2013-09-19;--:--;   1085.000
2013-09-20;--:--;   1048.000
2013-09-21;--:--;    955.000
2013-09-22;--:--;    942.000
2013-09-23;--:--;   1051.000
2013-09-24;--:--;   1044.000
2013-09-25;--:--;   1128.000
2013-09-26;--:--;   1195.000
2013-09-27;--:--;   1305.000
2013-09-28;--:--;   1253.000
2013-09-29;--:--;   1206.000
2013-09-30;--:--;   1178.000
2013-10-01;--:--;   1200.000
2013-10-02;--:--;   1121.000
2013-10-03;--:--;    961.000
2013-10-04;--:--;    836.000
2013-10-05;--:--;    752.000
2013-10-06;--:--;    820.000
2013-10-07;--:--;   1033.000
2013-10-08;--:--;   1026.000
2013-10-09;--:--;   1066.000
2013-10-10;--:--;   1027.000
2013-10-11;--:--;    951.000
2013-10-12;--:--;    945.000
2013-10-13;--:--;    883.000
2013-10-14;--:--;    923.000
2013-10-15;--:--;    829.000
2013-10-16;--:--;    763.000
2013-10-17;--:--;    731.000
2013-10-18;--:--;    759.000
2013-10-19;--:--;    802.000
2013-10-20;--:--;    759.000
2013-10-21;--:--;    664.000
2013-10-22;--:--;    606.000
2013-10-23;--:--;    587.000
2013-10-24;--:--;    563.000
2013-10-25;--:--;    531.000
2013-10-26;--:--;    510.000
2013-10-27;--:--;    464.000
2013-10-28;--:--;    457.000
2013-10-29;--:--;    507.000
2013-10-30;--:--;    484.000
2013-10-31;--:--;    451.000
2013-11-01;--:--;    448.000
2013-11-02;--:--;    482.000
2013-11-03;--:--;    487.000
2013-11-04;--:--;    514.000
2013-11-05;--:--;    511.000
2013-11-06;--:--;    536.000
2013-11-07;--:--;    493.000
2013-11-08;--:--;    447.000
2013-11-09;--:--;    407.000
2013-11-10;--:--;    376.000
2013-11-11;--:--;    343.000
2013-11-12;--:--;    341.000
2013-11-13;--:--;    345.000
2013-11-14;--:--;    333.000
2013-11-15;--:--;    335.000
2013-11-16;--:--;    335.000
2013-11-17;--:--;    366.000
2013-11-18;--:--;    448.000
2013-11-19;--:--;    642.000
2013-11-20;--:--;    469.000
2013-11-21;--:--;    467.000
2013-11-22;--:--;    585.000
2013-11-23;--:--;    682.000
2013-11-24;--:--;    693.000
2013-11-25;--:--;    641.000
2013-11-26;--:--;    604.000
2013-11-27;--:--;    527.000
2013-11-28;--:--;    512.000
2013-11-29;--:--;    440.000
2013-11-30;--:--;    382.000
2013-12-01;--:--;    352.000
2013-12-02;--:--;    334.000
2013-12-03;--:--;    308.000
2013-12-04;--:--;    282.000
2013-12-05;--:--;    284.000
2013-12-06;--:--;    312.000
2013-12-07;--:--;    334.000
2013-12-08;--:--;    310.000
2013-12-09;--:--;    275.000
2013-12-10;--:--;    247.000
2013-12-11;--:--;    222.000
2013-12-12;--:--;    206.000
2013-12-13;--:--;    194.000
2013-12-14;--:--;    186.000
2013-12-15;--:--;    179.000
2013-12-16;--:--;    176.000
2013-12-17;--:--;    174.000
2013-12-18;--:--;    176.000
2013-12-19;--:--;    184.000
2013-12-20;--:--;    183.000
2013-12-21;--:--;    179.000
2013-12-22;--:--;    169.000
2013-12-23;--:--;    160.000
2013-12-24;--:--;    150.000
2013-12-25;--:--;    142.000
2013-12-26;--:--;    136.000
2013-12-27;--:--;    130.000
2013-12-28;--:--;    126.000
2013-12-29;--:--;   -999.000
2013-12-30;--:--;   -999.000
2013-12-31;--:--;   -999.000
2014-01-01;--:--;   -999.000
2014-01-02;--:--;   -999.000
2014-01-03;--:--;   -999.000
2014-01-04;--:--;    132.000
2014-01-05;--:--;    147.000
2014-01-06;--:--;    162.000
2014-01-07;--:--;    161.000
2014-01-08;--:--;    149.000
2014-01-09;--:--;    137.000
2014-01-10;--:--;    128.000
2014-01-11;--:--;   -999.000
2014-01-12;--:--;   -999.000
2014-01-13;--:--;   -999.000
2014-01-14;--:--;   -999.000
2014-01-15;--:--;   -999.000
2014-01-16;--:--;   -999.000
2014-01-17;--:--;   -999.000
2014-01-18;--:--;   -999.000
2014-01-19;--:--;   -999.000
2014-01-20;--:--;   -999.000
2014-01-21;--:--;   -999.000
2014-01-22;--:--;   -999.000
2014-01-23;--:--;   -999.000
2014-01-24;--:--;   -999.000
2014-01-25;--:--;   -999.000
2014-01-26;--:--;   -999.000
2014-01-27;--:--;   -999.000
2014-01-28;--:--;   -999.000
2014-01-29;--:--;   -999.000
2014-01-30;--:--;   -999.000
2014-01-31;--:--;   -999.000
2014-02-01;--:--;     96.000
2014-02-02;--:--;     89.000
2014-02-03;--:--;     82.000
2014-02-04;--:--;     74.000
2014-02-05;--:--;     68.000
2014-02-06;--:--;     63.000
2014-02-07;--:--;     59.000
2014-02-08;--:--;     55.000
2014-02-09;--:--;     52.000
2014-02-10;--:--;     50.000
2014-02-11;--:--;     54.000
2014-02-12;--:--;     53.000
2014-02-13;--:--;     57.000
2014-02-14;--:--;     69.000
2014-02-15;--:--;     82.000
2014-02-16;--:--;     75.000
2014-02-17;--:--;     69.000
2014-02-18;--:--;     64.000
2014-02-19;--:--;     75.000
2014-02-20;--:--;     81.000
2014-02-21;--:--;     86.000
2014-02-22;--:--;     97.000
2014-02-23;--:--;    115.000
2014-02-24;--:--;    112.000
2014-02-25;--:--;     96.000
2014-02-26;--:--;     81.000
2014-02-27;--:--;     70.000
2014-02-28;--:--;     63.000
2014-03-01;--:--;     56.000
2014-03-02;--:--;     49.000
2014-03-03;--:--;     44.000
2014-03-04;--:--;     40.000
2014-03-05;--:--;     37.000
2014-03-06;--:--;     33.000
2014-03-07;--:--;     31.000
2014-03-08;--:--;     30.000
2014-03-09;--:--;     29.000
2014-03-10;--:--;     29.000
2014-03-11;--:--;     27.000
2014-03-12;--:--;     25.000
2014-03-13;--:--;     25.000
2014-03-14;--:--;     25.000
2014-03-15;--:--;     25.000
2014-03-16;--:--;     23.000
2014-03-17;--:--;     25.000
2014-03-18;--:--;     24.000
2014-03-19;--:--;     23.000
2014-03-20;--:--;     22.000
2014-03-21;--:--;     23.000
2014-03-22;--:--;     27.000
2014-03-23;--:--;     30.000
2014-03-24;--:--;     27.000
2014-03-25;--:--;     26.000
2014-03-26;--:--;     27.000
2014-03-27;--:--;     32.000
2014-03-28;--:--;     38.000
2014-03-29;--:--;     37.000
2014-03-30;--:--;     35.000
2014-03-31;--:--;     31.000
2014-04-01;--:--;     28.000
2014-04-02;--:--;     31.000
2014-04-03;--:--;     34.000
2014-04-04;--:--;     37.000
2014-04-05;--:--;     50.000
2014-04-06;--:--;     59.000
2014-04-07;--:--;     72.000
2014-04-08;--:--;     65.000
2014-04-09;--:--;     60.000
2014-04-10;--:--;     55.000
2014-04-11;--:--;     57.000
2014-04-12;--:--;     59.000
2014-04-13;--:--;     63.000
2014-04-14;--:--;     65.000
2014-04-15;--:--;     75.000
2014-04-16;--:--;     80.000
2014-04-17;--:--;     71.000
2014-04-18;--:--;     64.000
2014-04-19;--:--;     64.000
2014-04-20;--:--;     68.000
2014-04-21;--:--;     68.000
2014-04-22;--:--;     64.000
2014-04-23;--:--;     61.000
2014-04-24;--:--;     61.000
2014-04-25;--:--;     61.000
2014-04-26;--:--;     59.000
2014-04-27;--:--;     56.000
2014-04-28;--:--;     57.000
2014-04-29;--:--;     60.000
2014-04-30;--:--;     59.000
2014-05-01;--:--;     60.000
2014-05-02;--:--;     78.000
2014-05-03;--:--;     82.000
2014-05-04;--:--;     93.000
2014-05-05;--:--;    105.000
2014-05-06;--:--;    124.000
2014-05-07;--:--;    115.000
2014-05-08;--:--;    106.000
2014-05-09;--:--;    115.000
2014-05-10;--:--;    121.000
2014-05-11;--:--;    156.000
2014-05-12;--:--;    184.000
2014-05-13;--:--;    249.000
2014-05-14;--:--;    244.000
2014-05-15;--:--;    235.000
2014-05-16;--:--;    231.000
2014-05-17;--:--;    249.000
2014-05-18;--:--;    286.000
2014-05-19;--:--;    337.000
2014-05-20;--:--;    369.000
2014-05-21;--:--;    344.000
2014-05-22;--:--;    308.000
2014-05-23;--:--;    302.000
2014-05-24;--:--;    284.000
2014-05-25;--:--;    258.000
2014-05-26;--:--;    236.000
2014-05-27;--:--;    234.000
2014-05-28;--:--;    207.000
2014-05-29;--:--;    186.000
2014-05-30;--:--;    155.000
2014-05-31;--:--;    156.000
2014-06-01;--:--;    239.000
2014-06-02;--:--;    348.000
2014-06-03;--:--;    402.000
2014-06-04;--:--;    379.000
2014-06-05;--:--;    336.000
2014-06-06;--:--;    279.000
2014-06-07;--:--;    282.000
2014-06-08;--:--;    294.000
2014-06-09;--:--;    290.000
2014-06-10;--:--;    282.000
2014-06-11;--:--;    271.000
2014-06-12;--:--;    292.000
2014-06-13;--:--;    393.000
2014-06-14;--:--;    457.000
2014-06-15;--:--;    561.000
2014-06-16;--:--;    575.000
2014-06-17;--:--;    525.000
2014-06-18;--:--;    454.000
2014-06-19;--:--;    395.000
2014-06-20;--:--;    381.000
2014-06-21;--:--;    420.000
2014-06-22;--:--;    513.000
2014-06-23;--:--;    504.000
2014-06-24;--:--;    458.000
2014-06-25;--:--;    387.000
2014-06-26;--:--;    398.000
2014-06-27;--:--;    381.000
2014-06-28;--:--;    342.000
2014-06-29;--:--;    296.000
2014-06-30;--:--;    264.000
2014-07-01;--:--;    260.000
2014-07-02;--:--;    277.000
2014-07-03;--:--;    380.000
2014-07-04;--:--;    604.000
2014-07-05;--:--;    835.000
2014-07-06;--:--;    926.000
2014-07-07;--:--;    801.000
2014-07-08;--:--;    790.000
2014-07-09;--:--;    803.000
2014-07-10;--:--;    718.000
2014-07-11;--:--;    625.000
2014-07-12;--:--;    572.000
2014-07-13;--:--;    546.000
2014-07-14;--:--;    436.000
2014-07-15;--:--;    351.000
2014-07-16;--:--;    304.000
2014-07-17;--:--;    269.000
2014-07-18;--:--;    288.000
2014-07-19;--:--;    581.000
2014-07-20;--:--;    597.000
2014-07-21;--:--;    563.000
2014-07-22;--:--;    486.000
2014-07-23;--:--;    383.000
2014-07-24;--:--;    327.000
2014-07-25;--:--;    295.000
2014-07-26;--:--;    301.000
2014-07-27;--:--;    325.000
2014-07-28;--:--;    339.000
2014-07-29;--:--;    554.000
2014-07-30;--:--;    655.000
2014-07-31;--:--;    605.000
2014-08-01;--:--;    639.000
2014-08-02;--:--;    369.000
2014-08-03;--:--;    376.000
2014-08-04;--:--;    385.000
2014-08-05;--:--;    368.000
2014-08-06;--:--;    487.000
2014-08-07;--:--;    618.000
2014-08-08;--:--;    662.000
2014-08-09;--:--;    714.000
2014-08-10;--:--;    916.000
2014-08-11;--:--;   1275.000
2014-08-12;--:--;   1288.000
2014-08-13;--:--;   1217.000
2014-08-14;--:--;   1095.000
2014-08-15;--:--;    991.000
2014-08-16;--:--;    946.000
2014-08-17;--:--;    924.000
2014-08-18;--:--;    976.000
2014-08-19;--:--;   1009.000
2014-08-20;--:--;    940.000
2014-08-21;--:--;    885.000
2014-08-22;--:--;    931.000
2014-08-23;--:--;   1008.000
2014-08-24;--:--;   1002.000
2014-08-25;--:--;    952.000
2014-08-26;--:--;    859.000
2014-08-27;--:--;    755.000
2014-08-28;--:--;    767.000
2014-08-29;--:--;    798.000
2014-08-30;--:--;    737.000
2014-08-31;--:--;    670.000
2014-09-01;--:--;    674.000
2014-09-02;--:--;    699.000
2014-09-03;--:--;    692.000
2014-09-04;--:--;    651.000
2014-09-05;--:--;    611.000
2014-09-06;--:--;    575.000
2014-09-07;--:--;    587.000
2014-09-08;--:--;    802.000
2014-09-09;--:--;    798.000
2014-09-10;--:--;    755.000
2014-09-11;--:--;    696.000
2014-09-12;--:--;    697.000
2014-09-13;--:--;    723.000
2014-09-14;--:--;    746.000
2014-09-15;--:--;    781.000
2014-09-16;--:--;    727.000
2014-09-17;--:--;    734.000
2014-09-18;--:--;    789.000
2014-09-19;--:--;    862.000
2014-09-20;--:--;    788.000
2014-09-21;--:--;    782.000
2014-09-22;--:--;    774.000
2014-09-23;--:--;    852.000
2014-09-24;--:--;    962.000
2014-09-25;--:--;    975.000
2014-09-26;--:--;    901.000
2014-09-27;--:--;    878.000
2014-09-28;--:--;    831.000
2014-09-29;--:--;    780.000
2014-09-30;--:--;    916.000
2014-10-01;--:--;   1048.000
2014-10-02;--:--;   1252.000
2014-10-03;--:--;   1439.000
2014-10-04;--:--;   1362.000
2014-10-05;--:--;   1227.000
2014-10-06;--:--;   1062.000
2014-10-07;--:--;    928.000
2014-10-08;--:--;    889.000
2014-10-09;--:--;    887.000
2014-10-10;--:--;    879.000
2014-10-11;--:--;    807.000
2014-10-12;--:--;    730.000
2014-10-13;--:--;    694.000
2014-10-14;--:--;    711.000
2014-10-15;--:--;    858.000
2014-10-16;--:--;    882.000
2014-10-17;--:--;    858.000
2014-10-18;--:--;    811.000
2014-10-19;--:--;    818.000
2014-10-20;--:--;    802.000
2014-10-21;--:--;    740.000
2014-10-22;--:--;    775.000
2014-10-23;--:--;    766.000
2014-10-24;--:--;    770.000
2014-10-25;--:--;    759.000
2014-10-26;--:--;    646.000
2014-10-27;--:--;    575.000
2014-10-28;--:--;    549.000
2014-10-29;--:--;    509.000
2014-10-30;--:--;    463.000
2014-10-31;--:--;    442.000
2014-11-01;--:--;    440.000
2014-11-02;--:--;    417.000
2014-11-03;--:--;    401.000
2014-11-04;--:--;    381.000
2014-11-05;--:--;    372.000
2014-11-06;--:--;    381.000
2014-11-07;--:--;    397.000
2014-11-08;--:--;    409.000
2014-11-09;--:--;    461.000
2014-11-10;--:--;    459.000
2014-11-11;--:--;    426.000
2014-11-12;--:--;    398.000
2014-11-13;--:--;    365.000
2014-11-14;--:--;    339.000
2014-11-15;--:--;    319.000
2014-11-16;--:--;    295.000
2014-11-17;--:--;    289.000
2014-11-18;--:--;    293.000
2014-11-19;--:--;    300.000
2014-11-20;--:--;    310.000
2014-11-21;--:--;    324.000
2014-11-22;--:--;    304.000
2014-11-23;--:--;    296.000
2014-11-24;--:--;    306.000
2014-11-25;--:--;    314.000
2014-11-26;--:--;    389.000
2014-11-27;--:--;    440.000
2014-11-28;--:--;    495.000
2014-11-29;--:--;    503.000
2014-11-30;--:--;    451.000
2014-12-01;--:--;    393.000
2014-12-02;--:--;    344.000
2014-12-03;--:--;    360.000
2014-12-04;--:--;    306.000
2014-12-05;--:--;    281.000
2014-12-06;--:--;    282.000
2014-12-07;--:--;    287.000
2014-12-08;--:--;    308.000
2014-12-09;--:--;    354.000
2014-12-10;--:--;    344.000
2014-12-11;--:--;    314.000
2014-12-12;--:--;    261.000
2014-12-13;--:--;    243.000
