# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1324580
# River:                 CESTOS RIVER
# Station:               ITI
# Country:               LR
# Latitude (DD):       5.617
# Longitude (DD):      -9.319
# Catchment area (km²):      11585.0
# Altitude (m ASL):        170.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Liberia - Liberian Hydrological Service
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           2014-03 - 2022-09
# No. of years:          9
# Last update:           2023-08-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3102
# DATA
YYYY-MM-DD;hh:mm; Value
2014-03-30;--:--;     20.000
2014-03-31;--:--;     18.000
2014-04-01;--:--;     16.000
2014-04-02;--:--;     24.000
2014-04-03;--:--;     90.000
2014-04-04;--:--;    119.000
2014-04-05;--:--;     80.000
2014-04-06;--:--;     57.000
2014-04-07;--:--;     48.000
2014-04-08;--:--;     41.000
2014-04-09;--:--;     55.000
2014-04-10;--:--;    105.000
2014-04-11;--:--;     82.000
2014-04-12;--:--;     69.000
2014-04-13;--:--;     60.000
2014-04-14;--:--;     53.000
2014-04-15;--:--;     52.000
2014-04-16;--:--;     59.000
2014-04-17;--:--;     81.000
2014-04-18;--:--;     79.000
2014-04-19;--:--;     68.000
2014-04-20;--:--;     59.000
2014-04-21;--:--;     53.000
2014-04-22;--:--;     46.000
2014-04-23;--:--;     49.000
2014-04-24;--:--;     66.000
2014-04-25;--:--;     77.000
2014-04-26;--:--;     71.000
2014-04-27;--:--;     55.000
2014-04-28;--:--;     48.000
2014-04-29;--:--;     62.000
2014-04-30;--:--;     76.000
2014-05-01;--:--;     64.000
2014-05-02;--:--;     71.000
2014-05-03;--:--;     81.000
2014-05-04;--:--;     85.000
2014-05-05;--:--;     98.000
2014-05-06;--:--;    105.000
2014-05-07;--:--;     94.000
2014-05-08;--:--;    103.000
2014-05-09;--:--;    126.000
2014-05-10;--:--;    115.000
2014-05-11;--:--;    171.000
2014-05-12;--:--;    184.000
2014-05-13;--:--;    220.000
2014-05-14;--:--;    258.000
2014-05-15;--:--;    246.000
2014-05-16;--:--;    211.000
2014-05-17;--:--;    217.000
2014-05-18;--:--;    210.000
2014-05-19;--:--;   -999.000
2014-05-20;--:--;    413.000
2014-05-21;--:--;    322.000
2014-05-22;--:--;    265.000
2014-05-23;--:--;    301.000
2014-05-24;--:--;    314.000
2014-05-25;--:--;    282.000
2014-05-26;--:--;    236.000
2014-05-27;--:--;    224.000
2014-05-28;--:--;    276.000
2014-05-29;--:--;    265.000
2014-05-30;--:--;    248.000
2014-05-31;--:--;    212.000
2014-06-01;--:--;    220.000
2014-06-02;--:--;    276.000
2014-06-03;--:--;    409.000
2014-06-04;--:--;    304.000
2014-06-05;--:--;    303.000
2014-06-06;--:--;    267.000
2014-06-07;--:--;    304.000
2014-06-08;--:--;   -999.000
2014-06-09;--:--;   -999.000
2014-06-10;--:--;   -999.000
2014-06-11;--:--;    293.000
2014-06-12;--:--;    293.000
2014-06-13;--:--;    363.000
2014-06-14;--:--;   -999.000
2014-06-15;--:--;   -999.000
2014-06-16;--:--;   -999.000
2014-06-17;--:--;   -999.000
2014-06-18;--:--;    408.000
2014-06-19;--:--;    344.000
2014-06-20;--:--;    327.000
2014-06-21;--:--;    463.000
2014-06-22;--:--;   -999.000
2014-06-23;--:--;    448.000
2014-06-24;--:--;    448.000
2014-06-25;--:--;    403.000
2014-06-26;--:--;    383.000
2014-06-27;--:--;    383.000
2014-06-28;--:--;    355.000
2014-06-29;--:--;    287.000
2014-06-30;--:--;    342.000
2014-07-01;--:--;    366.000
2014-07-02;--:--;    316.000
2014-07-03;--:--;    331.000
2014-07-04;--:--;   -999.000
2014-07-05;--:--;   -999.000
2014-07-06;--:--;   -999.000
2014-07-07;--:--;   -999.000
2014-07-08;--:--;   -999.000
2014-07-09;--:--;   -999.000
2014-07-10;--:--;   -999.000
2014-07-11;--:--;   -999.000
2014-07-12;--:--;    440.000
2014-07-13;--:--;    375.000
2014-07-14;--:--;    322.000
2014-07-15;--:--;    289.000
2014-07-16;--:--;    267.000
2014-07-17;--:--;    249.000
2014-07-18;--:--;    355.000
2014-07-19;--:--;   -999.000
2014-07-20;--:--;    408.000
2014-07-21;--:--;    350.000
2014-07-22;--:--;    306.000
2014-07-23;--:--;    283.000
2014-07-24;--:--;    274.000
2014-07-25;--:--;    273.000
2014-07-26;--:--;    281.000
2014-07-27;--:--;    287.000
2014-07-28;--:--;    290.000
2014-07-29;--:--;    327.000
2014-07-30;--:--;   -999.000
2014-07-31;--:--;   -999.000
2014-08-01;--:--;   -999.000
2014-08-02;--:--;   -999.000
2014-08-03;--:--;   -999.000
2014-08-04;--:--;   -999.000
2014-08-05;--:--;   -999.000
2014-08-06;--:--;   -999.000
2014-08-07;--:--;   -999.000
2014-08-08;--:--;   -999.000
2014-08-09;--:--;   -999.000
2014-08-10;--:--;   -999.000
2014-08-11;--:--;   -999.000
2014-08-12;--:--;   -999.000
2014-08-13;--:--;   -999.000
2014-08-14;--:--;   -999.000
2014-08-15;--:--;    471.000
2014-08-16;--:--;    411.000
2014-08-17;--:--;    371.000
2014-08-18;--:--;    393.000
2014-08-19;--:--;    384.000
2014-08-20;--:--;    365.000
2014-08-21;--:--;    368.000
2014-08-22;--:--;    402.000
2014-08-23;--:--;    453.000
2014-08-24;--:--;    479.000
2014-08-25;--:--;    441.000
2014-08-26;--:--;    424.000
2014-08-27;--:--;    436.000
2014-08-28;--:--;    495.000
2014-08-29;--:--;   -999.000
2014-08-30;--:--;    506.000
2014-08-31;--:--;    484.000
2014-09-01;--:--;    466.000
2014-09-02;--:--;    438.000
2014-09-03;--:--;    485.000
2014-09-04;--:--;    502.000
2014-09-05;--:--;    479.000
2014-09-06;--:--;    424.000
2014-09-07;--:--;    451.000
2014-09-08;--:--;   -999.000
2014-09-09;--:--;   -999.000
2014-09-10;--:--;    498.000
2014-09-11;--:--;    437.000
2014-09-12;--:--;    442.000
2014-09-13;--:--;    394.000
2014-09-14;--:--;    452.000
2014-09-15;--:--;   -999.000
2014-09-16;--:--;   -999.000
2014-09-17;--:--;   -999.000
2014-09-18;--:--;   -999.000
2014-09-19;--:--;   -999.000
2014-09-20;--:--;   -999.000
2014-09-21;--:--;   -999.000
2014-09-22;--:--;   -999.000
2014-09-23;--:--;   -999.000
