# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1425350
# River:                 CAVALLY
# Station:               TAI
# Country:               CI
# Latitude (DD):       5.85
# Longitude (DD):      -7.43
# Catchment area (km²):      13750.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1425350
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1982-12
# No. of years:          4
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     59.000
1979-01-02;--:--;     60.000
1979-01-03;--:--;     55.000
1979-01-04;--:--;     52.000
1979-01-05;--:--;     48.000
1979-01-06;--:--;     45.000
1979-01-07;--:--;     42.000
1979-01-08;--:--;     39.000
1979-01-09;--:--;     38.000
1979-01-10;--:--;     37.000
1979-01-11;--:--;     37.000
1979-01-12;--:--;     37.000
1979-01-13;--:--;     40.000
1979-01-14;--:--;     37.000
1979-01-15;--:--;     46.000
1979-01-16;--:--;     47.000
1979-01-17;--:--;     42.000
1979-01-18;--:--;     39.000
1979-01-19;--:--;     33.000
1979-01-20;--:--;     37.000
1979-01-21;--:--;     36.000
1979-01-22;--:--;     35.000
1979-01-23;--:--;     33.000
1979-01-24;--:--;     33.000
1979-01-25;--:--;     33.000
1979-01-26;--:--;     34.000
1979-01-27;--:--;     34.000
1979-01-28;--:--;     33.000
1979-01-29;--:--;     33.000
1979-01-30;--:--;     31.000
1979-01-31;--:--;     34.000
1979-02-01;--:--;     26.000
1979-02-02;--:--;     23.000
1979-02-03;--:--;     23.000
1979-02-04;--:--;     22.000
1979-02-05;--:--;     21.000
1979-02-06;--:--;     22.000
1979-02-07;--:--;     21.000
1979-02-08;--:--;     21.000
1979-02-09;--:--;     21.000
1979-02-10;--:--;     20.000
1979-02-11;--:--;     21.000
1979-02-12;--:--;     20.000
1979-02-13;--:--;     18.000
1979-02-14;--:--;     16.000
1979-02-15;--:--;     16.000
1979-02-16;--:--;     15.000
1979-02-17;--:--;     13.000
1979-02-18;--:--;     12.000
1979-02-19;--:--;     11.000
1979-02-20;--:--;     10.000
1979-02-21;--:--;     10.000
1979-02-22;--:--;      9.000
1979-02-23;--:--;      9.000
1979-02-24;--:--;      9.000
1979-02-25;--:--;     11.000
1979-02-26;--:--;     15.000
1979-02-27;--:--;     14.000
1979-02-28;--:--;     14.000
1979-03-01;--:--;     11.000
1979-03-02;--:--;     11.000
1979-03-03;--:--;     10.000
1979-03-04;--:--;     10.000
1979-03-05;--:--;      7.000
1979-03-06;--:--;      7.000
1979-03-07;--:--;      7.000
1979-03-08;--:--;      6.000
1979-03-09;--:--;      5.000
1979-03-10;--:--;      5.000
1979-03-11;--:--;      5.000
1979-03-12;--:--;      5.000
1979-03-13;--:--;      6.000
1979-03-14;--:--;      6.000
1979-03-15;--:--;      5.000
