# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1427160
# River:                 SASSANDRA
# Station:               N'GOLODOUGOU
# Country:               CI
# Latitude (DD):       8.38
# Longitude (DD):      -7.7
# Catchment area (km²):      5200.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1427200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1982-12
# No. of years:          4
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     30.000
1979-01-02;--:--;     29.000
1979-01-03;--:--;     32.000
1979-01-04;--:--;     33.000
1979-01-05;--:--;     29.000
1979-01-06;--:--;     25.000
1979-01-07;--:--;     23.000
1979-01-08;--:--;     22.000
1979-01-09;--:--;     21.000
1979-01-10;--:--;     20.000
1979-01-11;--:--;     20.000
1979-01-12;--:--;     20.000
1979-01-13;--:--;     20.000
1979-01-14;--:--;     20.000
1979-01-15;--:--;     21.000
1979-01-16;--:--;     22.000
1979-01-17;--:--;     26.000
1979-01-18;--:--;     30.000
1979-01-19;--:--;     35.000
1979-01-20;--:--;     39.000
1979-01-21;--:--;     40.000
1979-01-22;--:--;     34.000
1979-01-23;--:--;     26.000
1979-01-24;--:--;     23.000
1979-01-25;--:--;     22.000
1979-01-26;--:--;     21.000
1979-01-27;--:--;     18.000
1979-01-28;--:--;     16.000
1979-01-29;--:--;     16.000
1979-01-30;--:--;     16.000
1979-01-31;--:--;     15.000
1979-02-01;--:--;     14.000
1979-02-02;--:--;     13.000
1979-02-03;--:--;     13.000
1979-02-04;--:--;     13.000
1979-02-05;--:--;     13.000
1979-02-06;--:--;     13.000
1979-02-07;--:--;     12.000
1979-02-08;--:--;     12.000
1979-02-09;--:--;     12.000
1979-02-10;--:--;     12.000
1979-02-11;--:--;     11.000
1979-02-12;--:--;     11.000
1979-02-13;--:--;     12.000
1979-02-14;--:--;     11.000
1979-02-15;--:--;     12.000
1979-02-16;--:--;     13.000
1979-02-17;--:--;     14.000
1979-02-18;--:--;     12.000
1979-02-19;--:--;     11.000
1979-02-20;--:--;     10.000
1979-02-21;--:--;      9.000
1979-02-22;--:--;      9.000
1979-02-23;--:--;      9.000
1979-02-24;--:--;      9.000
1979-02-25;--:--;      7.000
1979-02-26;--:--;      7.000
1979-02-27;--:--;      7.000
1979-02-28;--:--;      7.000
1979-03-01;--:--;      7.000
1979-03-02;--:--;      6.000
1979-03-03;--:--;      6.000
1979-03-04;--:--;      6.000
1979-03-05;--:--;      6.000
1979-03-06;--:--;      5.000
1979-03-07;--:--;      5.000
1979-03-08;--:--;      5.000
1979-03-09;--:--;      4.000
1979-03-10;--:--;      4.000
1979-03-11;--:--;      4.000
1979-03-12;--:--;      4.000
1979-03-13;--:--;      4.000
1979-03-14;--:--;      5.000
1979-03-15;--:--;   -999.000
1979-03-16;--:--;      5.000
1979-03-17;--:--;      6.000
1979-03-18;--:--;      8.000
1979-03-19;--:--;     10.000
1979-03-20;--:--;     10.000
1979-03-21;--:--;     10.000
1979-03-22;--:--;     11.000
1979-03-23;--:--;     11.000
1979-03-24;--:--;     12.000
1979-03-25;--:--;     11.000
1979-03-26;--:--;     11.000
1979-03-27;--:--;     13.000
1979-03-28;--:--;     16.000
1979-03-29;--:--;     16.000
1979-03-30;--:--;     13.000
1979-03-31;--:--;     13.000
1979-04-01;--:--;     14.000
1979-04-02;--:--;     19.000
1979-04-03;--:--;     24.000
1979-04-04;--:--;     22.000
1979-04-05;--:--;     25.000
1979-04-06;--:--;     23.000
1979-04-07;--:--;     19.000
1979-04-08;--:--;     17.000
1979-04-09;--:--;     13.000
1979-04-10;--:--;     11.000
1979-04-11;--:--;     10.000
1979-04-12;--:--;      9.000
1979-04-13;--:--;      8.000
1979-04-14;--:--;      8.000
1979-04-15;--:--;      8.000
