# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1427250
# River:                 BAFING
# Station:               BADALA
# Country:               CI
# Latitude (DD):       7.85
# Longitude (DD):      -7.54
# Catchment area (km²):      6300.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1427350
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1982-12
# No. of years:          4
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1461
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     32.000
1979-01-02;--:--;     41.000
1979-01-03;--:--;     41.000
1979-01-04;--:--;     41.000
1979-01-05;--:--;     40.000
1979-01-06;--:--;     31.000
1979-01-07;--:--;     28.000
1979-01-08;--:--;     26.000
1979-01-09;--:--;     24.000
1979-01-10;--:--;     24.000
1979-01-11;--:--;     24.000
1979-01-12;--:--;     24.000
1979-01-13;--:--;     24.000
1979-01-14;--:--;     24.000
1979-01-15;--:--;     24.000
1979-01-16;--:--;     26.000
1979-01-17;--:--;     30.000
1979-01-18;--:--;     40.000
1979-01-19;--:--;     37.000
1979-01-20;--:--;     36.000
1979-01-21;--:--;     32.000
1979-01-22;--:--;     27.000
1979-01-23;--:--;     24.000
1979-01-24;--:--;     22.000
1979-01-25;--:--;     19.000
1979-01-26;--:--;     17.000
1979-01-27;--:--;     16.000
1979-01-28;--:--;     15.000
1979-01-29;--:--;     14.000
1979-01-30;--:--;     13.000
1979-01-31;--:--;     13.000
1979-02-01;--:--;     12.000
1979-02-02;--:--;     12.000
1979-02-03;--:--;     11.000
1979-02-04;--:--;     13.000
1979-02-05;--:--;     14.000
1979-02-06;--:--;     15.000
1979-02-07;--:--;     14.000
1979-02-08;--:--;     12.000
1979-02-09;--:--;     11.000
1979-02-10;--:--;     10.000
1979-02-11;--:--;      9.000
1979-02-12;--:--;      9.000
1979-02-13;--:--;      9.000
1979-02-14;--:--;     10.000
