# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1427400
# River:                 NZO
# Station:               GUIGLO
# Country:               CI
# Latitude (DD):       6.54
# Longitude (DD):      -7.48
# Catchment area (km²):      6400.0
# Altitude (m ASL):        -999.00
# Next downstream station:      1427500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1979-12
# No. of years:          1
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 365
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     18.000
1979-01-02;--:--;     18.000
1979-01-03;--:--;     20.000
1979-01-04;--:--;     19.000
1979-01-05;--:--;     17.000
1979-01-06;--:--;     16.000
1979-01-07;--:--;     15.000
1979-01-08;--:--;     14.000
1979-01-09;--:--;     14.000
1979-01-10;--:--;     13.000
1979-01-11;--:--;     13.000
1979-01-12;--:--;     13.000
1979-01-13;--:--;     12.000
1979-01-14;--:--;     12.000
1979-01-15;--:--;     12.000
1979-01-16;--:--;     12.000
1979-01-17;--:--;     13.000
1979-01-18;--:--;     17.000
1979-01-19;--:--;     18.000
1979-01-20;--:--;     17.000
1979-01-21;--:--;     16.000
1979-01-22;--:--;     14.000
1979-01-23;--:--;     13.000
1979-01-24;--:--;     11.000
1979-01-25;--:--;      9.000
1979-01-26;--:--;      8.000
1979-01-27;--:--;      8.000
1979-01-28;--:--;      7.000
1979-01-29;--:--;      7.000
1979-01-30;--:--;      6.000
1979-01-31;--:--;      6.000
1979-02-01;--:--;      7.000
1979-02-02;--:--;      7.000
1979-02-03;--:--;      7.000
1979-02-04;--:--;      6.000
1979-02-05;--:--;      5.000
1979-02-06;--:--;      5.000
1979-02-07;--:--;      5.000
1979-02-08;--:--;      7.000
1979-02-09;--:--;      6.000
1979-02-10;--:--;      5.000
1979-02-11;--:--;      5.000
1979-02-12;--:--;      4.000
1979-02-13;--:--;      4.000
1979-02-14;--:--;      3.000
1979-02-15;--:--;      3.000
1979-02-16;--:--;      3.000
1979-02-17;--:--;      3.000
1979-02-18;--:--;      2.000
1979-02-19;--:--;      2.000
1979-02-20;--:--;      3.000
1979-02-21;--:--;      4.000
1979-02-22;--:--;      3.000
1979-02-23;--:--;      3.000
1979-02-24;--:--;      3.000
1979-02-25;--:--;      3.000
1979-02-26;--:--;      2.000
1979-02-27;--:--;      2.000
1979-02-28;--:--;      1.000
1979-03-01;--:--;      1.000
1979-03-02;--:--;      1.000
1979-03-03;--:--;      1.000
1979-03-04;--:--;      1.000
1979-03-05;--:--;      1.000
1979-03-06;--:--;      0.000
1979-03-07;--:--;      0.000
1979-03-08;--:--;      0.000
1979-03-09;--:--;      0.000
1979-03-10;--:--;      0.000
1979-03-11;--:--;      0.000
1979-03-12;--:--;      0.000
1979-03-13;--:--;      0.000
1979-03-14;--:--;      0.000
1979-03-15;--:--;      0.000
1979-03-16;--:--;      0.000
1979-03-17;--:--;      0.000
1979-03-18;--:--;      0.000
1979-03-19;--:--;      0.000
1979-03-20;--:--;      0.000
1979-03-21;--:--;      0.000
1979-03-22;--:--;      0.000
1979-03-23;--:--;      0.000
1979-03-24;--:--;      2.000
1979-03-25;--:--;      2.000
1979-03-26;--:--;      2.000
1979-03-27;--:--;      2.000
1979-03-28;--:--;      3.000
1979-03-29;--:--;      3.000
1979-03-30;--:--;      2.000
1979-03-31;--:--;      2.000
1979-04-01;--:--;      1.000
1979-04-02;--:--;      1.000
1979-04-03;--:--;      4.000
1979-04-04;--:--;      6.000
1979-04-05;--:--;      5.000
1979-04-06;--:--;      3.000
1979-04-07;--:--;      2.000
1979-04-08;--:--;      1.000
1979-04-09;--:--;      4.000
1979-04-10;--:--;      5.000
