# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1427600
# River:                 DAVO
# Station:               DAKPADOU
# Country:               CI
# Latitude (DD):       5.26
# Longitude (DD):      -6.06
# Catchment area (km²):      6600.0
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1979-01 - 1993-12
# No. of years:          15
# Last update:           2018-06-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5479
# DATA
YYYY-MM-DD;hh:mm; Value
1979-01-01;--:--;     10.000
1979-01-02;--:--;     12.000
1979-01-03;--:--;     10.000
1979-01-04;--:--;      7.000
1979-01-05;--:--;      6.000
1979-01-06;--:--;      6.000
1979-01-07;--:--;      7.000
1979-01-08;--:--;      7.000
1979-01-09;--:--;      8.000
1979-01-10;--:--;      8.000
1979-01-11;--:--;      7.000
1979-01-12;--:--;      6.000
1979-01-13;--:--;      5.000
1979-01-14;--:--;      5.000
1979-01-15;--:--;      5.000
1979-01-16;--:--;      5.000
1979-01-17;--:--;      5.000
1979-01-18;--:--;      5.000
1979-01-19;--:--;      5.000
1979-01-20;--:--;      6.000
1979-01-21;--:--;      6.000
1979-01-22;--:--;      7.000
1979-01-23;--:--;      7.000
1979-01-24;--:--;      6.000
1979-01-25;--:--;      6.000
1979-01-26;--:--;      5.000
1979-01-27;--:--;      4.000
1979-01-28;--:--;      2.000
1979-01-29;--:--;      2.000
1979-01-30;--:--;      2.000
1979-01-31;--:--;      2.000
1979-02-01;--:--;      2.000
1979-02-02;--:--;      2.000
1979-02-03;--:--;      3.000
1979-02-04;--:--;      4.000
1979-02-05;--:--;      4.000
1979-02-06;--:--;      2.000
1979-02-07;--:--;      2.000
1979-02-08;--:--;      1.000
1979-02-09;--:--;      3.000
1979-02-10;--:--;      2.000
1979-02-11;--:--;      1.000
1979-02-12;--:--;      1.000
1979-02-13;--:--;      0.000
1979-02-14;--:--;      0.000
1979-02-15;--:--;      0.000
1979-02-16;--:--;      0.000
1979-02-17;--:--;      0.000
1979-02-18;--:--;      0.000
1979-02-19;--:--;      1.000
1979-02-20;--:--;      1.000
1979-02-21;--:--;      0.000
1979-02-22;--:--;      0.000
1979-02-23;--:--;      0.000
1979-02-24;--:--;      0.000
1979-02-25;--:--;      1.000
1979-02-26;--:--;      4.000
1979-02-27;--:--;      9.000
1979-02-28;--:--;      4.000
1979-03-01;--:--;      2.000
1979-03-02;--:--;      1.000
1979-03-03;--:--;      1.000
1979-03-04;--:--;      0.000
1979-03-05;--:--;      0.000
1979-03-06;--:--;      1.000
1979-03-07;--:--;      2.000
1979-03-08;--:--;      3.000
1979-03-09;--:--;      3.000
1979-03-10;--:--;      1.000
1979-03-11;--:--;      0.000
1979-03-12;--:--;      0.000
1979-03-13;--:--;      0.000
1979-03-14;--:--;      1.000
1979-03-15;--:--;      4.000
1979-03-16;--:--;      5.000
1979-03-17;--:--;      4.000
1979-03-18;--:--;      2.000
1979-03-19;--:--;      1.000
1979-03-20;--:--;      0.000
1979-03-21;--:--;      0.000
1979-03-22;--:--;      0.000
1979-03-23;--:--;      0.000
1979-03-24;--:--;      0.000
1979-03-25;--:--;      0.000
1979-03-26;--:--;      0.000
1979-03-27;--:--;      0.000
1979-03-28;--:--;      0.000
1979-03-29;--:--;      1.000
1979-03-30;--:--;      3.000
1979-03-31;--:--;      4.000
1979-04-01;--:--;      9.000
1979-04-02;--:--;     10.000
1979-04-03;--:--;      8.000
1979-04-04;--:--;      7.000
1979-04-05;--:--;     10.000
1979-04-06;--:--;     11.000
1979-04-07;--:--;     13.000
1979-04-08;--:--;     16.000
1979-04-09;--:--;     18.000
1979-04-10;--:--;     16.000
1979-04-11;--:--;     13.000
1979-04-12;--:--;      8.000
1979-04-13;--:--;      6.000
1979-04-14;--:--;      5.000
1979-04-15;--:--;      4.000
1979-04-16;--:--;      4.000
1979-04-17;--:--;      3.000
1979-04-18;--:--;      2.000
1979-04-19;--:--;      2.000
1979-04-20;--:--;      1.000
1979-04-21;--:--;      1.000
1979-04-22;--:--;      0.000
1979-04-23;--:--;      0.000
1979-04-24;--:--;      0.000
1979-04-25;--:--;      0.000
1979-04-26;--:--;      0.000
1979-04-27;--:--;      1.000
1979-04-28;--:--;      4.000
1979-04-29;--:--;     10.000
1979-04-30;--:--;     11.000
1979-05-01;--:--;      8.000
1979-05-02;--:--;      9.000
1979-05-03;--:--;     22.000
1979-05-04;--:--;     32.000
1979-05-05;--:--;     30.000
1979-05-06;--:--;     24.000
1979-05-07;--:--;     23.000
1979-05-08;--:--;     35.000
1979-05-09;--:--;     49.000
1979-05-10;--:--;     45.000
1979-05-11;--:--;     41.000
1979-05-12;--:--;     36.000
1979-05-13;--:--;     34.000
1979-05-14;--:--;     35.000
1979-05-15;--:--;     35.000
1979-05-16;--:--;     32.000
1979-05-17;--:--;     30.000
1979-05-18;--:--;     24.000
1979-05-19;--:--;     26.000
1979-05-20;--:--;     34.000
1979-05-21;--:--;     29.000
1979-05-22;--:--;     25.000
1979-05-23;--:--;     25.000
1979-05-24;--:--;     29.000
