# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              1622500
# River:                 NIANDA RIVER
# Station:               BAC
# Country:               GN
# Latitude (DD):       8.06
# Longitude (DD):      -9.07
# Catchment area (km²):      4095.0
# Altitude (m ASL):        375.0
# Next downstream station:      1322800
# Remarks:               
# Owner of original data: Guinea - Direction Nationale de l¿Hydraulique Rép. de Guinée
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 2020-05
# No. of years:          43
# Last update:           2020-09-14
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15491
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     20.000
1978-01-02;--:--;     20.000
1978-01-03;--:--;     20.000
1978-01-04;--:--;     20.000
1978-01-05;--:--;     20.000
1978-01-06;--:--;     20.000
1978-01-07;--:--;     20.000
1978-01-08;--:--;     20.000
1978-01-09;--:--;     19.000
1978-01-10;--:--;     19.000
1978-01-11;--:--;     18.000
1978-01-12;--:--;     18.000
1978-01-13;--:--;     18.000
1978-01-14;--:--;     18.000
1978-01-15;--:--;     18.000
1978-01-16;--:--;     18.000
1978-01-17;--:--;     18.000
1978-01-18;--:--;     19.000
1978-01-19;--:--;     20.000
1978-01-20;--:--;     19.000
1978-01-21;--:--;     18.000
1978-01-22;--:--;     17.000
1978-01-23;--:--;     16.000
1978-01-24;--:--;     16.000
1978-01-25;--:--;     15.000
1978-01-26;--:--;     15.000
1978-01-27;--:--;     14.000
1978-01-28;--:--;     14.000
1978-01-29;--:--;     14.000
1978-01-30;--:--;     14.000
1978-01-31;--:--;     14.000
1978-02-01;--:--;     14.000
1978-02-02;--:--;     13.000
1978-02-03;--:--;     13.000
1978-02-04;--:--;     13.000
1978-02-05;--:--;     13.000
1978-02-06;--:--;     13.000
1978-02-07;--:--;     12.000
1978-02-08;--:--;     12.000
1978-02-09;--:--;     13.000
1978-02-10;--:--;     17.000
1978-02-11;--:--;     17.000
1978-02-12;--:--;     15.000
1978-02-13;--:--;     15.000
1978-02-14;--:--;     14.000
1978-02-15;--:--;     13.000
1978-02-16;--:--;     13.000
1978-02-17;--:--;     12.000
1978-02-18;--:--;     12.000
1978-02-19;--:--;     12.000
1978-02-20;--:--;     11.000
1978-02-21;--:--;     11.000
1978-02-22;--:--;     13.000
1978-02-23;--:--;     17.000
1978-02-24;--:--;     18.000
1978-02-25;--:--;     20.000
1978-02-26;--:--;     19.000
1978-02-27;--:--;     17.000
1978-02-28;--:--;     15.000
1978-03-01;--:--;     15.000
1978-03-02;--:--;     14.000
1978-03-03;--:--;     14.000
1978-03-04;--:--;     13.000
1978-03-05;--:--;     13.000
1978-03-06;--:--;     13.000
1978-03-07;--:--;     13.000
1978-03-08;--:--;     13.000
1978-03-09;--:--;     12.000
1978-03-10;--:--;     12.000
1978-03-11;--:--;     12.000
1978-03-12;--:--;     12.000
1978-03-13;--:--;     12.000
1978-03-14;--:--;     14.000
1978-03-15;--:--;     17.000
1978-03-16;--:--;     15.000
1978-03-17;--:--;     13.000
1978-03-18;--:--;     12.000
1978-03-19;--:--;     15.000
1978-03-20;--:--;     18.000
1978-03-21;--:--;     20.000
1978-03-22;--:--;     20.000
1978-03-23;--:--;     18.000
1978-03-24;--:--;     18.000
1978-03-25;--:--;     18.000
1978-03-26;--:--;     17.000
1978-03-27;--:--;     16.000
1978-03-28;--:--;     17.000
1978-03-29;--:--;     16.000
1978-03-30;--:--;     16.000
1978-03-31;--:--;     18.000
1978-04-01;--:--;     21.000
1978-04-02;--:--;     20.000
1978-04-03;--:--;     22.000
1978-04-04;--:--;     24.000
1978-04-05;--:--;     24.000
1978-04-06;--:--;     21.000
1978-04-07;--:--;     20.000
1978-04-08;--:--;     23.000
1978-04-09;--:--;     23.000
1978-04-10;--:--;     22.000
1978-04-11;--:--;     21.000
1978-04-12;--:--;     20.000
1978-04-13;--:--;     20.000
1978-04-14;--:--;     20.000
1978-04-15;--:--;     24.000
1978-04-16;--:--;     30.000
1978-04-17;--:--;     37.000
1978-04-18;--:--;     34.000
1978-04-19;--:--;     29.000
1978-04-20;--:--;     25.000
1978-04-21;--:--;     25.000
1978-04-22;--:--;     29.000
1978-04-23;--:--;     21.000
1978-04-24;--:--;     20.000
1978-04-25;--:--;     18.000
1978-04-26;--:--;     18.000
1978-04-27;--:--;     18.000
1978-04-28;--:--;     18.000
1978-04-29;--:--;     17.000
1978-04-30;--:--;     18.000
1978-05-01;--:--;     17.000
1978-05-02;--:--;     24.000
1978-05-03;--:--;     22.000
1978-05-04;--:--;     22.000
1978-05-05;--:--;     22.000
1978-05-06;--:--;     22.000
1978-05-07;--:--;     22.000
1978-05-08;--:--;     22.000
1978-05-09;--:--;     28.000
1978-05-10;--:--;     28.000
1978-05-11;--:--;     27.000
1978-05-12;--:--;     24.000
1978-05-13;--:--;     29.000
1978-05-14;--:--;     33.000
1978-05-15;--:--;     31.000
1978-05-16;--:--;     35.000
1978-05-17;--:--;     36.000
1978-05-18;--:--;     32.000
1978-05-19;--:--;     27.000
1978-05-20;--:--;     22.000
1978-05-21;--:--;     20.000
1978-05-22;--:--;     20.000
1978-05-23;--:--;     20.000
1978-05-24;--:--;     21.000
1978-05-25;--:--;     23.000
1978-05-26;--:--;     24.000
1978-05-27;--:--;     23.000
1978-05-28;--:--;     22.000
1978-05-29;--:--;     22.000
1978-05-30;--:--;     23.000
1978-05-31;--:--;     27.000
1978-06-01;--:--;     28.000
1978-06-02;--:--;     33.000
1978-06-03;--:--;     33.000
1978-06-04;--:--;     32.000
1978-06-05;--:--;     36.000
1978-06-06;--:--;     70.000
1978-06-07;--:--;    104.000
1978-06-08;--:--;    109.000
1978-06-09;--:--;    126.000
1978-06-10;--:--;    104.000
1978-06-11;--:--;     87.000
1978-06-12;--:--;     80.000
1978-06-13;--:--;    164.000
1978-06-14;--:--;    147.000
1978-06-15;--:--;    126.000
1978-06-16;--:--;    119.000
1978-06-17;--:--;    108.000
1978-06-18;--:--;     86.000
1978-06-19;--:--;     62.000
1978-06-20;--:--;     55.000
1978-06-21;--:--;     51.000
1978-06-22;--:--;     49.000
1978-06-23;--:--;     49.000
1978-06-24;--:--;     54.000
1978-06-25;--:--;     60.000
1978-06-26;--:--;     67.000
1978-06-27;--:--;     62.000
1978-06-28;--:--;     58.000
1978-06-29;--:--;     60.000
1978-06-30;--:--;     83.000
1978-07-01;--:--;     93.000
1978-07-02;--:--;     87.000
1978-07-03;--:--;     80.000
1978-07-04;--:--;     62.000
1978-07-05;--:--;     57.000
1978-07-06;--:--;     62.000
1978-07-07;--:--;     57.000
1978-07-08;--:--;     45.000
1978-07-09;--:--;     39.000
1978-07-10;--:--;     39.000
1978-07-11;--:--;     51.000
1978-07-12;--:--;     73.000
1978-07-13;--:--;     78.000
1978-07-14;--:--;     75.000
1978-07-15;--:--;     75.000
1978-07-16;--:--;     78.000
1978-07-17;--:--;     73.000
1978-07-18;--:--;     75.000
1978-07-19;--:--;    104.000
1978-07-20;--:--;    152.000
1978-07-21;--:--;    142.000
1978-07-22;--:--;    123.000
1978-07-23;--:--;    117.000
1978-07-24;--:--;    294.000
1978-07-25;--:--;    291.000
1978-07-26;--:--;    270.000
1978-07-27;--:--;    250.000
1978-07-28;--:--;    237.000
1978-07-29;--:--;    229.000
1978-07-30;--:--;    216.000
1978-07-31;--:--;   -999.000
1978-08-01;--:--;    234.000
1978-08-02;--:--;    237.000
1978-08-03;--:--;    229.000
1978-08-04;--:--;    209.000
1978-08-05;--:--;    189.000
1978-08-06;--:--;    200.000
1978-08-07;--:--;    209.000
1978-08-08;--:--;    216.000
1978-08-09;--:--;    229.000
1978-08-10;--:--;    244.000
1978-08-11;--:--;    255.000
1978-08-12;--:--;    250.000
1978-08-13;--:--;    234.000
1978-08-14;--:--;    207.000
1978-08-15;--:--;    106.000
1978-08-16;--:--;    244.000
1978-08-17;--:--;    268.000
1978-08-18;--:--;    278.000
1978-08-19;--:--;    255.000
1978-08-20;--:--;    239.000
1978-08-21;--:--;    276.000
1978-08-22;--:--;    257.000
1978-08-23;--:--;    219.000
1978-08-24;--:--;    212.000
1978-08-25;--:--;    214.000
1978-08-26;--:--;    206.000
1978-08-27;--:--;    265.000
1978-08-28;--:--;    276.000
1978-08-29;--:--;    310.000
1978-08-30;--:--;    349.000
1978-08-31;--:--;   -999.000
1978-09-01;--:--;    399.000
1978-09-02;--:--;    491.000
1978-09-03;--:--;    496.000
1978-09-04;--:--;    562.000
1978-09-05;--:--;    617.000
1978-09-06;--:--;    621.000
1978-09-07;--:--;    569.000
1978-09-08;--:--;    482.000
1978-09-09;--:--;    422.000
1978-09-10;--:--;    367.000
1978-09-11;--:--;    328.000
1978-09-12;--:--;    307.000
1978-09-13;--:--;    279.000
1978-09-14;--:--;    265.000
1978-09-15;--:--;    260.000
1978-09-16;--:--;    270.000
1978-09-17;--:--;    276.000
1978-09-18;--:--;    286.000
1978-09-19;--:--;    273.000
1978-09-20;--:--;    252.000
1978-09-21;--:--;    239.000
1978-09-22;--:--;    224.000
1978-09-23;--:--;    214.000
1978-09-24;--:--;    214.000
1978-09-25;--:--;    255.000
1978-09-26;--:--;    322.000
1978-09-27;--:--;    352.000
1978-09-28;--:--;    370.000
1978-09-29;--:--;    370.000
1978-09-30;--:--;    367.000
1978-10-01;--:--;    325.000
1978-10-02;--:--;    296.000
1978-10-03;--:--;    291.000
1978-10-04;--:--;    289.000
1978-10-05;--:--;    289.000
1978-10-06;--:--;    302.000
1978-10-07;--:--;    296.000
1978-10-08;--:--;    283.000
1978-10-09;--:--;    270.000
1978-10-10;--:--;    247.000
1978-10-11;--:--;    234.000
1978-10-12;--:--;    242.000
1978-10-13;--:--;    265.000
1978-10-14;--:--;    268.000
1978-10-15;--:--;    234.000
1978-10-16;--:--;    202.000
1978-10-17;--:--;    176.000
1978-10-18;--:--;    162.000
1978-10-19;--:--;    159.000
1978-10-20;--:--;    164.000
1978-10-21;--:--;    171.000
1978-10-22;--:--;    184.000
1978-10-23;--:--;    202.000
1978-10-24;--:--;    216.000
1978-10-25;--:--;    224.000
1978-10-26;--:--;    224.000
1978-10-27;--:--;    207.000
1978-10-28;--:--;    187.000
1978-10-29;--:--;    169.000
1978-10-30;--:--;    152.000
1978-10-31;--:--;   -999.000
1978-11-01;--:--;    150.000
1978-11-02;--:--;    142.000
1978-11-03;--:--;    135.000
1978-11-04;--:--;    133.000
1978-11-05;--:--;    133.000
1978-11-06;--:--;    130.000
1978-11-07;--:--;    128.000
1978-11-08;--:--;    126.000
1978-11-09;--:--;    126.000
1978-11-10;--:--;    126.000
1978-11-11;--:--;    126.000
1978-11-12;--:--;    115.000
1978-11-13;--:--;    102.000
1978-11-14;--:--;     95.000
