# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4772050
# River:                 RIO GRANDE DE MATAGALPA
# Station:               SEBACO
# Country:               NI
# Latitude (DD):       12.83
# Longitude (DD):      -86.07
# Catchment area (km²):      426.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4772040
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969-05 - 1994-03
# No. of years:          26
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 9099
# DATA
YYYY-MM-DD;hh:mm; Value
1969-05-01;--:--;      0.140
1969-05-02;--:--;      0.140
1969-05-03;--:--;      0.140
1969-05-04;--:--;      0.140
1969-05-05;--:--;      0.140
1969-05-06;--:--;      0.160
1969-05-07;--:--;      0.160
1969-05-08;--:--;      0.120
1969-05-09;--:--;      0.120
1969-05-10;--:--;      0.120
1969-05-11;--:--;      0.120
1969-05-12;--:--;      0.120
1969-05-13;--:--;      0.140
1969-05-14;--:--;      0.120
1969-05-15;--:--;      0.120
1969-05-16;--:--;      0.100
1969-05-17;--:--;      0.140
1969-05-18;--:--;      0.330
1969-05-19;--:--;      0.400
1969-05-20;--:--;      0.400
1969-05-21;--:--;      0.330
1969-05-22;--:--;      0.200
1969-05-23;--:--;      0.200
1969-05-24;--:--;      0.120
1969-05-25;--:--;      0.120
1969-05-26;--:--;      0.100
1969-05-27;--:--;      0.160
1969-05-28;--:--;      0.140
1969-05-29;--:--;      2.140
1969-05-30;--:--;      5.470
1969-05-31;--:--;      3.890
1969-06-01;--:--;      4.700
1969-06-02;--:--;      4.730
1969-06-03;--:--;      6.640
1969-06-04;--:--;      7.540
1969-06-05;--:--;      9.490
1969-06-06;--:--;      7.190
1969-06-07;--:--;      9.960
1969-06-08;--:--;     10.200
1969-06-09;--:--;      8.090
1969-06-10;--:--;      5.290
1969-06-11;--:--;      4.370
1969-06-12;--:--;      4.790
1969-06-13;--:--;     10.100
1969-06-14;--:--;      9.600
1969-06-15;--:--;      7.760
1969-06-16;--:--;     10.600
1969-06-17;--:--;     17.800
1969-06-18;--:--;     16.700
1969-06-19;--:--;     10.300
1969-06-20;--:--;      6.460
1969-06-21;--:--;      3.900
1969-06-22;--:--;      2.920
1969-06-23;--:--;      2.920
1969-06-24;--:--;      1.950
1969-06-25;--:--;      2.100
1969-06-26;--:--;      3.520
1969-06-27;--:--;     11.200
1969-06-28;--:--;     10.900
1969-06-29;--:--;      7.430
1969-06-30;--:--;     19.800
1969-07-01;--:--;      9.570
1969-07-02;--:--;      7.230
1969-07-03;--:--;      5.970
1969-07-04;--:--;      4.740
1969-07-05;--:--;      3.370
1969-07-06;--:--;      3.370
1969-07-07;--:--;      2.640
1969-07-08;--:--;      2.390
1969-07-09;--:--;      2.170
1969-07-10;--:--;      3.550
1969-07-11;--:--;      2.640
1969-07-12;--:--;      2.500
1969-07-13;--:--;      2.390
1969-07-14;--:--;      2.060
1969-07-15;--:--;      1.750
1969-07-16;--:--;      1.550
1969-07-17;--:--;      1.380
1969-07-18;--:--;      1.310
1969-07-19;--:--;      1.310
1969-07-20;--:--;      1.380
1969-07-21;--:--;      1.310
1969-07-22;--:--;      2.760
1969-07-23;--:--;      2.760
1969-07-24;--:--;      2.640
1969-07-25;--:--;      1.950
1969-07-26;--:--;      1.650
1969-07-27;--:--;      1.380
1969-07-28;--:--;      1.240
1969-07-29;--:--;      1.170
1969-07-30;--:--;      1.170
1969-07-31;--:--;      1.500
1969-08-01;--:--;      1.380
1969-08-02;--:--;      2.280
1969-08-03;--:--;      2.390
1969-08-04;--:--;      1.750
1969-08-05;--:--;      2.220
1969-08-06;--:--;     14.200
1969-08-07;--:--;      4.980
1969-08-08;--:--;      7.410
1969-08-09;--:--;     14.600
1969-08-10;--:--;     16.600
1969-08-11;--:--;      9.410
1969-08-12;--:--;      6.970
1969-08-13;--:--;      6.370
1969-08-14;--:--;      7.160
1969-08-15;--:--;      9.840
1969-08-16;--:--;      7.740
1969-08-17;--:--;      6.980
1969-08-18;--:--;      8.830
1969-08-19;--:--;     18.700
1969-08-20;--:--;     14.300
1969-08-21;--:--;     11.300
1969-08-22;--:--;      9.460
1969-08-23;--:--;      9.460
1969-08-24;--:--;      7.480
1969-08-25;--:--;      6.460
1969-08-26;--:--;      6.200
1969-08-27;--:--;     20.400
1969-08-28;--:--;     13.100
1969-08-29;--:--;      8.350
1969-08-30;--:--;      6.200
1969-08-31;--:--;      4.960
1969-09-01;--:--;     10.700
1969-09-02;--:--;     11.000
1969-09-03;--:--;     17.400
1969-09-04;--:--;     11.900
1969-09-05;--:--;      9.550
1969-09-06;--:--;      8.350
1969-09-07;--:--;     12.200
1969-09-08;--:--;     11.800
1969-09-09;--:--;     10.500
1969-09-10;--:--;      7.230
1969-09-11;--:--;      6.810
1969-09-12;--:--;      9.570
1969-09-13;--:--;      6.710
1969-09-14;--:--;      5.440
1969-09-15;--:--;      4.960
1969-09-16;--:--;      4.740
1969-09-17;--:--;      4.300
1969-09-18;--:--;      4.960
1969-09-19;--:--;      4.300
1969-09-20;--:--;      3.550
1969-09-21;--:--;      3.550
1969-09-22;--:--;     16.800
1969-09-23;--:--;     16.800
1969-09-24;--:--;     13.500
1969-09-25;--:--;      8.960
1969-09-26;--:--;      6.970
1969-09-27;--:--;      6.200
1969-09-28;--:--;      7.560
1969-09-29;--:--;     15.400
1969-09-30;--:--;     37.300
1969-10-01;--:--;     22.200
1969-10-02;--:--;     22.200
1969-10-03;--:--;     21.200
1969-10-04;--:--;     21.800
1969-10-05;--:--;     19.800
1969-10-06;--:--;     26.500
1969-10-07;--:--;     19.700
1969-10-08;--:--;     28.300
1969-10-09;--:--;     20.400
1969-10-10;--:--;     17.300
1969-10-11;--:--;     28.300
1969-10-12;--:--;     32.500
1969-10-13;--:--;     33.500
1969-10-14;--:--;     28.300
1969-10-15;--:--;     44.700
1969-10-16;--:--;     37.800
1969-10-17;--:--;     35.400
1969-10-18;--:--;     35.600
1969-10-19;--:--;     24.200
1969-10-20;--:--;     19.000
1969-10-21;--:--;     16.000
1969-10-22;--:--;     14.800
1969-10-23;--:--;     14.800
1969-10-24;--:--;     11.500
1969-10-25;--:--;     11.200
1969-10-26;--:--;     10.400
1969-10-27;--:--;     11.000
1969-10-28;--:--;     14.300
1969-10-29;--:--;     14.500
1969-10-30;--:--;     36.800
1969-10-31;--:--;     28.600
1969-11-01;--:--;     57.400
1969-11-02;--:--;     34.000
1969-11-03;--:--;     21.600
1969-11-04;--:--;     17.400
1969-11-05;--:--;     15.000
1969-11-06;--:--;     11.900
1969-11-07;--:--;      1.050
1969-11-08;--:--;      8.660
1969-11-09;--:--;      8.660
1969-11-10;--:--;      8.040
1969-11-11;--:--;      7.230
1969-11-12;--:--;      6.710
1969-11-13;--:--;      5.950
1969-11-14;--:--;      5.950
1969-11-15;--:--;      5.690
1969-11-16;--:--;      5.180
1969-11-17;--:--;      5.180
1969-11-18;--:--;      4.960
1969-11-19;--:--;      5.180
1969-11-20;--:--;      4.740
1969-11-21;--:--;      4.520
1969-11-22;--:--;      4.080
