# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4772150
# River:                 RIO TUMA
# Station:               MASAPA
# Country:               NI
# Latitude (DD):       13.1
# Longitude (DD):      -85.52
# Catchment area (km²):      1649.0
# Altitude (m ASL):        220.0
# Next downstream station:      4772300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1972-05 - 1983-12
# No. of years:          12
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4238
# DATA
YYYY-MM-DD;hh:mm; Value
1972-05-01;--:--;      3.000
1972-05-02;--:--;      2.900
1972-05-03;--:--;      3.100
1972-05-04;--:--;      3.200
1972-05-05;--:--;      3.000
1972-05-06;--:--;      2.900
1972-05-07;--:--;      3.000
1972-05-08;--:--;      3.000
1972-05-09;--:--;      3.000
1972-05-10;--:--;      3.100
1972-05-11;--:--;      5.000
1972-05-12;--:--;      9.780
1972-05-13;--:--;      6.900
1972-05-14;--:--;      5.720
1972-05-15;--:--;      7.770
1972-05-16;--:--;     15.500
1972-05-17;--:--;     11.600
1972-05-18;--:--;     10.300
1972-05-19;--:--;      7.280
1972-05-20;--:--;     15.100
1972-05-21;--:--;     30.700
1972-05-22;--:--;     17.600
1972-05-23;--:--;     17.600
1972-05-24;--:--;     14.300
1972-05-25;--:--;     19.800
1972-05-26;--:--;     15.900
1972-05-27;--:--;     14.100
1972-05-28;--:--;     21.700
1972-05-29;--:--;     15.500
1972-05-30;--:--;     14.300
1972-05-31;--:--;      8.960
1972-06-01;--:--;      7.680
1972-06-02;--:--;      6.500
1972-06-03;--:--;      6.000
1972-06-04;--:--;      5.000
1972-06-05;--:--;      4.050
1972-06-06;--:--;      8.630
1972-06-07;--:--;     11.300
1972-06-08;--:--;     15.900
1972-06-09;--:--;     30.100
1972-06-10;--:--;     39.400
1972-06-11;--:--;     22.100
1972-06-12;--:--;     13.600
1972-06-13;--:--;     12.400
1972-06-14;--:--;      9.620
1972-06-15;--:--;      7.990
1972-06-16;--:--;      7.060
1972-06-17;--:--;      6.000
1972-06-18;--:--;      5.750
1972-06-19;--:--;      5.500
1972-06-20;--:--;      5.500
1972-06-21;--:--;      5.500
1972-06-22;--:--;      5.500
1972-06-23;--:--;      5.500
1972-06-24;--:--;      6.250
1972-06-25;--:--;      8.630
1972-06-26;--:--;     11.600
1972-06-27;--:--;     12.000
1972-06-28;--:--;     10.600
1972-06-29;--:--;     18.500
1972-06-30;--:--;     16.800
1972-07-01;--:--;     35.500
1972-07-02;--:--;     51.900
1972-07-03;--:--;     81.800
1972-07-04;--:--;     38.300
1972-07-05;--:--;     24.000
1972-07-06;--:--;     16.800
1972-07-07;--:--;     12.800
1972-07-08;--:--;     10.900
1972-07-09;--:--;     12.400
1972-07-10;--:--;     18.900
1972-07-11;--:--;     42.800
1972-07-12;--:--;    198.000
1972-07-13;--:--;    100.000
1972-07-14;--:--;     40.000
1972-07-15;--:--;     27.200
1972-07-16;--:--;     22.100
1972-07-17;--:--;     21.200
1972-07-18;--:--;     26.300
1972-07-19;--:--;     28.100
1972-07-20;--:--;     31.200
1972-07-21;--:--;     57.400
1972-07-22;--:--;    133.000
1972-07-23;--:--;    133.000
1972-07-24;--:--;     51.000
1972-07-25;--:--;     36.600
1972-07-26;--:--;     51.000
1972-07-27;--:--;    167.000
1972-07-28;--:--;    191.000
1972-07-29;--:--;    209.000
1972-07-30;--:--;    133.000
1972-07-31;--:--;     86.700
1972-08-01;--:--;     74.800
1972-08-02;--:--;     70.300
1972-08-03;--:--;     46.000
1972-08-04;--:--;     33.300
1972-08-05;--:--;     49.600
1972-08-06;--:--;     47.900
1972-08-07;--:--;     32.800
1972-08-08;--:--;     54.200
1972-08-09;--:--;     82.700
1972-08-10;--:--;     64.800
1972-08-11;--:--;     83.900
1972-08-12;--:--;     77.100
1972-08-13;--:--;     57.300
1972-08-14;--:--;     67.300
1972-08-15;--:--;    201.000
1972-08-16;--:--;     87.300
1972-08-17;--:--;     65.000
1972-08-18;--:--;     78.300
1972-08-19;--:--;     53.900
1972-08-20;--:--;    109.000
1972-08-21;--:--;     74.700
1972-08-22;--:--;     48.600
1972-08-23;--:--;     48.600
1972-08-24;--:--;    197.000
1972-08-25;--:--;    110.000
1972-08-26;--:--;     73.400
1972-08-27;--:--;    211.000
1972-08-28;--:--;     31.600
1972-08-29;--:--;     74.000
1972-08-30;--:--;     52.500
1972-08-31;--:--;     43.000
1972-09-01;--:--;     37.200
1972-09-02;--:--;     50.500
1972-09-03;--:--;     52.800
1972-09-04;--:--;     53.900
1972-09-05;--:--;     50.200
1972-09-06;--:--;     37.200
1972-09-07;--:--;     33.300
1972-09-08;--:--;     29.000
1972-09-09;--:--;     25.400
1972-09-10;--:--;     25.900
1972-09-11;--:--;     25.900
1972-09-12;--:--;     23.600
1972-09-13;--:--;     22.100
1972-09-14;--:--;     23.100
1972-09-15;--:--;     20.200
1972-09-16;--:--;     18.900
1972-09-17;--:--;     19.300
1972-09-18;--:--;     24.500
1972-09-19;--:--;     25.900
1972-09-20;--:--;     21.200
1972-09-21;--:--;     18.900
1972-09-22;--:--;     18.900
1972-09-23;--:--;     18.900
1972-09-24;--:--;     29.000
1972-09-25;--:--;     46.200
1972-09-26;--:--;     88.900
1972-09-27;--:--;    119.000
1972-09-28;--:--;     80.700
1972-09-29;--:--;     66.500
1972-09-30;--:--;     46.700
1972-10-01;--:--;     44.400
1972-10-02;--:--;     52.500
1972-10-03;--:--;     32.200
1972-10-04;--:--;     29.000
1972-10-05;--:--;     28.600
1972-10-06;--:--;     35.400
1972-10-07;--:--;     29.500
1972-10-08;--:--;     50.100
1972-10-09;--:--;    163.000
1972-10-10;--:--;     55.900
1972-10-11;--:--;     36.100
1972-10-12;--:--;     28.100
1972-10-13;--:--;     25.400
1972-10-14;--:--;     23.600
1972-10-15;--:--;     30.900
1972-10-16;--:--;     57.300
1972-10-17;--:--;     61.200
1972-10-18;--:--;     60.300
1972-10-19;--:--;     88.400
1972-10-20;--:--;    132.000
1972-10-21;--:--;    105.000
1972-10-22;--:--;     69.000
1972-10-23;--:--;     69.000
1972-10-24;--:--;     53.200
1972-10-25;--:--;     71.300
1972-10-26;--:--;     48.600
1972-10-27;--:--;     36.100
1972-10-28;--:--;     38.000
1972-10-29;--:--;     35.000
1972-10-30;--:--;     29.500
1972-10-31;--:--;     47.100
1972-11-01;--:--;    103.000
1972-11-02;--:--;     69.100
1972-11-03;--:--;     58.300
1972-11-04;--:--;     71.500
1972-11-05;--:--;     53.900
1972-11-06;--:--;     44.200
1972-11-07;--:--;     39.500
1972-11-08;--:--;     43.600
1972-11-09;--:--;     42.900
1972-11-10;--:--;     73.300
1972-11-11;--:--;     81.500
1972-11-12;--:--;    107.000
1972-11-13;--:--;     97.200
1972-11-14;--:--;     74.200
1972-11-15;--:--;     84.700
1972-11-16;--:--;     56.600
1972-11-17;--:--;     46.700
1972-11-18;--:--;     38.300
1972-11-19;--:--;     36.600
1972-11-20;--:--;     31.200
1972-11-21;--:--;     27.200
1972-11-22;--:--;     26.300
1972-11-23;--:--;     26.300
1972-11-24;--:--;     24.500
1972-11-25;--:--;     23.600
1972-11-26;--:--;     21.200
1972-11-27;--:--;     23.600
1972-11-28;--:--;     20.700
1972-11-29;--:--;     19.800
1972-11-30;--:--;     19.300
1972-12-01;--:--;     17.200
1972-12-02;--:--;     17.600
1972-12-03;--:--;     49.200
1972-12-04;--:--;     34.600
1972-12-05;--:--;     25.400
1972-12-06;--:--;     21.700
1972-12-07;--:--;     20.700
1972-12-08;--:--;     19.300
1972-12-09;--:--;     20.700
1972-12-10;--:--;     24.500
1972-12-11;--:--;     22.100
1972-12-12;--:--;     26.300
1972-12-13;--:--;     35.500
1972-12-14;--:--;     51.700
1972-12-15;--:--;     53.500
1972-12-16;--:--;     71.000
1972-12-17;--:--;     47.800
1972-12-18;--:--;     39.400
1972-12-19;--:--;     31.700
1972-12-20;--:--;     27.200
1972-12-21;--:--;     25.400
1972-12-22;--:--;     23.100
1972-12-23;--:--;     23.100
1972-12-24;--:--;     20.200
1972-12-25;--:--;     18.900
1972-12-26;--:--;     17.200
1972-12-27;--:--;     16.400
1972-12-28;--:--;     15.900
1972-12-29;--:--;     14.700
1972-12-30;--:--;     13.900
1972-12-31;--:--;     13.900
1973-01-01;--:--;     13.600
1973-01-02;--:--;     12.800
1973-01-03;--:--;     12.400
1973-01-04;--:--;     13.200
1973-01-05;--:--;     18.500
1973-01-06;--:--;     15.500
1973-01-07;--:--;     13.200
1973-01-08;--:--;     11.600
1973-01-09;--:--;     12.000
1973-01-10;--:--;     12.400
1973-01-11;--:--;     12.000
1973-01-12;--:--;     12.400
1973-01-13;--:--;     11.600
1973-01-14;--:--;     10.600
1973-01-15;--:--;     10.300
1973-01-16;--:--;     10.900
1973-01-17;--:--;     11.600
1973-01-18;--:--;     11.300
1973-01-19;--:--;     10.600
1973-01-20;--:--;      9.950
1973-01-21;--:--;      9.620
1973-01-22;--:--;      9.290
1973-01-23;--:--;      9.290
1973-01-24;--:--;      8.630
1973-01-25;--:--;      8.300
1973-01-26;--:--;      8.630
1973-01-27;--:--;      8.960
1973-01-28;--:--;      9.290
1973-01-29;--:--;      8.300
1973-01-30;--:--;      7.680
1973-01-31;--:--;      7.370
1973-02-01;--:--;      7.380
1973-02-02;--:--;      7.860
1973-02-03;--:--;      7.620
1973-02-04;--:--;      7.140
1973-02-05;--:--;      6.700
