# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4772210
# River:                 RIO GRANDE DE MATAGALPA
# Station:               PAIWAS
# Country:               NI
# Latitude (DD):       12.78
# Longitude (DD):      -85.12
# Catchment area (km²):      6500.0
# Altitude (m ASL):        120.0
# Next downstream station:      4772250
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-06 - 1974-12
# No. of years:          12
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4228
# DATA
YYYY-MM-DD;hh:mm; Value
1963-06-05;--:--;     14.000
1963-06-06;--:--;     12.000
1963-06-07;--:--;     14.400
1963-06-08;--:--;     11.400
1963-06-09;--:--;     12.300
1963-06-10;--:--;     15.500
1963-06-11;--:--;     52.400
1963-06-12;--:--;     62.800
1963-06-13;--:--;     33.400
1963-06-14;--:--;     20.700
1963-06-15;--:--;     17.000
1963-06-16;--:--;     16.200
1963-06-17;--:--;     18.600
1963-06-18;--:--;     23.400
1963-06-19;--:--;     44.100
1963-06-20;--:--;     46.600
1963-06-21;--:--;     43.000
1963-06-22;--:--;     58.200
1963-06-23;--:--;     58.200
1963-06-24;--:--;    229.000
1963-06-25;--:--;    672.000
1963-06-26;--:--;    338.000
1963-06-27;--:--;    203.000
1963-06-28;--:--;    129.000
1963-06-29;--:--;     84.100
1963-06-30;--:--;    146.000
1963-07-01;--:--;    559.000
1963-07-02;--:--;    611.000
1963-07-03;--:--;    474.000
1963-07-04;--:--;    388.000
1963-07-05;--:--;    201.000
1963-07-06;--:--;    117.000
1963-07-07;--:--;    170.000
1963-07-08;--:--;    133.000
1963-07-09;--:--;    115.000
1963-07-10;--:--;    121.000
1963-07-11;--:--;    127.000
1963-07-12;--:--;    307.000
1963-07-13;--:--;    264.000
1963-07-14;--:--;    192.000
1963-07-15;--:--;    113.000
1963-07-16;--:--;     80.100
1963-07-17;--:--;     71.900
1963-07-18;--:--;     86.100
1963-07-19;--:--;     82.100
1963-07-20;--:--;     91.000
1963-07-21;--:--;    115.000
1963-07-22;--:--;    157.000
1963-07-23;--:--;    157.000
1963-07-24;--:--;    154.000
1963-07-25;--:--;    148.000
1963-07-26;--:--;    204.000
1963-07-27;--:--;    225.000
1963-07-28;--:--;      3.010
1963-07-29;--:--;    441.000
1963-07-30;--:--;    201.000
1963-07-31;--:--;    121.000
1963-08-01;--:--;     94.400
1963-08-02;--:--;     88.900
1963-08-03;--:--;     85.500
1963-08-04;--:--;     76.200
1963-08-05;--:--;     66.700
1963-08-06;--:--;     63.900
1963-08-07;--:--;     62.800
1963-08-08;--:--;     71.900
1963-08-09;--:--;     96.700
1963-08-10;--:--;     75.600
1963-08-11;--:--;     70.800
1963-08-12;--:--;    111.000
1963-08-13;--:--;    294.000
1963-08-14;--:--;    397.000
1963-08-15;--:--;    168.000
1963-08-16;--:--;    114.000
1963-08-17;--:--;    163.000
1963-08-18;--:--;    149.000
1963-08-19;--:--;    140.000
1963-08-20;--:--;    272.000
1963-08-21;--:--;    187.000
1963-08-22;--:--;    201.000
1963-08-23;--:--;    201.000
1963-08-24;--:--;    149.000
1963-08-25;--:--;    105.000
1963-08-26;--:--;     81.400
1963-08-27;--:--;     69.000
1963-08-28;--:--;     69.600
1963-08-29;--:--;     63.900
1963-08-30;--:--;     76.900
1963-08-31;--:--;    103.000
1963-09-01;--:--;     76.200
1963-09-02;--:--;    131.000
1963-09-03;--:--;    166.000
1963-09-04;--:--;    132.000
1963-09-05;--:--;    145.000
1963-09-06;--:--;    172.000
1963-09-07;--:--;    142.000
1963-09-08;--:--;    120.000
1963-09-09;--:--;    103.000
1963-09-10;--:--;    127.000
1963-09-11;--:--;    177.000
1963-09-12;--:--;    143.000
1963-09-13;--:--;    132.000
1963-09-14;--:--;     96.700
1963-09-15;--:--;     80.100
1963-09-16;--:--;    114.000
1963-09-17;--:--;     79.400
1963-09-18;--:--;     69.000
1963-09-19;--:--;    223.000
1963-09-20;--:--;    345.000
1963-09-21;--:--;    179.000
1963-09-22;--:--;    131.000
1963-09-23;--:--;    131.000
1963-09-24;--:--;    203.000
1963-09-25;--:--;    241.000
1963-09-26;--:--;    327.000
1963-09-27;--:--;    424.000
1963-09-28;--:--;    197.000
1963-09-29;--:--;    119.000
1963-09-30;--:--;    203.000
1963-10-01;--:--;    719.000
1963-10-02;--:--;    236.000
1963-10-03;--:--;    197.000
1963-10-04;--:--;    149.000
1963-10-05;--:--;    107.000
1963-10-06;--:--;     83.400
1963-10-07;--:--;    176.000
1963-10-08;--:--;    156.000
1963-10-09;--:--;    177.000
1963-10-10;--:--;    413.000
1963-10-11;--:--;    392.000
1963-10-12;--:--;    353.000
1963-10-13;--:--;    215.000
1963-10-14;--:--;    323.000
1963-10-15;--:--;    307.000
1963-10-16;--:--;    212.000
1963-10-17;--:--;    186.000
1963-10-18;--:--;    222.000
1963-10-19;--:--;    196.000
1963-10-20;--:--;    167.000
1963-10-21;--:--;    121.000
1963-10-22;--:--;     91.600
1963-10-23;--:--;     91.600
1963-10-24;--:--;     70.200
1963-10-25;--:--;     64.500
1963-10-26;--:--;     60.000
1963-10-27;--:--;     57.700
1963-10-28;--:--;     60.000
1963-10-29;--:--;     66.200
1963-10-30;--:--;     86.100
1963-10-31;--:--;     89.600
1963-11-01;--:--;     92.300
1963-11-02;--:--;     88.200
1963-11-03;--:--;    119.000
1963-11-04;--:--;    122.000
1963-11-05;--:--;    114.000
1963-11-06;--:--;    104.000
1963-11-07;--:--;    259.000
1963-11-08;--:--;    246.000
1963-11-09;--:--;    140.000
1963-11-10;--:--;     91.000
1963-11-11;--:--;     91.600
1963-11-12;--:--;    656.000
1963-11-13;--:--;    282.000
1963-11-14;--:--;    153.000
1963-11-15;--:--;     97.400
1963-11-16;--:--;     78.800
1963-11-17;--:--;     67.800
1963-11-18;--:--;     62.200
1963-11-19;--:--;     61.700
1963-11-20;--:--;     60.000
1963-11-21;--:--;     57.700
1963-11-22;--:--;     56.100
1963-11-23;--:--;     56.100
1963-11-24;--:--;     51.900
1963-11-25;--:--;     50.800
1963-11-26;--:--;     49.300
1963-11-27;--:--;     44.600
1963-11-28;--:--;     43.000
1963-11-29;--:--;     41.500
1963-11-30;--:--;     41.500
1963-12-01;--:--;     39.100
1963-12-02;--:--;     37.200
1963-12-03;--:--;     47.100
1963-12-04;--:--;     55.000
1963-12-05;--:--;     47.100
1963-12-06;--:--;     39.100
1963-12-07;--:--;     36.200
1963-12-08;--:--;     34.400
1963-12-09;--:--;     34.400
1963-12-10;--:--;     32.900
1963-12-11;--:--;     32.500
1963-12-12;--:--;     32.500
1963-12-13;--:--;     32.900
1963-12-14;--:--;     33.400
1963-12-15;--:--;     43.500
1963-12-16;--:--;    121.000
1963-12-17;--:--;    128.000
1963-12-18;--:--;     81.400
1963-12-19;--:--;     58.800
1963-12-20;--:--;     45.600
1963-12-21;--:--;     38.600
1963-12-22;--:--;     35.300
1963-12-23;--:--;     35.300
1963-12-24;--:--;     32.500
1963-12-25;--:--;     30.700
1963-12-26;--:--;     28.400
1963-12-27;--:--;     27.100
1963-12-28;--:--;     26.200
1963-12-29;--:--;     25.300
1963-12-30;--:--;     25.300
1963-12-31;--:--;     24.400
1964-01-01;--:--;     23.500
1964-01-02;--:--;     22.500
1964-01-03;--:--;     22.000
1964-01-04;--:--;     22.500
1964-01-05;--:--;     26.200
1964-01-06;--:--;     28.000
1964-01-07;--:--;     29.800
1964-01-08;--:--;     27.500
1964-01-09;--:--;     25.700
1964-01-10;--:--;     24.400
1964-01-11;--:--;     23.500
1964-01-12;--:--;     24.000
1964-01-13;--:--;     23.000
1964-01-14;--:--;     22.000
1964-01-15;--:--;     20.300
1964-01-16;--:--;     19.900
1964-01-17;--:--;     19.900
1964-01-18;--:--;     20.700
1964-01-19;--:--;     20.300
1964-01-20;--:--;     19.400
1964-01-21;--:--;     19.000
1964-01-22;--:--;     18.600
1964-01-23;--:--;     18.600
1964-01-24;--:--;     17.400
1964-01-25;--:--;     17.000
1964-01-26;--:--;     18.600
1964-01-27;--:--;     24.400
1964-01-28;--:--;     30.700
1964-01-29;--:--;     31.100
1964-01-30;--:--;     33.400
1964-01-31;--:--;     33.400
1964-02-01;--:--;     28.400
1964-02-02;--:--;     23.500
1964-02-03;--:--;     21.200
1964-02-04;--:--;     19.000
1964-02-05;--:--;     17.800
1964-02-06;--:--;     17.000
1964-02-07;--:--;     15.900
1964-02-08;--:--;     16.600
1964-02-09;--:--;     16.200
1964-02-10;--:--;     15.500
1964-02-11;--:--;     15.100
1964-02-12;--:--;     14.400
1964-02-13;--:--;     15.100
1964-02-14;--:--;     15.100
1964-02-15;--:--;     14.000
1964-02-16;--:--;     13.000
1964-02-17;--:--;     12.300
1964-02-18;--:--;     12.300
1964-02-19;--:--;     12.300
1964-02-20;--:--;     12.000
1964-02-21;--:--;     11.700
1964-02-22;--:--;     11.700
1964-02-23;--:--;     11.700
1964-02-24;--:--;     11.700
1964-02-25;--:--;     10.800
1964-02-26;--:--;     10.800
1964-02-27;--:--;     10.500
1964-02-28;--:--;      9.860
1964-02-29;--:--;      9.290
1964-03-01;--:--;      9.570
1964-03-02;--:--;      9.860
1964-03-03;--:--;      9.570
1964-03-04;--:--;      9.010
1964-03-05;--:--;      9.010
1964-03-06;--:--;      9.010
1964-03-07;--:--;      8.730
