# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-03-12
#
# GRDC-No.:              4772250
# River:                 RIO GRANDE DE MATAGALPA
# Station:               COPOLAR
# Country:               NI
# Latitude (DD):       12.9
# Longitude (DD):      -84.9
# Catchment area (km²):      7125.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4772300
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1973-07 - 1984-04
# No. of years:          12
# Last update:           2018-06-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3940
# DATA
YYYY-MM-DD;hh:mm; Value
1973-07-14;--:--;    304.000
1973-07-15;--:--;    192.000
1973-07-16;--:--;    125.000
1973-07-17;--:--;    305.000
1973-07-18;--:--;    376.000
1973-07-19;--:--;    251.000
1973-07-20;--:--;    485.000
1973-07-21;--:--;    300.000
1973-07-22;--:--;    548.000
1973-07-23;--:--;    548.000
1973-07-24;--:--;    833.000
1973-07-25;--:--;    374.000
1973-07-26;--:--;    238.000
1973-07-27;--:--;    319.000
1973-07-28;--:--;    491.000
1973-07-29;--:--;    584.000
1973-07-30;--:--;    473.000
1973-07-31;--:--;    257.000
1973-08-01;--:--;    306.000
1973-08-02;--:--;    223.000
1973-08-03;--:--;    158.000
1973-08-04;--:--;    125.000
1973-08-05;--:--;    114.000
1973-08-06;--:--;    108.000
1973-08-07;--:--;    108.000
1973-08-08;--:--;     96.100
1973-08-09;--:--;     92.800
1973-08-10;--:--;     91.700
1973-08-11;--:--;    117.000
1973-08-12;--:--;    115.000
1973-08-13;--:--;    115.000
1973-08-14;--:--;    110.000
1973-08-15;--:--;     92.200
1973-08-16;--:--;    153.000
1973-08-17;--:--;    116.000
1973-08-18;--:--;     87.300
1973-08-19;--:--;     70.000
1973-08-20;--:--;     66.000
1973-08-21;--:--;     70.000
1973-08-22;--:--;     99.500
1973-08-23;--:--;     99.500
1973-08-24;--:--;    127.000
1973-08-25;--:--;    201.000
1973-08-26;--:--;    229.000
1973-08-27;--:--;    188.000
1973-08-28;--:--;    238.000
1973-08-29;--:--;    567.000
1973-08-30;--:--;   1430.000
1973-08-31;--:--;    849.000
1973-09-01;--:--;    429.000
1973-09-02;--:--;    599.000
1973-09-03;--:--;    410.000
1973-09-04;--:--;    345.000
1973-09-05;--:--;    624.000
1973-09-06;--:--;    307.000
1973-09-07;--:--;    216.000
1973-09-08;--:--;    186.000
1973-09-09;--:--;    141.000
1973-09-10;--:--;    116.000
1973-09-11;--:--;    101.000
1973-09-12;--:--;     95.000
1973-09-13;--:--;    111.000
1973-09-14;--:--;    114.000
1973-09-15;--:--;    105.000
1973-09-16;--:--;    244.000
1973-09-17;--:--;    212.000
1973-09-18;--:--;    264.000
1973-09-19;--:--;   1150.000
1973-09-20;--:--;    829.000
1973-09-21;--:--;    923.000
1973-09-22;--:--;    449.000
1973-09-23;--:--;    449.000
1973-09-24;--:--;    267.000
1973-09-25;--:--;    270.000
1973-09-26;--:--;    180.000
1973-09-27;--:--;    169.000
1973-09-28;--:--;    183.000
1973-09-29;--:--;    263.000
1973-09-30;--:--;    191.000
1973-10-01;--:--;    302.000
1973-10-02;--:--;    261.000
1973-10-03;--:--;    171.000
1973-10-04;--:--;    135.000
1973-10-05;--:--;    119.000
1973-10-06;--:--;    143.000
1973-10-07;--:--;    172.000
1973-10-08;--:--;    279.000
1973-10-09;--:--;    282.000
1973-10-10;--:--;   1174.000
1973-10-11;--:--;    423.000
1973-10-12;--:--;    294.000
1973-10-13;--:--;    274.000
1973-10-14;--:--;    770.000
1973-10-15;--:--;    510.000
1973-10-16;--:--;    578.000
1973-10-17;--:--;    474.000
1973-10-18;--:--;    399.000
1973-10-19;--:--;    290.000
1973-10-20;--:--;    424.000
1973-10-21;--:--;    509.000
1973-10-22;--:--;    619.000
1973-10-23;--:--;    619.000
1973-10-24;--:--;    840.000
1973-10-25;--:--;   1173.000
1973-10-26;--:--;   1147.000
1973-10-27;--:--;    725.000
1973-10-28;--:--;    518.000
1973-10-29;--:--;    527.000
1973-10-30;--:--;    332.000
1973-10-31;--:--;    289.000
1973-11-01;--:--;    230.000
1973-11-02;--:--;    226.000
1973-11-03;--:--;    221.000
1973-11-04;--:--;    200.000
1973-11-05;--:--;    200.000
1973-11-06;--:--;    184.000
1973-11-07;--:--;    158.000
1973-11-08;--:--;    142.000
1973-11-09;--:--;    156.000
1973-11-10;--:--;    138.000
1973-11-11;--:--;    124.000
1973-11-12;--:--;    110.000
1973-11-13;--:--;    102.000
1973-11-14;--:--;    102.000
1973-11-15;--:--;    102.000
1973-11-16;--:--;     95.000
1973-11-17;--:--;     88.400
1973-11-18;--:--;     86.200
1973-11-19;--:--;     87.300
1973-11-20;--:--;     79.600
1973-11-21;--:--;     76.300
1973-11-22;--:--;     90.800
1973-11-23;--:--;     90.800
1973-11-24;--:--;    110.000
1973-11-25;--:--;     97.200
1973-11-26;--:--;     91.700
1973-11-27;--:--;   1098.000
1973-11-28;--:--;   1012.000
1973-11-29;--:--;    322.000
1973-11-30;--:--;    191.000
1973-12-01;--:--;    153.000
1973-12-02;--:--;    159.000
1973-12-03;--:--;    151.000
1973-12-04;--:--;    128.000
1973-12-05;--:--;    139.000
1973-12-06;--:--;    123.000
1973-12-07;--:--;    115.000
1973-12-08;--:--;     99.400
1973-12-09;--:--;     87.300
1973-12-10;--:--;     76.300
1973-12-11;--:--;     74.100
1973-12-12;--:--;     70.000
1973-12-13;--:--;     67.000
1973-12-14;--:--;     63.000
1973-12-15;--:--;     63.000
1973-12-16;--:--;     62.000
1973-12-17;--:--;     61.000
1973-12-18;--:--;     58.000
1973-12-19;--:--;     55.000
1973-12-20;--:--;     55.000
1973-12-21;--:--;     55.000
1973-12-22;--:--;     54.000
1973-12-23;--:--;     54.000
1973-12-24;--:--;     49.000
1973-12-25;--:--;     49.000
1973-12-26;--:--;     49.000
1973-12-27;--:--;     51.000
1973-12-28;--:--;     57.000
1973-12-29;--:--;     54.000
1973-12-30;--:--;     52.000
1973-12-31;--:--;     48.000
1974-01-01;--:--;     45.000
1974-01-02;--:--;     45.000
1974-01-03;--:--;     48.000
1974-01-04;--:--;     50.000
1974-01-05;--:--;     52.000
1974-01-06;--:--;     56.000
1974-01-07;--:--;     58.000
1974-01-08;--:--;     66.000
1974-01-09;--:--;     76.300
1974-01-10;--:--;     71.000
1974-01-11;--:--;     67.000
1974-01-12;--:--;     64.000
1974-01-13;--:--;     64.000
1974-01-14;--:--;     67.000
1974-01-15;--:--;     65.000
1974-01-16;--:--;     60.000
1974-01-17;--:--;     54.000
1974-01-18;--:--;     55.000
1974-01-19;--:--;     51.000
1974-01-20;--:--;     49.000
1974-01-21;--:--;     46.000
1974-01-22;--:--;     66.400
1974-01-23;--:--;     66.400
1974-01-24;--:--;     90.600
1974-01-25;--:--;     69.000
1974-01-26;--:--;    162.000
1974-01-27;--:--;    496.000
1974-01-28;--:--;    250.000
1974-01-29;--:--;    129.000
1974-01-30;--:--;     96.100
1974-01-31;--:--;     84.000
1974-02-01;--:--;     73.000
1974-02-02;--:--;     65.000
1974-02-03;--:--;     59.000
1974-02-04;--:--;     57.000
1974-02-05;--:--;     54.000
1974-02-06;--:--;     54.000
1974-02-07;--:--;     49.000
1974-02-08;--:--;     46.000
1974-02-09;--:--;     48.000
1974-02-10;--:--;     50.000
1974-02-11;--:--;     58.000
1974-02-12;--:--;     52.000
1974-02-13;--:--;     45.000
1974-02-14;--:--;     42.100
1974-02-15;--:--;     39.400
1974-02-16;--:--;     38.500
1974-02-17;--:--;     36.700
1974-02-18;--:--;     34.900
1974-02-19;--:--;     34.000
1974-02-20;--:--;     33.300
1974-02-21;--:--;     32.500
1974-02-22;--:--;     31.800
1974-02-23;--:--;     31.800
1974-02-24;--:--;     30.300
1974-02-25;--:--;     30.300
1974-02-26;--:--;     29.600
1974-02-27;--:--;     28.100
1974-02-28;--:--;     28.000
